TRR Name,State,Number of Medicare beneficiaries with ESRD,Percent of patients with end-stage renal disease,Percent of ESRD patients using AV fistulas,Percent of ESRD patients receiving living donor transplants within two years of starting dialysis,Percent of ESRD patients receiving deceased donor transplants within two years of starting dialysis,Percent readmitted within 30 days following transplant
Birmingham,AL,8451,0.2046577691,14.1009595327493,2.37797246558198,1.68544013350021,43.125
Little Rock,AR,3421,0.1942475958,7.5940548072457,1.60241523455643,3.59962842545286,45
Phoenix,AZ,692,0.1861810041,14.9302707136998,6.39868744872847,2.87120590648072,
Sun City,AZ,2220,0.1929664978,11.9961240310078,4.82651676681527,2.15157976352006,63.4920634920635
Tucson,AZ,616,0.1471138466,18.8836104513064,3.97862232779097,4.03800475059382,40.7407407407407
Los Angeles,CA,10361,0.2149464418,10.7029930263785,2.04461771713234,1.04396794455274,49.2682926829268
Orange County,CA,905,0.2027466777,12.3579545454545,3.125,0.994318181818182,60
Sacramento,CA,1217,0.1697860606,15.2679147837314,3.84242815628027,1.93735873425896,41.9354838709677
San Bernardino,CA,2050,0.2108985659,10.0434404865334,1.876629018245,1.25108601216334,43.4782608695652
San Diego,CA,1912,0.1854752444,12.8033680039624,4.28642220019822,2.72547076313181,48
San Francisco,CA,7771,0.175908341,14.4900497512438,3.22781267491759,2.11455936314447,48.0769230769231
San Jose,CA,222,0.1497014379,14.0086206896552,5.38793103448276,1.93965517241379,
Santa Rosa,CA,61,0.1955235046,,,2.38095238095238,
Denver,CO,2378,0.1524231061,18.1949458483755,6.57356128100169,3.61184685769323,47.2222222222222
Hartford,CT,1637,0.1955589831,15.489404641776,4.79555779909137,1.86774356385664,50
New Haven,CT,1469,0.1935524892,17.5160811479466,4.75012370113805,2.0781791192479,73.3333333333333
Washington,DC,4080,0.2075224221,11.982771881249,4.43145099246038,2.32343437451916,59.0551181102362
Fort Myers,FL,859,0.1401857834,12.1163166397415,2.18093699515347,2.4232633279483,63.1578947368421
Gainesville,FL,3371,0.1912279971,13.4770302634444,1.95993031358885,3.59320557491289,51.3157894736842
Jacksonville,FL,561,0.2595999838,7.57749712973594,1.26291618828932,2.98507462686567,
Miami,FL,4949,0.211337276,9.05086523335081,2.02412165705296,2.72679601468275,44.4444444444444
Orlando,FL,2649,0.2216289611,9.85095482068002,1.83977643223102,3.09734513274336,57.3529411764706
Ormond Beach,FL,1148,0.260534331,11.9809394145677,2.24642614023145,2.92716133424098,55.8823529411765
Tampa,FL,3953,0.1845207533,10.2185191007703,1.94937902845465,3.01839333438139,55.5555555555556
Atlanta,GA,7300,0.2143059292,11.542730299667,2.02204424708588,1.83173420030132,53.2467532467532
Augusta,GA,1592,0.1952041613,12.0591581342435,1.17557830868411,1.28934395145999,78.3783783783784
Honolulu,HI,991,0.1343132227,24.4037478705281,2.29982964224872,1.0221465076661,
Des Moines,IA,634,0.191427336,13.4943181818182,5.96590909090909,4.26136363636364,42.3076923076923
Iowa City,IA,1578,0.1824645665,20.327868852459,4.48577680525164,3.82932166301969,56
Chicago,IL,10754,0.2340716644,9.29719508351718,4.04110452654142,2.30740133652755,53.9936102236422
Peoria,IL,742,0.1645006131,17.907444668008,6.43863179074447,3.92354124748491,48.3870967741936
Springfield,IL,621,0.2054416963,14.0825035561878,2.84495021337127,2.56045519203414,
Indianapolis,IN,6293,0.254937045,10.6836424024356,3.58477508650519,2.85121107266436,57.7235772357724
Wichita,KS,895,0.1612771976,13.5416666666667,3.52564102564103,2.16346153846154,81.25
Lexington,KY,2395,0.2513564448,12.5,2.8914757791964,3.75516334960571,50
