HSA #,HSA label,Medicare Enrollees (1993),"All Medical Discharges per 1,000 Medicare Enrollees (1993)","Medical Discharges Excluding ACS Events per 1,000 Medicare Enrollees (1993)","Discharges for Ambulatory Care Sensitive Conditions per 1,000 Medicare Enrollees (1993)","Discharges for Convulsions per 1,000 Medicare Enrollees (1993)","COPD Discharges per 1,000 Medicare Enrollees (1993)","Bacterial Pneumonia Discharges per 1,000 Medicare Enrollees (1993)","Asthma Discharges per 1,000 Medicare Enrollees (1993)","Congestive Heart Failure Discharges per 1,000 Medicare Enrollees (1993)","Hypertension Discharges per 1,000 Medicare Enrollees (1993)","Angina Discharges per 1,000 Medicare Enrollees (1993)","Cellulitis Discharges per 1,000 Medicare Enrollees (1993)","Diabetes Discharges per 1,000 Medicare Enrollees (1993)","Gastroenteritis Discharges per 1,000 Medicare Enrollees (1993)","Kidney/Urinary Infection Discharges per 1,000 Medicare Enrollees (1993)","Dehydration Discharges per 1,000 Medicare Enrollees (1993)"
49001,VA-Abingdon,"5,247",253.0 ,158.0 ,96.5 ,,8.31 ,26.85 ,,23.61 ,,12.70 ,,,,7.02 ,
49002,VA-Alexandria,"21,121",189.0 ,128.8 ,61.6 ,,8.16 ,10.80 ,1.91 ,16.21 ,,6.33 ,2.26 ,1.20 ,1.37 ,4.33 ,6.71 
49003,VA-Arlington,"19,842",181.6 ,130.6 ,52.6 ,,5.44 ,9.64 ,1.88 ,14.86 ,,6.43 ,1.97 ,1.10 ,,4.25 ,4.76 
49004,VA-Bedford,"3,667",196.2 ,137.9 ,61.3 ,,7.23 ,13.85 ,,19.51 ,,7.55 ,,,,,
49005,VA-Big Stone Gap,"2,248",355.0 ,226.4 ,130.1 ,,,22.01 ,,29.64 ,,,,,,,
49006,VA-Blacksburg,"5,311",270.8 ,168.3 ,104.7 ,,12.83 ,15.82 ,,26.72 ,,12.33 ,,,,5.89 ,
49007,VA-Charlottesville,"22,337",228.3 ,155.2 ,74.4 ,1.07 ,9.71 ,15.48 ,6.07 ,19.89 ,,8.03 ,1.71 ,2.37 ,1.36 ,5.88 ,2.42 
49008,VA-Chesapeake,"10,011",246.3 ,169.7 ,79.0 ,,12.84 ,13.87 ,,24.82 ,,7.13 ,,1.75 ,,7.33 ,4.30 
49009,VA-Clintwood,"1,792",427.0 ,247.6 ,183.9 ,,,,,49.92 ,,,,,,,
49010,VA-Culpeper,"3,855",222.4 ,142.2 ,80.4 ,,5.49 ,9.54 ,,21.31 ,,15.14 ,,,,,
49011,VA-Danville,"17,033",179.8 ,124.0 ,57.3 ,,10.19 ,10.09 ,2.69 ,15.68 ,,5.47 ,1.45 ,1.57 ,,3.77 ,5.54 
49012,VA-Emporia,"4,358",322.5 ,199.4 ,124.5 ,,11.67 ,35.70 ,,26.13 ,,16.25 ,,,,10.16 ,10.03 
49013,VA-Fairfax,"2,394",209.0 ,138.7 ,71.2 ,,,12.67 ,,19.91 ,,,,,,,
49014,VA-Falls Church,"34,780",164.2 ,115.4 ,50.0 ,1.51 ,5.68 ,8.91 ,1.17 ,14.04 ,0.54 ,6.27 ,1.41 ,1.06 ,0.77 ,4.17 ,4.58 
49015,VA-Farmville,"4,126",197.0 ,139.4 ,59.0 ,,2.98 ,10.87 ,,16.58 ,,11.21 ,,,,4.37 ,
49016,VA-Franklin,"3,676",236.4 ,152.2 ,85.2 ,,,18.88 ,,24.95 ,,10.50 ,,,,,
49017,VA-Fredericksburg,"15,422",233.5 ,152.2 ,83.2 ,,13.04 ,14.44 ,2.81 ,23.66 ,,10.23 ,1.23 ,2.18 ,,5.09 ,6.55 
49018,VA-Front Royal,"3,450",240.0 ,159.9 ,81.8 ,,,14.73 ,,23.28 ,,12.06 ,,,,,
49019,VA-Galax,"7,424",229.3 ,155.9 ,74.5 ,,7.77 ,10.58 ,,18.94 ,,13.41 ,,,,8.37 ,5.20 
49020,VA-Gloucester,"6,257",198.5 ,142.2 ,58.1 ,,4.55 ,10.78 ,,15.86 ,,9.85 ,,,,3.21 ,5.15 
49021,VA-Grundy,"2,722",519.0 ,267.9 ,256.8 ,,,48.63 ,,46.90 ,,,,,,,
49022,VA-Hampton,"8,274",206.1 ,144.0 ,63.2 ,,6.69 ,11.28 ,,22.65 ,,7.31 ,,,,4.14 ,5.36 
49023,VA-Harrisonburg,"14,536",236.0 ,160.5 ,76.5 ,,7.79 ,16.19 ,2.03 ,23.18 ,,10.18 ,2.47 ,1.67 ,,3.52 ,4.85 
49024,VA-Hopewell,"3,963",248.9 ,160.3 ,91.9 ,,9.57 ,16.63 ,,22.07 ,,10.99 ,,,,,
49025,VA-Hot Springs,887,429.9 ,240.4 ,190.6 ,,,,,,,,,,,,
49026,VA-Kilmarnock,"6,631",216.2 ,156.4 ,60.4 ,,7.16 ,11.66 ,,18.21 ,,10.51 ,,,,3.44 ,1.84 
49027,VA-Lebanon,"3,632",495.0 ,259.1 ,241.1 ,,60.42 ,27.63 ,,54.93 ,,37.58 ,,,,,
49028,VA-Leesburg,"4,548",199.2 ,130.1 ,70.6 ,,10.64 ,14.10 ,,21.76 ,,7.94 ,,,,,
49029,VA-Lexington,"4,421",220.0 ,161.4 ,59.3 ,,6.32 ,9.17 ,,16.58 ,,8.97 ,,,,,
49030,VA-Low Moor,"4,703",306.0 ,196.4 ,112.7 ,,17.32 ,19.38 ,,23.58 ,,14.63 ,,,,,
49031,VA-Luray,"2,562",323.2 ,186.3 ,138.4 ,,,30.42 ,,47.60 ,,,,,,,
49032,VA-Lynchburg,"27,195",192.5 ,129.0 ,65.3 ,0.89 ,7.74 ,12.04 ,2.71 ,19.02 ,0.76 ,6.44 ,2.26 ,2.46 ,1.48 ,4.03 ,5.34 
49033,VA-Manassas,"5,022",213.6 ,136.4 ,80.0 ,,12.86 ,18.83 ,,19.05 ,,8.52 ,,,,,
49034,VA-Marion,"5,226",250.6 ,157.5 ,95.0 ,,8.82 ,22.12 ,,24.51 ,,11.23 ,,,,6.74 ,
49035,VA-Martinsville,"11,091",187.5 ,123.9 ,66.8 ,,10.47 ,15.81 ,,18.71 ,,7.30 ,,1.77 ,,4.30 ,3.72 
49036,VA-Nassawadox,"6,372",217.9 ,148.2 ,71.0 ,,11.23 ,10.56 ,,19.62 ,,10.25 ,,,,5.87 ,3.18 
