HSA #,HSA name,State,Medicare enrollees (2015),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)"
2001,Anchorage,AK,23863,8356.83,6990.18,3738.25,3106.07,2649.65,2195.45,1363.39,1157.13,219.82,189.52,206.24,187.09,135.44,120.63
2002,Cordova,AK,243,7764.13,6266.75,3505.38,2594.14,2150.92,1827.5,1481.7,1237.85,,,,,72.35,60.77
2003,Fairbanks,AK,8248,8272.9,6411.9,3779.94,2530.05,2361.42,2027.55,1493.52,1266.99,154.73,135.62,322.65,306.2,110.76,97.67
2004,Homer,AK,1855,9925.81,8059.82,4388.23,3394.9,1647.92,1386.2,3238.21,2708.29,224.76,189.22,,,133.86,119.27
2005,Juneau,AK,4016,7901.55,6495.93,3810.31,2935.62,2052.22,1805.99,1522.35,1297.94,166.11,144.35,199.53,182.54,73.55,62.46
2006,Ketchikan,AK,2186,9610.94,7759.77,3987.09,2874.45,2058.32,1839.51,2795.95,2375.22,292.04,246.66,,,112.31,102.76
2007,Kodiak,AK,1039,10407.74,8083.01,5371.45,3649.09,3017.51,2697.49,1684.13,1428.52,,,,,84.48,80.64
2008,Nome,AK,389,12928.18,9185.45,5816.26,3379.01,1175.6,947.67,4222.02,3485.05,,,,,43.55,34.9
2009,Palmer,AK,8176,8632.17,7012.63,3910.52,3067.64,2739.65,2243.32,1273.44,1077.16,290.08,244.87,215.42,201.09,152.53,135.9
2010,Petersburg,AK,563,10095.76,8482.76,3858.27,3106.98,1715.54,1566.41,3840.99,3230.8,166.97,139.5,,,103.16,88.72
2011,Seward,AK,421,10033.43,7661.24,4370.43,2852.21,2299.39,1982.92,2915.13,2435.37,,,,,120.28,104.4
2012,Sitka,AK,988,12828.03,10086.14,6320.99,4499.44,2250.91,1993.92,3504.58,2956.52,208.7,176.49,,,94.2,80.64
2013,Soldotna,AK,4961,9380.61,7784.69,4437.05,3630.84,2436.57,2026.64,1932.8,1628.11,244.72,207.11,69.69,68.01,133.43,117.02
2014,Valdez,AK,313,17338.36,10875.11,12502.43,6618,1813.36,1517.34,2830.35,2380.43,,,,,146.35,135.57
2015,Wrangell,AK,366,11701.89,9578.53,4638.11,3445.33,1983.38,1830.37,4387.05,3694.79,,,,,52.74,51.04
2016,Barrow,AK,233,17816.61,8981.85,11209.57,3864.32,2005.07,1539.66,2945.11,2434.83,,,,,49.94,44.02
2017,Bethel,AK,1145,7823.35,5657.42,3466.75,2078.41,2833.61,2390.34,1380.55,1139.14,,,,,46.89,38.55
2018,Dillingham,AK,322,11227.23,6764.47,6899.63,3485.33,2333.88,1783.81,1470.49,1216.09,,,,,37.95,31.41
2019,Kotzebue,AK,321,14227.78,8746.97,8007.79,3989.99,3762.5,2917.64,1978.32,1635.29,,,,,61.28,49.28
1001,Alabaster,AL,7518,9649.21,11089.02,3883.66,4905.74,3120.97,3247.74,1188.22,1315.02,660.63,736.68,641.12,733.13,187,206.05
1002,Alexander City,AL,3331,9361.37,11038.93,3253.02,4118.14,2514.86,2742.41,2198.57,2610.5,561.48,675,476.09,557.14,362.42,332.03
1003,Andalusia,AL,4064,9023.36,10675.99,3372.93,4394.86,2698.26,2866.61,1496.2,1741.16,730.47,881.32,510.71,601.96,225.63,208.81
1004,Anniston,AL,12640,9072.85,10909.49,3653.27,4970.31,2793.07,2958.9,1278.35,1469.09,593.3,675.69,566.66,677.13,213.88,196.2
1006,Ashland,AL,1736,8268.8,9703.61,3124.68,4032.97,2439.37,2535.21,1571.25,1837.14,466.53,561.98,512.83,612.73,165.25,144.92
1007,Athens,AL,7623,9056.81,10267.62,3593.4,4435.61,2810.18,2973.34,1384.21,1497.96,605.79,675.59,408.14,467.45,256.81,235.12
1008,Atmore,AL,1933,9561.12,11402.58,3564.2,4839.5,2680.19,2734.07,1838.11,2129.93,904.22,1069.95,324.23,369.52,242.67,214.94
1010,Bessemer,AL,7191,9485.17,10681.79,3841.96,4643.46,3004.21,3120.96,1480.98,1633.03,538.6,591.78,458.53,521.66,180.54,191.48
1011,Birmingham,AL,63914,8810.65,10000,3512.99,4291.05,2848.74,2979.24,1305.89,1444.59,470.13,520.92,494.16,569.67,193.02,205.74
1012,Boaz,AL,8195,9973.08,11672.8,4057.65,5155.6,2464.71,2603.36,1838.63,2172.01,832.22,962.01,562.17,612.62,259.28,232.66
1013,Brewton,AL,3269,9360.84,10807.36,3652.36,4523.35,2317.8,2377.03,1649,1907.03,967,1161.17,529.85,622.92,268.16,241.44
1014,Bridgeport,AL,1160,10553.42,11669.03,4520.99,5055.23,2679.4,2807.52,1695.07,1905.03,685.5,824.69,794.61,953.13,248.77,224.98
1016,Camden,AL,922,8024.34,9435.93,3106.31,3953.53,2104.1,2187.7,1485.34,1723.49,490.88,588.98,647.38,777.42,228.46,206.48
1017,Carrollton,AL,1726,9140.93,9964.66,3482.21,3941.61,2480.46,2576.63,1695.97,1829.96,773.3,830.26,523.9,602.23,184.92,163.91
1018,Centre,AL,3135,10005.63,11470.43,4230.31,5177.81,2728.71,2872.03,1375.12,1561.39,810.48,952.64,712.25,827.62,253.59,231.27
1019,Centreville,AL,1108,9904.95,10982.36,4175.81,4813.72,2451.1,2578.73,1818.94,1997.22,831.75,902,503.07,556.85,142.5,154.49
1022,Cullman,AL,11013,8992.52,10033.31,3485.82,4078.58,2785.63,2838.69,1257.06,1469.63,569.59,673.81,641.4,769.82,264.1,238.68
1023,Dadeville,AL,1528,9051.85,10480.94,3469.81,4286.81,2263.57,2414.73,1923.33,2219.18,665.26,791.66,544.96,626.33,219.03,195.42
1024,Decatur,AL,10077,8618.87,10034,3305.09,4282.24,3021.69,3146.01,1102.32,1269.68,509.58,607.48,437.03,517.1,248.98,228.5
1025,Demopolis,AL,2386,9196.34,10540.59,3761.99,4553.53,2574.31,2718.08,1390.31,1585.39,474.56,565.47,806.32,936.3,237.18,212.92
1026,Dothan,AL,23860,8785.61,10319.34,3310.32,4277.37,2782.45,2954.66,1264.56,1471.46,598.29,702.24,632.17,745.68,231.16,207.97
1027,Elba,AL,1315,8743.73,10412.91,3274.18,4322.45,2649.05,2810.42,1209.46,1430.85,765.01,918.45,604.13,703.94,260.95,241.61
1028,Enterprise,AL,5175,8063.61,9599.52,2780.76,3703.06,2631.26,2820.47,1165.5,1371.03,641.3,773.99,653.18,777.15,235.05,214.41
1029,Eufaula,AL,2152,8772.34,10080.74,3474.88,4176.94,2510.85,2686.23,1610.48,1892.21,489.82,574.73,507.14,588.8,205.7,182.96
1031,Evergreen,AL,1178,9853.24,11736.52,4059.83,5328.03,2613.85,2726.87,1424.33,1673.53,701.17,843.61,674.67,790.42,388.88,348.93
1032,Fairhope,AL,5550,7701.77,9034.36,2536.76,3342.9,2617.63,2812.3,1329.09,1538.25,508.59,595.07,444.34,518.65,251.55,227.61
1033,Fayette,AL,2091,9225.83,10942.84,4158.64,5371.79,2233.13,2373.55,1545.72,1763.77,770.29,905.08,296.5,337.22,231.57,209.55
1035,Florala,AL,683,8413.05,9951.26,3315.94,4378.21,2577.46,2687.04,1050.97,1201.38,651.67,785.51,639.54,747.37,209.08,194.42
1036,Florence,AL,14079,8279,9890.38,3339.19,4440.68,2528.74,2691,1026.72,1174.66,634.27,757.23,570.27,680.2,199.06,181.99
1037,Foley,AL,8131,8205.21,9552.29,2752.16,3612.16,2788.26,2960.78,1471.51,1685.1,505.09,590.85,413.26,480.33,246.66,222.4
1038,Fort Payne,AL,5798,8451.39,9728.39,3324.25,4096.55,2306.12,2430.61,1322.64,1532.69,649.49,755.09,649.28,767.5,245.35,221.34
1039,Gadsden,AL,12793,10530.27,12444.14,4608.69,5967.99,2871.46,3041.53,1168.42,1338.41,815.69,937.11,817.6,958.26,291.02,259.19
1040,Geneva,AL,2400,9935.48,11624.22,4151.78,5295.45,2753.98,2888.99,1271.66,1467.69,822.11,953.65,767.36,900.97,245.05,226.59
1044,Greenville,AL,3181,8780.6,10295,3274.82,4106.6,2167.58,2292.54,1715.74,2003.03,688.53,828.95,664.42,799.71,280,255.35
1045,Grove Hill,AL,870,9872.22,11913.19,3892.65,5191.92,2267.84,2346.74,1598.54,1874.93,563.14,675.67,1347.62,1611.16,200.16,176.31
1046,Guntersville,AL,5368,9465.33,10976.52,3620.54,4545.89,2553.6,2697.37,1772.56,2067.1,656.06,761.97,636.25,727.58,255.97,231.91
1047,Haleyville,AL,2831,10461.21,12182.22,4734.34,5927.81,2825.19,2954.05,1253.07,1443.94,800.92,954.27,655.77,774.86,273.51,251.91
1048,Hamilton,AL,2046,8980.18,10297.84,3380.82,4034.97,2006.92,2124.96,1748.83,2044.87,1110.46,1336.12,483.16,560.23,295.35,265.03
1049,Hartselle,AL,4252,8862.26,10259.23,3572.71,4610.28,2991.85,3045.29,1109.77,1291.36,485.58,579.71,409.61,486.56,281.35,258.91
1051,Huntsville,AL,41886,8784.39,9873.64,3304.55,4037.26,3036.72,3193.3,1321.29,1430.29,446.69,497.74,439.59,507.05,242.88,221.67
1053,Jacksonville,AL,3933,9184.63,10802.92,3689.03,4800.94,2688.2,2858.83,1383.87,1587.91,673.54,778.23,501.59,584.83,274.16,246.84
1054,Jasper,AL,7114,10004.26,11422.59,3921.97,4828.77,2808.21,2944.74,1571.32,1745.5,612.65,679.93,891.78,1032.91,235.25,248.92
1056,Luverne,AL,1213,8154.39,9671.66,3255.2,4198.56,2078.15,2190.29,1249.62,1462.05,480.8,581.79,838.33,1003.03,252.7,230.09
1057,Mobile,AL,41533,8681.78,10236.42,3227.98,4278.06,2891.97,3049.79,1164.48,1337.04,563.51,650.61,611.4,722.05,251.3,224.57
1058,Monroeville,AL,3014,7994.32,9484.69,3068.84,4000.72,2263.14,2378.92,1321.23,1561.02,690.99,830.33,367.1,433.35,286.37,259.18
1059,Montgomery,AL,28599,8167.18,9397.01,3167.7,3871.29,2391.19,2572.73,1597.89,1823.14,398.01,458.42,387.13,460.48,238.4,216.77
1060,Moulton,AL,4524,9103.59,10539.04,3406.88,4360.04,3006.4,3102.43,1147.8,1335.19,679.04,819.41,657.54,788.42,266.42,245.1
1061,Muscle Shoals/Sheffield,AL,8157,9055.97,10879.2,3498.71,4697.87,2654.86,2830.62,1177.81,1356.91,798.9,958.02,761.23,906.09,211.38,190.13
1063,Oneonta,AL,2396,9011.44,10242.84,3452.08,4216.67,2630.37,2738.4,1358.94,1528.35,611.4,687.14,747.06,874.91,235.83,242.81
1064,Opelika,AL,13514,7475.64,8655.13,2778.59,3468.48,2004.51,2196.69,1601.33,1778.27,430.16,493.03,454.05,525.37,220.76,199.09
1065,Opp,AL,2115,9783.87,11569.21,4136.75,5345.06,2652.03,2783.9,1375.37,1607.29,967.5,1163.85,407.6,472.2,269.09,240.56
1066,Ozark,AL,3689,9081.86,10665.18,3704.96,4673.52,2615.01,2786.64,1426.43,1690.01,529.1,628.55,603.78,715.64,225.91,199.86
1068,Phenix City,AL,6643,9181.47,10205.77,3686.37,4336.71,2401.24,2535.43,1787.73,1951.76,518.95,590.4,593.73,619.31,215.19,190
1070,Prattville,AL,4175,9261.58,10705.54,3751.39,4640.28,2537.37,2725.63,1775.4,2020.67,454.62,521.36,487.15,583.67,260.24,236.85
1071,Red Bay,AL,994,10317.28,13080.77,4470.02,6517.86,2249.76,2382.2,1518.18,1785.42,1324.61,1599.96,648.14,770.98,232.97,211.83
1072,Roanoke,AL,1787,8824.25,10005.48,3166.82,3752.29,2366.84,2509.17,1526.81,1746.21,465.4,550.18,1054.12,1236.37,299.09,273.55
1073,Russellville,AL,3805,9407.56,11475.79,3985.31,5423.09,2435.95,2593.33,1227.37,1440.05,973.73,1175.96,638.75,762.45,232.71,210.5
1074,Scottsboro,AL,4915,9520.97,10999.45,3527.27,4366.71,2672.59,2832.72,1534.2,1755.99,714.6,858.99,905.98,1084.4,243.42,222.81
1075,Selma,AL,6672,8601.01,9870.62,3543.12,4251.98,2308.22,2453.97,1490.84,1727.54,479.76,567.56,480.75,570.39,311.74,287.3
1077,Sylacauga,AL,4206,9602.58,11428.99,3158.3,4122.66,2314.46,2483.17,1980.88,2333.06,504.23,598.62,1440.45,1723.97,273.94,245.04
1078,Talladega,AL,4304,9727.65,11271.49,3928.12,4843.4,2612.48,2764.82,1685.93,1964.19,485.31,560.61,807.63,966.2,267.5,244.58
1079,Tallassee,AL,1496,9417.23,11071.53,3945.99,4973.96,2343.41,2527.07,1689.41,1930.59,400.7,466.71,753.88,910.56,279.78,256.97
1080,Thomasville,AL,1936,7741.17,9009.06,2792,3467.59,2075.22,2202.26,1307.17,1516.22,476.09,571.82,1009.93,1183.84,188.64,166.33
1081,Troy,AL,3451,8346.01,9904.84,3236.36,4197.64,2224.76,2367.72,1551.4,1815.08,621.06,747.61,453.43,539.94,265.7,238.19
1082,Tuscaloosa,AL,22567,9056.95,10161.68,3659.3,4434.23,2622.43,2774.29,1478.72,1600.4,614.5,669.96,489.6,506.76,207.17,182.1
1083,Union Springs,AL,985,8595.79,10305.95,3899.33,5107.5,2140.33,2256.43,1544.02,1789.09,382.32,444.66,376.86,435.72,232.53,205.95
