HRR #,HRR name,State,Medicare enrollees (2015),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)"
10,Anchorage,AK,59648,8848.83,7133.65,4075.91,3091,2485.55,2085.73,1681.28,1421.45,206.3,176.52,185.93,172.24,122.86,109.06
1,Birmingham,AL,232401,9021.51,10449.29,3593.55,4521.67,2664.09,2804.63,1380.68,1567.63,575.07,661.7,600.15,701.92,229.89,220.38
2,Dothan,AL,48971,8943.29,10468.5,3464.75,4441.08,2700.83,2856.75,1332.5,1543.73,610.64,713.46,627.61,735.98,237.6,214.63
5,Huntsville,AL,73875,8876.99,10088.61,3400.82,4211.13,2929.84,3079.2,1337.01,1476.55,506.15,575.63,462.35,537.26,245.92,224.65
6,Mobile,AL,77444,8663.53,10139.25,3282.92,4252.79,2670.47,2824.29,1341.98,1538.6,571.96,660.77,573.15,669.53,247.06,222.62
7,Montgomery,AL,44278,8421.76,9768.76,3303.21,4097.97,2366.26,2536.26,1606.63,1842.48,451.92,527.58,454.76,542.08,251.29,228.13
9,Tuscaloosa,AL,28970,9139.8,10280.61,3722.14,4505.67,2574.21,2719.34,1528.05,1666.36,642.23,705.13,477.48,504.08,206.45,183.33
16,Fort Smith,AR,41613,9331.09,10595.37,4204.91,5043.15,2186.54,2288.11,1506.68,1709.89,833.16,945.87,381.92,413.04,249.29,232.16
18,Jonesboro,AR,28690,9387.53,10901.54,4589.04,5731.44,2139.41,2229.53,1736.37,1960.51,425.17,485.6,237.15,261.6,269.08,250.48
19,Little Rock,AR,192611,8643.71,9778.55,3820.95,4610.85,2372.86,2484.63,1475.02,1640.81,388.86,436.2,354.49,378.1,230.5,228.8
21,Springdale,AR,49418,8152.91,8911.66,3482.81,4047.35,2413.91,2514.53,1280.63,1380.4,426.61,460.52,277.55,260.19,265.52,246.81
22,Texarkana,AR,30878,9585.52,11040.66,4288.29,5308.06,2322.21,2409.96,1228.56,1385.69,922.38,1039.75,587.71,687.52,266.06,244.52
11,Mesa,AZ,88368,9803.16,9827.41,3730.71,3823.55,3681.17,3673.98,1226.48,1189.97,438.56,424.92,519,495.08,186.43,200.42
12,Phoenix,AZ,276009,9310.96,9125.49,3718.54,3607.49,3269.01,3258.25,1277.46,1240.45,338.85,326.53,507.18,493.56,196.34,193.97
14,Sun City,AZ,45489,9409.37,9461.26,3286.99,3445.83,3866.08,3827.01,1316.11,1273.06,352.4,340.85,384.51,362.43,179.89,195.04
15,Tucson,AZ,104753,8124.18,8299.01,3193.31,3306.32,2893.93,2883.46,1246.54,1282.95,283.46,291.59,326.48,348.42,153.64,163.63
23,Orange County,CA,173002,11308.51,10081.7,4621.77,4024.71,3872.05,3594.28,1526.51,1308.24,665.85,570.73,438.09,384.45,168.18,176.02
25,Bakersfield,CA,68787,10622.39,9349.46,4849.83,4017.7,3259.91,3103.71,1585.43,1342.44,365.14,309.15,322.28,310.34,241.26,263.17
31,Chico,CA,47610,9636.17,8455.21,4662.31,4011.38,2220.17,2100.78,1959.41,1635.02,366.29,312.7,176.13,157.55,253.7,234.75
33,Contra Costa County,CA,64090,10721.21,8472.52,4691.27,3549.34,3300.27,2913.47,1527.03,1109.16,570.31,413.25,481.88,335.95,143.57,145.31
43,Fresno,CA,79356,9934.96,8826.54,4341.69,3643.64,3375.13,3245.89,1419.45,1199.23,344.58,291.7,268.08,252.48,196.96,201.27
56,Los Angeles,CA,403581,12968.58,11332.94,5978.81,5015.25,3886.88,3639.47,1517.29,1297.51,972.7,830.04,390.12,334.71,186.77,190.98
58,Modesto,CA,69087,10208.18,8629.65,4871.55,3838.49,2742.7,2604.96,1689.81,1402.74,391.61,335.06,291.62,239.68,222.2,202.88
62,Napa,CA,36895,9837.59,7785.48,4651.45,3335.17,2294.1,2122.66,2127.74,1684.51,317.51,260.66,271.55,212.27,166.4,152.63
65,Alameda County,CA,80193,11139.53,8675.93,5264,3882.54,2973.91,2653.67,1661.28,1212.56,627.1,458.35,456.56,324.56,132.72,139.08
69,Palm Springs/Rancho Mirage,CA,38715,10237.66,9153.78,3685.43,3221.27,3239.44,3080.8,2328.36,1963.54,406.57,343.23,434.19,390.38,130.53,143.3
73,Redding,CA,55725,9289.79,7815.44,4354.93,3442.08,2440.9,2310.67,1639.4,1327.59,386.38,319.37,252.93,209.82,206.31,187.75
77,Sacramento,CA,187296,9599.91,7875.96,4467.46,3400.49,2548.05,2422.56,1616.07,1252.96,457.33,355.45,358.02,278.7,155.36,160.63
78,Salinas,CA,42436,9281.94,7584.29,4270.26,3319.72,2555.47,2401.66,1446.85,1081.08,544.9,407.68,301.54,229.97,157.19,141.18
79,San Bernardino,CA,90540,11140.74,9587.82,5584.05,4480.81,2913.05,2784.03,1366.74,1160.38,579.73,490.69,532.73,492.47,183.54,198.24
80,San Diego,CA,196076,9998.37,8900.47,4392.59,3750.42,3018.9,2901.52,1456.17,1239.78,565.42,479.99,408.46,361.35,155.26,162.78
81,San Francisco,CA,98871,10391.18,7792.84,4831.22,3334.46,2538.04,2240.42,1898.51,1377.51,596.56,434.32,393.25,286.04,117.94,120.49
82,San Jose,CA,84912,10802.01,8227.61,4757.06,3404.63,3096.88,2674.5,1777.75,1261.14,584.01,418.31,440.85,308.84,141.76,149.51
83,San Luis Obispo,CA,36104,8480.94,7486.56,3074.11,2623.63,3021.45,2842.16,1222.56,1020.19,601.64,505.64,360.27,308.17,184.97,170.53
85,San Mateo County,CA,54018,9762.54,7405.38,3922.8,2798.56,2798.9,2401.2,1864.53,1326.36,556.36,398.36,503.13,357.88,110.17,116.98
86,Santa Barbara,CA,48879,8816.38,7807.52,3468.87,2970.99,3208.36,3011.11,1249.22,1054.27,408.23,344.67,297.45,256.11,180.94,165.56
87,Santa Cruz,CA,30585,9547.5,7381.63,4197.31,2951.99,2818.25,2609.35,1342.61,940.16,526.98,370.78,482.11,332.91,185.71,163.74
89,Santa Rosa,CA,41489,9767.48,7624.13,4183.13,2972.48,2651.12,2491.55,1878.74,1360.94,486.37,353.77,395.68,288.61,171.67,153.37
91,Stockton,CA,37404,10391.01,8597.17,5252.66,4036.75,2608.94,2467.79,1620.89,1318.34,479.39,392.08,282.86,231.45,143.43,150.09
96,Ventura,CA,71724,10905.22,9772.56,4355.82,3918.7,4001.38,3657.05,1233.59,1047.46,705.98,598.24,439.15,367.7,152.03,163.68
101,Boulder,CO,20589,8310.54,8609.08,3149.71,3533.47,2745.66,2685.52,1258.34,1261.15,476.33,472.32,433.52,435.25,229.73,215.88
