HRR #,HRR name,State,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
10,Anchorage,AK,56634,8702.62,6970.83,4101.69,3076.14,2334.08,1970.81,1660.47,1389.1,208.51,175.87,185.3,172.32,117.97,107.53
1,Birmingham,AL,229203,8785.87,10075.39,3555.71,4379.06,2549.48,2695.32,1342.77,1504.19,560.31,635.73,570.83,670.6,226.61,217.65
2,Dothan,AL,48788,8666.3,10129.03,3386.53,4328.34,2574.32,2728.75,1337.44,1532.62,551.33,638.47,614.77,727.84,230.46,209.09
5,Huntsville,AL,72825,8783.16,9927.73,3388.64,4164.37,2867.61,3008.44,1325.2,1447.82,493.98,554.61,483.12,558.42,229.95,211.35
6,Mobile,AL,76308,8438.69,9860.17,3275.2,4217.46,2556.69,2701.62,1279.12,1461.81,561.37,645.03,542.54,638.07,245.4,223.83
7,Montgomery,AL,43958,8238.6,9529.79,3236.53,3992.13,2291,2452.8,1604.57,1830.99,434.5,503.46,453.87,545.63,230.05,210.59
9,Tuscaloosa,AL,28946,8916.95,9914.21,3763.23,4423.74,2443.63,2597.84,1446.21,1565.46,630.95,691.45,423.59,443.31,213.9,191.58
16,Fort Smith,AR,40881,9155.68,10433.13,4255.32,5130.11,2070.17,2179.27,1399.31,1575.24,845.85,950.63,388.11,424.41,235.68,219.61
18,Jonesboro,AR,28731,8892.39,10234.05,4364.04,5373.59,1989.15,2079.84,1644.28,1839.46,417.31,472.01,212.94,228.94,269.69,252.6
19,Little Rock,AR,190007,8468.02,9546.58,3799.9,4544.8,2296.46,2412.49,1402.29,1554.28,377.45,421.96,368.86,394.85,222.3,219.45
