County ID,County name,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
51001,VA-Accomack County,5448,8469.74,8676.9,3452.1,3407.55,2198.14,2221.63,1861.4,1994.97,465.69,516.39,321.82,378.2,163.16,149.45
51003,VA-Albemarle County,14593,7719.27,7685.06,3168.18,2982.09,1964.39,2013.53,1780.25,1854.11,314.88,326.89,335.82,366.51,161.5,148.7
51510,VA-Alexandria city,8537,8507.97,8329.09,3516.35,3565.55,2870.73,2682.55,1248.74,1213.87,385.7,373.68,379.07,374.63,122.16,128.55
51005,VA-Alleghany County,1206,8981.68,10032.84,4101.4,4802.63,2303.8,2381.82,1440.23,1570.59,335.22,372.17,635.36,765.49,184.45,169.6
51007,VA-Amelia County,1492,8039.95,8599.19,3464.92,3822.47,2650.92,2766.29,1053,1080.23,441.28,454.5,290.84,315.96,148.2,173.12
51009,VA-Amherst County,4429,7849.85,8311.08,3393,3702.9,2155.77,2186.42,1316.18,1387.17,392.94,411.42,397.04,446.91,201.14,184.68
51011,VA-Appomattox County,3063,8606.51,9087.15,3869.4,4202.22,2331.26,2350.78,1305.02,1379.7,475.92,501.51,399.69,450.6,233.86,216.59
51013,VA-Arlington County,14696,7658.09,7469.42,2763.07,2787.63,2722.93,2553.69,1241.54,1211.17,420.41,408.17,393.59,379.66,119.45,127.51
51015,VA-Augusta County,7109,8157.48,8616.54,3473.49,3572.01,1871.51,1974.95,2079.2,2274.69,253.57,278.14,254.54,306.73,190.43,176.94
51017,VA-Bath County,1028,9708.38,10061.16,4632.07,4536.81,1421.6,1473.03,2827.14,3134.9,281.01,314.05,309.8,372.89,198.76,187.38
