HSAID,HSANAME,HRRID,HRRNAME
1001,AL- ALABASTER,1,AL- BIRMINGHAM
1002,AL- ALEXANDER CITY,1,AL- BIRMINGHAM
1003,AL- ANDALUSIA,134,FL- PENSACOLA
1004,AL- ANNISTON,1,AL- BIRMINGHAM
1006,AL- ASHLAND,1,AL- BIRMINGHAM
1007,AL- ATHENS,5,AL- HUNTSVILLE
1008,AL- ATMORE,134,FL- PENSACOLA
1010,AL- BESSEMER,1,AL- BIRMINGHAM
1011,AL- BIRMINGHAM,1,AL- BIRMINGHAM
1012,AL- BOAZ,1,AL- BIRMINGHAM
1013,AL- BREWTON,134,FL- PENSACOLA
1014,AL- BRIDGEPORT,373,TN- CHATTANOOGA
1016,AL- CAMDEN,1,AL- BIRMINGHAM
1017,AL- CARROLLTON,9,AL- TUSCALOOSA
1018,AL- CENTRE,148,GA- ROME
1019,AL- CENTREVILLE,9,AL- TUSCALOOSA
1022,AL- CULLMAN,1,AL- BIRMINGHAM
1023,AL- DADEVILLE,1,AL- BIRMINGHAM
1024,AL- DECATUR,5,AL- HUNTSVILLE
1025,AL- DEMOPOLIS,1,AL- BIRMINGHAM
1026,AL- DOTHAN,2,AL- DOTHAN
1027,AL- ELBA,2,AL- DOTHAN
1028,AL- ENTERPRISE,2,AL- DOTHAN
1029,AL- EUFAULA,2,AL- DOTHAN
1031,AL- EVERGREEN,7,AL- MONTGOMERY
1032,AL- FAIRHOPE,6,AL- MOBILE
1033,AL- FAYETTE,9,AL- TUSCALOOSA
1035,AL- FLORALA,134,FL- PENSACOLA
1036,AL- FLORENCE,1,AL- BIRMINGHAM
1037,AL- FOLEY,6,AL- MOBILE
1038,AL- FORT PAYNE,1,AL- BIRMINGHAM
1039,AL- GADSDEN,1,AL- BIRMINGHAM
1040,AL- GENEVA,2,AL- DOTHAN
1044,AL- GREENVILLE,7,AL- MONTGOMERY
1045,AL- GROVE HILL,6,AL- MOBILE
1046,AL- GUNTERSVILLE,5,AL- HUNTSVILLE
1047,AL- HALEYVILLE,1,AL- BIRMINGHAM
1048,AL- HAMILTON,262,MS- TUPELO
1049,AL- HARTSELLE,1,AL- BIRMINGHAM
1051,AL- HUNTSVILLE,5,AL- HUNTSVILLE
1053,AL- JACKSONVILLE,1,AL- BIRMINGHAM
1054,AL- JASPER,1,AL- BIRMINGHAM
1056,AL- LUVERNE,7,AL- MONTGOMERY
1057,AL- MOBILE,6,AL- MOBILE
1058,AL- MONROEVILLE,6,AL- MOBILE
1059,AL- MONTGOMERY,7,AL- MONTGOMERY
1060,AL- MOULTON,1,AL- BIRMINGHAM
1061,AL- MUSCLE SHOALS,1,AL- BIRMINGHAM
