County ID,County name,Medicare enrollees (20% sample) (2004),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)"
2016,AK-Aleutians West Census Area,14,3066.61,2451.02,,,,,,,,,,,,
2020,AK-Anchorage Municipality,2860,7380.6,5791.86,3580.82,2884.66,2494.09,1755.89,721.18,626.55,264.52,233.23,129.22,119.34,158.74,154.83
2050,AK-Bethel Census Area,140,5267.56,3560.69,2938.31,1806.52,1266.55,869.88,735.21,619.82,,,,,80.02,69.11
2060,AK-Bristol Bay Borough,14,5467.01,3848.43,,,2115.51,1493.88,,,,,,,,
2068,AK-Denali Borough,15,5286.33,4131.77,,,1539.57,1131.24,,,,,,,,
2070,AK-Dillingham Census Area,40,7245.58,5641.69,,,2401.43,1586.17,901.58,762.45,,,,,349.55,333.44
2090,AK-Fairbanks North Star Borough,883,7896.15,6192.61,3943.69,3064.95,2670.99,2004.22,862.16,749.68,139.67,122.16,,,186.22,175.16
2100,AK-Haines Borough,51,8570.1,6465.01,,,2174.89,1601.41,2093.66,1809,,,,,204.92,189.32
2110,AK-Juneau City and Borough,371,6876.23,5374.42,3745.88,2849.37,1717.55,1273.09,893.93,777.37,312.21,275.5,,,155.34,154.08
2122,AK-Kenai Peninsula Borough,744,7848.85,5974.03,4252.87,3159.95,2007.66,1428.64,977.99,851.86,308.96,268.43,,,212.24,192.02
2130,AK-Ketchikan Gateway Borough,210,8202.29,6903.42,4863.2,4195.98,1938.15,1476.58,866.77,757.11,353.89,308.22,,,143.37,132.41
2150,AK-Kodiak Island Borough,111,7947.18,5783.53,3947.35,2413.57,2682.34,2178.84,822.63,726.85,,,,,178.17,161.11
2164,AK-Lake and Peninsula Borough,11,2297.32,1513.8,,,,,,,,,,,,
2170,AK-Matanuska-Susitna Borough,826,7140,5478.8,3183.38,2483.28,2609.07,1819.75,749.09,653.24,181.72,161.23,160.79,146.89,178.23,171.8
2180,AK-Nome Census Area,89,6613.38,4754.33,3583.97,2356.33,979.35,664.82,1414.26,1193.19,,,,,,
2185,AK-North Slope Borough,56,6439.78,4784.91,3926.18,2902.21,1533.81,1056.04,644.76,545.74,,,,,,
2188,AK-Northwest Arctic Borough,62,5232.39,3471.28,3209.5,1939.83,565.55,323.61,887.37,743.15,,,,,,
2201,AK-Prince of Wales-Outer Ketchikan Census Area,73,10364.21,8202.54,6846.49,5403.99,2079.27,1570.13,785.64,672.38,,,,,108.14,97.3
2220,AK-Sitka City and Borough,130,9695.99,7263.54,5276.81,3587.34,1753.52,1363.49,2171.59,1867.34,,,,,155.53,151.73
2232,AK-Skagway-Hoonah-Angoon Census Area,50,8463.57,6431.23,5179.48,3802.5,2638.66,2100.27,582.85,501.79,,,,,,
2240,AK-Southeast Fairbanks Census Area,108,5832.58,4373.74,2816.01,2078.37,2040.84,1432.68,826.44,727.39,,,,,38.34,38.07
2261,AK-Valdez-Cordova Census Area,111,6667.22,4585.8,3984.04,2549.8,1406.22,930.95,905.51,773.75,,,,,173.97,160.04
2270,AK-Wade Hampton Census Area,72,6433.23,4444.84,4060.88,2649.43,1122.97,778.02,786.6,663.75,,,,,117.94,106.9
2280,AK-Wrangell-Petersburg Census Area,122,5956.64,4979.82,2643.63,2154.21,1289.97,1052.16,1660.53,1446.89,,,,,141.07,138.1
2290,AK-Yukon-Koyukuk Census Area,74,4436.49,3616.86,,,2054.19,1758.69,478.37,406.09,,,,,45.03,50.85
1001,AL-Autauga County,926,7108.16,8022.76,3148.53,3761.37,2514.75,2630.42,467.21,525.98,319.14,363.39,402.95,501.32,270.02,265.48
1003,AL-Baldwin County,4356,6861.11,8013.7,3183.48,4042.34,2074.77,2227.01,667.36,730.32,368.07,409.22,338.8,382.23,241.22,246.26
1005,AL-Barbour County,618,6197.1,7274.46,2570.83,3249.14,1681.54,1819.59,747.46,817.82,384.27,423.44,607.26,766.54,241.12,237.06
1007,AL-Bibb County,404,7685.69,8645.37,3747.77,4425.96,1870.73,1985.69,965.56,1037.04,635.84,700.74,175.7,219.82,298.79,293.26
1009,AL-Blount County,798,8614.93,9296.47,4195.86,4605.22,1996.94,2141.1,845.55,886.94,446.25,465.76,850.44,919.92,303.31,305.24
1011,AL-Bullock County,269,6718.97,7808.37,3140.4,3880.22,2197.98,2268.9,417.69,475.89,342.07,388.54,469.11,586.14,190.06,187.4
1013,AL-Butler County,685,7340.16,8494.66,3823.89,4631.11,1908.91,2017.37,455.57,517.06,512.14,585.32,289.57,357.81,320.53,341.41
1015,AL-Calhoun County,3163,7722.74,8727.93,4016.5,4747.03,2089.26,2223.83,728.27,801.73,358.61,394.38,252.94,296.35,285.33,279.86
1017,AL-Chambers County,1073,7260.24,8531.29,3903.02,4862.31,1768.74,1921.4,724.18,809.41,311.02,353.14,264.1,260.27,276.83,308.58
1019,AL-Cherokee County,587,7214.74,8046.41,3874.78,4492.22,1889.78,1980.71,641.26,704.97,368.18,414.76,106.53,133.73,339.78,336.24
1021,AL-Chilton County,709,7645.73,8445.38,3598.52,4135.08,2109.72,2241.41,701.19,724.06,502.3,521.45,470.2,575.8,283.07,273.34
1023,AL-Choctaw County,459,6760.13,8062.28,3088.28,3841.94,1523.24,1676.46,536.6,609.53,394.62,449.82,1006.45,1234.14,264.03,303.6
1025,AL-Clarke County,751,7188.87,8587.52,3095.52,3958.54,1708.27,1819.45,554.27,622.75,258.97,290.61,1329.19,1625.71,249.36,249.46
