HSA #,HSA name,State,Medicare enrollees (20% sample) (2004),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)"
2001,Anchorage,AK,3016,7277.57,5691.41,3526.55,2818.76,2447.63,1723.19,736.26,638.68,251.58,221.21,121.17,111.48,163.45,158
2002,Cordova,AK,25,8313.84,5872.2,,,1718.02,1161.05,1170.12,994.47,,,,,,
2003,Fairbanks,AK,1078,7461.07,5828.81,3712.62,2863.07,2561.61,1924.04,813.05,706.33,122.77,106.82,,,161.78,153.05
2004,Homer,AK,194,7438.08,5145.18,4786.84,3034.69,1619.04,1179.68,718.85,634.22,,,,,155.44,145.2
2005,Juneau,AK,471,7141.57,5557.4,3795.62,2860.07,1868.06,1395.29,985.12,854.85,283.44,248.54,,,149.85,146.54
2006,Ketchikan,AK,282,8629.6,7134.15,5268.26,4420.74,1977.35,1503.57,845.14,733.81,337.1,292.31,,,134.21,123.19
2007,Kodiak,AK,113,7822.27,5690.7,3886.2,2375.56,2654.31,2155.06,815.04,719.27,,,,,179.24,161.6
2008,Nome,AK,67,6412.01,4649.65,3536.86,2356.32,893.68,612.13,1341.92,1132.92,,,,,,
2009,Palmer,AK,825,7143.69,5482.11,3186.06,2485.4,2609.18,1820.06,749.84,653.9,181.79,161.3,160.85,146.94,178.4,171.96
2010,Petersburg,AK,75,5999.46,4860.96,2974.72,2245.69,1073.38,888.59,1562.82,1368.45,,,,,114.72,125.61
2011,Seward,AK,52,7123.28,5436.64,,,1580.43,1102.03,1434.35,1236.01,,,,,,
2012,Sitka,AK,138,10237.76,7671.73,5691.64,3916.92,1948.78,1507.29,2100.23,1803.58,,,,,146.44,142.79
2013,Soldotna,AK,493,8166.07,6417.64,4163.05,3300.24,2219.32,1571.06,1027.58,893.41,391.75,340.58,,,247.94,221.9
2014,Valdez,AK,25,4426.71,2871.14,,,1140.56,733.21,925.04,791.32,,,,,,
2015,Wrangell,AK,60,6165.04,5250.7,,,1658.59,1288.81,1481.74,1275.16,,,,,156.55,151.3
2016,Barrow,AK,40,6327.14,4862.59,,,1710.4,1227.43,669.63,568.09,,,,,,
2017,Bethel,AK,202,5940.3,4045.28,3493.53,2200.01,1272.3,875.2,779.19,657.13,,,,,97.4,86.38
2018,Dillingham,AK,49,6898.95,5093.24,,,2149.39,1413.87,807,682.11,,,,,285.8,273.42
2019,Kotzebue,AK,68,5566.44,3760.9,3416.82,2132.88,640.98,373.62,925.88,776.42,,,,,,
1001,Alabaster,AL,1508,8507.05,9348.71,4051.57,4638.3,2349.77,2487.62,689.78,712.88,475,499.44,617.64,703.1,360.79,356.29
1002,Alexander City,AL,725,7846.04,9294.61,3257.09,4065.82,1898.67,2075.24,919.66,1038.11,339.29,388.44,1102.38,1385.88,301.11,296.11
1003,Andalusia,AL,813,8180.31,9365.78,4482.17,5306.44,2038.25,2172.21,522.18,590.94,368.21,421.08,505.33,609.78,256.01,252.62
1004,Anniston,AL,2665,8133.27,9151.01,4287.62,5032.12,2158.28,2286.6,727.11,800.73,399.2,439.19,271.06,317.15,302.96,296.84
1006,Ashland,AL,449,7789.6,9047.54,4081.72,4912.67,2032.18,2152.05,668.35,753.84,340.04,389.07,403.25,510.64,270.01,337.19
1007,Athens,AL,1304,7048.36,7718.85,3550.15,3963.57,1902.66,2079.52,698.12,731.76,506.66,535.29,147.2,169.11,253.08,251.32
1008,Atmore,AL,424,6482.32,7808.77,2691.41,3596.9,1685.2,1793.26,659.36,724.36,468.18,521.07,781.63,974.04,215.94,214.28
1010,Bessemer,AL,1600,7892.74,8525.13,4208.12,4643.25,2003.89,2125.54,729.23,752.39,365.61,382.49,349.03,390.59,233.24,228.2
1011,Birmingham,AL,13259,7238.53,7914.92,3518.77,3989.23,2064.41,2204.1,673.72,695.93,321.47,333.36,415.64,449.61,244.32,240.99
