HRR #,HRR name,State,Medicare enrollees (20% sample) (2004),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)"
10,Anchorage,AK,7273,7355.74,5693.44,3712.63,2856.36,2290.06,1646.54,851.04,737.44,213.17,186.25,76.47,69.83,163.32,155.22
1,Birmingham,AL,47386,7421.92,8291.97,3680.82,4277.25,1977.17,2108.96,657.13,705.22,391.11,421.06,435.31,503.14,289.44,287.47
2,Dothan,AL,9512,6687.75,7764.49,3058.37,3784.68,1804.95,1940.86,642.38,701.01,305.2,335.86,650.33,779.89,249.45,249.88
5,Huntsville,AL,12867,7061.69,7826.21,3396.41,3913.25,2114.17,2277.22,666.59,703.48,385.7,411.86,213.94,245.31,287.06,281.86
6,Mobile,AL,16139,7340.87,8501.5,3381.77,4184.16,2020.44,2170.44,716.59,785.24,353.33,391.94,636.46,740.66,262.01,263.12
7,Montgomery,AL,9236,6889.97,7892.96,3312.61,3991.74,2192.41,2319.91,470.69,531.52,341.09,388.7,345.43,429.77,249.26,246.48
9,Tuscaloosa,AL,5563,7103.82,7971.19,3605.7,4171.56,1820.49,1952.98,689.08,760.54,533.04,592.69,193.69,231.7,240.98,236.64
16,Fort Smith,AR,8846,6646.1,7532.85,3523.5,4132.07,1575.98,1676.69,535.41,600.08,570.85,649.14,182.42,215.16,285.07,289.92
18,Jonesboro,AR,5790,6994.49,7883.14,3792.18,4416.24,1710.63,1824.04,756.98,849.93,317.92,362.9,86.54,106.64,341.34,335.89
19,Little Rock,AR,38241,6788.29,7603.89,3515.46,4104.28,1893.95,2024.62,651.14,708.53,254.86,281.72,206.28,222.67,267.42,263.24
