County ID,County name,Medicare enrollees (20% sample) (2008),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)"
51001,VA-Accomack County,1027,8076.74,8614.94,3522.1,3774.33,1905.32,1945.89,1382.46,1482.1,415.23,460.13,660.38,755.61,204,206.41
51003,VA-Albemarle County,2026,7636.82,7663.08,3940.65,3872.3,1740.43,1859.7,1224.16,1193.47,269.57,264.56,282.6,295.39,180.99,178.98
51510,VA-Alexandria city,1641,8044.51,7775.51,3855.39,3874.22,2669.26,2472.77,886.72,826.53,346.42,322.11,196.31,184.63,131,129.06
51005,VA-Alleghany County,117,8561.88,9255.79,4431.96,4759.11,1491.79,1631.88,2081.62,2293.33,,,,,198.04,204.81
51007,VA-Amelia County,230,7509.82,8420.25,3549.65,4228.22,2276.22,2445.61,623.97,647.72,429.24,442.7,,,342.39,344.68
51009,VA-Amherst County,807,8151.81,8833.54,4235.62,4745.57,2181.91,2260.36,960.88,1010.35,387.81,411.37,123.47,142.23,245.12,247.98
51011,VA-Appomattox County,325,6958.79,7521.66,3486.14,3842.3,1880.72,1979.82,669.08,701.68,271.55,289.12,,,211.81,214.43
51013,VA-Arlington County,2365,7656.5,7335.49,3341.24,3291.63,2520.42,2362.6,861.88,803.85,442.05,411.82,357.1,329.69,139.88,139.37
51015,VA-Augusta County,1205,6724.06,7390.29,3355.88,3706.63,1348.07,1467.98,1301.1,1415,244.72,264.25,257.05,319.09,205.96,207.64
51017,VA-Bath County,86,7831.38,8307.62,4262.71,4403.92,1130.09,1240.48,1793.11,1964.89,,,,,287.85,290.23
