HSA #,HSA name,State,Medicare enrollees (20% sample) (2008),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)"
2001,Anchorage,AK,3511,6993.37,6021.45,3769.76,3001.83,1841.43,1759.32,774.12,685.33,240.8,214.19,171.47,164.66,170.49,170.38
2002,Cordova,AK,32,5591.39,4978.63,,,1300.01,1207.72,1630,1473.54,,,,,,
2003,Fairbanks,AK,1232,6577.86,5683.62,3396,2678.24,1841.49,1752.55,854.19,788.32,238.55,222.09,,,161.79,159.93
2004,Homer,AK,233,6917.94,5850.4,3253.86,2386.94,1652.37,1576.68,1265.15,1176.3,449.46,416.93,,,180.86,182.06
2005,Juneau,AK,537,6989.26,5859.01,3779.38,2815.79,1520.8,1458.08,1094.84,1010.3,85.54,77.72,,,166.09,156.54
2006,Ketchikan,AK,288,10803.57,9247.78,6204.12,4850.92,1519.49,1412.8,1853.69,1722.67,835.68,774.65,,,188.89,304.71
2007,Kodiak,AK,139,9186.96,7628.83,4933.87,3624.77,1352.13,1335.9,1978.01,1831.82,567.69,530.86,,,101.66,100.2
2008,Nome,AK,62,11621.66,6826.12,7869.33,3667.67,704.76,659.61,1854.42,1698.22,,,,,,
2009,Palmer,AK,1034,7982.82,6914.3,4275.38,3443.51,2081.56,1960.39,898.46,808.88,197.62,174.01,309.85,299.35,196.91,194.46
2010,Petersburg,AK,84,9793.79,8635.23,5836.85,4964.06,1842.02,1693.44,1668.4,1559.25,,,,,84.83,84.7
2011,Seward,AK,61,4570.35,3798.81,,,1096.59,997.42,884.04,817.23,,,,,121.44,124.9
2012,Sitka,AK,152,11762.19,10451.19,7033,5887.17,1667.11,1631.72,2253.77,2094.23,,,,,216.46,315.88
2013,Soldotna,AK,644,8216.36,7104.86,4350.81,3447.58,1616.56,1541.17,1322.15,1216.06,487.55,457.76,,,262.81,257.94
