HRR #,HRR name,State,Medicare enrollees (20% sample) (2008),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)"
10,Anchorage,AK,8490,7594.93,6440.14,4120.47,3180.37,1819.15,1727.17,1020.97,928.12,257.16,233.14,140.28,134.03,172.12,176.61
1,Birmingham,AL,43337,8936.68,10095.9,4215.99,4960.02,2343.63,2522.3,854.9,931.86,610.84,667.15,614.31,723.5,314.23,313.4
2,Dothan,AL,9264,7914.57,9240.49,3607.03,4481.69,2133.09,2300.23,894.82,1013.96,474.8,540.19,511.95,616.58,305.1,305.74
5,Huntsville,AL,12858,8503.67,9422.27,3946.25,4570.12,2495.79,2650.69,874.42,928.76,521.8,559.26,371.74,424.69,295.73,298.95
6,Mobile,AL,14778,8601.39,9868.27,3862.17,4657.41,2235.67,2411.01,946.11,1054.62,596.17,667.17,697.92,825.02,296.09,294.24
7,Montgomery,AL,7387,8558.88,9690.75,3911.84,4636.72,2536.5,2674.86,780.63,869.1,554.67,624.7,513.15,618.91,281.89,281.6
9,Tuscaloosa,AL,5122,8979.42,9914.2,4404.7,4958.65,2199.09,2407.55,927.21,1002.51,775.21,844.18,395.66,426.16,269,265.83
16,Fort Smith,AR,7888,8148.58,9295.48,3773.51,4483.97,1803.37,1935.56,857.18,965.09,991.04,1123.17,426.85,484.84,350.57,365.7
18,Jonesboro,AR,5432,8290.22,9275.96,4381.77,5062.94,2025.98,2112.27,982.28,1115.11,456.26,523.36,105.01,122.62,341.03,347.42
19,Little Rock,AR,36266,8165.98,9048.41,4193.11,4791.62,2131.62,2276.52,872.48,954.89,377.84,419.68,282.93,297.7,304.99,305.49
21,Springdale,AR,8770,7495.72,8276.21,3894.96,4439.34,1974.67,2128.56,675.08,723.61,440.96,481.21,217.32,209.81,298.11,298.6
22,Texarkana,AR,5966,9538.48,10860.3,4737.55,5649.92,2222.44,2362.85,787.25,870.5,995.41,1100.23,418.31,497.71,383.15,384.76
11,Mesa,AZ,12627,8826.33,8904.79,3824.98,4024.48,2985.99,2974.64,751.81,726.76,331.72,319.65,692.86,626.55,226.17,220.64
12,Phoenix,AZ,40915,8405.88,8319.22,3984.98,3958.11,2658.2,2649.93,718.01,704.9,241.16,234.78,565.85,535.75,240.81,237.01
14,Sun City,AZ,8555,8472.17,8586.33,3597.32,3833.82,3161.93,3141.45,664.51,639.71,268.65,258.98,534.68,477.07,203.34,198.66
15,Tucson,AZ,17321,8069.17,8195.2,3757.93,3867.23,2600.07,2585.46,772.37,794.44,275,282.69,427.53,434.95,223.25,220.33
23,Orange County,CA,32690,10468.1,9546.93,4928.46,4498.16,3581.66,3241.16,855.06,783.73,547.5,499.53,285.19,258.71,244.24,238.94
25,Bakersfield,CA,11612,9298.11,8582.43,4931.05,4333.96,2771.34,2699.24,822.02,788.52,242.88,230.55,173.75,171.32,385.43,380.46
31,Chico,CA,7936,8599.93,7932.77,4523.52,4050.74,2016.8,1969.15,1164.07,1060.48,430.13,396.52,158.08,144.67,314.6,315.07
33,Contra Costa County,CA,10014,10770.1,8517.49,5697.25,4340.8,2990.93,2573.28,1156.06,862.38,419.21,314.06,305.79,231.7,203.75,200.58
43,Fresno,CA,13666,8475.92,7772.57,4321.3,3782.93,2604.42,2514.58,898.45,848.19,212.31,199.89,139.97,129.82,338.81,331.91
56,Los Angeles,CA,91517,11822.9,10444.2,6065.32,5164.04,3523.43,3247.02,852.5,771.12,806.08,725.94,214.81,185.62,328.89,321.74
58,Modesto,CA,11420,8539.42,7575.69,4509.57,3799.69,2318.69,2221.77,918.51,816.23,255.11,232.09,227.13,196.99,326.04,317.69
62,Napa,CA,5790,8949.61,7439.25,4493.32,3428.35,2264.46,2101.04,1458.48,1237.06,320.6,284.55,182.74,159.9,227.28,225.2
65,Alameda County,CA,12905,10243,7905.97,5789.01,4229.06,2529.46,2209.72,1063.48,796.38,408.75,306.5,246.92,186.94,196.79,194.83
69,Palm Springs/Rancho Mirage,CA,7421,9289.32,8743.48,4343.14,4055.95,3061.24,2933.42,889.64,825.98,367.88,341.21,372.98,337.02,229.87,224.69
73,Redding,CA,8978,8301.51,7283.42,4167.63,3451.65,2238.71,2140.65,952.34,819.59,419.3,367.95,247.11,224.79,269.3,267.52
77,Sacramento,CA,29178,8091.34,7055.59,4230.9,3478.27,2170.13,2101.32,903.38,766.14,334.36,284.7,219.76,191.9,231.82,229.34
78,Salinas,CA,6797,8801.79,7581.06,4686.37,3894.62,2303.78,2211.11,959.34,755.65,344.92,271.7,253.54,205.51,279.11,270.16
79,San Bernardino,CA,19034,10070.6,9093.73,5646.65,4862.46,2547.49,2465.47,759.97,707.23,465.15,430.15,387.97,367.48,302.59,296.47
80,San Diego,CA,35631,8796.3,8135.45,4329.31,3860.22,2633.85,2572.78,880.32,816.68,342.18,316.99,399.08,354.96,238.67,235.73
81,San Francisco,CA,16912,9408.12,7354.36,5003.53,3682.9,2270.47,1995.01,1299.56,998.24,433.77,332.86,225.58,178.71,179.93,181.53
82,San Jose,CA,16553,9236.46,7247.65,4709.07,3492.82,2623.27,2248.72,1081.23,821.87,358.81,272.25,245.63,190.95,217.73,215.71
83,San Luis Obispo,CA,5715,7070.54,6571.71,2991.49,2729.86,2644.61,2527.55,597.89,531.56,342.57,308.25,233.38,219.14,239.71,236.9
85,San Mateo County,CA,9093,8527.09,6723.43,4025.13,3051.26,2473.64,2085.12,1120.68,849.39,437.71,332.67,308.16,245.5,162.63,158.81
86,Santa Barbara,CA,7498,7341.19,6821.17,3216.29,2899.49,2709.46,2601,756.48,695.99,281.69,258.35,178.24,171.11,201.61,196.9
87,Santa Cruz,CA,4030,8485.08,6741.59,4472.37,3156.62,2416.12,2326.37,746.01,558.98,352.86,263.85,276.13,213.5,231.92,225.78
89,Santa Rosa,CA,6692,8834.64,7258.65,4322.35,3253.79,2559.53,2441.11,1064.79,829.78,370.29,288.5,326.36,263.12,194.15,191.75
91,Stockton,CA,6412,8388.24,7504.83,4491.43,3860.68,2358.43,2235.14,855.36,765.68,336.33,306.82,101.57,94.09,251.88,249.06
96,Ventura,CA,11487,9298.49,8446.58,3980.02,3643.52,3442.11,3095.47,833.92,752.99,434.67,391.06,340.42,300.83,258.13,252.48
101,Boulder,CO,3171,8302.92,8344.73,3781.88,3932.87,2444.75,2415.5,796.67,762.63,447.52,428.24,477.81,451.47,344.2,346.54
102,Colorado Springs,CO,12390,7602.25,7825.71,3569.18,3820.78,1978.94,1963.05,943.22,947.53,357.11,353.85,314.77,303.27,432.5,434.2
103,Denver,CO,25257,8230.18,8183.37,3866.58,3903.42,2283.13,2273.67,1056.87,1029.11,351.44,333.4,322.8,292.02,344.38,347.52
104,Fort Collins,CO,5430,7163.16,7524.68,3472.99,3762.95,1973.63,2016.74,851.54,862.17,296.6,301.41,204.94,208.29,355.42,365.79
105,Grand Junction,CO,5016,6511.43,6694.2,3108.68,3254.17,1381.87,1394.65,944.58,950.21,269.95,271.73,450.44,467.47,362.51,366.92
106,Greeley,CO,5636,7926.68,8045.85,3889.33,4023.12,1994.83,1976.15,1138.99,1146.05,319.55,321.61,194.98,187.19,396.52,400.41
107,Pueblo,CO,3309,7623.49,8026.63,3752.23,4094.75,1973.81,1965.77,811.09,849.05,358.73,372.04,269.31,286.46,459.5,464.76
109,Bridgeport,CT,12142,10174.1,8750.2,5092.69,4198.3,3152.34,2907.7,1047.87,892.66,536.49,458.45,171.93,129.62,194.35,190.63
110,Hartford,CT,31426,9567.87,8563.31,5097.31,4410.96,2559.13,2392.43,1020.89,941.64,535.9,493.68,166.95,142.17,199.16,197.3
111,New Haven,CT,29189,10304.1,8963.31,5447.48,4566.71,2854.37,2662.4,987.05,865.04,563.69,499.96,230.58,160.67,225.34,222.19
113,Washington,DC,42377,8924.99,8052.37,4606.92,3914.85,2649.83,2525.89,1026.54,992.27,274.53,260.82,206.66,203.63,185.87,186.25
112,Wilmington,DE,16346,9464.05,9113.23,4871.26,4614.16,2729.46,2722.99,859.57,817.99,351.19,333.9,446.01,418.57,213.69,213.12
