State #,State label,Medicare Enrollees (CMHS 5% Sample) (2007),Total Medicare reimbursements per enrollee (Part A and B) (2007),Total Part A Medicare reimbursements per enrollee (2007),Total Part B Medicare reimbursements per enrollee (2007),Medicare reimbursements for inpatient short stays per enrollee (2007),Medicare reimbursements for inpatient long stays per enrollee (2007),Medicare reimbursements for outpatient services per enrollee (2007),Part B Medicare reimbursements for professional & laboratory services per enrollee (2007),Part B Medicare reimbursements for medical & surgical services per enrollee (2007),Part B Medicare reimbursements for medical care per enrollee (2007),Part B Medicare reimbursements for surgical services per enrollee (2007),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2007)",Part B Medicare reimbursements for durable medical equipment per enrollee (2007),Medicare reimbursements for home health services per enrollee (2007),Medicare reimbursements for hospice services per enrollee (2007),Medicare reimbursements for skilled nursing facilities per enrollee (2007)
1,Alabama,23509.1178283691,8217.08730589913,4541.58499619509,3676.55624845861,2826.37063534066,358.665309305667,856.574638532786,1918.34673724253,1421.10773221421,1028.80221675395,392.399036686883,497.174251600766,237.38364981503,503.225737262621,510.933119866858,630.159270020521
2,Alaska,1940.49740600586,8034.51902288484,4695.16595789571,3355.35475701431,3533.46157481651,558.425623385715,1319.63248045084,1407.25528006903,1085.98610846216,797.136520897582,288.980791496969,321.87297027133,131.556671542457,232.183978298558,47.9766535234631,378.955368386403
3,Arizona,20242.9598846436,8137.48985393444,4382.2621843358,3754.26224585153,2922.72628590186,406.571226145174,737.179781058597,2227.76044300518,1622.14619435879,1175.92994257332,445.955834761593,605.200257482411,206.27183390061,247.688978745326,469.782407248778,425.391450597465
4,Arkansas,16039.3687591553,7896.31099830029,4410.11067059699,3487.91609069967,2751.12170820396,704.261897120036,878.211994138642,1766.20209864991,1333.19764077248,981.946273015201,351.271933949614,433.059256464549,262.730120739814,375.657863888058,243.279401619677,537.641556804989
5,California,97518.7908172607,9337.16372515582,5149.64508140487,4187.64269319474,3488.52650546647,404.671540113386,911.932725134451,2336.25661097405,1752.93674485701,1307.34515625795,445.816032872657,583.322249741178,222.494264912882,491.222532749367,185.68775013576,852.229528496409
6,Colorado,13791.5551452637,7646.73527327445,4050.03602438987,3595.19373423115,2389.13080701701,390.993399550768,972.570002025859,1694.57585871639,1306.17697431462,919.424553934665,386.095670343679,388.606851910589,396.771672604348,339.409756252635,266.955821310034,825.770738456486
7,Connecticut,18471.7984008789,9500.08953918631,5392.67505719439,4100.13082612954,3553.36586522591,211.670451653267,1060.09458520109,2188.83295218552,1657.66576240082,1244.68921606855,412.671210828464,530.938331472531,163.696207020482,496.722315185034,174.176682175958,1176.80285271269
8,Delaware,5196.15863037109,8774.03880163858,4941.3679645031,3835.43893317472,3376.25204213866,404.977812051594,950.521249961495,2228.16377955672,1669.63964176016,1209.0286642827,460.615944454788,558.537613976619,170.772315030631,298.459689582813,304.980640457548,634.349833680595
9,District of Columbia,2147.49519348145,8404.63605236278,5006.56457484228,3360.03303102562,3619.65985021748,461.234361941481,1053.17115094702,1995.39000905436,1490.89223694126,1065.22872011483,429.92863612779,504.558850769843,114.719917433914,218.046547172607,228.352465850432,526.0482490913
10,Florida,91332.5980682373,9854.11914148401,4585.20244469677,5270.14059324251,2814.42373956948,278.79352095376,970.637138505613,2820.46389710504,2011.34195806491,1437.85888150772,573.300823978629,809.175272035879,286.247424806276,885.52087128568,421.498025030924,826.265694417919
