HSA #,HSA name,State,Medicare enrollees (20% sample) (2005),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2005)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2005)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2005)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2005)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2005)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2005)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2005)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2005)"
2001,Anchorage,AK,3150,6809.82,5286.4,3229,2553.18,2376.52,1666.39,616.67,540.08,280.61,246.81,127.26,113.71,157.63,152.99
2002,Cordova,AK,29,6775.62,5689.83,,,1982.85,1451.95,1374.38,1187.19,,,,,,
2003,Fairbanks,AK,1119,6850.21,5395.19,3265.88,2547.89,2486.29,1866.25,710.26,627.25,134.28,119.31,,,180.04,174.9
2004,Homer,AK,203,7750.46,5277.25,4917.38,3055.49,1681.59,1183.27,759.1,661,,,,,178.45,177.43
2005,Juneau,AK,478,6196.08,5014.57,2962.9,2372.05,1736.74,1271.03,1096.68,969.7,184.48,165.95,,,120.13,145.06
2006,Ketchikan,AK,280,6021.02,5079.1,2875.28,2491.19,1709.14,1293.5,916.56,807.28,177.91,158.61,,,229.55,214.2
2007,Kodiak,AK,110,8645.81,6567.42,4674.04,3350.56,2709.88,2123.8,1115.2,986.8,,,,,71.97,68.21
2008,Nome,AK,65,9345.87,5742.87,5323.65,2621.51,1213.64,742.66,1647.49,1418.84,,,,,150.81,157.52
2009,Palmer,AK,875,7819.21,6060.25,3805.83,3005.54,2577.67,1773.65,732.58,647.6,192.19,169.54,239.05,222.88,222.61,222.47
2010,Petersburg,AK,77,9798.6,7897.39,5838.22,4515.52,1603.64,1294.94,1847.55,1630.06,,,,,118.6,126.4
2011,Seward,AK,55,5045.35,3867.64,,,1271.77,939.31,1219.9,1051.75,,,,,,
2012,Sitka,AK,145,8602.13,6724.29,5187.99,3911.77,1574.48,1183.47,1419.73,1244.1,,,,,129.61,131.39
2013,Soldotna,AK,527,7811.26,6113.07,3903.1,3012.76,2037.55,1444.53,1038.83,911.44,464.83,413.29,,,282.71,274.96
2014,Valdez,AK,27,13804.67,7727.78,,,2149.43,1372.4,1699.08,1479.09,,,,,,
2015,Wrangell,AK,60,5575.43,4681.65,,,1221.81,907.83,1512.57,1325.85,,,,,144.41,140.27
2016,Barrow,AK,38,5374.37,3762.36,,,997.28,640.85,831.47,708.14,,,,,,
2017,Bethel,AK,204,6152.3,4281.43,2853.41,1763.93,2057.74,1414.75,1021.62,876.35,,,,,95.55,96.86
2018,Dillingham,AK,50,6735.17,4757.14,,,1771.6,1165.26,1156.06,993.07,,,,,,
2019,Kotzebue,AK,69,5031.56,3813.52,1543.75,1167.28,2979.63,2116.29,715.11,612.3,,,,,,
1001,Alabaster,AL,1494,9232.3,10169.87,4668.89,5343.7,2521.96,2688.23,670.41,693.06,543.22,569.46,557.55,613.12,303.44,302.27
1002,Alexander City,AL,719,7719.51,8963.06,3227.75,3921.39,2025.42,2201.92,1137.82,1288.4,341.97,394.12,647.68,813.21,329.74,324.34
1003,Andalusia,AL,799,7478.2,8772.22,3634.03,4496.53,2037.87,2186.2,465.49,529.31,510.02,588.93,573.98,717.72,247.71,241.63
1004,Anniston,AL,2527,8840.87,10013.49,4704.12,5530.38,2339.74,2508.82,630.32,690.44,527.56,584.32,368.49,449.55,300.61,293.36
1006,Ashland,AL,456,7734.39,9009.94,4044.37,4924.74,1834.29,1959.16,790.21,894.4,425.64,492.89,344.18,417.89,293.42,320.08
1007,Athens,AL,1337,6987.53,7635.55,3515.81,3951.45,2006.66,2164.02,603.83,620.55,516.75,538.25,140.14,159.87,211.69,211.32
1008,Atmore,AL,403,7383.34,8602.9,3737.16,4623.32,1885.74,2002.78,529.07,583.27,410.21,456.61,659,777.68,192.71,191.36
1010,Bessemer,AL,1569,7635.35,8485.08,3840.36,4456.3,1992.52,2131.26,688.52,710.32,353.93,371.16,552.3,612.67,223.04,221.74
1011,Birmingham,AL,12932,7622.28,8324.25,3644.78,4115.42,2172.24,2325.69,690.17,712.17,362.35,375.91,512.41,556.93,240.02,236.72
1012,Boaz,AL,1639,8114.9,9165.92,4303.5,5042.59,1865.85,2018.31,808.04,876.37,537.44,563.7,320.77,400.43,331.75,329.62
1013,Brewton,AL,616,7534.57,8625.29,3723.83,4478.32,1749.82,1852.34,732.65,822.7,600.36,677.71,342.56,417.96,392.71,391.21
1014,Bridgeport,AL,220,8070.86,8947.35,4460.62,5082.25,1844.84,1970.32,774.46,836.18,592.22,653.21,,,364.49,358.17
1016,Camden,AL,183,4797.96,5388.37,1670.07,1947.29,1929.84,2047.71,615.18,701.47,,,,,148.75,148.93
1017,Carrollton,AL,469,9151.38,9838.51,5075.81,5403.49,1970.36,2074.54,784.18,876.93,805,928.73,,,237.32,236.46
1018,Centre,AL,598,6622.86,7530.45,3156.19,3780.15,1865.81,1983.21,654.07,727.13,413.58,469.41,,,306.28,302.12
1019,Centreville,AL,216,7591.38,8623.2,3859.35,4506.64,1871.22,2018.41,674.1,738.56,536.96,610.28,,,245.38,250.79
1022,Cullman,AL,2241,8361.56,9354.2,4303.45,4901.52,2088.7,2225.53,717.12,810.49,393.97,429.65,604.31,751.36,291.47,287.36
1023,Dadeville,AL,361,7186.35,8382.04,3085.67,3856.11,1534.79,1681,816.71,909.95,267.45,299.19,1034.65,1175.27,427.42,428.13
1024,Decatur,AL,2019,7095.14,7778.13,3364.48,3840.03,2209.6,2328.11,536.52,563.05,398.96,430.13,315.37,356.42,282.11,279.38
1025,Demopolis,AL,455,6902.99,8077.96,3210.52,3868.39,1445.21,1591.56,600.31,677.29,483.6,550.04,864.09,1097.46,307.09,301.15
1026,Dothan,AL,4450,6776.63,7907.7,3008.05,3763.79,1912.49,2040.89,562.32,629.96,334.43,376.45,737.88,883.57,253.6,252.5
1027,Elba,AL,313,7309.12,8577.37,3445.02,4305.64,1837.27,1968.32,678.09,767.02,519.54,596.06,479.94,596.7,354.85,350.82
1028,Enterprise,AL,965,6909.56,8125.68,3216.39,3972.08,1853.15,2010.85,511.88,572.83,360.17,405.49,818.64,1030.67,197.22,197.72
1029,Eufaula,AL,436,6901.71,8123.09,3174.72,4014.94,1842.63,1985.41,677.94,729.96,418.76,465.56,603.09,752.77,224.41,221.98
1031,Evergreen,AL,215,7618.34,9116.23,3632.65,4740.11,1940.19,2044.23,820.24,933.98,612.15,707.68,,,362.9,349.85
1032,Fairhope,AL,1046,6833.76,8085.94,2946.04,3826.3,2084.56,2278.38,659.62,729.75,408.3,455.84,516.32,592.58,227.85,222.36
1033,Fayette,AL,421,5864.39,6609.67,2913.38,3447.79,1501.76,1596.51,762.58,831.21,425.61,471.2,,,243.68,244.92
1035,Florala,AL,145,8626.19,9925.08,4901.65,5939.66,2217.35,2314.28,488.94,537.1,411.9,477.7,,,320.61,320.56
1036,Florence,AL,2708,6956.46,8007.88,3156.96,3864.13,2156.06,2326.53,454.28,498.71,442.15,475.88,506.68,614.05,257.79,255.01
1037,Foley,AL,1442,6815.43,7788.67,2842.02,3490.27,2252.53,2414.56,682.04,745.54,323.86,357.97,481.55,572.04,246.05,244.68
1038,Fort Payne,AL,1167,7347.24,8278.47,3825.26,4461.45,1982.67,2126.6,596.75,667.5,507.78,548.75,167.66,213.65,286.47,287.03
1039,Gadsden,AL,2926,8307.09,9562.38,4300.38,5253.99,2268.38,2405.9,567,618.35,414.8,452.51,491.33,580.51,287.41,281.38
1040,Geneva,AL,564,7145.48,8415.26,3204.32,4017.08,1691.26,1814.44,527.5,594.93,438.29,496.51,969.25,1181.8,313.98,313.4
1044,Greenville,AL,698,8499.31,9752.3,4334.9,5117.47,1953.91,2057.74,547.61,625.96,656.44,757.08,623.38,791.39,343.81,350.08
1045,Grove Hill,AL,197,10294.19,12239.64,5062.77,6495.15,2354.93,2404.3,816.65,934.17,334.54,378.37,1516.88,1835.37,352.69,348.81
1046,Guntersville,AL,931,7293.86,7999.6,3603.86,4082.7,2119.42,2264.42,674.81,700.19,406.65,423.95,225.3,275.12,266.66,262.73
1047,Haleyville,AL,517,10249.13,11924.09,5393.9,6529.41,2188.32,2335.33,712.02,787.89,796.94,883.11,832.86,1110.69,447.28,442.77
1048,Hamilton,AL,375,7379.25,8293.26,3622.04,4128.81,1699.44,1822.47,626.1,710.29,428.54,488.67,577.26,724.29,426.61,421.67
1049,Hartselle,AL,769,7928.71,8738.46,3693.61,4219.13,2117.6,2235.67,558.54,597.06,655.93,705.77,659.48,753.95,285.17,281.48
1051,Huntsville,AL,7189,7090.26,7820.18,3235.8,3757.09,2299.95,2463.23,585.41,602.99,369,385.84,334.08,351.32,273.78,270.83
1053,Jacksonville,AL,745,7637.5,8718.45,3960.07,4710.03,2031.86,2203.1,720.25,789.82,342.27,378.4,306.35,373.96,285.51,280.21
1054,Jasper,AL,1493,8261.61,8992.82,3979.86,4431.03,2260.08,2406.56,592.8,614.04,748.13,789.03,397.38,485.72,325.45,320.11
1056,Luverne,AL,322,6546.41,7548.26,3286.83,3885.1,1735.39,1869.71,316.63,362.23,387.39,447.49,570.22,725.71,234.86,232.81
1057,Mobile,AL,8842,7230.26,8438.13,3273.98,4113.42,1988.3,2143.09,697.64,770.18,356.29,397.73,671.97,772.18,258.65,255.16
1058,Monroeville,AL,617,7004.27,8301.21,3535.71,4465.88,1757.25,1855.78,472.87,534.52,622.46,715.26,388.64,493.06,209.97,211.92
