HRR #,HRR name,State,Medicare enrollees (20% sample) (2005),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2005)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2005)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2005)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2005)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2005)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2005)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2005)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2005)"
10,Anchorage,AK,7561,7029.2,5438.85,3446.25,2644.12,2249.96,1604.99,808.19,709.32,223.15,196.26,86.2,77.3,170.78,168.59
1,Birmingham,AL,46422,7776.97,8718.53,3817.53,4442.75,2086.48,2239.17,652.81,701.8,434.76,469.08,521.38,605.93,276.46,275.58
2,Dothan,AL,9495,6907.56,8032.97,3182.32,3943.25,1863.63,1985.18,607.98,674.39,354.44,396.14,670.01,807.93,251.44,252.95
5,Huntsville,AL,13241,7088.15,7828.34,3362.37,3878.37,2189.77,2345.96,591.71,616.44,395.92,419.46,284.04,310.79,270.38,268.05
6,Mobile,AL,15849,7486.22,8664.5,3417.11,4223.77,1956.84,2107.33,742.43,811.57,395.13,438.79,749.31,864.35,260.55,260.04
7,Montgomery,AL,8774,7568.13,8523.08,3607.02,4197.89,2376.87,2522.56,483.81,542.78,399.72,454.5,473.29,575.63,250.27,247.72
9,Tuscaloosa,AL,5592,7467.25,8271.62,3852.62,4376.89,1834.56,1958.98,596.74,655.76,583.39,647.19,343.3,374.59,239.95,238.46
16,Fort Smith,AR,8942,6928.76,7773.72,3462.69,4022.95,1691.82,1808.7,581.76,634.83,703.81,788.19,244.64,273.78,281.45,288.46
18,Jonesboro,AR,5840,7218.25,8079.44,3929.91,4554.1,1806.36,1910.31,727.78,806.32,351.73,398.75,83.19,95.71,328.68,325.94
19,Little Rock,AR,38709,7229.6,8073.35,3684.43,4276.04,1994.15,2133.06,728.2,794.78,278.55,307.51,274.9,296.66,269.96,266.53
21,Springdale,AR,9839,6363.36,7193.13,3329.13,3926,1775.9,1901.51,555.59,603.29,290.71,321.92,164.86,195.5,248.05,247.11
22,Texarkana,AR,6603,8046.87,9097.34,4231.75,4982.91,1956.71,2080.9,656.09,720.3,658.74,727.49,210.65,252.68,320.14,316.75
11,Mesa,AZ,13014,7514.14,7518.13,3372,3504.38,2631.99,2579.32,477.46,465.31,261.15,255.48,554.35,501.3,207.93,205.5
12,Phoenix,AZ,42304,7265.06,7160.04,3522.33,3517.76,2373.43,2317.39,499.37,486.62,203.34,199.64,472.71,444.86,198.99,198.76
14,Sun City,AZ,9230,7518.44,7600.01,3407.47,3593.69,2919.65,2858.3,435.97,424.74,216.18,211.36,343.07,319.59,166.12,165.62
15,Tucson,AZ,18476,6692.77,6873.12,3207.78,3401.85,2257.82,2220.21,520.38,538.89,214.63,223.69,302.49,302.02,179.96,179.8
23,Orange County,CA,31889,9473.08,8679.26,4453.65,4072.67,3319.37,3027.94,705.72,649.84,503.92,462.57,257.66,235.48,206.3,204.21
25,Bakersfield,CA,11928,7675.12,7368.49,3987.35,3771.25,2465.88,2383.87,594.39,587.67,192.08,191.03,116.97,123.03,309.21,302.72
31,Chico,CA,8075,6701.94,6508.37,3440.23,3337.01,1816.57,1765.95,744.28,715.36,325.39,316.3,120.88,118.68,260.66,260.69
33,Contra Costa County,CA,9911,8611.82,6985.93,4592.86,3602.64,2556.04,2198.85,773.73,608.56,340.75,267.66,174.75,139.91,172.95,168.64
43,Fresno,CA,14346,7065.34,6769.7,3731.51,3514.32,2248.44,2190.91,576.05,564,175.43,172.69,76.52,75.1,259.36,255.07
56,Los Angeles,CA,90781,10550.3,9329.83,5290.83,4492.07,3428.92,3155.95,664.89,600.9,685.7,620.87,191,169.87,268.7,265.21
58,Modesto,CA,11453,6977.45,6377.72,3617.69,3162.03,2128.86,2039.69,653.24,615.83,210.08,198.89,111.57,107.11,249.25,244.71
62,Napa,CA,5783,7883.07,6862.99,4201.89,3452.3,2117.46,1979.07,930.47,833.9,291.72,272.83,141.9,130.1,202.46,197.72
65,Alameda County,CA,13041,8687.26,6855.65,4942.94,3696.01,2287.01,1992.38,799.13,623.66,290.35,228.15,188.16,150.96,180.6,179.03
69,Palm Springs/Rancho Mirage,CA,7234,8485.86,8050.58,3919.34,3783.13,3011.28,2842.89,749.19,682.47,310.1,283.9,293.51,261.13,175.04,171.87
73,Redding,CA,8978,6381.77,6054.64,3011.99,2821.06,2053.29,1977.46,644.16,601.62,291.26,278.42,129.01,128.24,242.4,240.3
77,Sacramento,CA,28617,6757.95,6233.04,3526.41,3161.42,1999.35,1918.19,618.2,568.26,269.08,247.8,147.31,142.87,195.68,191.8
78,Salinas,CA,6701,8295.61,7216.35,4624.21,3859.28,2281.72,2222.31,717.02,567.56,350.75,277.81,157.27,126.84,169.43,167.45
79,San Bernardino,CA,19236,8828.77,8017.59,4844.16,4238.05,2399.95,2301.08,549.91,504.53,442.9,404.43,361.32,336.92,250.13,248.28
