State #,State label,Medicare Enrollees (CMHS 5% Sample) (2003),Total Medicare reimbursements per enrollee (Part A and B) (2003),Total Part A Medicare reimbursements per enrollee (2003),Total Part B Medicare reimbursements per enrollee (2003),Medicare reimbursements for inpatient short stays per enrollee (2003),Medicare reimbursements for inpatient long stays per enrollee (2003),Medicare reimbursements for outpatient services per enrollee (2003),Part B Medicare reimbursements for professional & laboratory services per enrollee (2003),Part B Medicare reimbursements for medical & surgical services per enrollee (2003),Part B Medicare reimbursements for medical care per enrollee (2003),Part B Medicare reimbursements for surgical services per enrollee (2003),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2003)",Part B Medicare reimbursements for durable medical equipment per enrollee (2003),Medicare reimbursements for home health services per enrollee (2003),Medicare reimbursements for hospice services per enrollee (2003),Medicare reimbursements for skilled nursing facilities per enrollee (2003)
1,Alabama,24695.2830505371,6836.52074665882,3930.86024117279,2906.13292455178,2649.85085936136,328.0317082639,590.462185000977,1582.28374248933,1198.60061494561,837.643757396545,361.295575075626,383.6602421044,250.758323631471,335.049774833382,347.101898493768,438.42488517412
2,Alaska,1717.49775695801,6719.19136898285,3789.95405416882,2929.09418800981,3078.97464407924,145.782126983908,1176.32002379949,1190.34672819315,922.978022524556,610.492810961324,310.804077190409,267.838220624296,148.779868064406,176.712542740437,,411.532277934762
3,Arizona,19919.3721008301,6441.83138487134,3503.10527818586,2936.31245181775,2376.1810247705,426.322964261092,528.417121375786,1767.04298269898,1300.09081831467,915.255235202679,384.570723724842,466.618775930743,181.419933176115,173.784414545304,283.045215888294,306.139085767719
4,Arkansas,16733.2263946533,6124.17303399777,3503.19716924218,2621.45621769238,2248.17772268751,653.526449836608,556.07907764637,1387.08316042593,1055.85691846137,756.767620544099,299.084841338507,331.254813866928,238.642905397659,250.735095938872,160.378741385485,312.506038166944
5,California,95072.958190918,7836.04341837765,4344.68346149593,3491.33306540854,3161.31805120454,310.188710490493,676.40150072545,2000.42083184328,1504.59604829096,1103.66351079518,401.245946338036,495.821799713675,193.924291956962,389.353317014237,142.868221607299,552.195265670101
6,Colorado,13207.6391143799,6425.46929745236,3593.90701458137,2831.09967190125,2308.42298471685,387.840487164683,718.630806360082,1423.75922785231,1115.19843457531,784.907575976009,330.103929812228,308.958523729574,272.935489191553,289.040265343437,274.184524069421,459.275885522065
7,Connecticut,19639.1345672607,7799.36090232989,4566.67089404357,3229.51724065844,3139.33338372495,197.795755988055,731.764599461121,1740.28057006993,1298.03093181991,926.599511473262,371.430223401979,442.321809075229,139.370568668781,420.669100236632,132.420104780826,871.89010384122
8,Delaware,4853.32667541504,7010.50767070747,3915.1099468113,3094.71776445608,2886.57349391721,306.040435178492,690.282044631104,1811.09516730406,1325.44487907107,927.681186344369,397.760903887473,485.524032511804,161.956128997743,235.809873826339,150.02171147251,405.866624626431
9,District of Columbia,2353.16212463379,6716.5249227375,3941.53831981364,2762.95865654491,2997.84164717192,367.612345450853,675.822242517396,1699.46381936066,1277.93176590259,900.466136731133,379.59913369106,421.807770214391,101.819415059606,252.480809464115,76.8175546848648,331.432414971111
10,Florida,97335.9574127197,7630.82189756342,3803.47198217083,3827.59635649026,2562.71084921029,271.882969284643,632.335078814295,2238.55475800207,1600.04832632952,1112.944618572,486.928768441413,638.490923981262,283.826465668146,384.375394731653,269.069859283974,508.522660604023
