HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2003),Total Medicare reimbursements per enrollee (Part A and B) (2003),Total Part A Medicare reimbursements per enrollee (2003),Total Part B Medicare reimbursements per enrollee (2003),Medicare reimbursements for inpatient short stays per enrollee (2003),Medicare reimbursements for inpatient long stays per enrollee (2003),Medicare reimbursements for outpatient services per enrollee (2003),Part B Medicare reimbursements for professional & laboratory services per enrollee (2003),Part B Medicare reimbursements for medical & surgical services per enrollee (2003),Part B Medicare reimbursements for medical care per enrollee (2003),Part B Medicare reimbursements for surgical services per enrollee (2003),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2003)",Part B Medicare reimbursements for durable medical equipment per enrollee (2003),Medicare reimbursements for home health services per enrollee (2003),Medicare reimbursements for hospice services per enrollee (2003),Medicare reimbursements for skilled nursing facilities per enrollee (2003)
1001,AL-Alabaster,366.415634155273,8453.70605899252,4922.60641356147,3537.44884758964,3344.05240548227,,761.069453789918,1959.61546251341,1444.66146558035,1002.84653196409,441.253586334774,514.399511908231,303.444823572353,419.606802327097,,
1002,AL-Alexander City,180.332885742188,7081.66097856447,4011.71289371537,3069.46917547207,2030.75519037138,,796.661064414977,1726.25672927673,1287.48178404796,967.957004908597,317.231488121582,439.028958901791,237.11927317404,,,
1003,AL-Andalusia,214.832977294922,7832.14802994052,4942.44385617015,2895.56006150742,3107.5637111285,,584.215878745031,1400.45306056351,1060.78661177215,722.592025656262,338.584014948724,339.669024480906,360.418986461354,,,
1004,AL-Anniston,631.415771484375,7911.38072603769,4889.03220037275,3035.41545094856,3812.7422829301,,681.04362566587,1569.12256061731,1183.06997363862,809.02612013788,374.259989715571,386.053869801991,262.342101980415,342.846795475207,,529.262814775677
1006,AL-Ashland,115.833114624023,6592.47453578763,4111.3637283975,2481.07850273364,,,493.567441222377,1385.32593639649,1050.28537572193,709.872714367023,341.181184530719,334.990033244165,232.147167864081,,,
1007,AL-Athens,303.082778930664,5716.84671666319,2811.43677716378,2892.67464031426,2082.02634846489,,599.414342927896,1691.34801570678,1370.94928428533,1052.37467829278,319.581102808036,321.566133008274,228.781175934954,,,
1008,AL-Atmore,95.4998168945313,8573.07249237425,,3218.01112024418,,,881.152724932861,1619.41633011686,1385.94952414548,928.52916186844,459.283580453224,234.292911077983,,,,
1010,AL-Bessemer,404.499298095703,7004.45556631644,4445.61814382925,2556.37460163726,2850.48566801285,,610.794756957432,1440.74961598367,1104.37201950691,719.294057876634,387.261928426631,336.18672862274,182.627604177013,308.056606008051,,
1011,AL-Birmingham,3458.65707397461,6992.21196271038,4117.04995991243,2872.88462900603,2731.49850534129,553.330071894225,626.86705723112,1645.88101578082,1246.9595764795,874.823527981817,372.558241351845,398.837694432013,203.974853649393,291.571475965926,289.023851262343,386.188255347142
1012,AL-Boaz,375.666198730469,7981.93559507483,4877.57735156005,3112.58224286656,3346.62099725441,,774.937515246078,1535.23898919307,1159.81484702002,787.946152851038,371.031078338154,375.462096356059,340.95736202864,476.490606478579,,
1013,AL-Brewton,128.749420166016,7066.6322877172,4346.03491729684,2741.7434129995,,,862.969194846556,1256.27556095923,917.439797731856,526.61941359186,387.266109567115,338.224245611821,213.372834514545,,,
1014,AL-Bridgeport,71.499755859375,9037.3706829212,,3424.55478917325,,,483.251742364429,1511.84564720157,1156.26083726656,784.556367262212,371.414056485552,355.716519742473,,,,
1016,AL-Camden,53.0833282470703,6914.70540060573,,3178.22759325685,,,822.235399159048,1470.091053752,1056.9647969577,648.64812109085,418.934304430699,415.065551604837,,,,
1017,AL-Carrollton,125.332916259766,7222.37095254532,4128.37011652896,3093.70279968401,3226.44654380421,,772.52441133685,1336.86411279107,1003.20257697369,671.180216152834,336.429857651375,333.782567904606,215.99096036795,,,
1018,AL-Centre,149.499694824219,6527.06004197418,3837.87884818725,2696.977985794,2971.9305515304,,736.359089734166,1394.8650600096,1091.8770266067,682.960943019867,405.969863564603,303.819587678537,179.052184796414,,,
1019,AL-Centreville,62.1665344238281,6147.49769849368,,2973.13342729888,,,1024.73634051244,1309.59185354857,994.372209450122,682.125638406678,314.450157951427,315.078258956616,,,,
1022,AL-Cullman,566.082321166992,7715.22935258223,4272.62236947507,3440.74282407273,2909.58759032877,,809.907149751464,1711.11526885886,1248.1160231458,885.64422883783,362.376713262724,462.291596186216,359.267549034601,461.469695859734,,609.627913472718
1023,AL-Dadeville,79,3501.3263435665,,1984.5724804644,,,391.271407744573,919.001517183803,694.881048809867,486.075803520908,209.144479385659,224.089955629905,,,,
1024,AL-Decatur,509.916275024414,5699.35869635269,3118.69264697163,2577.14743663017,2314.76458218606,,501.280058900616,1411.33423324486,1041.62715339738,726.690926947902,314.829863174735,369.467159804716,224.634983335885,335.77532196441,,
1025,AL-Demopolis,118.499710083008,6501.90305747027,3715.85548145245,2784.71431600605,2219.37389546243,,705.531643079661,1336.00904844923,1005.97728399842,649.501672457058,363.463639723283,330.073013234236,474.078574964075,,,
1026,AL-Dothan,1090.66566467285,6609.8073468153,3780.97823038015,2829.61741488785,2437.7178244743,341.549890462236,537.310804344633,1479.90142150828,1171.01543812964,760.944734049329,411.313634372748,308.952001089317,263.043276137484,258.749951695433,,349.642800666349
1027,AL-Elba,75.1665344238281,6868.13367056479,,3154.32666033936,,,320.178626600655,1858.98906906601,1554.6318625243,1218.30910116213,331.266607766849,301.912053140032,,,,
1028,AL-Enterprise,236.33283996582,6128.96587947464,3610.44791017562,2518.78810867947,2179.01183227459,,438.874656669761,1452.39438228574,1118.82804419603,815.279889546312,303.280619964306,333.525156622521,193.133678343478,,,
1029,AL-Eufaula,96.6664428710938,6379.18076583957,,2441.13044542417,,,438.699866400733,1480.19667838055,1152.38562191422,759.57299252497,398.575349516736,326.450911150515,,,,
