hrr,hrr_lab,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
426,VA- ARLINGTON,161179,1580,165813,1740,169831,1780,176900,1862,182735,1969,190604,2027,200251,2114,209403,2118,219199,2171,231374,2170,245879,2130,257523,2171
427,VA- CHARLOTTESVILLE,80761,839,82671,849,84614,861,87094,873,89451,896,92080,898,94717,922,96899,924,99410,914,102888,896,106926,902,111335,942
428,VA- LYNCHBURG,42953,476,43273,501,44121,518,45253,549,47149,595,48346,620,49678,644,50766,648,51957,671,56991,681,55464,631,59731,647
429,VA- NEWPORT NEWS,73892,996,75679,1023,77304,1047,79409,1042,81624,1090,84147,1119,86866,1168,88970,1191,91650,1190,94147,1193,97795,1184,101108,1219
430,VA- NORFOLK,156183,2428,158435,2524,160820,2660,163489,2698,165930,2760,169820,2754,174012,2790,177703,2737,181655,2754,187404,2785,194198,2737,200688,2843
431,VA- RICHMOND,213580,2688,218411,2859,222765,2958,229179,3088,234674,3249,241895,3253,248935,3301,255344,3398,262355,3500,273573,3586,285616,3615,296326,3700
432,VA- ROANOKE,130694,1040,132385,1089,134405,1129,137354,1133,140441,1182,143475,1172,146413,1195,148547,1204,151200,1221,151393,1190,158705,1187,160146,1220
435,VA- WINCHESTER,56665,443,58344,466,60450,506,62328,503,64410,518,66839,559,69067,605,70883,595,73406,613,76874,607,81223,615,84984,653
