hrr,hrr_lab,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
10,AK- ANCHORAGE,47925,384,50058,420,52047,459,54490,471,56970,495,59778,513,62808,562,65773,552,69009,591,72842,626,76814,632,80240,654
1,AL- BIRMINGHAM,375615,3923,379612,4014,386255,4054,395394,4123,402958,4304,411465,4422,419223,4555,425741,4595,433325,4667,445092,4754,458390,4819,471920,5034
2,AL- DOTHAN,64145,655,65458,661,67253,718,68426,723,70529,762,72193,739,74101,793,75514,785,76810,790,77776,783,79818,807,82215,845
5,AL- HUNTSVILLE,81693,901,85556,910,87528,907,91283,943,94510,998,96496,1001,99570,1000,102089,982,105947,1029,109604,1049,116154,1099,118088,1144
6,AL- MOBILE,122207,1447,125541,1493,128651,1590,132038,1587,134898,1632,138274,1623,142472,1680,145590,1758,149145,1756,154587,1787,160549,1783,165840,1846
7,AL- MONTGOMERY,68223,908,69070,921,70199,929,71777,926,72778,922,74158,958,76430,1005,78015,1046,79718,1068,82211,1099,85073,1163,87988,1239
9,AL- TUSCALOOSA,39580,478,40519,502,41384,513,42405,505,43797,511,44725,518,46849,552,47721,588,48705,601,49660,607,50121,637,50634,657
16,AR- FORT SMITH,62040,344,63128,374,64514,385,66350,387,68013,408,69944,412,71802,457,73034,480,74272,492,76939,502,79090,526,79945,527
18,AR- JONESBORO,41057,205,41546,203,42407,218,43285,229,44161,243,45460,255,46619,270,47525,299,47895,319,48823,350,50295,350,51131,358
19,AR- LITTLE ROCK,258613,2253,261827,2270,266252,2293,273194,2349,279744,2406,286316,2432,293180,2567,298954,2573,305584,2644,313493,2702,321698,2709,328981,2825
21,AR- SPRINGDALE,65914,368,67439,389,68954,394,70861,455,73069,496,75413,523,78358,558,80501,555,82957,621,86219,635,89739,633,92546,654
22,AR- TEXARKANA,44252,426,44585,419,45077,426,45916,430,46777,441,47807,460,48918,466,49752,479,50646,491,51687,469,53599,512,53982,513
11,AZ- MESA,127134,1151,131892,1192,137688,1290,143935,1344,147766,1320,152928,1335,158563,1431,163560,1591,169600,1544,178098,1594,187302,1597,197814,1701
12,AZ- PHOENIX,353246,3516,364034,3698,376939,3991,392479,4134,404702,4287,419398,4511,435142,4693,448913,4767,467945,5225,492023,5490,516435,5667,538657,5895
14,AZ- SUN CITY,84112,403,86564,403,88844,414,91137,459,91727,476,92583,500,93141,532,93323,531,93805,580,94950,586,96331,550,97638,547
15,AZ- TUCSON,171422,1437,176115,1525,181637,1661,188285,1699,193313,1661,199090,1663,204852,1736,209420,1756,215238,1909,222840,2028,232361,2055,238607,2055
65,CA- ALAMEDA CO.,170818,2096,171916,2216,173502,2283,176396,2359,179238,2364,183382,2358,188125,2476,193303,2536,200143,2634,207593,2694,217062,2678,224163,2716
25,CA- BAKERSFIELD,112297,1301,114637,1373,117105,1400,119590,1412,121888,1417,124433,1514,127294,1630,129762,1744,133183,1929,136738,2058,141047,2081,145266,2169
31,CA- CHICO,53236,323,53886,344,54476,380,55391,402,56121,427,56952,427,58090,439,59023,437,59911,450,61323,462,63283,449,65032,466
33,CA- CONTRA COSTA CO.,117417,1072,120055,1148,122373,1224,125465,1290,128195,1314,132608,1426,137535,1471,141892,1482,147291,1519,154253,1593,161794,1632,169022,1681
43,CA- FRESNO,126749,1341,128825,1383,130878,1415,133736,1440,136103,1464,139152,1594,142470,1699,145337,1779,149015,1901,154092,1962,159419,1982,164279,2097
56,CA- LOS ANGELES,1055138,13594,1069541,14702,1082382,15264,1099223,15553,1112501,15951,1132830,16260,1159027,17103,1184138,17643,1215527,18423,1257366,19210,1302115,19535,1342450,20304
58,CA- MODESTO,105597,1032,107265,1152,109019,1175,111301,1182,113265,1260,115821,1315,118681,1380,121233,1440,124772,1557,130300,1646,135168,1643,138235,1683
62,CA- NAPA,48555,367,48838,372,49181,373,49691,385,50282,377,51558,381,52926,383,53943,375,55481,384,57474,391,59698,384,61518,398
23,CA- ORANGE CO.,335714,2916,343257,3150,350048,3315,358331,3410,366313,3558,377670,3742,390743,3936,402090,4118,416447,4358,437032,4569,456447,4663,473256,4784
69,CA- PALM SPR/RANCHO MIR.,66163,368,67967,384,68792,389,72121,431,70918,444,75191,489,77149,520,78199,533,77923,514,79375,522,82199,521,86189,595
73,CA- REDDING,61366,346,62504,348,63647,324,65306,355,66822,378,68647,376,70043,374,71572,385,73484,405,74084,410,76548,413,80496,419
77,CA- SACRAMENTO,319065,2755,326532,2874,333362,3001,342318,3202,350001,3261,359586,3365,372580,3515,383098,3621,396478,3796,413328,3942,431864,4015,450055,4228
78,CA- SALINAS,44227,459,44422,483,44497,486,44828,460,45341,486,46005,476,47143,516,48353,509,50037,525,51766,556,53685,582,55582,616
79,CA- SAN BERNARDINO,298322,3259,305044,3547,310358,3715,317079,3882,322891,4126,330200,4358,339264,4572,349031,4785,360858,5156,376041,5408,393924,5610,408922,5973
80,CA- SAN DIEGO,412350,3668,416873,3890,420953,4077,426036,4234,435138,4388,442718,4494,455176,4692,464741,4854,481098,5095,495524,5267,516042,5338,535196,5666
