hrr,hrr_lab,age,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
426,VA- ARLINGTON,1:0-17,15,14,13,13,,,,,12,12,14,14,14,14,12,11,13,12,13,12,15,12,11,
426,VA- ARLINGTON,2:18-39,2674,193,2715,192,2717,184,2731,193,2838,202,2844,202,2960,192,3059,195,3258,183,3499,176,3689,170,3765,171
426,VA- ARLINGTON,3:40-64,11088,706,11627,776,12301,788,12837,838,13375,874,13829,891,14266,926,14779,936,15482,956,16134,956,16873,939,17402,919
426,VA- ARLINGTON,4:65-75,78520,337,80877,390,82764,401,86387,409,89708,447,95256,482,102232,488,108647,485,115302,490,124141,491,134573,490,142414,538
426,VA- ARLINGTON,5:75-85,50240,262,51021,286,51654,307,53130,317,53629,350,54316,334,55283,378,56252,366,57535,392,59141,377,61367,375,63810,392
426,VA- ARLINGTON,6:85+,18642,68,19560,83,20387,92,21806,96,23173,84,24345,104,25496,116,26654,125,27609,138,28446,158,29362,144,30121,143
427,VA- CHARLOTTESVILLE,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
427,VA- CHARLOTTESVILLE,2:18-39,1695,65,1717,64,1777,58,1804,62,1866,60,1889,57,1902,61,1923,62,2014,61,2081,59,2176,65,2244,69
427,VA- CHARLOTTESVILLE,3:40-64,9239,337,9689,352,10311,371,10981,363,11536,369,11906,380,12132,367,12508,375,12997,386,13378,353,13847,348,14315,373
427,VA- CHARLOTTESVILLE,4:65-75,35899,223,36676,204,37231,214,38008,224,39160,235,40691,223,42560,240,43743,256,44877,243,47170,250,49823,250,52415,253
427,VA- CHARLOTTESVILLE,5:75-85,24532,177,24905,184,25526,172,26134,176,26332,180,26730,189,26806,196,26964,173,27245,168,27530,175,27943,179,28756,185
427,VA- CHARLOTTESVILLE,6:85+,9389,32,9676,38,9760,39,10158,41,10550,46,10859,45,11313,55,11753,51,12270,50,12723,54,13131,55,13598,56
428,VA- LYNCHBURG,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
428,VA- LYNCHBURG,2:18-39,1026,53,1032,53,1029,50,1077,54,1191,57,1215,54,1266,52,1323,56,1374,54,1452,54,1434,48,1519,44
428,VA- LYNCHBURG,3:40-64,6112,225,6315,234,6647,245,6956,246,7387,267,7666,292,7887,296,8159,285,8492,296,9181,287,8962,248,9275,258
428,VA- LYNCHBURG,4:65-75,18464,104,18500,109,18843,122,19196,143,19951,157,20543,158,21264,171,21872,189,22304,177,25224,200,24599,211,27198,203
428,VA- LYNCHBURG,5:75-85,12469,83,12497,89,12566,84,12896,85,13149,86,13297,96,13464,102,13501,88,13683,107,14632,108,14137,97,15097,107
428,VA- LYNCHBURG,6:85+,4880,,4928,15,5034,15,5126,19,5470,27,5623,18,5794,20,5908,27,6100,34,6496,27,6326,22,6635,29
429,VA- NEWPORT NEWS,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
429,VA- NEWPORT NEWS,2:18-39,1663,113,1664,112,1614,106,1630,103,1670,104,1706,91,1765,83,1804,85,1878,88,2003,83,2051,72,2066,64
429,VA- NEWPORT NEWS,3:40-64,8396,479,8856,502,9327,518,9785,528,10141,533,10450,555,10716,587,10914,583,11166,568,11497,564,11859,567,12312,571
429,VA- NEWPORT NEWS,4:65-75,34439,197,35122,205,35788,218,36567,209,37582,240,38872,243,40642,265,41761,271,43069,286,44651,293,46973,295,48917,321
429,VA- NEWPORT NEWS,5:75-85,21870,169,22185,165,22501,158,22872,160,23172,167,23656,165,23926,160,24342,187,25009,187,25268,189,25901,187,26559,201
429,VA- NEWPORT NEWS,6:85+,7519,33,7848,35,8070,43,8550,37,9052,39,9454,56,9810,66,10143,59,10523,56,10725,61,11009,61,11252,60
430,VA- NORFOLK,1:0-17,15,14,14,14,17,17,20,19,20,20,22,21,17,17,13,13,11,11,,,,,12,
430,VA- NORFOLK,2:18-39,4200,272,4184,287,4301,285,4283,289,4347,295,4459,285,4498,262,4555,240,4696,251,4922,246,5136,249,5208,238
430,VA- NORFOLK,3:40-64,19558,1057,20542,1140,21510,1201,22570,1277,23435,1329,24089,1311,24625,1338,25260,1318,25952,1316,26849,1299,27485,1281,28087,1285
430,VA- NORFOLK,4:65-75,68416,567,68713,532,69255,587,69917,560,70894,568,73190,614,76441,636,78862,641,81259,631,85414,691,90494,657,95225,701
430,VA- NORFOLK,5:75-85,48037,424,48616,457,48735,466,48906,438,48334,437,48400,407,48096,431,47903,425,47934,436,48082,428,48436,421,49179,477
430,VA- NORFOLK,6:85+,15957,94,16366,94,17002,104,17793,115,18900,111,19660,116,20335,106,21110,100,21803,109,22128,112,22637,120,22977,132
431,VA- RICHMOND,1:0-17,14,14,12,12,,,,,,,,,,,,,,,,,,,,
431,VA- RICHMOND,2:18-39,5128,289,5271,299,5405,307,5674,303,5881,303,6060,288,6263,289,6394,302,6731,281,7110,279,7380,263,7503,251
431,VA- RICHMOND,3:40-64,26561,1152,28296,1245,29967,1328,31643,1431,33220,1538,34436,1524,35331,1556,36176,1573,37367,1611,38573,1661,39575,1652,40362,1646
431,VA- RICHMOND,4:65-75,93179,661,94518,699,96050,704,98615,718,101241,726,105643,752,110811,774,115124,824,119131,847,126746,870,135679,907,143319,983
431,VA- RICHMOND,5:75-85,64725,476,65783,497,66376,499,67125,507,67092,544,67564,551,67491,530,67552,539,68187,593,69025,610,70057,616,71515,639
431,VA- RICHMOND,6:85+,23973,96,24531,107,24958,111,26114,121,27233,131,28184,131,29029,142,30091,153,30933,162,32109,156,32915,167,33617,171
432,VA- ROANOKE,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
432,VA- ROANOKE,2:18-39,3786,82,3875,93,3941,99,3979,91,4083,87,4130,101,4141,88,4138,90,4136,89,4135,85,4280,78,4209,65
432,VA- ROANOKE,3:40-64,21805,468,22842,461,23930,443,25162,461,26370,484,27252,465,27987,470,28534,491,29216,501,29367,493,30000,477,30379,478
432,VA- ROANOKE,4:65-75,53135,247,53333,281,53627,314,54632,301,56021,300,57816,303,59867,330,61320,327,62869,333,63590,322,68783,317,70140,344
432,VA- ROANOKE,5:75-85,37888,199,38010,203,38452,218,38666,214,38501,241,38396,231,38183,234,38000,216,38006,223,37259,219,38066,237,37892,255
432,VA- ROANOKE,6:85+,14074,39,14320,46,14448,48,14908,59,15458,62,15874,65,16232,70,16554,79,16970,72,17039,68,17572,75,17523,76
435,VA- WINCHESTER,1:0-17,,,,0,,,,,,,,,,,,,,,,,,,,
435,VA- WINCHESTER,2:18-39,1307,53,1357,51,1400,49,1408,42,1484,40,1504,33,1523,37,1535,26,1600,33,1679,35,1745,40,1831,41
435,VA- WINCHESTER,3:40-64,7137,189,7492,193,8047,206,8557,216,8998,221,9452,260,9827,288,10133,289,10653,288,11282,270,11772,264,12142,278
435,VA- WINCHESTER,4:65-75,26193,107,26946,119,27836,126,28611,134,29533,136,30888,129,32370,138,33437,144,34738,155,36775,175,39668,180,41841,199
435,VA- WINCHESTER,5:75-85,16442,80,16748,86,17217,108,17595,95,17968,99,18322,109,18389,117,18596,110,18849,104,19381,95,20016,99,20863,107
435,VA- WINCHESTER,6:85+,5585,13,5800,17,5947,14,6152,11,6421,16,6667,22,6954,21,7178,22,7561,28,7754,29,8019,29,8305,26
