state,state_lab,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
0,NOT FOUND,17972,138,13708,103,39192,320,9529,71,8612,77,7296,62,6096,47,52996,624,7288,77,5963,56,4987,36,4239,35
1,AL-Alabama,742716,8249,756846,8406,770080,8561,792807,8666,809592,9005,828132,9160,848344,9488,864242,9656,883172,9825,909722,10013,940002,10242,966435,10673
2,AK-Alaska,47889,384,50020,420,52000,459,54489,471,56969,495,59777,513,62806,562,65771,552,69008,591,72841,626,76814,632,80240,654
4,AZ-Arizona,750090,6674,773834,7010,801399,7582,833258,7881,855827,8020,883128,8297,911623,8700,892840,8432,965842,9602,1007916,10047,1054109,10222,1096179,10505
5,AR-Arkansas,468479,3684,474867,3751,483416,3821,496029,3969,508084,4117,520954,4215,533969,4466,544657,4510,555787,4707,570693,4807,586838,4854,599976,5006
6,CA-California,4191185,42728,4256983,45708,4307540,47478,4401233,49036,4475139,50426,4579431,51974,4704570,54402,4817868,56215,4961837,58927,5145476,61319,5350776,62377,5537593,65033
8,CO-Colorado,507160,3579,518055,3797,530373,3996,547671,4223,565889,4388,586439,4490,608767,4696,629266,4817,653269,4995,685878,5042,723105,5041,757728,5196
9,CT-Connecticut,540771,4180,544510,4284,546185,4369,549547,4402,554132,4445,563411,4539,574591,4642,582118,4725,592136,4847,606397,4806,622749,4789,635799,4845
10,DE-Delaware,122657,1248,126073,1362,129634,1401,134306,1497,138270,1581,143228,1623,147965,1595,151528,1693,155920,1743,161920,1766,168949,1768,175488,1858
11,DC-District of Columbia,76393,1824,75786,1911,75626,1917,76047,1961,76311,1931,76720,1916,77783,1956,78917,1926,80389,1976,82645,1976,85180,1961,87202,1990
12,FL-Florida,3029707,22557,3082230,24575,3131751,24889,3188513,25895,3221996,26824,3283270,27025,3359984,28433,3421778,29382,3513554,30929,3638638,31717,3780107,32675,3916944,33797
13,GA-Georgia,1002202,14154,1026236,15020,1052404,15493,1094231,16204,1132114,16966,1173154,17665,1217263,18336,1254250,19032,1298332,20043,1354494,20729,1422161,21102,1483394,21867
15,HI-Hawaii,179149,2327,182266,2404,185729,2563,189902,2661,193894,2828,198182,2881,203567,2967,209396,3068,215474,3133,223410,3186,231896,3238,239978,3402
16,ID-Idaho,181935,1180,187852,1186,194237,1204,201713,1281,208921,1306,216862,1384,224622,1477,231800,1532,239925,1624,249716,1655,261317,1675,272578,1744
17,IL-Illinois,1721043,16636,1737106,17451,1748839,17631,1772739,18256,1794402,19007,1827059,20248,1860389,20893,1885795,21142,1920663,21590,1969868,21931,2028970,22154,2077899,22564
18,IN-Indiana,909634,7761,921782,8193,931629,8189,951107,8800,968254,9129,988763,9554,1012030,9891,1031186,9920,1052675,10167,1083703,10330,1119338,10486,1150210,11004
19,IA-Iowa,501621,3244,504274,3241,507175,3369,512307,3425,516882,3516,523432,3532,529819,3618,533580,3563,539943,3605,550373,3568,563621,3627,575587,3715
20,KS-Kansas,410750,2969,413155,3078,416503,3112,421593,3244,425946,3335,431908,3379,438856,3470,445242,3447,452681,3537,463685,3589,477251,3667,489093,3749
21,KY-Kentucky,669089,4740,680383,4982,692847,5174,712028,5688,727857,5864,745100,6102,762591,6274,776805,6443,794391,6657,818324,6741,844384,6734,865930,6877
22,LA-Louisiana,639595,9135,648065,9661,656308,9846,637285,9300,650926,9327,667453,9534,684148,9776,697022,9983,712661,10355,736109,10513,761531,10494,783571,10936
23,ME-Maine,233705,1258,237628,1361,241920,1450,246586,1468,251324,1489,258399,1438,264942,1503,270328,1470,276134,1424,284503,1392,295210,1400,304384,1380
24,MD-Maryland,696442,8818,707243,9221,716903,9480,729493,9862,742830,10177,761227,10240,781288,10462,799076,10663,820496,10818,850371,11033,886059,10916,918777,11168
25,MA-Massachusetts,1002322,6337,1003661,6592,1006655,6789,1014007,6925,1025342,7044,1043494,7147,1064777,7237,1082098,7213,1105172,7397,1138010,7376,1175738,7441,1209920,7610
26,MI-Michigan,1493541,13386,1511971,13929,1529623,15218,1554850,16108,1582248,16530,1617369,16807,1656024,17245,1688031,17402,1726945,17820,1781095,18022,1842438,17978,1895690,18294
27,MN-Minnesota,698254,4495,707572,4511,718069,4934,731092,5234,746270,5519,764801,5566,784475,5678,801451,5736,821107,5878,846290,5862,876359,5840,904024,5864
28,MS-Mississippi,450836,5887,458651,6049,467281,6327,475183,6588,482120,6888,490565,7100,500606,7361,507871,7531,517710,7721,531607,7816,547331,7880,560906,8081
29,MO-Missouri,918641,7863,929296,8058,941444,8305,957921,8488,974941,8886,993572,9059,1014154,9295,1030234,9423,1050429,9562,1076779,9583,1110583,9681,1139347,9858
