state,state_lab,age,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
0,NOT FOUND,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
0,NOT FOUND,2:18-39,255,22,147,12,746,27,89,,90,,67,,52,,1276,55,94,,65,,51,,34,
0,NOT FOUND,3:40-64,1652,49,1086,28,4181,111,769,17,741,19,653,13,543,,8234,309,720,21,525,12,388,,318,
0,NOT FOUND,4:65-75,5319,29,3584,24,15888,82,2032,16,1713,14,1335,18,1057,14,24473,147,1882,20,1480,13,1198,,954,
0,NOT FOUND,5:75-85,7061,31,5691,33,12789,81,3987,22,3572,28,3031,16,2480,12,13614,90,2609,18,2120,17,1805,,1496,
0,NOT FOUND,6:85+,3685,,3200,,5585,16,2652,11,2496,12,2210,11,1964,,5398,22,1983,13,1773,,1545,,1437,
1,AL-Alabama,1:0-17,59,53,56,52,45,41,39,38,40,39,36,34,39,37,33,32,32,31,47,46,56,54,47,43
1,AL-Alabama,2:18-39,23296,932,24158,870,24719,873,25576,901,26121,908,26649,909,27433,926,27804,910,28836,884,29672,834,30441,817,30810,856
1,AL-Alabama,3:40-64,124923,3866,133314,3920,142679,3984,152444,4085,160402,4286,166562,4398,171961,4514,177093,4640,183995,4779,191641,4844,197830,4893,202900,5053
1,AL-Alabama,4:65-75,310400,1887,313849,1946,316902,2002,324451,2010,331004,2084,340061,2166,352325,2301,359767,2350,367214,2352,382458,2446,402356,2564,418670,2730
1,AL-Alabama,5:75-85,205873,1261,207631,1341,207553,1364,210203,1342,210384,1385,211696,1343,212170,1374,213970,1403,216183,1448,217743,1492,219512,1518,223365,1593
1,AL-Alabama,6:85+,78165,250,77838,277,78182,297,80094,290,81641,303,83128,310,84416,336,85575,321,86912,331,88161,351,89807,396,90643,398
2,AK-Alaska,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
2,AK-Alaska,2:18-39,1724,50,1754,48,1781,46,1846,50,1910,59,1932,56,1988,57,2087,63,2164,58,2284,62,2343,61,2405,48
2,AK-Alaska,3:40-64,6776,214,7323,225,7817,234,8291,242,8703,249,9109,252,9414,267,9706,259,10147,262,10563,282,10800,291,10782,310
2,AK-Alaska,4:65-75,23913,61,24746,79,25627,102,26618,105,28069,109,29819,114,31872,131,33740,119,35784,143,38415,141,41251,150,43854,165
2,AK-Alaska,5:75-85,12139,49,12647,54,13023,55,13610,62,13878,67,14274,78,14570,85,15062,91,15411,99,15995,111,16585,100,17126,101
2,AK-Alaska,6:85+,3333,,3547,11,3746,16,4121,,4406,,4640,,4957,17,5170,14,5494,21,5578,24,5830,25,6070,27
4,AZ-Arizona,1:0-17,53,46,46,39,45,42,48,46,56,55,54,53,54,54,51,51,49,49,52,52,44,44,43,43
4,AZ-Arizona,2:18-39,16022,624,16988,597,18194,579,19312,607,19915,602,20118,621,20104,608,19028,580,20588,655,21414,663,21743,673,22012,648
4,AZ-Arizona,3:40-64,83748,2726,90026,2914,97638,3173,105434,3308,110763,3394,114763,3549,117464,3676,112898,3542,124770,4093,129710,4282,132763,4351,135530,4481
4,AZ-Arizona,4:65-75,336115,1628,345431,1770,356169,1971,369128,2045,380439,2054,398183,2089,418317,2267,411836,2206,449880,2533,477152,2671,510639,2752,538689,2861
4,AZ-Arizona,5:75-85,233363,1333,237364,1348,242909,1430,248100,1461,249355,1484,251496,1516,253310,1622,245876,1555,260579,1725,266077,1796,272606,1819,280638,1891
4,AZ-Arizona,6:85+,80789,317,83979,342,86444,387,91236,414,95299,431,98514,469,102374,473,103151,498,109976,547,113511,583,116314,583,119267,581
5,AR-Arkansas,1:0-17,36,32,37,36,38,37,47,43,49,45,43,43,48,48,42,42,45,45,39,38,37,35,35,34
5,AR-Arkansas,2:18-39,13372,467,13745,472,14347,440,15101,451,15692,452,16409,473,17178,462,17804,445,18818,478,19607,440,20180,460,20387,449
5,AR-Arkansas,3:40-64,76204,1663,80160,1703,85117,1740,90784,1778,95853,1891,100138,1892,103854,1991,107356,2007,111215,2116,114906,2200,117644,2217,119660,2238
5,AR-Arkansas,4:65-75,193861,790,196360,785,199166,840,203526,882,208972,902,215468,992,222761,1105,228024,1088,231967,1111,241399,1179,252397,1207,261031,1306
5,AR-Arkansas,5:75-85,132279,611,131961,611,131814,603,132582,641,132573,659,133291,657,133882,687,134663,751,135993,763,136320,753,137776,742,140070,780
5,AR-Arkansas,6:85+,52727,121,52604,144,52934,161,53989,174,54945,168,55605,158,56246,173,56768,177,57749,194,58422,197,58804,193,58793,199
6,CA-California,1:0-17,315,290,276,258,254,236,261,245,265,251,237,222,227,212,198,183,189,170,177,157,163,143,167,143
6,CA-California,2:18-39,83725,4287,84089,4261,85599,4187,87833,4224,89166,4170,90567,4132,92662,4132,93771,4130,96910,4171,100523,4119,103519,4061,105395,4015
6,CA-California,3:40-64,435044,17915,457562,18759,482153,19438,509733,20239,529953,20921,546805,21548,562723,22647,578016,23527,599064,24531,617703,25440,631509,25707,642382,26380
6,CA-California,4:65-75,1816870,10076,1836627,11101,1846439,11577,1875791,11862,1910980,12195,1976595,12725,2060811,13395,2130735,13862,2216158,14593,2344486,15388,2496205,15919,2626500,17235
6,CA-California,5:75-85,1350224,8145,1358756,8982,1362753,9436,1371869,9658,1365123,9828,1362890,10038,1360522,10358,1364309,10655,1374163,11300,1388463,11696,1409109,11902,1438532,12365
6,CA-California,6:85+,505007,2015,519673,2347,530342,2604,555746,2808,579652,3061,602337,3309,627625,3658,650839,3858,675353,4162,694124,4519,710271,4645,724617,4895
8,CO-Colorado,1:0-17,39,39,34,34,31,31,40,40,40,38,39,38,42,41,35,34,36,35,27,26,21,20,16,16
8,CO-Colorado,2:18-39,11145,443,11090,433,11083,436,11268,439,11525,434,11882,431,12161,434,12405,444,13107,453,13961,435,14730,406,15277,412
8,CO-Colorado,3:40-64,58428,1552,60655,1627,63203,1701,66299,1806,69033,1902,71679,1996,74290,2078,76549,2123,80102,2225,83858,2229,87067,2241,90196,2251
8,CO-Colorado,4:65-75,227803,828,232111,923,237540,953,244478,1034,254036,1056,266651,1024,281893,1112,295304,1166,308930,1201,331001,1244,358254,1261,381876,1355
8,CO-Colorado,5:75-85,151946,617,154723,665,157639,722,161249,738,163560,778,165660,800,167019,806,169196,826,172285,862,175757,855,179374,866,184402,890
8,CO-Colorado,6:85+,57799,100,59442,115,60877,153,64337,166,67695,180,70528,201,73362,225,75777,224,78809,219,81274,253,83659,247,85961,272
9,CT-Connecticut,1:0-17,22,21,19,18,13,,19,18,20,20,21,21,21,21,18,16,13,11,11,,,,,
9,CT-Connecticut,2:18-39,12087,354,12079,335,11965,327,11826,319,11767,319,11813,312,11952,306,11872,301,11951,307,12277,295,12506,266,12623,276
9,CT-Connecticut,3:40-64,51924,1611,54146,1675,56528,1687,59069,1708,61348,1753,63127,1767,64901,1789,66320,1857,68374,1870,70256,1861,71331,1905,72250,1904
9,CT-Connecticut,4:65-75,218452,1045,217818,1057,216312,1062,215764,1060,218240,1056,225693,1065,235366,1112,241917,1123,249395,1197,261425,1195,276703,1211,287808,1261
9,CT-Connecticut,5:75-85,180242,911,180360,936,179607,1001,178645,1002,176065,1014,173829,1058,171158,1048,168654,1025,167004,1014,165541,1019,164264,977,164257,970
9,CT-Connecticut,6:85+,78044,238,80088,263,81760,282,84224,295,86692,283,88928,316,91193,366,93337,403,95399,448,96887,428,97938,425,98851,425
10,DE-Delaware,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
10,DE-Delaware,2:18-39,2956,119,3022,119,3075,113,3143,115,3206,127,3226,105,3226,113,3205,121,3312,114,3396,101,3404,101,3503,109
10,DE-Delaware,3:40-64,14199,552,15315,590,16624,599,17964,610,19110,635,20034,693,20810,706,21549,738,22397,756,23222,776,23671,781,24036,781
10,DE-Delaware,4:65-75,55402,322,56285,336,57438,357,59061,404,60894,428,63619,431,66711,395,68700,429,71156,455,75288,474,80655,463,85111,499
10,DE-Delaware,5:75-85,37235,208,38051,259,38541,261,39444,290,39822,311,40375,300,40494,293,40754,313,41381,324,41996,307,42663,313,43903,342
10,DE-Delaware,6:85+,12855,37,13392,50,13951,66,14689,73,15235,77,15970,90,16721,85,17316,88,17668,88,18010,100,18548,102,18928,120
11,DC-District of Columbia,1:0-17,12,12,,,,,,,,,,,,,,0,,,,,,,,
11,DC-District of Columbia,2:18-39,1868,158,1846,166,1837,159,1848,150,1850,147,1879,130,1988,133,2025,122,2103,123,2263,113,2361,108,2475,104
11,DC-District of Columbia,3:40-64,8546,861,8759,897,9075,885,9474,917,9796,905,10107,922,10431,923,10822,918,11426,944,12121,965,12690,945,13043,939
11,DC-District of Columbia,4:65-75,30546,406,30212,441,30079,451,30291,473,30764,484,31179,458,32043,482,32880,459,33804,462,35302,450,37121,471,38491,513
11,DC-District of Columbia,5:75-85,24077,323,23712,340,23395,344,23066,340,22360,313,21883,309,21576,317,21286,320,21061,335,20848,322,20822,311,20949,309
11,DC-District of Columbia,6:85+,11344,64,11250,60,11234,72,11364,77,11537,78,11670,95,11743,100,11903,107,11993,111,12110,125,12184,125,12242,123
12,FL-Florida,1:0-17,210,191,182,170,192,180,194,180,196,178,184,161,184,166,182,169,168,157,160,148,141,132,149,142
12,FL-Florida,2:18-39,55292,2207,56067,2267,56277,2194,56830,2225,56840,2269,56808,2273,57229,2311,57830,2276,60814,2310,63993,2297,66238,2357,68064,2340
12,FL-Florida,3:40-64,306211,9140,325268,9819,344101,10075,360944,10537,371326,10904,378837,11155,386192,11611,396053,12119,414778,12793,436789,13136,453350,13398,471099,13719
12,FL-Florida,4:65-75,1302308,5254,1316689,5777,1334003,5842,1355484,5954,1375513,6280,1419964,6262,1476884,6827,1515123,7132,1564024,7541,1643007,7813,1739694,8283,1825571,8755
12,FL-Florida,5:75-85,995047,4564,1004933,5129,1011667,5121,1016912,5373,1008143,5456,1005955,5347,1003952,5567,1003147,5611,1010567,5893,1019561,6089,1032184,6186,1052268,6411
