state,state_lab,age,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
12,FL-Florida,6:85+,370639,1201,379091,1413,385511,1477,398149,1626,409978,1737,421522,1827,435543,1951,449443,2075,463203,2235,475128,2234,488500,2319,499793,2430
13,GA-Georgia,1:0-17,97,91,105,99,111,102,102,96,99,97,94,92,82,80,91,90,77,76,85,84,86,85,87,84
13,GA-Georgia,2:18-39,29297,1720,29581,1736,29518,1741,29928,1824,30213,1889,30727,1905,31354,1906,31678,1873,32721,1875,34191,1900,35585,1801,36458,1803
13,GA-Georgia,3:40-64,158824,6749,166969,7168,175395,7465,185708,7809,193177,8319,199656,8724,206521,8997,212910,9326,220986,9810,230822,10146,239885,10281,248078,10579
13,GA-Georgia,4:65-75,435218,3129,445146,3389,457629,3454,477614,3690,498419,3789,523029,3975,552154,4242,574679,4449,599236,4759,635019,4947,680912,5191,720270,5496
13,GA-Georgia,5:75-85,275135,2027,278969,2146,282018,2215,288714,2234,293603,2270,299235,2336,303285,2468,308366,2596,315377,2790,321828,2877,329656,2951,339657,3053
13,GA-Georgia,6:85+,103631,438,105466,482,107733,516,112165,551,116603,602,120413,633,123867,643,126526,698,129935,733,132549,775,136037,793,138844,852
15,HI-Hawaii,1:0-17,14,14,13,13,14,14,,,,,,,,,,,,,,,,,,
15,HI-Hawaii,2:18-39,2949,223,2917,208,2893,200,2941,212,2982,206,3031,207,3133,215,3200,222,3321,225,3508,227,3615,216,3653,208
15,HI-Hawaii,3:40-64,14438,987,15421,1007,16405,1058,17228,1108,17935,1173,18487,1210,18849,1241,19217,1227,19829,1290,20630,1371,21020,1408,21353,1502
15,HI-Hawaii,4:65-75,78312,580,78105,594,78589,641,79625,667,81165,720,83395,723,87315,750,91737,796,96029,825,102051,808,108702,854,115281,906
15,HI-Hawaii,5:75-85,61589,412,62907,465,63784,506,64657,507,64815,543,64629,558,64334,574,63492,602,63123,568,62407,555,62298,532,62469,538
15,HI-Hawaii,6:85+,21847,111,22903,117,24044,144,25446,162,26993,182,28638,181,29930,181,31742,213,33164,217,34807,218,36255,222,37212,239
16,ID-Idaho,1:0-17,16,15,13,12,,,11,,,,13,12,12,11,,,,,,,11,11,,
16,ID-Idaho,2:18-39,4285,137,4568,137,4853,127,5156,147,5537,160,5748,156,5840,166,6047,174,6407,173,6737,183,7067,179,7318,181
16,ID-Idaho,3:40-64,19918,520,21561,509,23320,506,25078,534,26660,555,28099,588,29062,588,30187,609,31695,634,33153,644,34330,677,35586,710
16,ID-Idaho,4:65-75,80070,256,82415,270,85406,273,89058,289,92854,286,97634,307,103090,365,107338,374,111776,415,117772,418,125916,442,132921,454
16,ID-Idaho,5:75-85,55504,206,56223,215,57189,240,57992,246,58322,243,59007,242,59542,256,60372,279,61502,295,62813,299,64562,275,66948,297
16,ID-Idaho,6:85+,22142,46,23072,43,23460,50,24418,55,25539,54,26361,79,27076,91,27849,90,28536,98,29231,101,29431,91,29796,93
17,IL-Illinois,1:0-17,123,103,110,92,105,87,115,97,100,89,94,82,90,80,95,87,85,76,84,69,85,69,79,65
17,IL-Illinois,2:18-39,40312,1666,41118,1615,41856,1595,42866,1595,43225,1633,43563,1669,43920,1653,44338,1615,45365,1626,46361,1565,46682,1484,46893,1437
17,IL-Illinois,3:40-64,173770,6730,182073,7067,191548,7134,202363,7382,211095,7725,218113,8133,224068,8329,230735,8519,239793,8663,248299,8746,254467,8788,259172,8859
17,IL-Illinois,4:65-75,728410,3933,732371,4201,732275,4294,737173,4417,748962,4578,773207,4916,799841,5263,817673,5298,836321,5436,871177,5600,917861,5798,953109,6036
17,IL-Illinois,5:75-85,551472,3354,551135,3549,551193,3552,552963,3697,547898,3816,543396,4104,537581,4141,532985,4151,533067,4220,532809,4300,534509,4322,540304,4443
17,IL-Illinois,6:85+,226956,850,230299,927,231862,969,237259,1068,243122,1166,248686,1344,254889,1427,259969,1472,266032,1569,271138,1651,275366,1693,278342,1724
18,IN-Indiana,1:0-17,63,52,66,57,57,49,63,55,62,56,70,68,75,72,70,67,68,64,71,64,64,60,53,49
18,IN-Indiana,2:18-39,23600,853,24258,849,24678,796,25625,814,25943,820,26323,837,27081,846,27631,802,28497,764,29489,748,29909,773,30151,793
18,IN-Indiana,3:40-64,107227,3091,112902,3337,118915,3451,126010,3715,131940,3907,136812,4037,142626,4179,148657,4188,156356,4283,164469,4368,170518,4429,176107,4567
18,IN-Indiana,4:65-75,388876,1844,391031,1925,392693,1912,398655,1995,406853,2059,419733,2206,434708,2311,445541,2303,455360,2421,474416,2496,500142,2605,520258,2813
18,IN-Indiana,5:75-85,282381,1562,283989,1656,284862,1609,286630,1805,285535,1811,284753,1872,282726,1900,280968,1933,280709,1952,280584,1960,281687,1949,284867,2093
18,IN-Indiana,6:85+,107487,359,109536,369,110424,372,114124,416,117921,476,121072,534,124814,583,128319,627,131685,683,134674,694,137018,670,138774,689
19,IA-Iowa,1:0-17,40,37,35,29,35,33,34,32,30,30,25,25,28,28,22,21,27,20,33,26,27,24,23,21
19,IA-Iowa,2:18-39,11026,340,11144,293,11459,290,11675,282,11614,292,11762,295,11816,304,11808,297,12058,297,12436,274,12595,271,12972,270
19,IA-Iowa,3:40-64,45174,1148,47543,1150,50136,1180,52514,1220,54515,1243,56069,1275,57542,1282,59049,1266,60952,1284,62973,1319,64397,1344,65882,1340
19,IA-Iowa,4:65-75,206636,734,206380,742,206247,790,207485,797,209949,847,214546,836,219841,892,223004,887,226492,891,233793,891,244982,904,254392,999
19,IA-Iowa,5:75-85,164422,788,163844,803,163779,853,163500,836,161754,796,160854,796,159180,807,157372,785,156761,808,156361,738,155865,764,156243,779
19,IA-Iowa,6:85+,74323,197,75328,224,75519,223,77099,258,79020,308,80176,305,81412,305,82325,307,83653,305,84777,320,85755,320,86075,306
20,KS-Kansas,1:0-17,17,16,23,21,22,20,23,19,20,19,24,23,20,19,21,20,24,21,34,28,28,25,30,27
20,KS-Kansas,2:18-39,8984,301,9059,302,9205,303,9460,302,9524,310,9641,318,9877,309,10269,296,10762,313,11387,299,11916,278,12206,271
20,KS-Kansas,3:40-64,40200,1241,42290,1278,44803,1295,47525,1351,49730,1367,51666,1412,53526,1447,55690,1435,58037,1484,60193,1509,61690,1573,63171,1587
20,KS-Kansas,4:65-75,169893,675,169761,696,170140,719,170888,752,172748,774,176470,765,181882,821,185915,866,189807,872,197749,888,209323,913,218407,959
20,KS-Kansas,5:75-85,133139,595,133031,641,132980,633,132826,660,131653,674,130936,677,129417,683,128428,643,127754,619,127295,627,126780,631,127220,651
20,KS-Kansas,6:85+,58517,141,58991,140,59353,142,60871,160,62271,191,63171,184,64134,191,64919,187,66297,228,67027,238,67514,247,68059,254
21,KY-Kentucky,1:0-17,43,39,40,37,41,36,38,34,40,37,34,32,24,21,22,19,24,17,24,18,18,14,23,20
21,KY-Kentucky,2:18-39,23554,557,24042,548,24571,529,25331,543,25884,545,26235,562,26551,540,26760,512,27641,488,28514,482,28767,478,28516,466
21,KY-Kentucky,3:40-64,124822,2022,130532,2151,137333,2238,144547,2431,150521,2500,155837,2584,160649,2704,165131,2825,171599,2906,177823,2957,181697,2878,184191,2929
21,KY-Kentucky,4:65-75,270763,1175,274675,1208,278360,1267,285558,1415,292933,1473,302234,1516,312559,1554,319725,1588,327126,1667,341817,1706,360882,1792,375465,1882
21,KY-Kentucky,5:75-85,182378,790,183273,870,184699,937,186632,1057,186286,1062,186919,1128,187223,1145,187853,1182,189028,1228,189859,1233,191046,1210,194791,1228
21,KY-Kentucky,6:85+,67529,157,67821,168,67843,167,69922,208,72193,247,73841,280,75585,310,77314,317,78973,351,80287,345,81974,362,82944,352
22,LA-Louisiana,1:0-17,72,71,68,68,64,63,63,61,57,55,55,53,53,52,52,51,51,50,58,58,59,58,56,56
22,LA-Louisiana,2:18-39,19936,1036,20269,1035,20637,1015,19238,922,20304,923,21212,936,21714,938,22025,975,22809,980,24172,951,25175,949,25885,959
22,LA-Louisiana,3:40-64,96077,4181,100779,4393,105868,4514,103453,4240,109821,4309,115439,4428,120456,4584,124165,4697,129249,4955,134242,5044,138689,5019,142233,5165
22,LA-Louisiana,4:65-75,269301,2056,271215,2237,273042,2229,265829,2088,271679,2141,279255,2246,289647,2303,297143,2345,304320,2446,319349,2536,336312,2578,350843,2756
22,LA-Louisiana,5:75-85,184513,1473,185859,1583,186541,1632,179481,1601,179343,1531,180067,1477,179604,1482,179978,1477,180892,1480,181386,1495,182669,1483,185071,1554
22,LA-Louisiana,6:85+,69696,318,69875,345,70156,393,69221,388,69722,368,71425,394,72674,417,73659,438,75340,444,76902,429,78627,407,79483,446
23,ME-Maine,1:0-17,,,14,13,13,12,,,,,,,,,,,,,,,,,,
23,ME-Maine,2:18-39,7834,128,8121,135,8377,138,8618,136,8744,134,9041,121,9367,109,9461,107,9681,90,9903,86,10130,90,10074,85
23,ME-Maine,3:40-64,33627,448,35620,485,37843,507,40058,510,41782,547,43762,536,44988,559,46036,553,47547,551,48882,542,49838,553,50679,535
23,ME-Maine,4:65-75,96309,329,96714,354,97280,378,98396,375,100091,366,103367,361,107917,389,111319,392,114316,382,120051,367,128331,382,135303,393
23,ME-Maine,5:75-85,68603,279,69344,292,70228,325,70597,341,70936,338,71463,307,71237,325,71215,302,71369,296,71637,296,72050,281,72785,265
23,ME-Maine,6:85+,27322,65,27815,82,28179,90,28907,97,29763,96,30759,106,31426,114,32291,110,33216,100,34024,95,34854,87,35537,96
24,MD-Maryland,1:0-17,68,61,61,59,53,53,54,52,47,45,48,46,48,45,45,43,34,33,34,30,33,31,26,25
24,MD-Maryland,2:18-39,14617,888,14540,854,14620,839,14851,828,15165,833,15484,788,15941,761,16368,731,17234,717,18510,717,19458,698,20104,696
24,MD-Maryland,3:40-64,70517,3843,74505,4078,78371,4149,82453,4309,86301,4500,89448,4561,92043,4701,95034,4783,99434,4855,104313,4900,108087,4852,111123,4795
24,MD-Maryland,4:65-75,307736,2086,310276,2185,312710,2257,316051,2334,322952,2410,334597,2483,349574,2590,361323,2671,373954,2698,393883,2804,419655,2807,441581,2983
24,MD-Maryland,5:75-85,222230,1607,223887,1677,224779,1770,225277,1849,223514,1871,223035,1855,221895,1857,221191,1903,221589,1952,222627,1982,225156,1913,230169,2016
24,MD-Maryland,6:85+,81274,333,83974,368,86370,412,90807,490,94851,518,98615,507,101787,508,105115,532,108251,563,111004,600,113670,615,115774,653
25,MA-Massachusetts,1:0-17,33,28,27,25,25,24,27,26,29,28,22,22,20,20,28,28,28,27,31,30,25,25,23,22
25,MA-Massachusetts,2:18-39,28370,536,28523,533,28882,515,29413,494,29909,478,30646,485,31345,477,31913,438,33340,436,34940,418,36045,425,37030,432
25,MA-Massachusetts,3:40-64,114741,2182,119393,2257,125647,2333,132052,2385,138057,2482,143170,2489,147599,2478,152413,2544,158804,2588,164247,2506,168573,2538,172708,2592
25,MA-Massachusetts,4:65-75,398158,1578,393701,1590,389919,1608,388940,1666,393141,1640,404594,1714,421050,1781,433405,1771,447138,1858,471982,1933,503187,1970,529338,2081
25,MA-Massachusetts,5:75-85,323969,1581,322738,1688,321464,1795,319097,1791,315715,1775,313195,1797,308726,1787,304597,1694,301988,1701,299965,1710,298753,1674,299007,1680
25,MA-Massachusetts,6:85+,137051,432,139279,499,140718,514,144478,563,148491,641,151867,640,156037,694,159742,738,163874,787,166845,779,169155,809,171814,803
26,MI-Michigan,1:0-17,87,80,80,77,82,80,99,99,83,83,75,75,73,73,58,58,73,70,66,64,58,56,61,55
26,MI-Michigan,2:18-39,39713,1461,40753,1454,41835,1442,42997,1392,43596,1393,43993,1363,45050,1335,46003,1312,48089,1274,50363,1273,51910,1244,52601,1237
26,MI-Michigan,3:40-64,185159,5483,195237,5800,206119,6232,218078,6682,227630,6848,235567,7013,244611,7159,255295,7244,269870,7392,285019,7371,295616,7349,305199,7423
26,MI-Michigan,4:65-75,628667,3123,629270,3251,629565,3607,633268,3700,645774,3774,669427,3906,697268,4108,715645,4206,732202,4432,765112,4566,809496,4675,845198,4876
26,MI-Michigan,5:75-85,466155,2701,468132,2756,470526,3134,472291,3392,469687,3482,466802,3425,461783,3487,458087,3415,457116,3428,455762,3453,455842,3407,459905,3467
26,MI-Michigan,6:85+,173760,538,178499,591,181496,723,188117,843,195478,950,201505,1025,207239,1083,212943,1167,219595,1224,224773,1295,229516,1247,232726,1236
27,MN-Minnesota,1:0-17,46,43,35,34,29,27,31,30,40,40,40,40,48,48,46,45,36,35,33,32,28,27,27,25
27,MN-Minnesota,2:18-39,16577,466,17078,431,17630,411,18239,429,18905,459,19364,452,19865,440,20407,441,21283,454,22220,459,22917,484,23392,491
27,MN-Minnesota,3:40-64,64080,1551,67895,1603,72390,1714,76998,1853,80936,1987,84144,2002,87218,2087,90599,2074,94852,2137,98978,2128,101973,2084,104977,2142
27,MN-Minnesota,4:65-75,294910,1042,297445,999,300552,1138,304772,1179,312014,1224,323600,1226,337073,1293,347758,1377,358229,1440,374851,1484,397121,1546,415818,1512
27,MN-Minnesota,5:75-85,222676,1098,223184,1115,224454,1250,225353,1309,225536,1348,225616,1363,225596,1333,225580,1296,227030,1307,228454,1249,230611,1202,234319,1202
27,MN-Minnesota,6:85+,99965,295,101935,329,103014,394,105699,434,108839,461,112037,483,114675,477,117061,503,119677,505,121754,510,123709,497,125491,492
28,MS-Mississippi,1:0-17,46,40,40,36,48,44,54,49,44,44,41,40,44,43,37,36,35,34,33,31,36,36,36,36
28,MS-Mississippi,2:18-39,16779,725,17262,709,17602,702,17653,735,17601,739,17574,750,17510,768,17418,796,17587,834,17684,784,17731,745,17623,756
28,MS-Mississippi,3:40-64,83701,2802,88113,2901,93104,3037,97345,3143,100369,3356,102774,3437,105183,3537,107400,3646,110836,3742,114132,3790,116381,3827,118502,3967
28,MS-Mississippi,4:65-75,182396,1370,184721,1401,187469,1463,189782,1490,193671,1579,198594,1670,205305,1732,209140,1730,213359,1777,222256,1833,233268,1877,242152,1964
28,MS-Mississippi,5:75-85,119953,796,121112,833,121328,909,121978,986,121582,968,122229,986,122663,1046,123505,1062,124862,1059,125349,1081,126834,1092,128722,1086
28,MS-Mississippi,6:85+,47961,154,47403,169,47730,172,48371,185,48853,202,49353,217,49901,235,50371,261,51031,275,52153,297,53081,303,53871,272
29,MO-Missouri,1:0-17,57,56,50,46,52,51,53,49,53,50,54,53,51,50,42,40,49,46,51,50,47,44,48,45
29,MO-Missouri,2:18-39,24256,787,24828,766,25272,763,26163,792,26707,801,26905,808,27601,819,28035,797,29261,773,30195,740,31316,724,31842,705
29,MO-Missouri,3:40-64,118363,3205,125666,3314,133942,3419,141966,3567,148405,3790,152863,3847,157597,3971,162552,4080,169496,4210,176343,4172,182382,4157,187578,4218
29,MO-Missouri,4:65-75,385372,1888,387063,1903,389852,1914,394255,1929,402486,2086,414170,2176,427787,2234,437129,2263,446001,2302,462899,2363,486258,2466,504697,2565
29,MO-Missouri,5:75-85,277299,1579,277981,1641,278465,1711,279244,1685,277875,1665,277912,1672,277499,1707,277071,1719,277383,1688,277286,1711,278680,1732,281587,1782
29,MO-Missouri,6:85+,113294,348,113708,388,113861,447,116240,466,119415,494,121668,503,123619,514,125405,524,128239,543,130005,547,131900,558,133595,543
30,MT-Montana,1:0-17,15,14,,,,,,,,,,,,,,,,,,,,,,
30,MT-Montana,2:18-39,2948,94,2987,87,2974,88,3035,80,3103,86,3236,89,3399,89,3536,92,3747,93,3910,87,4114,91,4193,91
30,MT-Montana,3:40-64,16863,391,17654,407,18424,415,19192,431,19753,435,20450,432,21040,436,21608,436,22794,422,23696,432,24472,429,25071,446
30,MT-Montana,4:65-75,63841,175,64840,189,65739,205,67286,215,69518,237,72690,256,76467,256,79034,258,81816,280,85582,287,91106,313,96050,320
30,MT-Montana,5:75-85,44714,186,45045,181,45408,180,45726,173,45925,163,46120,152,46007,150,46144,138,46849,152,47510,147,48198,157,49242,167
30,MT-Montana,6:85+,18626,26,18974,38,19384,48,20111,51,20667,53,21066,50,21530,47,21861,49,22177,48,22490,43,22771,44,23202,54
31,NE-Nebraska,1:0-17,26,24,27,27,25,24,22,22,22,22,17,16,13,13,,,11,,18,16,16,15,14,14
31,NE-Nebraska,2:18-39,5609,196,5720,194,5846,192,5974,200,6124,189,6169,179,6325,188,6389,180,6526,177,6753,168,6948,178,7005,178
31,NE-Nebraska,3:40-64,24509,808,25748,831,27292,858,28733,897,29872,941,30737,919,31770,933,32614,923,33702,926,34751,931,35428,938,35899,951
31,NE-Nebraska,4:65-75,112595,450,112081,445,112080,476,112091,478,113009,491,115403,525,118317,513,120356,538,122655,563,126908,517,133915,526,140202,534
31,NE-Nebraska,5:75-85,86124,428,86375,449,86589,479,86918,469,86884,490,86594,472,85961,436,85500,439,85078,434,85083,417,84711,398,84778,418
31,NE-Nebraska,6:85+,39088,125,39309,137,39182,131,39968,139,40806,144,41630,159,42178,166,42807,164,43708,171,44208,165,44700,142,45167,145
32,NV-Nevada,1:0-17,19,15,17,12,19,11,20,17,24,23,27,26,29,29,27,26,24,21,22,21,15,13,17,15
32,NV-Nevada,2:18-39,5408,268,5766,268,6001,275,6234,279,6346,284,6556,305,6608,336,6720,309,7117,327,7442,333,7815,350,8027,351
