State ID,State name,Number of patients in CHF cohort (2015),Percent readmitted within 30 days of discharge (2015),,,Percent seeing a primary care clinician within 14 days of discharge to home (2015),,,Percent having an ambulatory visit within 14 days of discharge to home (2015),,,Percent having an emergency room visit within 30 days of discharge (2015),,
,,,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit
1,Alabama,4566,19.4598253973445,18.1841909125219,20.7354598821671,43.2394761362262,41.0402328837071,45.4387193887453,61.0286139557497,58.4214789079217,63.6357490035778,24.3007382591682,22.8756264052347,25.7258501131017
2,Alaska,259,16.9477483301638,11.9400087113024,21.9554879490252,49.1440158393449,40.2390187310806,58.0490129476091,64.0348722589188,53.8548008387455,74.214943679092,20.2162851046244,14.721436220529,25.7111339887198
3,Arizona,2612,20.8728835545813,19.1188452558283,22.6269218533342,43.8059438765147,41.0232166349363,46.5886711180932,70.7109084188255,67.1780748524683,74.2437419851828,26.5912871927542,24.6042718854568,28.5783025000516
4,Arkansas,2908,21.8310745675778,20.1343840738104,23.5277650613451,47.251256271747,44.3753147384582,50.1271978050358,62.9497296600495,59.6332151963216,66.2662441237773,27.7904693836412,25.8730585091955,29.7078802580868
5,California,14296,19.0434149739901,18.3274757175216,19.7593542304585,41.7726471728343,40.5766038054957,42.9686905401729,66.8069887794026,65.292579290812,68.3213982679933,25.0618224734242,24.2400488215653,25.8835961252831
6,Colorado,1753,16.8337143995275,14.9094605643135,18.7579682347414,52.6907261630044,48.6979294773043,56.6835228487045,69.3198486165884,64.7319492817111,73.9077479514656,24.1465194582632,21.8399339309967,26.4531049855296
7,Connecticut,3258,18.7269756023323,17.2383964704435,20.2155547342211,40.8793394640129,38.2040934872444,43.5545854407814,69.4496823541095,65.9547920837228,72.9445726244961,23.7006268119232,22.0298203110622,25.3714333127841
8,Delaware,1061,19.6289582036143,16.9677418808021,22.2901745264266,43.1855457003019,38.7306157227971,47.6404756778067,72.3082999903984,66.5606219502423,78.0559780305544,24.7575595662952,21.7653911824438,27.7497279501466
9,District of Columbia,430,19.5112886703777,15.411302428125,23.6112749126305,33.9217566073615,27.3385979915481,40.5049152231749,57.6146206009906,49.1026043558668,66.1266368461143,25.1677029001233,20.5677781226445,29.7676276776022
