State ID,State name,Number of patients in surgical cohort (2015),Percent readmitted within 30 days of discharge (2015),,,Percent seeing a primary care clinician within 14 days of discharge to home (2015),,,Percent having an emergency room visit within 30 days of discharge (2015),,
,,,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit
1,Alabama,30439,10.7888343452234,10.4208949337285,11.1567737567183,19.9562290617419,19.3349771635959,20.5774809598879,14.8523366389765,14.4201548469126,15.2845184310405
2,Alaska,3200,8.46696894965598,7.42773351054088,9.50620438877109,24.6144081030756,22.750570510944,26.4782456952072,15.7081280878421,14.3028577264931,17.113398449191
3,Arizona,31451,10.4845341465833,10.1207516427946,10.8483166503719,26.0428046112723,25.3765737084951,26.7090355140494,16.4041786616379,15.9510611730942,16.8572961501816
4,Arkansas,20124,11.0448878870106,10.5824044387892,11.5073713352319,23.9167924840681,23.1044542585271,24.7291307096091,16.2964630463852,15.7356617553469,16.8572643374234
5,California,112911,10.0375565359748,9.85285018622221,10.2222628857273,22.1490610400901,21.818411477002,22.4797106031781,15.0501556038285,14.8240136787999,15.2762975288571
6,Colorado,20098,9.29435444720331,8.86473843628997,9.72397045811665,25.5589760257118,24.7065860074604,26.4113660439632,15.8019932375495,15.2443706481807,16.3596158269183
7,Connecticut,18934,11.2605004185296,10.7882335866363,11.7327672504229,19.3865134915338,18.5464676845794,20.2265592984881,16.0185339479054,15.4538189334234,16.5832489623874
8,Delaware,7546,10.7429683016566,10.0026711049291,11.4832654983841,20.246909046708,19.0308910584573,21.4629270349586,15.3238672420214,14.439726206737,16.2080082773057
9,District of Columbia,2072,11.5121659447206,10.1779378048725,12.8463940845688,16.5491343411592,14.2263224153397,18.8719462669786,16.2849832476154,14.6603709543789,17.909595540852
10,Florida,114667,11.7950078156522,11.5974450940726,11.9925705372317,23.3311287577421,22.9862373408964,23.6760201745877,16.2206806393744,15.9887418895564,16.4526193891925
11,Georgia,41730,10.6712920365323,10.3593253440212,10.9832587290434,19.1921585809102,18.6947424712231,19.6895746905972,16.3299936416551,15.9434709348199,16.7165163484903
12,Hawaii,3257,8.62345314745069,7.61155878150376,9.63534751339762,31.6172424379181,29.3361027538889,33.8983821219472,14.0318901860458,12.742552875787,15.3212274963046
13,Idaho,8402,7.60090215803084,6.99918696654973,8.20261734951196,19.6540469848527,18.5364123779917,20.7716815917137,13.6809966332319,12.8779581210886,14.4840351453752
14,Illinois,70546,11.352734507709,11.1050994199548,11.6003695954631,27.7440230302409,27.2470185630864,28.2410274973954,15.6963432519382,15.4048611025514,15.9878254013249
15,Indiana,38742,10.4621450481691,10.138283953068,10.7860061432703,23.4034804089119,22.7957999143824,24.0111609034415,15.6035517447649,15.2085627975475,15.9985406919822
16,Iowa,22374,9.89631328698988,9.48088003063657,10.3117465433432,32.5025614548265,31.5931390896652,33.4119838199879,15.3891014312757,14.8721963809596,15.9060064815918
17,Kansas,20026,9.93633013073984,9.49821463547841,10.3744456260013,28.7153264096603,27.7955083999936,29.635144419327,14.3329867270621,13.8074081559475,14.8585652981767
18,Kentucky,24618,11.6047169997035,11.1739481995372,12.0354857998699,24.9691020226685,24.1846388150161,25.753565230321,16.7871389731031,16.2705040214263,17.3037739247798
19,Louisiana,21660,11.2358176613465,10.7953736090217,11.6762617136712,18.5051438170259,17.8147546074099,19.1955330266418,16.3893425597045,15.8553646235134,16.9233204958955
20,Maine,8479,10.3781044385055,9.68648680988341,11.0697220671276,24.4454666425947,23.1236941159158,25.7672391692735,17.2878048920677,16.3973505767342,18.1782592074012
21,Maryland,31960,,,,19.1316477516001,18.5315832601092,19.7317122430909,14.5361913566577,14.1241438116293,14.9482389016861
22,Massachusetts,35439,11.2532408540715,10.9031841235805,11.6032975845625,23.5639830483275,22.8946996113799,24.2332664852751,16.1465202214217,15.7275268158261,16.5655136270174
23,Michigan,56153,11.6385504070486,11.3578445781381,11.9192562359591,25.0746322104444,24.5698171642045,25.5794472566843,17.2411080182495,16.8990001272602,17.5832159092387
24,Minnesota,15684,9.82108284624133,9.33371918217817,10.3084465103045,34.1390087978567,32.9757975438718,35.3022200518417,15.4259892561735,14.8146519913495,16.0373265209974
25,Mississippi,18687,11.5578016217925,11.0764699470181,12.0391332965669,19.1362562159779,18.3674363974983,19.9050760344575,16.1207650589309,15.5502267217264,16.6913033961354
26,Missouri,36010,11.4932836367407,11.1410006736048,11.8455665998766,22.4816848964667,21.883982284665,23.0793875082684,15.9956667820423,15.5806970335545,16.4106365305301
27,Montana,7055,8.12066878462664,7.44382989688794,8.79750767236534,25.1800867545179,23.7957539255643,26.5644195834716,14.2009562529369,13.310015648899,15.0918968569748
28,Nebraska,13694,8.9415606564931,8.43732223889674,9.44579907408946,37.3083282788062,35.98879012354,38.6278664340724,11.9596174383515,11.3775840024186,12.5416508742845
29,Nevada,10963,11.3333875618019,10.6918734412971,11.9749016823067,21.8904471367253,20.8257705796721,22.9551236937785,16.6536710781777,15.879347755869,17.4279944004864
30,New Hampshire,9142,10.0916235555454,9.43083409367526,10.7524130174154,21.2511381329798,20.0786496427827,22.4236266231769,15.6504503272712,14.830629604244,16.4702710502984
