State ID,State name,Number of patients in medical cohort (2015),Percent readmitted within 30 days of discharge (2015),,,Percent seeing a primary care clinician within 14 days of discharge to home (2015),,,Percent having an ambulatory visit within 14 days of discharge to home (2015),,,Percent having an emergency room visit within 30 days of discharge (2015),,
,,,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit
1,Alabama,59161,14.4069611915014,14.1015242194613,14.7123981635414,42.4719250098515,41.8546347511858,43.0892152685173,60.0729924597285,59.3405095660145,60.8054753534425,19.1808160810211,18.8285113363666,19.5331208256757
2,Alaska,4044,12.7986347447506,11.6900095710526,13.9072599184487,46.2476805024704,44.0004260426536,48.4949349622872,57.716374292822,55.209921104028,60.2228274816161,18.3717413878721,17.0371733944079,19.7063093813363
3,Arizona,43180,14.1508236050529,13.7946822669392,14.5069649431667,44.8716076962756,44.1618157349836,45.5813996575677,64.6430967762223,63.7927005949739,65.4934929574707,20.5929096341995,20.1615438342605,21.0242754341384
4,Arkansas,37520,15.2854110870188,14.8889366962831,15.6818854777546,46.3360322017293,45.5129214688934,47.1591429345651,60.923628176178,59.9812838357781,61.865972516578,20.9281944236389,20.4637725206444,21.3926163266334
5,California,204670,14.5659259225696,14.4005059000095,14.7313459451298,42.5673967775941,42.2322767600549,42.9025167951332,63.7863425845965,63.3754285389666,64.1972566302265,20.2974297079158,20.1020816240062,20.4927777918254
6,Colorado,28723,12.8648352303613,12.4489509087471,13.2807195519754,49.9657470877098,48.9737389079807,50.9577552674389,65.4875893177705,64.352631285156,66.6225473503851,20.0529284614605,19.5327937690427,20.5730631538782
7,Connecticut,40536,14.8665181515024,14.4916840978095,15.2413522051954,39.9819879518805,39.2072382585946,40.7567376451665,63.332775368959,62.3544762702032,64.3110744677149,20.6160035447827,20.1753328197794,21.0566742697859
8,Delaware,12888,14.46940978096,13.8146372213484,15.1241823405716,46.2690359614058,44.8789370201547,47.659134902657,66.7210943417119,65.0559685426991,68.3862201407247,20.3199033220975,19.5438888450478,21.0959177991472
9,District of Columbia,5033,14.9992729163364,13.9631092999771,16.0354365326958,32.32252656507,30.353320351225,34.291732778915,54.8078724931911,52.2465391933949,57.3692057929873,19.905664999733,18.7260939604866,21.0852360389793
10,Florida,222023,15.4512666117667,15.287805335769,15.6147278877643,39.5429473766901,39.2357030241865,39.8501917291937,62.5140067659941,62.1273674624608,62.9006460695273,20.4826866112243,20.2944520594422,20.6709211630064
11,Georgia,76173,14.8644493762871,14.5914736867469,15.1374250658273,42.3692998056362,41.8313342751585,42.9072653361138,62.9367778128547,62.2819979126201,63.5915577130893,21.1585415294096,20.8332282779253,21.4838547808939
12,Hawaii,6440,12.1789046822454,11.3258371327106,13.0319722317802,51.0381662582929,49.0350649754622,53.0412675411236,67.9806074938275,65.6657173029161,70.295497684739,18.7134393795649,17.6537434235456,19.7731353355843
13,Idaho,10852,12.5317161092612,11.8629709607058,13.2004612578166,47.451895433423,45.9486715353491,48.9551193314969,62.7002352132392,60.9722666827966,64.4282037436819,18.4678572952369,17.6533611535201,19.2823534369538
14,Illinois,143569,15.2291825580532,15.0276183816805,15.430746734426,46.4512283364701,46.0250373636027,46.8774193093376,63.4853673623671,62.9870157590541,63.9837189656801,20.022956913399,19.7919880852975,20.2539257415005
15,Indiana,74904,14.4343752706582,14.1616231664924,14.7071273748241,45.6606853794673,45.0722974625394,46.2490732963952,61.8764841599186,61.1919643162483,62.5610040035889,20.0000029792372,19.6787454116536,20.3212605468209
16,Iowa,38461,13.9144895646468,13.5407196620472,14.2882594672463,51.8581976216409,50.9787316775325,52.7376635657492,67.035778620638,66.0356521660446,68.0359050752314,19.483792690399,19.0408798276155,19.9267055531824
17,Kansas,35329,14.3163888758897,13.9208619145708,14.7119158372087,51.3065181292334,50.3805064488845,52.2325298095823,66.1030958832773,65.0515859550594,67.1546058114952,18.3723059199253,17.9240019752322,18.8206098646184
18,Kentucky,53849,15.3535246034143,15.0208183496015,15.6862308572272,44.8923858632943,44.2244396761228,45.5603320504658,59.7512500646396,58.9819213611154,60.5205787681639,21.5438364548981,21.1489083810934,21.9387645287028
