"CT,C,11","CT_ST,C,2","PCSA,C,11","PCSA_ST,C,2","PCSA_L,C,30"
51013101200,VA,51059451300,VA,VA03_FALLS CHURCH
51013101300,VA,51013100900,VA,VA01_ARLINGTON
51013101401,VA,51013100900,VA,VA01_ARLINGTON
51013101402,VA,51013100900,VA,VA01_ARLINGTON
51013101403,VA,51013100900,VA,VA01_ARLINGTON
51013101404,VA,51013100900,VA,VA01_ARLINGTON
51013101500,VA,51013100900,VA,VA01_ARLINGTON
51013101601,VA,51013100900,VA,VA01_ARLINGTON
51013101602,VA,51013100900,VA,VA01_ARLINGTON
51013101603,VA,51013100900,VA,VA01_ARLINGTON
51013101701,VA,51013100900,VA,VA01_ARLINGTON
51013101702,VA,51013100900,VA,VA01_ARLINGTON
51013101703,VA,51013100900,VA,VA01_ARLINGTON
51013101801,VA,51013100900,VA,VA01_ARLINGTON
51013101802,VA,51013100900,VA,VA01_ARLINGTON
51013101803,VA,51013100900,VA,VA01_ARLINGTON
51013101900,VA,51013100900,VA,VA01_ARLINGTON
51013102001,VA,51013100900,VA,VA01_ARLINGTON
51013102002,VA,51013100900,VA,VA01_ARLINGTON
51013102003,VA,51013100900,VA,VA01_ARLINGTON
51013102100,VA,51013100900,VA,VA01_ARLINGTON
51013102200,VA,51013100900,VA,VA01_ARLINGTON
51013102301,VA,51013100900,VA,VA01_ARLINGTON
51013102302,VA,51013100900,VA,VA01_ARLINGTON
51013102400,VA,51013100900,VA,VA01_ARLINGTON
51013102500,VA,51013100900,VA,VA01_ARLINGTON
51013102600,VA,51013100900,VA,VA01_ARLINGTON
51013102701,VA,51013100900,VA,VA01_ARLINGTON
51013102702,VA,51013100900,VA,VA01_ARLINGTON
51013102801,VA,51013100900,VA,VA01_ARLINGTON
51013102802,VA,51510200201,VA,VA01_ALEXANDRIA
51013102901,VA,51013100900,VA,VA01_ARLINGTON
51013102902,VA,51013100900,VA,VA01_ARLINGTON
51013103000,VA,51510200201,VA,VA01_ALEXANDRIA
51013103100,VA,51013100900,VA,VA01_ARLINGTON
51013103200,VA,51013100900,VA,VA01_ARLINGTON
51013103300,VA,51013100900,VA,VA01_ARLINGTON
51013103401,VA,51013100900,VA,VA01_ARLINGTON
51013103402,VA,51013100900,VA,VA01_ARLINGTON
51013103501,VA,51013103501,VA,VA02_ARLINGTON
51013103502,VA,51013103501,VA,VA02_ARLINGTON
51013103503,VA,51013100900,VA,VA01_ARLINGTON
51013103601,VA,51013103501,VA,VA02_ARLINGTON
51013103602,VA,51013103501,VA,VA02_ARLINGTON
51013103700,VA,51013103501,VA,VA02_ARLINGTON
51013103800,VA,51013100900,VA,VA01_ARLINGTON
51013980100,VA,51013100900,VA,VA01_ARLINGTON
51013980200,VA,51013100900,VA,VA01_ARLINGTON
51015070100,VA,51790000400,VA,VA02_STAUNTON
51015070200,VA,51165011500,VA,VA00_BRIDGEWATER
51015070300,VA,51015070300,VA,VA00_MOUNT SIDNEY
51015070400,VA,51015070300,VA,VA00_MOUNT SIDNEY
51015070500,VA,51015070600,VA,VA01_STAUNTON
51015070600,VA,51015070600,VA,VA01_STAUNTON
51015070700,VA,51015070300,VA,VA00_MOUNT SIDNEY
51015070800,VA,51790000400,VA,VA02_STAUNTON
51015070900,VA,51790000600,VA,VA03_STAUNTON
51015071000,VA,51015071102,VA,VA00_STUARTS DRAFT
51015071101,VA,51015071102,VA,VA00_STUARTS DRAFT
51015071102,VA,51015071102,VA,VA00_STUARTS DRAFT
51015071200,VA,51015070600,VA,VA01_STAUNTON
51017920100,VA,51017920100,VA,VA00_MILLBORO
51019030101,VA,51680000300,VA,VA00_LYNCHBURG
51019030103,VA,51019030103,VA,VA00_FOREST
51019030104,VA,51019030103,VA,VA00_FOREST
51019030201,VA,51019030103,VA,VA00_FOREST
51019030202,VA,51515050100,VA,VA01_BEDFORD
51019030300,VA,51515050100,VA,VA01_BEDFORD
51019030401,VA,51515050100,VA,VA01_BEDFORD
51019030402,VA,51515050100,VA,VA01_BEDFORD
51019030501,VA,51019030501,VA,VA02_BEDFORD
