year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2011,IDF,ALL,426,VA- ARLINGTON,156494,366,369,438.657492367963,0.841203003300053,2.3579178754457,2.38562158099561,0.0994075851652411,2.15396910780362,2.64218753513844,1000,hrr,11,26
2011,IDF,ALL,427,VA- CHARLOTTESVILLE,72144,170,170,206.551520503734,0.823039208742725,2.35639831448215,2.33423538616122,0.143220213575138,2.00827658734737,2.7130998152023,1000,hrr,11,26
2011,IDF,ALL,428,VA- LYNCHBURG,36056,80,81,102.715676300238,0.788584595045033,2.24650543598846,2.24080368131495,0.199122667522898,1.80218558307916,2.7861731806863,1000,hrr,11,26
2011,IDF,ALL,429,VA- NEWPORT NEWS,64803,134,136,187.024190908168,0.727178657154454,2.09866827153064,2.07230131390472,0.142173445562142,1.7515119494515,2.45184324146694,1000,hrr,11,26
2011,IDF,ALL,430,VA- NORFOLK,125065,354,357,355.116129833773,1.00530494113886,2.85451565186103,2.86641923674105,0.121517376220297,2.58349051290634,3.18033265448921,1000,hrr,11,26
2011,IDF,ALL,431,VA- RICHMOND,176259,435,442,501.064313559444,0.882122290570116,2.50767336703374,2.51421947853269,0.0958215468239183,2.28996377838482,2.76043649506622,1000,hrr,11,26
2011,IDF,ALL,432,VA- ROANOKE,92342,222,223,258.395142022173,0.863019320931599,2.41493578220095,2.4459247119522,0.131046307785202,2.14488290961087,2.7892187819352,1000,hrr,11,26
2011,IDF,ALL,435,VA- WINCHESTER,50924,120,121,145.073108775016,0.834062225740616,2.37608985939832,2.36186144149106,0.171745534476945,1.97623885981692,2.82273038053661,1000,hrr,11,26
