year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2008,IDF,ALL,1001,AL- ALABASTER,7345,23,25,22.0414568463759,1.13422629793686,-3.40367597004765,-3.48863414973687,-0.546611322109601,-2.35722774769643,-5.16308542634621,1000,hsa,11,26
2008,IDF,ALL,1002,AL- ALEXANDER CITY,3410,23,25,10.1607578392123,2.46044639539782,-7.33137829912024,-7.60799186136806,-1.19207196621181,-5.1405848729648,-11.2597188049654,1000,hsa,11,26
2008,IDF,ALL,1003,AL- ANDALUSIA,4084,11,11,12.4015997288941,0.886982344251235,-2.69343780607248,-2.73240247392102,-0.645390039614541,-1.5131733059127,-4.93401730675288,1000,hsa,11,26
2008,IDF,ALL,1004,AL- ANNISTON,13156,63,64,39.776434510524,1.60899288203086,4.86470051687443,4.96568171192119,0.486344396552846,3.88646761236432,6.3445774732979,1000,hsa,11,26
2008,IDF,ALL,1006,AL- ASHLAND,2496,15,15,7.63438681130217,1.9647943404955,-6.00961538461539,-6.06632259593302,-1.22705246488736,-3.65707371193326,-10.0627640394138,1000,hsa,11,26
2008,IDF,ALL,1007,AL- ATHENS,7361,13,14,22.4278394091969,0.624224194964542,-1.90191550061133,-1.92140271628829,-0.40228467772876,-1.13792715340299,-3.24430996054508,1000,hsa,11,26
2008,IDF,ALL,1008,AL- ATMORE,2108,12,13,6.49092000709586,2.00279775221208,-6.16698292220114,-6.21725588406477,-1.35091804152599,-3.60989306284876,-10.7078714119675,1000,hsa,11,26
2008,IDF,ALL,1010,AL- BESSEMER,7411,29,29,22.3153863949482,1.29955177502842,3.91310214545945,4.0181384332927,0.584570159624973,2.79216929094794,5.78239884001536,1000,hsa,11,26
2008,IDF,ALL,1011,AL- BIRMINGHAM,62030,158,163,186.884017963957,0.872198713275934,2.62776076092213,2.69422309540111,0.165408534720714,2.31058761470404,3.14155500600765,1000,hsa,11,26
2008,IDF,ALL,1012,AL- BOAZ,8280,28,28,24.7346879895962,1.13201347078958,3.38164251207729,3.47606647988571,0.514650730181986,2.39999008316644,5.03462004169752,1000,hsa,11,26
2008,IDF,ALL,1013,AL- BREWTON,3380,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1014,AL- BRIDGEPORT,1219,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1016,AL- CAMDEN,894,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1017,AL- CARROLLTON,2131,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1018,AL- CENTRE,3132,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1019,AL- CENTREVILLE,966,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1022,AL- CULLMAN,11530,23,23,34.8903528673512,0.659208007653094,-1.99479618386817,-2.02426288763875,-0.330672800382734,-1.3451293172015,-3.04627977836108,1000,hsa,11,26
2008,IDF,ALL,1023,AL- DADEVILLE,1463,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1024,AL- DECATUR,9077,21,21,27.3382417662991,0.768154740144536,-2.31353971576512,-2.3663175677456,-0.404529283933693,-1.54281424969032,-3.62937977306433,1000,hsa,11,26
2008,IDF,ALL,1025,AL- DEMOPOLIS,2329,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1026,AL- DOTHAN,23491,70,70,71.7603808001756,0.975468625158532,2.97986462900685,3.0126761603949,0.282149185925279,2.38334570877385,3.80818343474022,1000,hsa,11,26
2008,IDF,ALL,1027,AL- ELBA,1335,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1028,AL- ENTERPRISE,5129,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1029,AL- EUFAULA,2322,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
2008,IDF,ALL,1031,AL- EVERGREEN,1182,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26
