HSA #,HSA name,State,Medicare enrollees (2010),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)"
2001,Anchorage,AK,18614,7770.14,6596.41,3952.64,3295.1,2209.2,1845.9,945.59,842.22,280.31,248.43,159.28,150.8,173.48,173.9
2002,Cordova,AK,223,10088.4,8518.15,5575.73,4584.94,1831.71,1555.01,2103.77,1875.21,,,,,148.13,143.36
2003,Fairbanks,AK,6555,8205.68,6301.58,4529.24,3060.76,2150.61,1854.8,1034.75,930.46,211.32,189.56,44.43,38.56,131.11,127.86
2004,Homer,AK,1335,9374.88,7616.62,4959.03,3684.51,1684.83,1442.18,2126.93,1902.38,168.26,151.64,,,143.16,143
2005,Juneau,AK,2998,8022.86,6647.71,4254.61,3258.13,1964.85,1751.47,1285.89,1156.64,164.05,149.23,129.31,120.55,116.17,116.86
2006,Ketchikan,AK,1734,9668.91,8158.97,4979.18,3935.8,2037.95,1841.61,1789.14,1607.36,528.19,465.27,,,123.11,122.93
2007,Kodiak,AK,748,9393.09,7559.32,4845.94,3512.75,1711.88,1487.18,2046.83,1845.1,391.79,347.54,,,113.9,119.17
2008,Nome,AK,353,8927.41,6224.71,4946.64,2916.15,961.96,736.93,2091.5,1839.96,,,,,72.98,80.55
2009,Palmer,AK,5963,8896.08,7183.47,4623.7,3517.38,2455.68,2019.39,955.99,846.48,355.49,312.67,303.61,288.3,179.21,178.17
2010,Petersburg,AK,408,10829.56,9175.71,5170.7,4116.88,1819.8,1623.04,3172.99,2834.7,176.66,160.67,,,119.13,113.2
2011,Seward,AK,329,7696.96,6190.32,4148.36,3091.08,1371.88,1147.89,1885.05,1679.87,,,,,115.06,117.68
2012,Sitka,AK,821,13234.09,10642.54,7681.29,5725.15,2100.93,1845.25,2786.54,2495.46,194.91,175.32,,,107.03,110.67
2013,Soldotna,AK,3772,9118.41,7232.14,4942.23,3570.5,2063.63,1732.97,1465.25,1312.46,267.85,240.63,105.28,101.83,172.24,170.38
2014,Valdez,AK,200,16673.13,12876.02,11877,8632.2,2216,1887.06,2270.37,2027.26,,,,,128.39,123.51
2015,Wrangell,AK,331,13234.27,11469.36,7367.81,6218.64,2114.99,1898.52,3251.42,2901.7,,,,,70.84,76.45
2016,Barrow,AK,218,12457.92,8719.69,7738.88,4874.96,1811.6,1463.09,1879.14,1656.82,,,,,78.87,82.84
2017,Bethel,AK,1085,7968.54,5606.87,4906.52,3117.76,2155.16,1822.9,650.32,569.76,58.96,50.4,,,57.72,60.56
2018,Dillingham,AK,295,8990.61,5864.53,5644.53,3163.13,1468.09,1204.83,1199.25,1051.47,,,,,70.63,73.28
