HRR #,HRR name,State,Medicare enrollees (2010),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)"
10,Anchorage,AK,46308,8591.04,6976.15,4569.79,3467.89,2161.63,1829.22,1223.83,1092.98,257.49,228.13,132.17,124.45,151.7,151.43
1,Birmingham,AL,215451,9009.38,10217.5,3984.12,4795.67,2505.28,2636.56,994.57,1097.42,701.64,775.48,539.54,632.14,296.43,297.12
2,Dothan,AL,46112,8615.86,9999.68,3808.84,4718.16,2368.22,2526.93,1011.58,1146.76,623.89,706.53,543.82,646.67,276.24,277.26
5,Huntsville,AL,66246,8847.39,9772.42,3855.9,4486.41,2608.13,2720.45,1066.87,1143.12,633.58,687.22,417.24,480.26,268.94,269.11
6,Mobile,AL,73502,8678.96,10087.68,3624.55,4559.52,2406.87,2557.74,1074.42,1209.28,688.6,775.72,628.16,733.3,278.74,279.66
7,Montgomery,AL,40350,8731.86,9708.12,3869.66,4508.74,2707.16,2803.68,842.55,921.96,572.06,634.8,513.24,608.1,253.74,254.51
9,Tuscaloosa,AL,26616,9408.64,10357.12,4399.62,5022.51,2302.35,2454.6,1042.78,1112.07,915.38,985.09,456.09,486.82,275.26,274.66
16,Fort Smith,AR,39746,8943.87,10154.23,4263.95,5090.34,1934.52,2031.86,934.59,1037.81,1143.51,1276.56,437.71,494.87,293.08,296.23
18,Jonesboro,AR,28031,8680.82,9663.51,4560.25,5237.68,2102.12,2186.18,1014.52,1139.4,483.41,547.16,185.33,217.77,339.56,343.47
19,Little Rock,AR,184692,8446.96,9431.25,4082.89,4792.43,2275.91,2388.34,1028.31,1124.32,443.24,488.92,306.48,329.34,305.61,305.33
21,Springdale,AR,45352,7913.05,8752.42,3826.39,4450.57,2105.13,2239.29,866.64,930.17,512.83,557.65,316.67,290.86,288.76,289.6
22,Texarkana,AR,30938,9743.76,11078.94,4539.3,5499.79,2328.79,2402.56,930.87,1024.97,1133.15,1245.75,480.44,576.71,343.5,345.28
