GEOID,State name,Total* Medicare beneficiaries age 65-99,Percent of U.S. population age 75 and older (2010),Percent of Medicare beneficiaries whose race was non-Hispanic white,Percent of Medicare beneficiaries whose race was black,Percent of Medicare beneficiaries whose race was Hispanic,Percent of Medicare beneficiaries receiving fee-for-service care,Percent of Medicare beneficiaries living in nursing homes,Percent of Medicare beneficiaries eligible for Medicaid
1,Alabama,651109,6.0106039329,81.4344449239682,17.2078714930987,0.470735314670816,78.1153385992207,2.7411692973066,6.61563578448463
2,Alaska,56984,2.7579759261,75.5808648041556,2.05496279657448,2.32345921662221,99.0225326407413,1.04239786606767,14.326828583462
3,Arizona,823345,6.006539094,83.5987344308886,2.11891734327651,10.0927314795134,62.0320764685521,0.519709234889384,8.03174853797618
4,Arkansas,414812,6.3574833037,89.2153553899116,8.79265787874989,0.854604013384377,83.3637888971389,3.62405137749149,10.046478886821
5,California,4152769,5.2911910885,64.1135589289941,5.27549208732776,17.4609519575974,58.6628343642519,1.46331279201901,17.9966427220007
6,Colorado,559163,4.7654734474,86.2040227983611,2.60192466239719,8.69281408104614,62.1287531542681,1.68251475866608,5.63502949944828
7,Connecticut,498700,7.0399600235,87.5207539602968,5.72688991377582,4.11730499298175,75.7904551834771,3.69921796671346,8.76398636454782
8,Delaware,130370,6.3283047529,83.0029914857713,12.8119966249904,1.68673774641405,93.916545217458,2.44074557029992,4.70507018485848
9,District of Columbia,63011,5.2914713248,32.1594642205329,61.4480011426576,3.34703464474457,86.8895907063846,2.90901588611512,15.7512180412944
10,Florida,3031627,8.1465706379,76.8276242426921,7.88266498484147,13.1018096883291,64.0477538958454,1.80259642759482,8.73695873535893
11,Georgia,1034877,4.3932828725,76.1469237406958,20.2650170020205,1.45553529549889,73.2295722100308,2.32819938987918,6.99667689976683
12,Hawaii,192355,6.9554458903,26.1303319383432,0.620207428972473,6.1615242650308,52.0620727301084,0.934730056406124,11.1034285565751
13,Idaho,202563,5.4309120671,94.95070669372,0.156494522691706,2.77987589046371,67.2768472030924,1.47361561588247,5.7103222207412
14,Illinois,1576311,5.9208151243,81.0614149111438,10.6300089259036,5.12830272706338,88.2813099699235,3.33538242136228,9.66585908491408
15,Indiana,848753,5.9960652716,91.8198816381209,5.58725565623921,1.32818381790698,78.7079397657505,3.83067865444953,7.42418583498379
16,Iowa,452317,7.4919699116,96.9242809799322,1.02826115312933,0.778436362108875,84.6200783963459,4.89302856182721,6.7519018741281
17,Kansas,373016,6.5096150948,92.0558367469492,3.54220730478049,2.41812683638235,86.3842301670706,4.04593904819096,5.97829583717589
18,Kentucky,575053,5.8283385572,93.974642337315,4.73017269712531,0.389007621906155,80.4612792212196,3.33725760929862,8.11681705860155
19,Louisiana,550053,5.423402271,73.8512470616468,22.2945788860346,2.34831916197166,71.1215101090258,3.5631111911034,10.6793345368537
20,Maine,215414,7.4098080266,98.1496095889775,0.228397411496003,0.323562999619338,80.5360840056821,2.58525444028708,11.2448587371294
21,Maryland,698820,5.5647719116,71.7453707678658,21.3843335909104,2.00666838384706,90.4340173435219,2.25193898285682,6.27142898028105
22,Massachusetts,900878,6.8156580038,89.031589182997,3.51712440530238,3.54609614176392,76.9795688206394,3.16369142103592,13.6865369117683
23,Michigan,1380817,6.4431828759,86.876682427867,9.41196407634031,1.41524908803991,70.783601302707,2.23375001901048,8.51256900805827
24,Minnesota,696101,6.1971841608,95.068819036318,1.39232668822484,0.741846369995159,45.8682001606089,1.32021071654832,8.81337621983017
25,Mississippi,380348,5.5922275391,74.522805430816,24.0784755013829,0.496124601680566,87.2690273118302,3.55753152376245,12.2745485713084
