HSA #,HSA name,State,Medicare enrollees (20% sample) (2007),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)"
2001,Anchorage,AK,3350,6607.14,5719.25,3547.43,2826.5,1744.02,1688.32,660.12,586.38,268.08,239.42,229.8,218.11,155.76,155.6
2002,Cordova,AK,32,5578.34,4945.96,,,996.83,969.72,2192.85,1899.74,,,,,,
2003,Fairbanks,AK,1182,7004.14,6036.28,3891.98,3128.58,1936.36,1835.19,771.82,699.24,169.05,152.78,,,156.76,147.24
2004,Homer,AK,225,7250.97,5608.79,4845.93,3317.38,1263.34,1239.16,665.56,590.32,333.53,296.12,,,161.35,158.58
2005,Juneau,AK,499,6329.59,5406.1,3235.54,2535.4,1504.43,1457.81,1101.86,967.76,208.03,180.84,,,135.32,136.57
2006,Ketchikan,AK,295,8308.7,6803.11,4163.31,3029.81,1618.53,1542.67,1754.29,1537.1,355.07,306.75,,,162.77,163.49
2007,Kodiak,AK,125,7854.08,6222.6,4247.24,2942.97,1148.64,1143.38,1492.07,1315.83,,,,,95.56,96.17
2008,Nome,AK,63,8040.18,5065.3,4775.99,2281.16,662.57,684.57,1713.79,1476.3,,,,,,
2009,Palmer,AK,975,7123.29,6098.29,3566.43,2766.37,1734.42,1672.48,890.68,787.35,263.51,233.6,496.35,451.45,204.26,202.46
2010,Petersburg,AK,79,9086.6,8113.77,5804.38,5138.92,1356.07,1256.07,1452.53,1285.1,,,,,48.43,48.88
2011,Seward,AK,62,6203.9,5168.82,3085.02,2327.89,1182.14,1117.06,1330.14,1165.45,,,,,99.57,97.17
2012,Sitka,AK,149,14789.64,12461.69,9761.74,7873.2,2115.37,2065.15,1990.35,1742.24,271.54,235.1,,,321.31,332.67
2013,Soldotna,AK,592,7590.86,6699.57,3971.9,3341.29,1703.81,1624.88,1125.48,994.85,431.79,382.42,,,268.87,261.3
2014,Valdez,AK,34,30933.99,25144.19,,,1345.53,1305.21,2881.71,2515.22,,,,,,
2015,Wrangell,AK,60,8723.2,7823.13,4543.24,4011.04,1964.77,1866.4,1937.41,1693.71,,,,,,
2016,Barrow,AK,43,15079.45,10593.52,10999.94,7091.29,2448.7,2434.56,1000.75,860.86,,,,,,
