County ID,County name,Medicare enrollees (20% sample) (2007),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)"
2016,AK-Aleutians West Census Area,15,16385.64,13544,,,3661.94,3493.42,,,,,,,,
2020,AK-Anchorage Municipality,3187,6668.66,5789.93,3584.69,2869.18,1763.45,1708.15,645.97,574.5,281.06,251.52,240.72,229.06,155.78,155.5
2050,AK-Bethel Census Area,150,7207.85,5007.6,4323.86,2596.82,1823.55,1629.06,761.85,656.22,,,,,88,87.61
2060,AK-Bristol Bay Borough,14,3498.68,3141.58,,,1100.48,999.85,,,,,,,,
2068,AK-Denali Borough,18,3644.22,3027.19,,,821.77,895.83,,,,,,,,
2070,AK-Dillingham Census Area,53,12673.15,8790.25,8453.84,5253.49,1650.66,1570.41,1530.4,1316.38,,,,,,
2090,AK-Fairbanks North Star Borough,970,7085.09,6141.96,3932.26,3178.47,1873.63,1790.07,841.44,763.76,195.63,177.61,,,170.47,159.29
2100,AK-Haines Borough,56,4078.15,3706.39,,,1293.74,1213.94,884.91,776.07,,,,,,
2110,AK-Juneau City and Borough,394,6962.31,5927.94,3667.4,2858.06,1536.35,1506.05,1207.7,1062.21,255.94,223.42,,,142.04,141.73
2122,AK-Kenai Peninsula Borough,887,7343.35,6256.33,4096.93,3230.9,1542.99,1480.15,1019.39,901.05,385.7,342.62,,,227.28,221.36
2130,AK-Ketchikan Gateway Borough,221,9296.75,7498.85,4778.18,3406.62,1623.38,1536.25,2095.71,1841.99,459.74,399.4,,,180.35,179.06
2150,AK-Kodiak Island Borough,125,7854.08,6222.6,4247.24,2942.97,1148.64,1143.38,1492.07,1315.83,,,,,95.56,96.17
2164,AK-Lake and Peninsula Borough,13,6669.47,4590.86,,,1892.77,1658.57,,,,,,,,
2170,AK-Matanuska-Susitna Borough,975,7123.29,6098.29,3566.43,2766.37,1734.42,1672.48,890.68,787.35,263.51,233.6,496.35,451.45,204.26,202.46
2180,AK-Nome Census Area,83,8273.88,5374.12,4661.18,2297.74,639.41,650.77,2037.6,1751.89,,,,,87.41,87.26
2185,AK-North Slope Borough,58,15258.81,10677.31,9955.97,6163.1,4043.96,3727.36,997.14,860.58,,,,,71.79,70.63
2188,AK-Northwest Arctic Borough,61,11307.04,6794.29,6987.88,3289.9,2680.88,2338.26,1255.49,1082.37,,,,,,
2201,AK-Prince of Wales-Outer Ketchikan Census Area,74,5456.56,4802.42,2457.45,1981.07,1602.85,1563.23,870.38,756.04,,,,,113.02,119.41
2220,AK-Sitka City and Borough,142,15435.61,13046.52,10252.61,8296.83,2174.56,2125.02,2063.69,1807.24,287.2,249.43,,,332.7,345.23
2232,AK-Skagway-Hoonah-Angoon Census Area,49,2620.62,2106.07,,,755.75,747.9,513.2,445.36,,,,,,
2240,AK-Southeast Fairbanks Census Area,116,8489.21,7097.62,5405.61,4281.13,2554.7,2327.26,411.41,375,,,,,66.42,69.05
2261,AK-Valdez-Cordova Census Area,133,11167.59,9309.61,7859.73,6299.85,1304.01,1266.83,1503.35,1312.41,,,,,220.41,216.68
2270,AK-Wade Hampton Census Area,75,5979.03,4180.8,3285.1,1938.36,1855.92,1599.01,682.86,585.36,,,,,,
2280,AK-Wrangell-Petersburg Census Area,139,8931.53,7989.37,5269.65,4657.92,1618.5,1519.45,1656.91,1457.47,,,,,37.52,40.85
2290,AK-Yukon-Koyukuk Census Area,80,3840.22,3215.73,,,1484.82,1368.48,433.4,383.68,,,,,,
1001,AL-Autauga County,853,8290.49,9190.32,3675.12,4256.83,2598.76,2739.23,609.26,652.1,479.14,518.05,672.67,787.91,288.79,287.2
1003,AL-Baldwin County,4217,7417.29,8624.22,3077.09,3850.41,2218.06,2410.83,921.82,1040.88,499.31,572.86,481.42,549.09,230.27,225.6
1005,AL-Barbour County,620,8690.76,10152.32,3724.75,4629.39,2564.56,2743.76,872.52,990.91,411.09,466.58,840.54,1036.49,340.16,340.55
1007,AL-Bibb County,360,9830.88,10813.41,5347.81,6036.94,2037.11,2242.23,1092.83,1150.41,859.41,910.76,,,270.47,269.69
1009,AL-Blount County,758,8614.14,9581.44,4334.92,4960.72,2042.88,2242.08,826.86,882.61,674.76,714.45,538.16,594.75,254.61,251.7
1011,AL-Bullock County,156,6849.89,7995.79,3469.07,4356.5,2141.65,2243.3,570.05,629.26,284.29,323.83,,,267.67,258.59
1013,AL-Butler County,636,7964.95,9194.83,3404.53,4093.88,1775.31,1850.08,591.7,669.36,946.36,1090.7,967.57,1203.49,292.56,294.12
1015,AL-Calhoun County,3056,8936.43,10326.16,4475.93,5366.68,2258.74,2477.53,787.54,882.06,604.31,678.08,534.17,662.1,306.85,304.53
1017,AL-Chambers County,1033,7519.19,8552.76,3519.73,4101.68,1875.64,2067.22,1083.16,1220.02,324.57,372.09,461.14,535.61,258.52,260.11
1019,AL-Cherokee County,589,8496.23,9499.4,4590.44,5241.22,2055.5,2215.94,755.49,827.41,744.4,839.51,119.87,150.81,271.1,276.96
1021,AL-Chilton County,638,9262.9,10338.61,3833.1,4400.56,2366.67,2660.88,930.63,971.46,937.53,982.28,1057.39,1211.51,249.66,244.71
1023,AL-Choctaw County,398,8171.85,9488.03,3706.26,4388.81,1847.04,2058.12,839.17,947.36,432.46,499.9,1051.35,1315.98,355.38,350.19
1025,AL-Clarke County,703,9132.48,10817.07,4530.13,5641.13,1986.2,2105.2,861.25,982.02,572.3,661.54,923.51,1152.34,232.75,230.56
1027,AL-Clay County,513,9077.42,10561.31,5114.94,6147.69,2040.7,2229.62,704.1,799.52,606.5,699.91,340.29,425.86,295.47,295.34
1029,AL-Cleburne County,357,9178.6,10290.87,4695.71,5382.46,2141.93,2319.27,839.63,906,773.15,877.8,,,308.49,313.1
1031,AL-Coffee County,1235,7132.38,8432.63,3243.47,4062.33,1968.32,2185.29,628.4,713.7,559.92,639.87,487.8,595.52,262.91,261.81
1033,AL-Colbert County,1646,8993.63,10218.04,3632.42,4433.27,2400.4,2605.59,661.25,705.76,695.11,757.91,1385.64,1513.4,325.31,321.73
1035,AL-Conecuh County,274,10825.63,12684,5375.13,6659.82,2281.57,2407.1,1234.72,1414.07,878.65,1013.74,607.27,720.41,378.29,371.21
1037,AL-Coosa County,114,8445.73,10025.03,3284.6,4102.37,1802.59,1988.48,825.32,931.87,647.27,727.53,1497.15,1892.19,394.45,385.3
1039,AL-Covington County,1213,8238.24,9664.77,4249.29,5239.3,2034.34,2198.51,572.79,647.92,704.51,815.3,428.14,524.26,271.53,269.98
1041,AL-Crenshaw County,446,7712.73,8924.83,4046.65,4868.16,1871.6,2011.75,575.62,644.77,629.12,726.76,318.16,400.67,261.97,260.19
1043,AL-Cullman County,1968,8499.59,9612.42,3827.83,4418.34,2283.81,2494.13,899.88,1021.4,494.94,543.73,697.29,861.02,322.04,317.74
1045,AL-Dale County,968,7802.89,9248.88,3698.93,4637.43,2035.54,2232.18,787.42,895.17,375.33,426.87,711.84,896.5,260.65,260.13
1047,AL-Dallas County,905,7810.17,8551.43,3864.49,4210.39,2303.39,2490.18,581.75,658.22,425.78,488.8,373.7,446.62,294.3,292.26
1049,AL-DeKalb County,1594,8590.65,9557.3,4275.24,4886.73,2293.49,2432.65,793.85,891.59,684.27,755.79,256.98,315.4,314.76,315.05
1051,AL-Elmore County,1432,8446.82,9366.01,3950.8,4527.03,2503.74,2674.19,673.45,721.46,438.81,479.07,668.69,763,243.64,245.01
1053,AL-Escambia County,1061,7905.06,9028.43,3626.53,4359.68,1886.61,2002.25,861.34,976.91,796.54,913.36,443.85,488.96,301.43,298.68
1055,AL-Etowah County,2813,9236.34,10758.49,4401.17,5413.3,2365.22,2591.57,772.02,851.34,757.45,837.39,670.4,814.25,321.94,319.97
1057,AL-Fayette County,361,7980.26,9122.86,4291.43,4972.43,1719.54,1955.91,946.1,1059.39,596.86,659.54,,,263.61,264.67
1059,AL-Franklin County,847,8545.62,9906.81,3320.19,4090.55,2240.31,2418.06,643.39,710.08,940.8,1051.81,1160.92,1459.01,384.84,379.65
1061,AL-Geneva County,830,8887.36,10595.25,4269.95,5378.25,1948.78,2151.59,893.16,1010.79,667.02,761.83,861.41,1060.9,288.21,288.63
1063,AL-Greene County,219,7406.5,8476.13,3418.58,4087.12,1840.29,1973.52,416.05,449.71,905.2,1027.17,,,306.81,313.04
1065,AL-Hale County,413,9944.68,11020.54,5431.26,6202.11,2233.41,2361.84,563.54,605.94,688.28,744.89,735.43,813.8,248.87,249.52
1067,AL-Henry County,462,8351.51,9763.99,4158.24,5140.73,2057.6,2259.11,764.39,863.42,543.21,617.98,536.19,595.41,297.66,293.17
1069,AL-Houston County,2454,6816.45,7975.35,2977.91,3717.23,2010.63,2196.46,702.84,794.4,370.81,421.84,530.99,630.46,244.52,244.11
1071,AL-Jackson County,1431,9326.66,10470.49,4599.61,5292.14,2258.77,2393.57,840.62,922.35,666.36,743.25,700.91,888.1,329.09,328.79
1073,AL-Jefferson County,9484,7838.12,8786.81,3596.43,4198.37,2264.66,2496.19,766.67,801.34,431.46,451.32,543.87,602.42,232.77,231.63
1075,AL-Lamar County,461,7851.59,8857.78,3829.43,4401.06,1985.22,2132.63,681.44,770.88,737.2,830.09,450.03,570.96,218.19,219.12
1077,AL-Lauderdale County,2587,6949.1,7936,3015.79,3647.04,2104.19,2306.63,529.76,570.67,547.28,592.08,500.77,580.3,271.49,267.45
1079,AL-Lawrence County,956,9040.91,10221.53,4292.06,5057.97,2330.37,2534.94,763.4,819.53,761.5,826.33,651.15,764.46,323.4,321.6
1081,AL-Lee County,1776,7491.67,8484.24,3395.2,3963.07,1864.23,2092.49,952.83,1043.17,369.77,412.51,663.74,729.09,263.74,262.97
1083,AL-Limestone County,1505,8378.95,9156.35,4004.95,4487.9,2346.04,2546.85,773.57,800.34,713.97,741.01,329.65,373.69,239.92,241.23
1085,AL-Lowndes County,143,6777.53,7528.91,2478.34,2885.91,2575.11,2676.51,357.82,384.31,416.65,466.46,,,306.12,310.61
1087,AL-Macon County,346,7580.69,8692.8,3700.66,4410.15,2143.43,2334.7,749.85,832.07,246.8,268.21,579.18,671.61,225.46,230.07
1089,AL-Madison County,6279,7975.73,8750.01,3773.19,4284.97,2471.68,2653.23,748.6,773.34,336.97,353.78,372.16,417.55,272.9,271.69
1091,AL-Marengo County,606,7858.1,9151.5,3070.36,3660.02,1872.39,2034.16,835.31,937.53,556.22,639.19,1353.93,1700.5,247.99,249.53
1093,AL-Marion County,883,7827.43,8979.41,3554.11,4197.81,1892.8,2066.58,811.49,916.08,534.88,600.92,739.04,920.48,323.78,320.74
1095,AL-Marshall County,2372,8524.34,9613.53,4079.81,4712.47,2073.82,2279.03,1028.87,1158.14,671.04,726.77,412.18,493.11,302.82,300.63
