HRR #,HRR name,State,Medicare enrollees (20% sample) (2007),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)"
10,Anchorage,AK,8101,7336.45,6181.93,4064.18,3134.17,1734.13,1664.1,911.05,806.04,253.87,224.67,163.21,151.51,164.3,162.22
1,Birmingham,AL,44865,8361.33,9460.7,3887.95,4561.17,2232.62,2438.53,791.27,862.75,547.88,597.75,636.15,742.25,285.58,283.87
2,Dothan,AL,9409,7608.33,8878.14,3483.01,4315.85,2004.84,2182.29,811.88,911.11,449.08,506.87,597.44,703.28,282.43,285.26
5,Huntsville,AL,12941,8138.98,8991.39,3870.8,4415.93,2384.55,2558.83,773.43,817.65,454.6,485.87,389.26,453.89,273.53,274.1
6,Mobile,AL,15196,7977.86,9315.78,3614.57,4472.8,2091.58,2285.68,847.8,948.03,486.42,548.06,710.69,845.28,257.6,254.75
7,Montgomery,AL,8158,8037.56,8996.06,3565.05,4149.23,2433.49,2581.99,641.75,697.23,489.12,543.2,682.37,798.86,259.57,258.93
9,Tuscaloosa,AL,5432,8592.2,9518.44,4289.97,4847.2,2042.94,2262.88,834.64,898.11,724.12,787.78,449.85,471.68,241.64,241.32
16,Fort Smith,AR,8016,7669.84,8708.05,3611.29,4293.92,1772.49,1897.96,680.9,749.13,933.5,1048.17,390,442.5,338.42,342.28
18,Jonesboro,AR,5379,7947.88,8756.57,4232.16,4770.16,1971.32,2053,902.13,1012.25,401.56,456.17,126.4,149.41,317.62,322.3
19,Little Rock,AR,36222,8064.87,8816.55,4148.12,4636.54,2132.77,2264.88,859.67,937.93,341.41,378.58,299.6,316.43,280.95,280.21
21,Springdale,AR,8751,7045.65,7795.61,3662.21,4158.23,1908.98,2078.69,613.44,663.76,404.21,442.21,199.18,193.11,262.14,263.19
22,Texarkana,AR,5996,8757.29,9936.8,4326.04,5121.96,2074.11,2222.31,707.92,778.26,894.54,982.65,410.67,483.06,342.51,345.17
11,Mesa,AZ,12458,8448.35,8437.93,3691.37,3831.57,2837.14,2798.45,661.31,644.96,291.46,284.01,755.57,672.77,210.19,204.52
12,Phoenix,AZ,40267,8097.55,7958.46,3897.38,3838.29,2559.15,2528.69,636.01,627.57,221.66,217.16,566.05,529.57,223.61,220.84
14,Sun City,AZ,8703,8048.67,8132.62,3473.77,3675.98,2960.97,2929.11,601.83,584.77,273.18,266.64,511.71,457.66,191.15,187.19
15,Tucson,AZ,17283,7352.76,7448.35,3395.95,3479.71,2460.2,2430.9,663.14,688.76,217.56,226.62,414.2,424.69,190.07,188.97
23,Orange County,CA,31906,9782.75,8983.69,4466.54,4111.89,3415.07,3119.03,827.56,753.8,534.95,487.28,283.42,258.48,229.94,225.29
25,Bakersfield,CA,11641,8445.05,7820.11,4470.01,3975.8,2568.51,2477.59,699.36,672.91,209.25,201.44,121.83,121.29,389.33,379.93
31,Chico,CA,7905,7434.11,6997.96,3774.87,3454.2,1856.95,1830.18,1014.44,950.63,368.43,348.55,128.36,124.05,297.49,295.01
33,Contra Costa County,CA,9881,9821.05,7832.18,5095.55,3932.66,2794.78,2387.26,1089.15,826.97,376.49,287.48,272.67,210.29,196.96,193.29
43,Fresno,CA,14005,7887.58,7380.46,3996.53,3631.24,2462.02,2368.49,810.1,779.48,210.23,201.53,110.92,107.57,318.84,310.74
56,Los Angeles,CA,90653,11026.9,9797.71,5616.89,4795.59,3317.38,3093.78,799.18,721.87,765.56,690.44,195.67,170.23,296.49,292.33
58,Modesto,CA,11363,8172.91,7304.52,4388.25,3728.02,2252.42,2174.9,871.91,782.24,234.31,215.47,177.1,153.7,260.53,256.21
62,Napa,CA,5732,8555.01,7324.24,4392.35,3554.67,2274.01,2077.96,1228.32,1075.3,297.48,270.5,157.83,143.74,205.36,202.3
65,Alameda County,CA,12833,9616.98,7457.39,5460.94,4022.48,2462.54,2122.03,963.21,735.7,345.91,264.29,198.43,153.17,180.52,178.16
69,Palm Springs/Rancho Mirage,CA,7395,8540.97,8059.06,3780.31,3571.63,2987.93,2857.22,852.64,785.52,339.62,313.52,359.35,315.87,192.06,186.5
73,Redding,CA,8914,7621.82,6825.17,3790.49,3210.98,2147.9,2069.74,847.62,755.92,379.07,342.62,186.52,173.53,262.69,262.17
77,Sacramento,CA,28604,7677,6777.63,4027.44,3363.92,2139.96,2076.21,803.54,693.7,309.13,267.73,192.85,172.43,202.73,200.15
78,Salinas,CA,6678,8070.17,7001.1,4086.98,3398.99,2316.97,2233.91,916.79,728.56,381.18,303.88,198.49,165.16,182.74,184.53
79,San Bernardino,CA,19083,9375.78,8554.12,5142.09,4508.37,2478.45,2400.86,670.79,620.55,448.9,413.22,391.98,366.91,274.22,271.33
80,San Diego,CA,35340,8378.25,7840.75,4169.6,3821.73,2521.17,2464.41,780.36,721.54,312.91,290.06,396.93,343.97,221.53,218.43
81,San Francisco,CA,16638,8806.94,6859.32,4617.97,3393.44,2228.83,1910.49,1238.26,961.09,391.66,305.2,174.48,139.69,163.71,164.08
82,San Jose,CA,16104,8643.21,6789.77,4508.58,3375.99,2519,2120.74,913.81,708,304.97,236.35,208.13,162.02,185.93,182.97
