State ID,State Name,Medicare Part D beneficiaries (2010),Average number of 30-day prescription fills per beneficiary (2010),Percent of patients filling beta-blocker prescription in the first 6 months following heart attack (2008-10),Percent of patients filling beta-blocker prescription in the 7-12 months following heart attack (2008-10),Percent of patients filling statin prescription in the first 6 months following heart attack (2008-10),Percent of patients filling statin prescription in the 7-12 months following heart attack (2008-10),Percent of diabetic patients age 65-75 filling ACE-I or ARB prescription (2010),Percent of diabetic patients age 65-75 filling statin prescription (2010),Percent of beneficiaries with a fragility fracture filling prescription for an osteoporosis drug within 6 months (2006-10),Percent of beneficiaries filling at least one prescription for a PPI (2010),Percent of beneficiaries filling at least one prescription for an SSRI/SNRI (2010),Percent of beneficiaries filling at least one prescription for a dementia medication (2010),Percent of beneficiaries filling at least one prescription for a new sedative-hypnotic (2010),Percent of beneficiaries filling prescriptions for more than one discretionary medication (2010),Percent of beneficiaries filling at least one prescription for a high-risk medication (2010),Percent of beneficiaries filling prescriptions for more than one high-risk medication (2010),Part D spending per Medicare beneficiary (2010),Spending for non-prescription drug services (Parts A and B) per Medicare beneficiary (2010),Proportion of 30-day prescriptions filled with brand-name products (2010)
1,Alabama,73498,52.3159609491098,82.618025751073,74.3562231759657,70.1716738197425,65.6652360515021,73.5396425572748,67.8061652872736,15.4492023509656,31.4565149832315,21.683357887487,8.44050461253385,8.25551404950311,16.8789912579513,38.3780469072703,12.2781163665203,2659.00808133485,8208.46656881337,24.7439124014348
2,Alaska,6047,44.5771084503057,82.258064516129,75.8064516129032,83.8709677419355,75.8064516129032,78.4347826086957,72.1739130434783,,26.4035841101961,15.7169970199146,6.17012681209352,7.5450586574815,12.1002808011341,20.136768529896,3.64976633841791,2912.95967717023,9077.44426125621,27.9355017954923
3,Arizona,64524,41.3329040047575,83.0795262267343,76.1421319796954,76.4805414551607,72.927241962775,73.7492866653985,69.3361232642191,14.1732283464567,18.4023962916267,15.9807553890207,5.1362421558654,7.2207747834036,9.55347497949454,23.494451647433,4.74015553238418,2045.88427582858,8794.2782597135,26.80554280039
4,Arkansas,65199,47.8393926599898,81.4863102998696,76.0104302477184,70.5345501955671,65.8409387222947,71.3758227644887,65.0987317386418,13.7632338787295,26.518036656704,20.6916310872497,7.67668828959542,7.44774834555103,14.2771120456082,36.5546938931987,11.1024644626595,2401.96289716706,7956.50633809689,23.5107756511714
5,California,415686,47.7034027950771,80.0635424940429,73.6563410113847,79.3222133968758,74.21233783426,76.6010621680725,72.3692115444693,16.5786452353617,28.5538517191336,15.5505053692899,7.53898563292118,10.3625251344946,14.2999398901945,26.1852896198859,5.55059555951148,2981.46977373353,10332.7163812573,29.2568436904188
6,Colorado,42995,43.0112162238973,83.7765957446808,74.2021276595745,80.0531914893617,72.8723404255319,74.1705426356589,70.4186046511628,17.2690763052209,19.8314594231503,18.2047392518229,5.80616915155378,8.76932857405018,11.5536613395343,22.8747026152366,4.69949086596515,2258.75462007214,8347.03329498546,25.1287012675237
7,Connecticut,59235,46.5421986168227,86.7667121418827,81.1732605729877,79.2633015006821,75.7162346521146,75,75.8318739054291,12.0126448893572,21.8294750856932,19.0880871076539,6.72805883609322,7.72353105441529,12.6475521834544,18.5265718152297,2.769314658638,2794.78063553922,10260.4021963339,29.6650565362863
8,Delaware,19541,46.1766713589215,88.4210526315789,78.9473684210526,79.4736842105263,76.3157894736842,77.7306468716861,76.2990455991516,13.3064516129032,20.3294021208048,16.9228826570903,4.85315847177838,6.76668610212689,10.060848472587,23.4403984090009,4.28800880114096,2567.37987265481,8410.5714116206,29.6372219723149
9,District of Columbia,6474,41.9397245249671,81.0344827586207,77.5862068965517,79.3103448275862,79.3103448275862,81.9259259259259,76.8888888888889,,18.8413415475407,15.6715634699997,6.16285403294772,8.37451651413295,10.3142713759632,18.4268144295674,2.91650030564687,2565.25113723774,8757.55958855622,30.5830076258209
10,Florida,296004,49.2154289671649,81.7654245571167,75.1069028711057,73.5797189981674,68.2040317654246,74.0099459145523,71.8646774837562,14.4484579049736,27.1666833177363,20.5420441380802,8.62093369952677,9.98659456343005,16.0493225845973,28.4150141654978,6.50361382281696,2847.57609634614,11083.0067067312,29.3227157988809
