HRR ID,HRR Name,State,Medicare Part D beneficiaries (2010),Average number of 30-day prescription fills per beneficiary (2010),Percent of patients filling beta-blocker prescription in the first 6 months following heart attack (2008-10),Percent of patients filling beta-blocker prescription in the 7-12 months following heart attack (2008-10),Percent of patients filling statin prescription in the first 6 months following heart attack (2008-10),Percent of patients filling statin prescription in the 7-12 months following heart attack (2008-10),Percent of diabetic patients age 65-75 filling ACE-I or ARB prescription (2010),Percent of diabetic patients age 65-75 filling statin prescription (2010),Percent of beneficiaries with a fragility fracture filling prescription for an osteoporosis drug within 6 months (2006-10),Percent of beneficiaries filling at least one prescription for a PPI (2010),Percent of beneficiaries filling at least one prescription for an SSRI/SNRI (2010),Percent of beneficiaries filling at least one prescription for a dementia medication (2010),Percent of beneficiaries filling at least one prescription for a new sedative-hypnotic (2010),Percent of beneficiaries filling prescriptions for more than one discretionary medication (2010),Percent of beneficiaries filling at least one prescription for a high-risk medication (2010),Percent of beneficiaries filling prescriptions for more than one high-risk medication (2010),Part D spending per Medicare beneficiary (2010),Spending for non-prescription drug services (Parts A and B) per Medicare beneficiary (2010),Proportion of 30-day prescriptions filled with brand-name products (2010)
15,Tucson,AZ,11969,41.477,84.3,72.73,71.9,71.07,73.01,67.29,12.90322581,18.2,17.1,5.2,7.1,9.8,22.4,4.3,2063.49,8208.08,26.2
16,Fort Smith,AR,7717,49.594,83.7,78.26,68.48,64.13,70.17,64.18,16.17647059,28,21.6,8.1,6.7,15.3,34,9.7,2512.12,9003.07,23.8
18,Jonesboro,AR,6160,52.743,75,70.65,70.65,61.96,71.54,64.23,15.04424779,31,24.3,10,7.1,17.8,37.2,10.8,2744.01,8736.83,23.4
19,Little Rock,AR,37182,47.605,82.62,75.48,68.1,64.76,70.69,65.57,13.49593496,26.9,20.9,7.6,8.1,14.7,37.6,11.9,2409.18,7954.59,23.7
21,Springdale,AR,8390,45.73,80.43,75,80.43,71.74,75.4,64.48,13.67521368,22.7,19.2,7.1,6.9,12.5,31.3,8,2314.25,7661.05,23.2
22,Texarkana,AR,5888,49.427,82.72,77.78,62.96,60.49,72.03,66.61,18.68131868,26.9,21.2,7,6.5,13.7,38.3,12,2359.14,9337.4,23.2
23,Orange County,CA,34517,49.554,79.84,73.66,81.48,79.42,75.73,73.23,18.21086262,28.2,13.9,8.3,11.4,14.1,29.9,7.2,3288.76,10480.33,33.4
25,Bakersfield,CA,13507,46.394,76.16,73.51,75.5,70.2,75.79,69.58,11.26760563,30.4,16,7.5,7.7,14,30.9,7.6,2576.88,9625.3,25.8
31,Chico,CA,7839,44.75,82.14,72.62,80.95,82.14,76.38,65.72,17.20430108,22.1,16.7,4.9,8.3,11.1,24.9,5.4,2307.91,8761.66,24.9
33,Contra Costa County,CA,8870,46.062,87.78,81.11,84.44,84.44,75.74,73.77,13.95348837,22,17,6.5,10.9,12.7,24.9,5.2,2570.57,11285.72,28.7
43,Fresno,CA,14837,44.913,83.61,80.33,75.96,71.04,77.86,68.93,13.36898396,27.1,14.2,6.9,6.5,11.7,28.3,6.4,2592.96,9206.81,26.2
56,Los Angeles,CA,112327,53.139,79.53,72.68,79.98,74.39,77.18,72.39,18.20428336,36.3,17,10.7,13.5,19.6,28.2,6.1,3863.04,12422.05,34
58,Modesto,CA,12353,47.298,82.48,72.26,81.75,78.1,77.06,72.35,11.66666667,27.3,15.7,6,8.2,12.8,26.8,5.7,2449.51,9307.9,23.6
62,Napa,CA,5442,43.016,81.82,72.73,68.18,59.09,74.52,70.49,,21.5,16.1,4.1,7.9,11,22.5,3.7,2322.39,9917.8,24.6
65,Alameda County,CA,13936,45.328,83.97,77.86,89.31,83.21,76.25,74.22,15.86206897,25.9,13.1,6,9.7,11.8,22.6,4.1,2586.86,10671.72,26.4
69,Palm Springs/Rancho Mirage,CA,6785,43.189,91.53,81.36,81.36,71.19,73.42,69.93,,21.5,16.4,5.8,12,12.4,26.1,5.6,2702.71,9243.34,30.9
73,Redding,CA,8723,43.727,73.44,65.63,71.88,65.63,75.98,71.1,13.26530612,23.5,17.5,4.1,7.5,11.6,23.1,4.3,2244.02,8807.61,25.1
77,Sacramento,CA,25525,45.634,77.83,72.91,75.86,68.97,75.93,72.17,19.77186312,25.3,15.9,5.8,8.5,12.2,24.9,5.2,2472.46,8545.62,25.4
78,Salinas,CA,7086,41.954,82.26,79.03,80.65,77.42,77.96,77.96,15.6626506,22.9,15.4,5.5,9,11.4,22.7,4.6,2369.99,9034.59,28.5
79,San Bernardino,CA,16955,47.719,76.02,69.9,72.45,68.88,76.66,69.48,16.78321678,29.6,15.9,8.2,9,14.7,29.2,7.2,2773.06,10841.31,24.3
80,San Diego,CA,32327,46.841,84.27,73.43,79.02,72.03,77.05,72.48,15.46052632,28.4,16.3,6.8,9.2,14,24.9,5.1,2872.64,9988.92,28.7
81,San Francisco,CA,19800,44.994,82.8,76.43,87.26,78.98,76.04,78.52,16.82692308,25.4,12.7,5.8,9.6,11.2,19.9,3.1,2688.7,9293.64,27.2
82,San Jose,CA,20585,47.524,78.01,77.3,80.85,75.18,78.35,77.18,17.57575758,27.2,12.5,6.2,9.9,11.6,24.3,4.8,2806.06,9081.37,28.6
83,San Luis Obispo,CA,5130,41.382,76.32,63.16,78.95,76.32,72.96,70.13,24.61538462,18.2,15.1,5,7.7,9.2,25.2,5.7,2173.09,7775.23,25.4
85,San Mateo County,CA,7978,40.626,75.56,77.78,86.67,75.56,75.49,77.27,12.96296296,18.9,12.3,5.1,9.9,9.1,18.9,3.1,2388.58,8991.4,28.6
86,Santa Barbara,CA,7954,41.715,70.91,67.27,76.36,74.55,74.16,70.51,,20.6,16.4,5.7,9.5,11,25,4.8,2405.03,7654.82,28.9
87,Santa Cruz,CA,4513,41.437,70.45,70.45,79.55,77.27,72.63,69.21,,19.9,16,4.9,9.4,10.9,23.8,4.5,2249.54,9045.6,25.4
89,Santa Rosa,CA,6357,41.046,73.77,67.21,78.69,70.49,73.3,67,,19.3,15.7,4.4,9.2,10.2,20.4,3,2246.22,9128.01,26.5
91,Stockton,CA,7104,46.44,84.62,80.77,75,73.08,76.67,71.25,15.90909091,26.4,13.4,5.3,8.1,10.9,26.7,6.1,2409.02,9132.55,23.5
96,Ventura,CA,11019,44.072,77.55,71.43,73.47,67.35,77.6,73.48,16.66666667,24.9,16.2,6.5,9.3,12.5,25.1,5.2,2679.53,9609.63,30.1
101,Boulder,CO,2331,40.698,77.78,72.22,83.33,66.67,72.55,73.2,,16.3,17.7,6.3,9.5,10.2,21,4.6,2424.79,7975.53,28.9
102,Colorado Springs,CO,8143,44.615,75,66.25,72.5,66.25,71.31,69.06,17.89473684,21.5,18.5,5.6,8.4,12.1,25.2,5.4,2209.6,8133.71,24
103,Denver,CO,20962,43.588,84.49,77.54,82.35,78.07,73.75,69.53,15.22633745,20.9,18.3,6.2,9.1,12.4,22.5,4.6,2332.49,8949.43,25.8
104,Fort Collins,CO,4667,42.539,83.33,71.43,71.43,69.05,76.3,70.13,,19.6,17.2,6,7.5,10.5,23.1,4.3,2171.91,8107.95,24.8
105,Grand Junction,CO,4385,38.59,89.66,79.31,82.76,75.86,74.4,67.92,22.91666667,15.8,17,3.9,8.4,8.9,21.2,3.6,1826.03,6988.88,22.9
106,Greeley,CO,5791,44.359,87.88,72.73,77.27,68.18,75.44,69.91,21.25,22.4,18.4,6.2,6.8,11.8,22.7,5.1,2174.66,8621.1,22.8
107,Pueblo,CO,2432,45.058,88.89,81.48,88.89,81.48,69.92,67.37,,24.3,18.5,8.4,5.8,12.5,26.2,6.1,2461.99,7510.15,23.8
109,Bridgeport,CT,11259,41.865,85.71,82.31,72.79,67.35,74.58,75.74,15.18324607,20.3,17.7,6.2,9.9,12.3,17.3,2.4,2707.06,10053.13,33.4
110,Hartford,CT,25650,47.75,87.3,80.46,81.11,78.18,75.15,76.26,12.75510204,22.5,19.4,6.7,7.1,12.7,19,3,2807.14,9802.39,28.5
111,New Haven,CT,23817,47.445,86.69,81.57,80.89,78.16,73.98,74.96,9.79381443,22,19.1,7,7.4,12.7,18.4,2.6,2848.51,10848.35,29.4
112,Wilmington,DE,15636,45.283,84.94,75.3,77.71,74.7,75.8,73.99,13.23529412,21.4,16.5,4.8,6.5,10.2,23.3,4.5,2559.28,8530.89,29.5
113,Washington,DC,31078,45.783,82.22,78.72,77.55,74.05,77.17,72.94,12.39892183,21,17.3,6.3,7.8,11.5,21.4,3.7,2568.09,9136.35,29.1
115,Bradenton,FL,6268,43.538,77.19,77.19,75.44,75.44,68.07,65.34,15.47619048,21.4,18.2,6.2,8.1,12.1,25.7,5.9,2277.39,10074.27,29
116,Clearwater,FL,7756,47.562,84.21,66.67,72.81,67.54,73.61,73.61,11.76470588,23.7,18.5,7.4,8.9,13.6,27.2,6.1,2651.63,10482.43,27.7
118,Fort Lauderdale,FL,47573,45.209,79.05,70.12,72.41,67.01,71.78,73.94,12.73006135,22.8,19.2,6.9,11.1,13.6,25.3,5.1,2658.85,11405.65,32.3
119,Fort Myers,FL,28798,44.514,84.02,78.28,79.1,71.31,74.51,73.08,15.29051988,21.8,17.2,5.7,10.4,11.8,24.2,4.6,2364.48,9741.26,29
120,Gainesville,FL,10648,48.02,76.07,71.17,73.01,71.17,72.68,69.7,13.98601399,27.1,21,6.3,7.5,14.3,28.9,6.9,2426.98,9407.34,24.1
122,Hudson,FL,5670,48.112,80.25,80.25,71.6,64.2,72.13,67.45,,24,19.3,6.3,7.1,12.9,27.2,6,2283.3,11384.31,24.2
123,Jacksonville,FL,24180,50.733,84.09,76.82,81.82,78.18,74.58,72.29,17.58241758,26.8,21.2,8.1,10,16.1,32.9,9.1,2688.69,10195.61,26.8
124,Lakeland,FL,4807,47.436,86.21,79.31,81.03,74.14,73.37,75.15,,23.3,18.6,7.4,7.1,13,30.6,7.9,2557.77,9656.9,27.1
127,Miami,FL,41932,62.764,85.61,78.07,73.86,68.6,76.44,71.48,11.85840708,45.5,30.2,17.1,14.9,31.2,31.7,7.8,4737.63,15855,35.5
129,Ocala,FL,15538,45.977,83.08,78.97,68.72,67.18,73.63,72.64,14.76510067,22.3,16.8,6.1,7.7,11.3,28.1,6.4,2139.77,9316.6,25.7
130,Orlando,FL,51050,47.611,82.09,75.13,73.74,67.48,73.26,71.12,15.49053356,24.3,18.4,7.3,8.1,12.9,28.9,6.5,2498.43,10375.75,27.5
131,Ormond Beach,FL,6445,46.074,73.47,63.27,69.39,61.22,73.18,70.8,,22.1,17.5,7,9.9,12.6,28.8,6.5,2414.24,8950.26,28.5
133,Panama City,FL,4130,54.371,79.49,84.62,71.79,69.23,78.02,73.71,,35.1,22.8,7.4,9.8,17.9,34.2,9.1,2911.08,9877.47,25.8
134,Pensacola,FL,11002,52.636,82.14,79.46,68.75,61.61,72.81,68.68,18.69158879,30.6,21.6,7.6,9.1,16.7,35.6,10.4,2697.49,9221.51,24.9
137,Sarasota,FL,13700,43.586,80.88,80.88,74.26,68.38,74.42,71.87,15.97633136,21.9,17.2,5.6,9.3,11.8,23.7,4.4,2303.01,9170.65,28.6
139,St. Petersburg,FL,5899,47.788,77.42,69.35,77.42,62.9,70.89,71.11,18.18181818,25.1,20.5,10.2,9,16.4,28.6,6.5,2939.17,11508.74,29.7
140,Tallahassee,FL,11741,49.818,87.4,79.53,72.44,65.35,75.02,67.66,20.2247191,29.2,22.8,8,9.6,17.2,36.5,11.1,2641.27,7767.59,25.6
141,Tampa,FL,12460,49.521,80.62,71.32,72.87,67.44,74.11,71.75,18.05555556,25.9,20.5,9.6,8.2,15.5,31.4,7.8,2838.41,11094.71,28.1
142,Albany,GA,3609,48.007,78.57,71.43,73.81,73.81,74.48,69.27,,26.8,21.9,7,9.2,15.4,37,11.6,2528.98,7654.47,24.6
144,Atlanta,GA,70129,48.431,84.07,76,76.22,71.46,74.97,71.96,13.16984559,24.3,21.3,8.4,9.1,15,32,8.6,2599.82,8169.54,27.4
145,Augusta,GA,9527,50.551,78.23,77.42,70.16,65.32,73.8,73.03,15.82733813,24,22,7.6,7.6,14.1,37.1,10.9,2721.34,7820.63,27.5
146,Columbus,GA,4485,50.612,74.47,74.47,74.47,63.83,74.3,69.72,21.31147541,26.6,20.4,7.7,8.7,15.2,37.9,11.5,2641.12,7198.42,25.7
147,Macon,GA,10611,51.86,84.35,78.91,66.67,55.78,79.4,68.9,12.5,27.5,23.4,7.5,9.7,16.2,38.1,11.9,2724.43,8700.08,24.9
148,Rome,GA,5958,53.282,87.25,80.39,66.67,63.73,70.94,69.75,,30.9,24.2,10.2,9.4,18.8,37.8,11.9,2707.7,8867.66,23.8
149,Savannah,GA,13529,48.421,79.17,74.31,77.78,73.61,75.43,71.43,19.42857143,26.1,20.1,7.4,10.3,15.3,35.6,11.4,2659,8021.26,28.8
150,Honolulu,HI,16539,42.313,80.49,71.34,81.1,71.95,76.02,78.81,28.02547771,19.9,7.2,6.4,4.9,6.4,24.1,4.2,3043.3,6353.83,32.2
151,Boise,ID,10225,46.221,86.14,78.22,76.24,74.26,76.07,70.31,12.5,25.1,19.9,4.6,7.8,13.1,26.5,6,2141.11,7074.29,21.9
152,Idaho Falls,ID,3422,44.518,86.21,75.86,86.21,89.66,64.29,61.73,,23.3,19.9,5.3,8,12.8,29.5,7.1,2039.57,7515.72,22.2
154,Aurora,IL,3561,49.406,72.22,77.78,77.78,66.67,80.6,76.57,,23.7,18.9,7.5,5,12.4,21.9,3.1,2383.14,10011.36,22.6
155,Blue Island,IL,16457,45.263,80.95,79.89,74.07,71.96,73.19,71.73,12.35059761,19.6,14.2,6.6,5.2,9.2,18.3,2.8,2300.55,11258.32,24.5
156,Chicago,IL,35701,45.352,82.71,77.57,80.61,74.3,76.5,71.69,9.61098398,22.1,14,6.5,6.6,10.7,19.7,2.9,2501.55,12165.97,24.9
