HRR ID,HRR Name,State,Medicare Part D beneficiaries (2010),Average number of 30-day prescription fills per beneficiary (2010),Percent of patients filling beta-blocker prescription in the first 6 months following heart attack (2008-10),Percent of patients filling beta-blocker prescription in the 7-12 months following heart attack (2008-10),Percent of patients filling statin prescription in the first 6 months following heart attack (2008-10),Percent of patients filling statin prescription in the 7-12 months following heart attack (2008-10),Percent of diabetic patients age 65-75 filling ACE-I or ARB prescription (2010),Percent of diabetic patients age 65-75 filling statin prescription (2010),Percent of beneficiaries with a fragility fracture filling prescription for an osteoporosis drug within 6 months (2006-10),Percent of beneficiaries filling at least one prescription for a PPI (2010),Percent of beneficiaries filling at least one prescription for an SSRI/SNRI (2010),Percent of beneficiaries filling at least one prescription for a dementia medication (2010),Percent of beneficiaries filling at least one prescription for a new sedative-hypnotic (2010),Percent of beneficiaries filling prescriptions for more than one discretionary medication (2010),Percent of beneficiaries filling at least one prescription for a high-risk medication (2010),Percent of beneficiaries filling prescriptions for more than one high-risk medication (2010),Part D spending per Medicare beneficiary (2010),Spending for non-prescription drug services (Parts A and B) per Medicare beneficiary (2010),Proportion of 30-day prescriptions filled with brand-name products (2010)
218,New Orleans,LA,4993,49.581,87.84,78.38,83.78,75.68,78.85,72.66,,25.7,20.3,8.8,9.8,16.4,32.6,9.8,3006.53,10560.83,29.7
219,Shreveport,LA,12259,50.257,76.92,69.23,61.54,59.62,74.74,67.95,18.34319527,29.7,21.3,8.2,7.4,15.9,37.2,11.3,2718.61,10744.52,26.3
220,Slidell,LA,2246,50.335,83.33,83.33,70,66.67,73.64,67.83,,26,22.1,8.8,8.5,15.6,37.7,12.3,2831.78,10500.9,29.2
221,Bangor,ME,11870,50.695,89.47,80.97,78.14,74.09,76.43,76.25,8.87850467,28.4,20.1,5,4.3,13,21.4,3.9,2398.74,8354.06,22.1
222,Portland,ME,23783,47.058,88.16,85.36,79.13,75.7,72.43,78.78,10.626703,23.3,20.9,5.5,5.5,12.5,19.4,3.2,2300.99,8109.8,22.9
223,Baltimore,MD,39856,46.268,85.17,80.67,77.53,70.56,76.13,73.93,12.67605634,21.9,18.5,5.2,6.6,11.1,21.6,3.6,2515.53,10566.97,27.5
225,Salisbury,MD,12179,47.457,86.09,79.47,75.5,74.83,76.85,74.98,12.90322581,20.4,17.5,4.8,6.4,10.1,24.8,4.7,2460.85,9036.15,27.6
226,Takoma Park,MD,8418,44.353,90.24,85.37,81.71,81.71,76.76,73.36,16.47058824,19.8,15.3,5.8,7.5,10.3,19.3,3.1,2586.15,8999.42,30.4
227,Boston,MA,77055,47.957,88.93,84.36,84.36,81.54,75.12,79.24,12.03801478,25.2,18.6,5.9,5.3,11.8,18.3,2.3,2452.3,10533.96,21.5
230,Springfield,MA,12123,47.962,86.54,83.33,85.26,80.77,76.4,75.51,16.33986928,24.2,19,6.6,5.6,12.1,19,2.8,2570.12,9759.22,22.2
231,Worcester,MA,7878,50.131,83.5,84.47,86.41,79.61,72.43,77.11,,24.1,20,6.6,4.4,11.9,18,2.9,2773.12,11395.01,22.4
232,Ann Arbor,MI,17129,48.777,87.55,77.18,79.25,73.03,73.26,71.45,17.37089202,25.3,17.9,6.9,5.7,12.2,22.3,4.2,2303.42,10250.95,20.5
233,Dearborn,MI,7020,53.873,88.37,82.17,78.29,75.19,75.58,73.9,,30,17.7,8,6.5,14.2,29.3,7.2,2674.49,12112.23,21.2
234,Detroit,MI,24413,52.009,85.97,79.22,76.36,71.43,74.32,73.09,9.42760943,26.7,15.7,7.8,6.9,12.5,28.6,6.6,2577.37,11450.21,21.3
235,Flint,MI,6416,51.015,86.96,84.06,68.12,63.77,72.37,67.72,,25.3,18.6,8.2,5.5,12.9,30.2,7,2397.76,10962.04,20.9
236,Grand Rapids,MI,12131,50.625,83.62,75,78.45,72.41,73.36,73.27,15.06849315,26.1,20.3,6,5.4,13.3,25.2,5.3,2422.52,8188.95,20.2
238,Kalamazoo,MI,9824,49.992,83.2,75.2,63.2,59.2,71.02,67.98,15.2173913,24.2,19.9,6.9,5.3,12.8,23.5,4.4,2379,8631.5,21.5
239,Lansing,MI,8115,51.88,88.35,85.44,69.9,68.93,73.43,69.83,20.2020202,26.2,19.8,7.9,5.7,13.9,26.4,5.5,2550.91,9200.39,21
240,Marquette,MI,4023,50.7,86.67,80,64.44,62.22,71.43,68.57,,28.3,20.3,5.9,4.9,13,21.2,3.7,2311.54,7921.82,19.8
242,Muskegon,MI,4164,50.992,90.24,75.61,78.05,73.17,73.14,74.67,,26.2,21.9,7.7,5.4,14.1,26.8,5.8,2324.7,8026.87,19.8
243,Petoskey,MI,3933,48.145,81.63,81.63,73.47,71.43,69.62,68.55,,25,18.7,5.2,6,12.2,21,3.7,2182.37,8184.22,20.7
244,Pontiac,MI,6109,47.967,84.62,75.38,75.38,70.77,71.98,74.12,,25.3,16.6,8,8,13.1,24.9,5.3,2449.96,10731.11,23.7
245,Royal Oak,MI,12277,49.8,85.82,76.6,78.72,74.47,72.86,77.38,16.66666667,27.1,15.8,8.3,7.7,13.1,26.1,5.5,2591.41,10834.88,25.3
246,Saginaw,MI,12581,51.694,86.49,86.49,67.57,61.62,71.7,65.24,12.58278146,23.8,19,6.7,4.8,11.8,25.8,5.6,2397.72,9074.77,20.1
248,St. Joseph,MI,3300,46.985,76.6,74.47,65.96,59.57,73.55,72.97,,21.2,17.7,5,5.8,10.6,23,5.1,2288.53,8567.17,23.5
249,Traverse City,MI,5298,49.748,88.42,82.11,74.74,69.47,71.51,73.58,,25.6,19.5,6.6,6.1,13.1,22.4,4,2318.53,8157.06,20.7
250,Duluth,MN,5678,47.926,85.14,78.38,79.73,77.03,79.55,75.91,,21.9,17.7,4.9,4.3,10,15.8,2.1,2046.02,7669.14,19.2
251,Minneapolis,MN,34096,46.201,87.47,83.13,83.61,80.24,75.05,78.26,12.5,21.5,17,4.3,4.9,9.7,15.7,2,1950.07,7711.66,19
253,Rochester,MN,7619,47.457,84.38,83.33,81.25,75,74.17,79.22,14.96598639,22.7,17.6,3.7,4.4,9.8,14,1.9,1843.97,7459.49,16.8
254,St. Cloud,MN,3070,44.78,92,84,72,76,76.72,75.66,,20.8,15.2,4,5.2,9.1,15.3,2.1,1769.58,8369.94,18.1
256,St. Paul,MN,7948,46.523,88.54,85.42,78.13,77.08,75.94,77.92,9.6,21.7,18.1,5,4.4,10.4,16.9,2.6,2087.21,7771.5,19.9
257,Gulfport,MS,2826,51.933,82.93,80.49,75.61,73.17,74.69,67.42,,31.3,22.7,7.8,9,17.1,35.1,9.6,2751.06,9842.26,28.2
258,Hattiesburg,MS,7449,50.833,85.39,69.66,84.27,77.53,78.67,67.03,13.79310345,30.7,24.9,8.9,8.9,18.3,41.5,14,2702.83,8928.5,26
259,Jackson,MS,23848,48.159,80.67,75.09,76.21,71,74.63,64.84,15.04065041,28.5,22.1,8.4,8.9,16.3,37.7,11.4,2536.77,9131.74,27.1
260,Meridian,MS,5384,51.487,91.23,82.46,73.68,75.44,71.33,63.56,,32.5,24.1,9.1,8,18.3,39.5,12.2,2574.51,8334.74,24.5
261,Oxford,MS,4028,49.346,86.21,72.41,74.14,55.17,73.65,67.17,,32.2,19.6,6.9,6.8,15,38.2,11.3,2531.57,8442.75,24.3
262,Tupelo,MS,11289,49.928,81.41,76.28,78.21,68.59,73.87,68.83,15.06849315,31.1,22.9,7.8,8.6,17.1,38.7,12,2524.04,7699.97,25.1
263,Cape Girardeau,MO,7744,53.161,83.52,72.53,73.63,73.63,78.7,72.89,16.15384615,25.1,21.7,8.9,5.8,14.5,32.6,8.6,2872.81,7973.55,26.2
264,Columbia,MO,17913,49.454,84.89,84.44,72.89,68.89,71.85,69.22,13.35616438,24.7,19.2,6.9,5.3,12.7,28.2,6.4,2332.83,7777.45,22.3
267,Joplin,MO,9918,49.062,81.51,67.81,67.12,58.9,72.38,63.66,17.17791411,25.2,20.4,6.5,6.2,12.9,32.2,8.7,2432.23,8318.18,23.4
268,Kansas City,MO,38180,48.637,86.51,79.52,79.76,75.66,74.2,72.2,14.54849498,22.8,19.4,7,6.4,12.5,26.5,5.8,2394.35,8612.41,24.5
270,Springfield,MO,16714,49.798,87.26,79.25,72.17,65.09,72.66,68.2,13.43283582,22.3,19.9,6.3,5.5,11.9,30,7.5,2493.63,7451.43,22.5
273,St. Louis,MO,59815,51.498,86.43,81.64,74.74,70.76,74.12,70.59,13.49009901,23.7,20.9,8.1,6.8,13.9,27.1,6.2,2675.18,8869.03,24.8
274,Billings,MT,12435,44.485,85.38,80,83.85,76.92,70.42,67.85,12.61682243,19.9,19,4.5,6.1,10.9,21.3,3.7,2081.87,7073.6,23.2
275,Great Falls,MT,3137,46.879,91.18,88.24,82.35,82.35,76.23,67.55,26.2295082,22.1,20.6,4.7,6.6,12.4,24.3,4.7,2320.82,7657.91,23
276,Missoula,MT,7702,44.253,81.61,73.56,73.56,65.52,73.69,71.73,17.48251748,20.5,19.8,4.4,6.5,11.3,22.6,3.9,1985.6,6583.97,21.3
277,Lincoln,NE,17003,45.186,89.88,82.14,77.98,74.4,71.49,67.51,12.17105263,22.5,17.5,5.2,5.6,11.1,22.8,4.3,2142.14,7839.02,22.4
278,Omaha,NE,30597,46.919,89.11,84.92,81.84,76.26,71.21,70.33,14.97120921,23.1,17.2,5.7,5.2,11.2,22.4,4,2213.6,7727.66,22
279,Las Vegas,NV,16033,45.446,82.74,76.79,70.83,63.1,72.49,68.12,15.57377049,23.5,15.9,7.8,9.4,12.6,26.8,6,2498.63,11422.97,26
280,Reno,NV,10283,41.385,79.21,67.33,78.22,77.23,76.71,69.29,17.74193548,19.7,15.4,4.4,7.8,9.8,23.4,4.5,2011.47,8333.97,24.5
281,Lebanon,NH,10394,46.431,90.45,85.99,89.17,85.35,75.6,73.3,10.14492754,22.9,18.7,4.9,4.7,10.8,15.4,1.9,2287.07,8149.94,21.4
282,Manchester,NH,15100,46.027,90.26,85.06,83.12,79.22,74.63,74.4,15.88235294,21.4,18.6,7.1,5.8,11.8,19,2.9,2379.96,8558.97,24.9
283,Camden,NJ,56687,47.32,86.2,82.13,77.79,73.32,75.24,71.76,12.04819277,25.1,16.7,6.4,7.6,12.4,21.6,3.8,2855.61,10466.21,30.8
284,Hackensack,NJ,24949,47.021,88.64,79.17,79.55,73.48,74.42,73.14,11.38211382,28.4,16,8.2,10.2,14.8,19.7,3.3,3184.74,11461.96,34.4
285,Morristown,NJ,17442,43.583,86.18,80.18,79.72,72.81,74.08,71.38,12.93103448,22.4,14.9,6.3,8.1,11.1,17.1,2.4,2756.76,9351.49,32.9
288,New Brunswick,NJ,16859,47.467,81.03,74.87,74.87,71.28,74.58,72.14,10.22222222,24.9,16.5,6.7,8.9,12.8,18.9,2.8,3029.57,10237.84,31.8
289,Newark,NJ,21977,45.657,86.57,80.22,75.75,67.91,76.97,70.21,6.83453237,27.8,13.2,7.4,9.7,13.1,21.5,4,3160.15,10675.32,34.4
291,Paterson,NJ,7216,46.328,90.43,88.3,80.85,77.66,75.46,68.05,,26.1,15,7.9,8.8,13,22.2,4,2957.71,11165.59,31.9
292,Ridgewood,NJ,7600,44.639,81.82,69.32,78.41,77.27,73.71,73.52,17,24.4,16.4,6.1,8.4,12,18.4,2.6,2823.89,10970.11,32.1
293,Albuquerque,NM,23475,39.662,85.65,80.72,80.27,78.92,76.33,67.84,15.23809524,20.2,15.7,4.8,5.9,9.4,23,4.9,1996.39,7223.43,22
295,Albany,NY,22076,49.833,88.74,80.79,82.78,73.51,72.97,75.43,13.95348837,28.6,19.5,6.5,6.2,14.1,18.9,2.7,3021.76,8560.86,27.1
296,Binghamton,NY,6543,51.299,85.23,78.41,73.86,71.59,75.1,74.12,17.94871795,29.1,17.6,5.3,5.5,12.3,21.7,3.6,2979.65,7181.28,27.1
297,Bronx,NY,12189,50.778,86.42,83.33,86.42,79.63,78.57,76.16,15.55555556,28.7,15.5,7,10.5,13.9,20.1,2.8,3474.07,13890.57,28.2
299,Buffalo,NY,8362,51.884,85,79.29,73.57,71.43,75.67,72.46,18.27956989,27,18.5,7.4,5.9,13.5,22.4,4.1,3099.06,7984.44,25.5
300,Elmira,NY,5123,55.616,78.33,75,76.67,70,71.77,69.18,,33.9,22.9,8,6.4,17.8,22,3.6,3484.16,8678.32,27.6
301,East Long Island,NY,68084,49.012,85.81,79.95,77.73,73.86,76.4,75.1,16.02484472,26.6,16.8,7.2,10.4,13.9,19.6,3,3363.79,12154.57,33.1
303,Manhattan,NY,73530,54.369,86.31,81.9,84.52,77.98,80.73,76.47,15.06373117,32.3,18.4,8.6,15.3,18.4,20.8,3.3,4199.86,13333.8,36
304,Rochester,NY,8877,54.915,85.51,81.16,76.09,72.46,77.31,75.06,9.92366412,33.1,22.2,6.4,5.8,15.9,23.3,4.2,3182.67,7733.9,24
307,Syracuse,NY,13601,53.66,83.15,80.34,68.54,69.66,72.23,73.85,15.34653465,30.6,20.8,6.8,5.9,15.2,20.6,3.5,3110.24,8483.8,26.3
308,White Plains,NY,17356,44.992,87.63,85.48,83.33,72.04,76.07,72.79,12.05357143,23.4,17.1,6.9,9.4,12.8,17.7,2.4,2951.1,10973.92,32.2
309,Asheville,NC,16367,49.035,84.44,80,81.67,71.11,73.94,69.44,11.78861789,29,22.1,7,9.6,16.3,28.6,6.9,2653.45,7587.11,26.5
311,Charlotte,NC,42555,49.274,83.45,78.55,77.64,71.82,73.83,71.68,13.49593496,28.3,21,7.8,8.6,15.5,32.3,8.4,2625.9,8151.06,26.3
312,Durham,NC,25366,49.754,90.24,81.1,77.74,73.78,77.22,71.51,13.92405063,29.1,19,7.1,7.2,14.2,30.2,7.9,2599.57,7846.12,25.2
313,Greensboro,NC,8344,49.527,78.67,78.67,77.33,73.33,72.67,70.24,13.70967742,27.9,20.8,8.4,7.8,15.4,30.6,7.9,2759.89,7371.75,28
314,Greenville,NC,18702,50.4,81.02,74.09,74.82,66.06,75.24,69.84,13.94230769,29,20,6.3,8.2,14.7,33.1,8.8,2673.63,7826.77,25.4
315,Hickory,NC,7273,50.594,86.42,79.01,77.78,71.6,76.99,73.8,15.57377049,29.6,20.8,7.5,7.3,15.5,31.7,8.5,2600.76,7575.87,25.7
318,Raleigh,NC,29218,50.425,85.82,81.8,73.29,68.79,76.23,72.44,13.58381503,28.9,19.2,7,8.3,14.4,30.8,7.8,2736.99,7963.39,27.4
319,Wilmington,NC,10171,50.983,80.73,74.31,83.49,80.73,72.88,74.22,16,29.6,21.4,7.3,9.5,16.1,33.1,9.2,2799.07,8214.83,27.5
320,Winston-Salem,NC,18344,51.746,83.33,80.7,77.63,71.05,73.05,71.59,13.71237458,31,21.8,7.7,7.9,16.7,32.4,8.7,2779.55,8600.84,25.1
321,Bismarck,ND,7929,47.375,89.47,86.32,72.63,70.53,76.25,67.04,13.10344828,22.4,18.4,6,5.2,12.1,19.7,3,2228.68,6810.1,22.2
322,Fargo/Moorhead MN,ND,11946,47.5,87.07,85.03,78.23,74.15,74.17,69.75,14.02877698,21.4,18.7,4.6,4.6,10.3,18.2,2.6,2047.12,6981.59,19.6
323,Grand Forks,ND,4319,46.51,83.33,83.33,81.48,77.78,77.3,72.41,12.5,21.5,18.3,4.1,5,10.2,17.2,2.1,2055.23,6964.14,19.6
324,Minot,ND,4397,47.736,86.96,78.26,73.91,69.57,71.75,63.99,19.8019802,20.3,18.3,4.3,4.4,9.7,18.5,2.9,1959.3,6435.59,21.4
325,Akron,OH,5955,53.224,88.89,75.56,80,71.11,69.35,74.54,22.05882353,27.1,22.9,9.5,6.5,16.8,26.1,6,3098.45,9578.12,26.5
326,Canton,OH,7254,53.414,79.59,71.43,73.47,68.37,71.49,71.22,14.28571429,27.6,22.7,8.2,6.1,16,28.9,6.8,2836.39,9181.81,24.6
327,Cincinnati,OH,18964,51.028,80.57,80.16,76.11,75.3,72.57,74.07,11.11111111,24.6,21,6.6,7.4,14,28.5,6.8,2687.3,9295.83,25.2
328,Cleveland,OH,29273,50.15,84.76,82.32,80.79,75.61,75.02,74.18,15.47619048,25.1,19.1,7.8,6.7,13.6,22.5,4.1,2600.13,9440.75,25.4
329,Columbus,OH,38247,53.906,86.09,81.77,76.5,71.05,72.93,71.23,14.83050847,27.6,21.5,7.4,5.1,14.4,28.2,6.5,2789.03,9565.8,24.1
330,Dayton,OH,15039,50.957,90.06,85.64,81.22,76.24,71.76,68.94,10.85972851,25.9,19.4,7.5,5.3,13.5,28.4,7,2568.12,9170.12,23.4
331,Elyria,OH,3308,52.546,80,77.5,80,70,72.07,69.27,,25.6,19.3,7.9,5.2,13.3,25.4,6.2,2711.36,10594.56,24.1
332,Kettering,OH,4566,51.761,88.52,85.25,80.33,80.33,72.03,73.61,17.91044776,25.8,21,9,6.8,15.2,27.8,7.2,2835.08,10027.5,27.2
334,Toledo,OH,14401,51.38,85.37,84.15,71.95,70.12,73.87,71.53,12.08791209,25.3,19.8,7.4,5.8,13.2,25.3,5.3,2495.56,9567.58,22.9
335,Youngstown,OH,9111,49.171,84.35,79.13,75.65,70.43,64.74,66.01,17.54385965,24.5,19.4,8.1,5.1,12.7,27.5,6.2,2657.99,10235.6,26
336,Lawton,OK,4121,50.631,80.85,72.34,70.21,65.96,71.65,63.17,17.91044776,27.9,18.7,7,7.1,14,37,11.9,2735.4,8831.04,25.4
339,Oklahoma City,OK,37484,49.76,77.98,70.64,72.02,70.87,72.49,67.33,16.63716814,26.1,19.6,7.2,7.2,13.7,34.1,9.6,2723.98,8973.02,26.2
340,Tulsa,OK,25421,48.754,84.99,77.05,75.92,66.29,75.93,67.17,13.25966851,25.9,19.8,7,7.6,13.7,32.2,8.7,2639.73,8484.42,25.9
341,Bend,OR,3845,41.84,92.31,79.49,94.87,82.05,73.06,77.44,,19.8,17.1,4,7.7,10.4,25.6,5.4,1898.39,7095.97,23.1
342,Eugene,OR,10978,46.229,84.03,77.31,79.83,74.79,76.45,70.34,20.14925373,20.9,18.2,4.5,6.5,10.9,24.3,4.8,2112.26,7440.3,22.1
343,Medford,OR,9263,42.662,89.19,82.43,83.78,86.49,72.11,66.96,11.11111111,19.8,16.6,4,6.5,9.6,23.1,4.5,1975.15,7216.54,22.8
344,Portland,OR,22812,47.573,85.77,85.77,79.05,76.28,76.72,75.33,14.04958678,21.4,19.4,5.6,6.5,11.6,23.3,4.2,2283.62,7939.29,23
345,Salem,OR,2323,47.591,87.5,62.5,83.33,70.83,70.14,75.57,,20.4,18.4,4.8,5.9,10.5,24.5,5.5,2368.64,7557.12,22.5
346,Allentown,PA,27032,47.209,87.72,82.04,77.84,69.76,73.17,70.56,11.50684932,23.8,17.1,5.8,5.8,11.3,21.2,3.7,2576.06,9528,27.1
347,Altoona,PA,5003,52.653,74.16,70.79,67.42,69.66,70.83,68.99,,29.8,18.6,7,5.1,13.3,24.4,5,2949.78,8986.29,26.3
350,Danville,PA,10505,51.444,88.31,87.01,79.87,77.27,73.78,75.81,17.36111111,28.1,20.4,6.4,4.8,13.5,22.5,4.5,2711.92,7633.55,24.6
351,Erie,PA,14486,49.726,88.5,84,74,71.5,68.06,68.33,14.9122807,26.7,19.2,6.8,4.2,12.8,22.9,4.2,2780.69,8715.23,25.9
352,Harrisburg,PA,16754,51.322,87.38,83.5,73.79,71.36,73.03,73.22,12.64822134,26.4,19.3,6.3,4.5,12.4,22,4.2,2788.27,8186.95,26.2
354,Johnstown,PA,2509,52.825,79.03,75.81,64.52,59.68,69.71,68.46,,27,18.6,7.6,5.7,13.5,23.4,4.1,3037.67,9764.18,27.1
355,Lancaster,PA,12312,47.142,83.8,80.99,76.06,74.65,70.95,74.92,13.55932203,24.3,18.5,5.5,5.9,11.8,20.4,3.7,2437.36,7736.21,26.3
356,Philadelphia,PA,54198,47.84,84.68,77.3,80.72,72.43,73.42,73.19,14.01151631,25.5,18.1,7,7.8,13.2,20.7,3.7,2947.17,10345.63,29.4
357,Pittsburgh,PA,29301,47.652,80.88,74.51,72.3,65.69,70.23,64.82,14.19354839,26.9,18.4,7.2,4.8,13.4,22,4,2730.31,9679.49,26.8
358,Reading,PA,11261,48.223,97.04,89.63,74.07,67.41,71.83,69.14,9.27152318,26.1,17.8,6.5,4.9,11.8,22,3.9,2642.12,9337,26.3
359,Sayre,PA,3653,50.65,85.71,79.59,83.67,69.39,71.93,68.18,,30.1,18.9,6.7,4.8,13.6,20.7,3.9,2881.09,7576.97,25.1
360,Scranton,PA,8283,47.428,87.5,80,76.67,74.17,69.53,72.01,9.16666667,28.2,17.5,6.7,5.6,12.9,22.3,4.1,2746.82,8989.09,27.6
362,Wilkes-Barre,PA,6727,49.838,89.16,79.52,74.7,74.7,70.59,68.81,18.18181818,27.8,15.9,6.6,4.8,11.9,25.4,5.2,2993.54,8806.43,28.8
363,York,PA,8197,48.824,87.29,83.05,77.97,73.73,72.46,71.91,13.83647799,24.5,20.7,6.4,5.1,12.8,21.7,4,2501.75,8006.6,25.4
364,Providence,RI,17723,47.683,88.82,83.23,83.85,76.4,74.77,75.23,14.17004049,26,19.4,6.3,5.1,12.4,19.7,3,2556.12,9439.93,23.9
365,Charleston,SC,15467,46.479,86.92,77.57,78.5,71.96,75.63,71.41,17.89473684,23.4,20.7,6.7,9,13.7,31.5,8.2,2580.51,8122.04,28.4
366,Columbia,SC,17751,47.588,79.08,75.51,75,70.92,76.22,70.45,11.46245059,24.5,20.3,7.4,8,13.9,33.8,9.8,2675.05,7871.54,28.7
367,Florence,SC,8263,52.558,82.88,75.34,66.44,63.7,78.11,70.98,11.21495327,26.3,19.8,7,7.9,13.8,36.5,10.6,2741.27,7864.74,26.6
368,Greenville,SC,15768,47.949,80,73.81,79.52,71.9,75.68,70.08,12.04819277,25.3,21.8,8.5,9.4,15.2,32.4,8.9,2629.53,7982.11,28.2
369,Spartanburg,SC,6755,49.307,84.29,81.43,71.43,70,69.81,67.24,16.53543307,25.3,23.3,9.9,7.8,16.4,32.7,8.8,2634.89,7542.53,25.9
370,Rapid City,SD,4853,44.836,77.78,75.93,77.78,68.52,76.61,68.82,18.18181818,22,17.7,5,5.4,11.1,20,3.3,2109.35,7056.08,23.2
371,Sioux Falls,SD,26745,44.926,91.69,89.37,77.08,69.1,74.17,66.2,13.87900356,23.1,15.8,5,5,10.2,18.6,2.8,1974.86,6996.91,20.4
373,Chattanooga,TN,15601,50.474,84.34,77.27,75.76,74.75,71.52,67.19,15.16587678,30.3,20.3,7.8,8.3,15.9,35.8,11.3,2709.06,8628.28,26.5
374,Jackson,TN,10461,53.904,81.18,70.97,72.04,67.74,71.65,67.85,12.86549708,29.6,22.6,8,8.9,16.8,39.1,13.3,2563.3,9012.27,22
375,Johnson City,TN,4784,53.403,75.64,73.08,71.79,65.38,71.77,69.4,14.45783133,31.1,22,8.5,8.6,17.3,33.1,8.6,2778.58,9659.85,23.5
376,Kingsport,TN,9655,56.138,87.08,78.09,81.46,75.84,75.26,70.46,11.84210526,37.8,21.3,7.9,7,17.5,34,9.4,2768.51,8785.97,22.7
377,Knoxville,TN,23318,55.771,82.19,75.31,75,72.19,73.01,71.36,15.73333333,29.6,22.9,9.4,8.5,17.2,35.7,10.3,3076.4,9102.72,25.9
379,Memphis,TN,33687,49.739,79.08,76.55,72.64,70.34,72.53,66.38,15.02347418,28.1,19.9,7.3,7.8,14.4,36.5,10.9,2517.09,8586.57,24.8
380,Nashville,TN,44923,53.613,83.89,77.41,79.86,71.45,74.07,70.95,14.85451761,29,22.6,7.9,7.7,16.1,35.9,10.7,2702.49,9352.28,23.6
382,Abilene,TX,7186,46.927,83.51,72.16,53.61,44.33,71.68,60.44,21.42857143,26.1,20,8.9,6.4,14.1,36.7,11.1,2464.82,9051.81,25.2
383,Amarillo,TX,9294,47.756,82.61,73.91,81.52,72.83,76.8,67.84,15.82278481,25.4,19,5.9,7,13.2,32.8,8.8,2409.9,9149.26,26
385,Austin,TX,15461,46.055,81.58,73.03,74.34,74.34,74.41,72.51,20.18779343,21.5,19.2,8.7,9.1,13.5,28.9,7,2811.2,9295.25,29.1
386,Beaumont,TX,8697,51.299,82.76,72.41,73.56,65.52,75.33,72.07,10.81081081,26.7,20,8.1,8.2,14.8,35.7,10.6,2881.84,9751.96,29.3
388,Bryan,TX,3043,46.487,61.11,,83.33,77.78,75.31,71.91,,22,19.7,8,6.8,12.9,31.7,9,2418.56,9698.48,26.4
390,Corpus Christi,TX,6570,49.424,73.42,70.89,67.09,64.56,71.77,68.66,10.78431373,27.4,20.1,12.4,7.8,17,36.1,11.4,3121.69,12328.92,29.5
391,Dallas,TX,59949,48.574,82.31,75.04,75.87,70.25,76.82,72.12,18.86269071,24.7,20.4,8,8.4,14.3,32.3,8.6,2693.51,10854.97,28
393,El Paso,TX,14017,42.869,83.05,75.42,77.12,70.34,79.42,69.55,18.18181818,27.5,16.3,7.2,7.7,13.1,29,7.8,2452.87,9142.23,25.6
394,Fort Worth,TX,20395,51.194,85.58,82.33,77.67,72.56,75.34,70.88,13.51351351,26,22.3,9.1,8.1,16,34.5,9.6,2832.52,10739.77,28.2
396,Harlingen,TX,10192,48.74,82.84,70.15,71.64,69.4,75.84,72.97,13.57142857,34.1,15.7,10,6.6,15.3,32.7,8.6,3271.86,14281.44,29.6
397,Houston,TX,65752,47.331,83.52,75.44,74.01,65.61,75.65,69.66,14.75195822,25.2,17.7,7.8,8.7,13.5,32.9,9.2,2778.06,11534.76,30
399,Longview,TX,4181,49.389,80.95,76.19,73.02,68.25,73.81,67.53,20,26.6,21.2,7.7,8.1,15,35.1,10.1,2475.45,9420.24,25.4
400,Lubbock,TX,14523,48.201,85.16,79.12,73.63,70.33,76.19,69.75,14.28571429,25.4,17.7,6.2,6.5,12.2,34.6,9.7,2421,9354.25,24.8
402,McAllen,TX,11302,53.234,76,66.4,69.6,68,76.89,72.41,12.08053691,39.8,18.1,15.4,9.4,21.2,37.4,10.9,3744.04,15350.16,32.7
406,Odessa,TX,6596,44.255,80.23,83.72,67.44,66.28,81.6,68.8,16,24.7,16.9,8.1,6.9,12.6,31.4,8.4,2404.4,8927.09,26.5
411,San Angelo,TX,3474,48.291,82.86,91.43,80,77.14,73.16,70.62,,23.6,21.2,8.2,7,14.2,33.6,9.7,2513.53,9489.09,24.4
412,San Antonio,TX,29324,46.448,83.66,76.14,76.8,71.57,76.15,71.73,13.1147541,26.6,17.8,7.9,7.5,13.5,30.8,8,2859.45,10643.95,28.9
413,Temple,TX,3026,48.078,88.46,78.85,75,76.92,75.19,73.91,,22.1,18.1,8,6.2,12.7,28.7,7.2,2556.02,10324.22,22.7
416,Tyler,TX,12744,48.637,77.25,67.07,64.67,61.08,70.97,69.76,12.43781095,26.6,21.1,7.5,8.2,14.9,33.9,9.7,2478.29,9754.96,25.1
417,Victoria,TX,3897,49.653,86.27,78.43,78.43,72.55,77.87,72.13,,24.6,18.3,7.8,7.1,13.2,31,8.3,2808.49,9877.9,28.1
418,Waco,TX,5291,49.264,79.66,69.49,66.1,72.88,70.69,68.56,13.18681319,24.8,19.4,7.5,7.8,13.3,34.8,10,2726.73,8676.03,25.5
420,Wichita Falls,TX,4515,51.582,84.62,78.85,76.92,76.92,76.35,66.8,12.08791209,24.6,20.7,8.7,8,14.7,37.7,11.9,2612.01,10147.15,24.6
421,Ogden,UT,2650,46.269,86.96,78.26,95.65,91.3,72.04,69.89,,27.2,20.4,4.7,8.3,14.2,24.3,6,2331.48,7638.91,23.4
422,Provo,UT,3394,46.625,88.89,80.56,88.89,86.11,67.61,67.3,,28.6,20.4,5.5,9.7,15.3,27.1,5.5,2617.93,8350.21,23
423,Salt Lake City,UT,20015,45.615,81.33,78.92,83.73,75.9,71.61,69.89,11.22807018,26.8,20.7,4.9,8.9,14.6,23.7,5.1,2295.97,7981.9,23.4
