HSA ID,HSA Name,State,Medicare Part D beneficiaries (2010),Average number of 30-day prescription fills per beneficiary (2010),Percent of patients filling beta-blocker prescription in the first 6 months following heart attack (2008-10),Percent of patients filling beta-blocker prescription in the 7-12 months following heart attack (2008-10),Percent of patients filling statin prescription in the first 6 months following heart attack (2008-10),Percent of patients filling statin prescription in the 7-12 months following heart attack (2008-10),Percent of diabetic patients age 65-75 filling ACE-I or ARB prescription (2010),Percent of diabetic patients age 65-75 filling statin prescription (2010),Percent of beneficiaries with a fragility fracture filling prescription for an osteoporosis drug within 6 months (2006-10),Percent of beneficiaries filling at least one prescription for a PPI (2010),Percent of beneficiaries filling at least one prescription for an SSRI/SNRI (2010),Percent of beneficiaries filling at least one prescription for a dementia medication (2010),Percent of beneficiaries filling at least one prescription for a new sedative-hypnotic (2010),Percent of beneficiaries filling prescriptions for more than one discretionary medication (2010),Percent of beneficiaries filling at least one prescription for a high-risk medication (2010),Percent of beneficiaries filling prescriptions for more than one high-risk medication (2010),Part D spending per Medicare beneficiary (2010),Spending for non-prescription drug services (Parts A and B) per Medicare beneficiary (2010),Proportion of 30-day prescriptions filled with brand-name products (2010)
49001,Abingdon,VA,1325,50.4759816693565,90.4761904761905,85.7142857142857,95.2380952380952,90.4761904761905,74.6478873239437,69.0140845070423,,35.1129406880596,22.2429678510947,6.67732122085964,7.28367291873536,16.2994632517127,33.0196659378877,9.09766442331852,2569.37748556886,8474.78790138282,23.9022319049083
49002,Alexandria,VA,2266,45.529072292768,,,,,82.2222222222222,81.3333333333333,,21.2376768054941,16.6283432722505,6.43406192517173,8.73925221805869,11.935458005418,23.4035597206101,3.61966261730871,2650.2628338211,7758.85981721584,30.8095654748892
49003,Arlington,VA,1689,45.1822620555532,100,100,,,78.0487804878049,75,,21.4365673984821,15.3457771530072,7.29963643946636,8.69688016706817,11.2742106153165,22.5855460862225,3.89730567698041,2752.49398056584,7059.6323676982,32.636203554226
49004,Bedford,VA,673,46.6374398872912,,,,,76.3636363636364,69.0909090909091,,24.816241926392,17.7749111171991,6.31173803711117,4.96757937828817,13.4260037648641,28.9655019731958,6.67936244409306,2310.63066678558,6607.88787030753,23.1651556498645
49005,Big Stone Gap,VA,245,63.8929752259553,,,,,66.6666666666667,66.6666666666667,,42.7539917596153,21.3280166149579,12.1392753231572,6.46213126576709,19.9713055477387,34.5857314854943,8.58446363866199,3440.03126808123,10112.0674905314,24.3097318072001
49006,Blacksburg,VA,1546,46.8899475022336,92.8571428571429,92.8571428571429,85.7142857142857,92.8571428571429,70.8074534161491,75.1552795031056,,29.1308616236275,18.4679870700189,6.18482208515947,6.31226613303313,12.8644993521112,26.6179527260352,7.02958442344606,2489.74100946263,7032.47708777952,27.9701108561691
49007,Charlottesville,VA,5328,46.9615645203218,83.3333333333333,79.1666666666667,77.0833333333333,64.5833333333333,75.69573283859,76.0667903525046,,21.8297575947121,19.9541275426304,4.1987351782937,6.55240132929217,11.5242545127183,19.1962883019838,3.60503987078328,2220.61519825561,6943.36348669981,24.3949238758653
49008,Chesapeake,VA,1656,51.0121267345006,95,90,85,70,71.7277486910995,72.7748691099476,,24.5118761430238,21.9708762471607,9.12503432604029,7.88541179999761,14.7091598214158,29.2505194822183,6.93288239105762,2858.44151859172,8513.28161994738,26.880055544168
49009,Clintwood,VA,313,69.6599418294525,,,,,78.4313725490196,78.4313725490196,,44.9016350945747,26.3363485579691,11.2591450396985,10.786896599139,23.5114500528212,39.316561028341,9.97876946916834,3451.51904912497,9559.32119800461,22.012362188871
49010,Culpeper,VA,834,50.1009140744002,100,100,91.6666666666667,,75,81.4814814814815,,26.9264635601166,21.6111508154203,4.82774843477723,6.5108137487591,15.1883301875508,20.3912183003821,3.53497624717149,2439.4112696501,7495.5545136258,24.2041169551605
49011,Danville,VA,2970,48.3525291947161,91.8918918918919,83.7837837837838,81.0810810810811,72.972972972973,81.5047021943574,69.2789968652038,,30.0268643464106,17.5909117542497,6.76869278143306,5.2191486931637,12.3672315359672,28.2767926087114,6.85481654676467,2421.35502845774,7261.63948911891,24.3643555927964
49012,Emporia,VA,764,53.9054864329808,82.3529411764706,82.3529411764706,94.1176470588235,82.3529411764706,73.1958762886598,75.2577319587629,,26.2369615883837,21.7290587134472,6.85566124641204,5.79277208782093,14.1720686257593,30.1448670932149,6.19238467249407,2738.48391703427,7230.78668334076,24.3187726734048
49013,Fairfax,VA,918,46.0670129064777,,,,,75.4901960784314,79.4117647058823,,23.0809480567306,15.9156162033654,7.4047661619996,7.0782174077813,12.0120567259194,20.3726409120302,3.64810113857214,3066.07291610819,6887.60954733516,32.140603996914
49014,Falls Church,VA,4898,45.0217725686881,89.1304347826087,86.9565217391304,80.4347826086957,80.4347826086957,79.9573560767591,75.2665245202559,,21.8604053723055,14.1608434048239,7.11448668879981,8.64945005583288,10.6567148024238,21.8400499171986,3.38289229512027,2844.46343719646,7083.40993663333,33.4439052708578
49015,Farmville,VA,834,48.1514608556376,,,,,82.7586206896552,75.8620689655172,,24.8673872739104,19.5438018096027,5.55710631102084,6.90133298285932,11.8057622023039,29.1676777855408,6.01851577196637,2362.33518452993,7700.59991965436,23.7513765329267
49016,Franklin,VA,664,47.2624010626696,,,,,73.972602739726,58.9041095890411,,26.8850446957809,19.0410875092032,6.73647327635068,4.57277507337539,11.6281768135846,29.9719486995663,8.16029894020113,2152.58487748373,6393.7515013058,24.6066143813759
49017,Fredericksburg,VA,3165,49.7484272220431,88.2352941176471,82.3529411764706,80.3921568627451,78.4313725490196,73.7980769230769,75.2403846153846,,25.3241153319872,19.7438635397589,6.18423243335936,7.50966057018338,13.5503900185738,27.3772401383017,5.99089825731274,2744.03360182501,8930.18844140124,27.8139536598911
49018,Front Royal,VA,612,50.6430287907728,,,,,88.8888888888889,82.5396825396825,,27.5600240724625,17.3261978793084,5.90034783757474,4.3276933433285,12.9592522961479,22.8318972011109,3.91032770189613,2442.25791587393,8735.27281328053,22.981604907188
49019,Galax,VA,1875,51.2805037981918,83.8709677419355,80.6451612903226,77.4193548387097,64.5161290322581,69.4063926940639,68.4931506849315,,32.720702373581,21.7235424006173,5.5698861606994,5.35164694181979,15.3529412788772,30.2686417880664,7.52592110444369,2348.67307412987,8489.82940203888,21.3180616042043
49020,Gloucester,VA,1247,49.6503037153116,,,,,78.1021897810219,76.6423357664234,,24.7270403103819,19.3132901234072,5.64743746272323,6.69739686163581,11.6540876874023,25.8558340565421,6.27454243511217,2454.7907754058,6800.06913836589,24.3271155529679
