State #,State label,Medicare Enrollees (CMHS 5% Sample) (1993),Total Medicare reimbursements per enrollee (Part A and B) (1993),Total Part A Medicare reimbursements per enrollee (1993),Total Part B Medicare reimbursements per enrollee (1993),Medicare reimbursements for inpatient short stays per enrollee (1993),Medicare reimbursements for inpatient long stays per enrollee (1993),Medicare reimbursements for outpatient services per enrollee (1993),Part B Medicare reimbursements for professional & laboratory services per enrollee (1993),Part B Medicare reimbursements for medical & surgical services per enrollee (1993),Part B Medicare reimbursements for medical care per enrollee (1993),Part B Medicare reimbursements for surgical services per enrollee (1993),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (1993)",Part B Medicare reimbursements for durable medical equipment per enrollee (1993),Medicare reimbursements for home health services per enrollee (1993),Medicare reimbursements for hospice services per enrollee (1993),Medicare reimbursements for skilled nursing facilities per enrollee (1993)
1,Alabama,24484.7124328613,3987.41785539382,2637.36807157627,1348.9593634516,1905.4891171886,54.8341480513705,295.570700679188,810.109465734733,587.066332079627,311.404353042539,276.283841473255,223.053902596533,108.194533908125,509.619209445026,29.8203744684902,114.920586446492
2,Alaska,1170.74877929688,3718.79413282579,2484.64910966498,1239.29650050988,2165.28789167509,,420.217365210346,646.19296635017,484.804111830309,271.427719463297,213.260556805184,161.588498265637,58.8396106369002,161.08917638153,,
3,Arizona,18158.6097717285,3911.24703216678,2406.50031553593,1502.66005982767,1851.83225580156,61.8565123175747,302.527432974002,937.408420374798,673.4864652761,355.371062194513,317.400643541358,263.887301935363,88.761581035235,233.620579497616,51.4476448791029,196.606064598587
4,Arkansas,16589.7255554199,3389.3920549652,2186.84408196073,1202.49078717132,1662.5090423008,112.469579111369,256.562037027808,700.625942785809,507.078981609664,264.944057409488,242.522768181434,193.556294553106,93.4115792504053,264.433480915045,37.9081447355366,106.63287354017
5,California,98700.7475585938,4845.11138971629,3060.642042944,1784.50209546804,2337.01083768122,45.898051768319,373.08526727772,1126.60814439716,861.858529932348,518.723749983253,343.28595228544,264.720764614814,102.088542186778,334.360734381348,40.550254016318,295.885542086535
6,Colorado,13443.4725036621,3733.83774414508,2492.76714408111,1241.96494945764,1769.74083664053,99.2917767018835,355.935029413809,654.287849338325,492.539954722416,281.532961149833,211.069138890244,161.774392475297,134.594949087331,330.679008630375,67.8190306513298,217.094246201316
7,Connecticut,20279.9708862305,4250.85813641005,2695.64266591116,1555.10150762654,2024.08070088455,20.8127220835361,401.310674760121,930.478891737384,685.946167467148,393.783620186957,292.228852919871,244.535200335387,81.8570709940259,430.779386196269,35.7559262715248,182.113090792855
8,Delaware,4104.49417114258,4000.82132641278,2570.5630135952,1430.22811164328,2206.66409912733,,322.013383763442,926.275385636386,672.842671063465,368.162539251971,304.594306371986,253.421458420923,76.0370455991465,211.559497065004,-27.4667026372026,105.245793077633
9,District of Columbia,2854.49432373047,4448.6520080346,2799.5150985309,1655.17852636246,2513.14956269046,,413.138061153548,1128.07113146741,805.677234502611,487.534849300463,311.525870236249,322.871392266961,53.7680702251902,151.001634192413,,91.6602445677045
10,Florida,95403.6315765381,4588.65393765128,2670.17302198569,1917.07313980955,1873.76057918441,62.035638210861,321.633464739409,1258.08041168307,867.616329790934,501.840013182941,365.891931908272,390.515163319334,137.390358917139,481.321892703857,73.2710869242488,177.352905592652
