HRR,HRR name,State,Table 1. Region information (2001-05),Table 2. Medicare spending per decedent by site of care during the last two years of life (deaths occurring 2001-05),,,,,,,,,Table 3. Medicare Part B spending by type of service (BETOS category) per decedent during the last two years of life (deaths occurring 2001-05),,,,,,Table 4. The Medical Care Cost Equation: Disaggregation of hospital (facility) reimbursements per decedent into contributions of volume (patient days per decedent) and price (average reimbursements per day in hospital) during the last two years of life (deaths occurring 2001-05),,,,,,,,Table 5. The Medical Care Cost Equation: Disaggregation of payments for physician visits per decedent into contributions of volume (physician visits per decedent) and price (average payments per physician visit) during the last two years of life (deaths occurring 2001-05),,,,,,,,"Table 6. Resource inputs per 1,000 decedents during the last two years of life (deaths occurring 2001-05)",,,,,,,,,,,Table 7. The patient experience of end-of-life care (deaths occurring 2001-05),,,,,,,,,,,"Table 7, continued. The patient experience of end-of-life care (deaths occurring 2001-05)",,,,,,,,,"Table 8. CMS Hospital Compare technical process quality measures (all patients, 2005)",,,
,,,Number of deaths among chronically ill patients living in region,Total Medicare spending,Inpatient sector,Outpatient sector,SNF/Long-term care sector,Home health sector,Hospice sector,Ambulance,Durable medical equipment,Other,Total Part B spending,Evaluation & management services,Procedures,Imaging,Tests,Other,Hospital reimbursements per decedent,Hospital days per decedent,Reimbursements per patient day,Ratios to U.S. average,,,,,Payments for physician visits per decedent,Physician visits per decedent,Payments per physician visit,Ratios to U.S. average,,,,,Hospital beds,Intensive care beds,,,Medical & surgical unit beds,SNF beds,Standardized FTE physician labor,,,,RNs required under proposed federal standards,Hospital days per decedent*,Intensive care days per decedent*,,,Medical & surgical unit days per decedent*,SNF days per decedent*,Physician visits per decedent*,,,,Home health agency visits per decedent*,Percent of deaths occurring in hospital,Percent of deaths that included an ICU admission,Percent enrolled in hospice*,Hospice days per decedent*,Percent of patient seeing 10 or more different physicians*,Number of different physicians seen per decedent*,Average co-payments per decedent during the last two years of life,,,Composite quality score,AMI score,CHF score,Pneumonia score
,,,,,,,,,,,,,,,,,,,,,,Hospital reimbursements,=,Hospital days,x,Reimbursements per day,,,,Physician visit payments,=,Physician visits,x,Payments per visit,,Total,High-intensity,Intermediate-intensity,,,Total,Medical specialist,Primary care,Ratio MS/PC,,,Total,High-intensity,Intermediate-intensity,,,Total,Medical specialist,Primary care,Ratio MS/PC,,,,,,,,Total,Physician services,Durable medical equipment,,,,
303,Manhattan,NY,14303,81142.541519165,57360.4444250009,7532.35881567104,8641.88166601312,3620.87700891271,1324.25905110704,971.213353805768,1266.81446192939,424.692736725032,12781.5074768066,6400.9512712518,2350.00196915533,1252.85955687571,758.269647602228,2019.42503192153,51917.409513278,34.9077034089582,1487.27657345555,2.33476933049257,=,1.78198776585881,x,1.31020502790453,6404.95690097011,88.3117262648578,72.5266866798736,1.74615377161653,=,1.44081933116336,x,1.21191722921057,95.637543586187,14.648094136207,12.6360265359487,2.01206758924543,80.9894493181412,57.4131197484911,30.965231633475,12.4399881307258,13.5533967125588,0.917850218255525,81.7081943817743,21.8544095539335,4.03884955758598,3.57103586196899,0.467813692055643,17.8155599832535,10.1407116173737,47.6800456394823,23.2499003443541,21.0213719635333,1.1060125088261,10.0791933214204,48.5063302575944,22.7362804213776,14.2668532040025,5.26991748956566,49.2982443203072,10.725282434248,3687.30111496547,3347.95538330078,339.345731664686,86.5284917530838,92.7921770547158,89.4869306018423,74.1167236845247
297,Bronx,NY,3224,78301.4504318237,53715.7528297177,6509.68740578632,11672.20328374,2865.33308312964,808.848823036852,1052.97038570325,1282.24769450122,394.406926208743,11468.5272521973,5764.04387190327,2023.35310929229,1056.68809451939,677.912120068898,1946.53005641345,49246.9267990225,31.710880988268,1552.99774917141,2.21467548919143,=,1.6187946054107,x,1.36810159966498,5771.7024026452,79.4849220764842,72.6138021132033,1.57351252707113,=,1.29680866978347,x,1.213372923651,86.8791259952548,15.4951814623436,12.9235553823105,2.57162604838201,71.3839444395614,73.6214585349623,27.214744037257,9.65634721032215,13.0914490176259,0.737607211953478,75.4949174515189,19.4314576467593,4.01552091648166,3.40757960826159,0.607941307127476,15.4159367084503,12.7084408109526,40.2748905024522,16.9129116853573,20.2457667470849,0.835380151151475,8.69659558964004,43.5069408271559,22.8182853559612,9.9642815479217,3.7114522010834,45.6913967239603,9.86471992630456,3386.76365317068,3036.87655639648,349.887096774193,87.1293112186992,90.6441548099275,93.1420668926265,77.2627347840338
56,Los Angeles,CA,18437,77411.4712982178,47797.3171299206,9323.93687238863,11071.7216894259,3843.23230097844,1909.48302442721,1243.04411522927,1790.42593490535,432.310230942385,15061.3754577637,7194.44670509037,2828.93566596782,1187.67780636554,903.643506729023,2946.67177361095,41287.3707004125,28.0416882690301,1472.35681048531,1.85672759391717,=,1.43148762449421,x,1.29706157576681,7197.94410740819,109.439953593762,65.7707160049313,1.96234220547716,=,1.78552959395904,x,1.09902530437822,76.8265432028221,32.305929593869,14.3818337623387,17.9240957923131,44.5206135919649,67.8280952158568,36.7686515996533,18.2483195057088,13.0593616847543,1.39733625166475,72.8873066297949,16.6121344994228,7.73574576156908,3.8989252448082,3.83682050555944,8.87638872861862,12.1312211866359,59.2051049098341,36.5740233728614,19.1294775514906,1.91191961591295,8.93846740815014,39.4194901441279,30.1682064137387,22.4315548662245,8.40150854028933,41.2672855114669,9.22682853523569,4374.77726557653,3899.43908691406,475.338178662472,83.4194809095012,90.8739629986048,85.3635794049912,69.6992784306685
127,Miami,FL,8097,71981.707244873,39007.3611319964,9271.3496781995,9135.3205845295,5315.49646131156,3586.15256532906,913.516862979197,4278.95888327817,473.551077249605,15040.0901794434,7560.37360712012,2785.18162072461,1433.68284812473,892.440240644042,2368.4118628299,32496.1206846996,29.0447584025371,1118.82909247615,1.46137772754663,=,1.48269290389249,x,0.985624011358046,7561.2685333105,105.707172789197,71.5303260299022,2.06139366303086,=,1.7246287037864,x,1.19526809365117,79.5746805548963,35.2116409530202,15.2129447623475,19.9986961606431,44.3630394870288,51.7722657859362,36.8535818859179,16.6513811825525,14.4374100144992,1.1533496081243,76.0903929194359,17.2601252277306,8.4880832847799,4.12435112893581,4.36373214423656,8.77204191684723,9.15133756315554,56.1889152171477,31.7555557134809,20.6935151480445,1.53456556251062,18.8397435929686,37.342406168607,28.624868993968,36.8396532848689,13.1910232390062,50.5911636865397,10.9115048337381,4983.73261060758,3870.80844116211,1112.92416944547,87.4729115340148,91.5528516185925,88.6259509378695,79.904318457149
402,McAllen,TX,1618,67187.8818969727,38820.6699790718,9342.21646016016,7741.27192458864,5014.33647453753,586.68388089601,3036.62609885649,2151.94849899863,494.128579863449,15493.8782043457,5508.66238380914,2451.81344359051,1255.79456867237,860.184612063602,5417.42319621008,33729.6283972846,27.7803962205483,1214.15217153512,1.51684960111022,=,1.41814904337199,x,1.0695981555673,5571.31660248284,100.542522301008,55.4125406343322,1.51888227332517,=,1.64036664056087,x,0.925940723109223,76.1106745768446,26.6187950841574,16.8615602467158,9.75723478892078,49.4918793848116,56.4756726340885,32.4537712870194,12.3182794424561,16.0098197620423,0.769420244921279,72.1684846976032,16.6091333484921,6.72818381753321,4.39886170625687,2.32932210713625,9.88094952702522,10.6408168747146,54.4499141435104,25.3414226959326,25.7455270892505,0.984303899006727,15.9345237257097,45.2405139039727,31.1102110793176,12.5962603682983,4.3459136640787,48.8908613329355,10.7298815421856,4779.4684651567,4188.77810668945,590.690358467243,69.5183997675906,76.9626834690644,64.7405657376803,60.296482951741
396,Harlingen,TX,1847,66090.9267425537,43660.2618103481,8506.06926137932,4619.97078390249,3816.11897862883,1497.79485700187,1557.34234928541,2027.83833392146,405.530368086213,12437.8898925781,4739.05378496683,2475.78816852115,987.162826517497,726.065738681857,3509.81937389077,39230.068810712,26.4819119309223,1481.39110624049,1.76420900717203,=,1.35186329861344,x,1.30502027015713,4772.74586355722,78.9465469586702,60.4554099884297,1.30117162683099,=,1.28802499733166,x,1.01020681238839,72.5531833723898,26.1257501014379,23.5547539306014,2.57099614772078,46.4274331314923,47.4635315079022,29.681179838479,12.1459177518277,13.693882147059,0.886959418913667,72.723701892242,16.1688199244178,6.57500224793552,6.03955215215683,0.535450091585517,9.59381765127182,8.58466495774641,41.2364090394365,19.6123303581102,19.3112582652531,1.01559049590253,11.6203601752609,44.9216286427972,30.4003110545712,23.4980027106446,10.2533315615074,37.1758051809376,8.61477715405094,3925.90359465677,3379.87219238281,546.031402273958,84.9532847197649,93.5273004261501,89.6580905578833,67.5267213170439
289,Newark,NJ,6544,65928.0533065796,45036.5535750715,7151.25935739189,7509.96388726016,2444.2465303436,1569.79776661356,909.84195868171,945.178177328468,361.21205388871,13094.469329834,6811.00203188021,2355.82147699674,1051.18331698249,642.230784616197,2234.23171935836,38620.6332844565,33.1119984559957,1166.36370757813,1.73680218181318,=,1.69031962545488,x,1.02749927035,6811.1532329952,104.174168572913,65.3823623101728,1.85689319861798,=,1.69961750535333,x,1.09253593397884,90.7178039890293,24.6374000790319,16.3290430421699,8.3083570207635,66.0804038178431,56.0727418775338,34.1460933326697,16.4976620147982,12.5883532013552,1.31054966054036,82.3622244474006,20.3950742094905,6.28335425395416,4.3365316092968,1.94682263210416,14.1117199361324,10.3955389296343,58.7929344280759,35.1719911232273,20.4822996140666,1.717189562986,6.31792719557507,44.0927840169798,29.379987734502,23.5315987568472,7.93302913231989,45.7560514317011,9.92054567792742,3715.27950273808,3456.36813354492,258.911369193154,89.8633104596182,92.9525175676465,91.1304005634923,83.8699052103217
23,Orange County,CA,5850,65247.4742660522,34140.9904379279,10528.8986805872,11367.0191102918,3036.65095559467,2830.10487396784,1342.26365446235,1602.00305387282,399.543499347623,14658.4428710938,5960.46470410901,2749.77080244518,1186.12978333265,798.411198953262,3963.6663822537,29181.3741587068,21.0242019314817,1387.98962518575,1.3123108037575,=,1.07325509759061,x,1.22273894314926,5963.43733980286,88.4352307118919,67.4328239073725,1.6257843360536,=,1.44283432512054,x,1.12679904251501,57.6005532369362,25.7499200025342,13.5586474039783,12.1912725575983,31.8506332292949,60.9696365389587,31.4825605534896,15.303110394379,11.2410565838194,1.36135871928681,56.4172185855369,12.3948729198582,6.04820206909842,3.43411632627249,2.61408573389053,6.34667083621025,10.8127009512147,46.5116171985473,27.5885788223794,15.9624088952092,1.72834683057515,7.24073602062702,32.620159118121,24.4587805641957,36.0530558214646,12.8608881663892,37.2057515116444,8.77962667501789,4136.7745072011,3723.36801147461,413.406495726496,88.2349091273772,94.2868145954083,87.8670031567936,78.3936706610478
301,East Long Island,NY,17957,65217.8847198486,40669.2143304492,8814.62844698479,8911.63292214913,2730.81378174008,1793.34647621359,657.135897781149,1202.39776418273,438.71510034793,13816.8155212402,6431.68568216834,2580.06034529608,1387.67116503872,817.452220852034,2599.94610788503,35350.6701577124,31.5144216925731,1121.72993376056,1.58974920494593,=,1.60876564253921,x,0.988179485507119,6432.27098404255,91.4901689648903,70.3055973862171,1.75360028373404,=,1.49267611031257,x,1.17480294058356,86.3408813495152,16.1049895885232,12.9146623284849,3.19032721119384,70.235891701424,64.0559311140877,31.4367440660542,12.5302897511477,13.6699269521069,0.916631800231859,75.2392394799892,19.6395360242161,4.29143197450827,3.55965150892735,0.731780461966991,15.3481040298939,11.2449695612065,49.3846984391597,24.2845328817899,21.5087120194966,1.1290556524155,7.22747128108892,45.9702901045546,23.8903384558247,20.781133804301,7.35826353678595,50.4354594718913,11.0532555924957,3944.84398530163,3629.47103881836,315.372946483266,86.8070555833612,92.1206474599484,86.8010031808578,77.955104057385
284,Hackensack,NJ,6157,63968.8532104492,40435.0441279585,7890.18117630776,9204.67987983217,2707.61869667284,1629.55176552572,704.554797446488,1010.69894794231,386.523818763402,12474.4119567871,6320.54641606235,2393.68491057652,1122.35457056461,701.901344870596,1935.92471471302,35045.8102313869,29.7563284158691,1177.75989502444,1.5760393990686,=,1.51901752380387,x,1.03753865532896,6321.41043753871,92.3241254397639,68.4697570372661,1.72337688576366,=,1.50628223784701,x,1.14412614214116,81.5241874407372,15.886089195404,10.6745225925968,5.21156659273252,65.6380981615145,62.1316348405525,32.6748966630887,14.9156950201539,12.5733033139075,1.18629883076593,70.4519241027636,18.305353412156,4.17194286751879,2.98741820454597,1.1845246553421,14.1334105432034,11.8966490483196,49.9292476297113,27.6896999553057,19.0522342458047,1.45335710227282,7.09471386239454,42.8668336854604,23.0527990102855,23.7657854959366,7.47898727884521,45.7561431183025,10.0046348387669,3538.37843995112,3275.55709838867,262.821341562449,90.5353017250385,93.38678029767,88.8594239461208,86.900089289931
292,Ridgewood,NJ,1985,63373.4491119385,37395.8033857306,8767.99857278024,10044.184870384,2557.2469585807,1928.81776199596,1107.59746994846,1211.82298079247,359.977111726068,13720.8207702637,6221.51876130603,2545.87582999841,1209.83900365468,735.56037894746,3008.02679635712,32075.892880739,27.2705175217143,1176.21137388384,1.44247973171622,=,1.39212047332401,x,1.03617449736369,6227.1614442905,89.850339586303,69.3059310956659,1.697682218715,=,1.46592204300567,x,1.15809856793895,74.7137466348336,14.8517145261616,12.0091301121124,2.84258438503906,59.8620320019657,67.9839037016506,32.0287640893505,15.1277797350966,11.5776845296877,1.30663257375046,65.7528035546819,16.8607374576165,4.01353561823772,3.36488901823759,0.648646594956517,12.8472018241882,12.3809413128004,47.8458684839919,27.8159718750435,17.428501643893,1.59600477673824,6.97842254808903,40.17835994231,20.9388489076361,22.220838879696,8.83854671866842,47.9441709752068,10.4642126546716,3898.91130354182,3588.00198364258,310.909319899244,88.3759089813056,94.3064325866386,85.1973684210526,80.610730012586
156,Chicago,IL,8621,62564.9887771606,40018.9173410189,6173.4551185805,8817.17231649807,3209.86079301285,2034.26610828162,920.798240613389,1148.79868306015,241.720176095114,10819.2299499512,5370.19918616831,2029.959169173,749.714075306182,462.284622345189,2207.07289695852,34844.0143467496,26.267251631245,1326.51922766455,1.56696446935065,=,1.34090520081597,x,1.16858706223013,5380.59998752892,81.0266924939431,66.4052773464884,1.46688808481451,=,1.32196289013047,x,1.10962879197746,71.9650729623152,20.9589353743432,11.2967754880043,9.6621598487031,51.0061375082356,58.3134033519728,29.0004521414997,11.8734302477443,12.5824147051768,0.94365275076009,64.8619262118862,15.5417324209444,5.16226889802969,3.01972660422325,2.14254228025675,10.379463493824,11.4352979274667,43.842588700295,21.5109987342955,19.654496324708,1.09445688044693,6.19434974216347,34.6014102544639,23.5833068785979,30.7492520710772,10.035019191721,38.8099168418127,9.17811086131324,3321.49427289026,2993.74621582031,327.748057069945,80.8380280438505,88.0112572214406,86.3090596685123,65.235291664759
