HSA Number,HSA Name,Medicare enrollees (1999),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (1999),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (1999)
2001,AK-Anchorage               ,13550,5.19608589063888,5.26733656395144
2016,AK-Barrow                  ,211,,
2017,AK-Bethel                  ,1002,6.38316979091543,6.53324994004109
2002,AK-Cordova                 ,148,,
2018,AK-Dillingham              ,261,,
2003,AK-Fairbanks               ,4515,5.4666803567046,5.58117480480729
2004,AK-Homer                   ,856,3.91632704827687,4.02405232401781
2005,AK-Juneau                  ,2254,5.31668268554144,5.50024302835923
2006,AK-Ketchikan               ,1341,6.46489726929833,6.62289960288434
2007,AK-Kodiak                  ,588,5.50468665257692,5.66761654674671
2019,AK-Kotzebue                ,337,,
2008,AK-Nome                    ,342,,
2009,AK-Palmer                  ,3188,5.24244698995747,5.39144342049141
2010,AK-Petersburg              ,332,,
2011,AK-Seward                  ,269,,
2012,AK-Sitka                   ,651,5.29301684112492,5.42170833495348
2013,AK-Soldotna                ,2213,6.00520838990647,6.18082421396204
2014,AK-Valdez                  ,158,,
2015,AK-Wrangell                ,276,,
1001,AL-Alabaster               ,8788,6.07454214904236,6.03735816439602
1002,AL-Alexander City          ,3646,5.35825519122129,5.46644897909212
1003,AL-Andalusia               ,4162,5.7177481833995,5.84786781675804
1004,AL-Anniston                ,13606,5.75224510991385,5.84830162532771
1006,AL-Ashland                 ,1883,5.78253740776974,5.91860209123024
1007,AL-Athens                  ,5839,5.84337155632981,5.96091328455101
1008,AL-Atmore                  ,2103,5.34501646989034,5.36186852367995
1010,AL-Bessemer                ,12576,6.45072581563725,7.47630510344935
1011,AL-Birmingham              ,94519,5.84412178898862,6.31160909881624
1012,AL-Boaz                    ,8100,6.12974450767329,6.27713367620349
1013,AL-Brewton                 ,3209,6.05309814592712,6.15316938140565
1014,AL-Bridgeport              ,1162,4.99779459165605,5.10323480462983
1016,AL-Camden                  ,1000,7.29651120869284,7.4021342249229
1017,AL-Carrollton              ,2239,5.39578626173943,5.47959035816405
1018,AL-Centre                  ,2896,7.85442245322168,8.00713141417257
1019,AL-Centreville             ,1158,6.31549330553666,6.35768467465345
1022,AL-Cullman                 ,10984,5.79310531291715,5.90197878867105
1023,AL-Dadeville               ,1283,6.82205572241518,6.98311441880492
1024,AL-Decatur                 ,9409,5.71358667085393,5.82707874606193
