HSA Number,HSA Name,Medicare enrollees (1999),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (1999),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (1999)
49001,VA-Abingdon                ,5751,5.64558160501577,5.80566092211211
49002,VA-Alexandria              ,22966,5.13458636655809,5.24053950242918
49003,VA-Arlington               ,18795,4.64388214269949,4.69987825116634
49004,VA-Bedford                 ,3980,5.40145145773468,5.49949761842014
49005,VA-Big Stone Gap           ,2107,7.52900828801197,8.31570726345511
49006,VA-Blacksburg              ,5970,5.90664463518502,6.08213705955405
49007,VA-Charlottesville         ,25443,5.1808250220098,5.28789738839139
49008,VA-Chesapeake              ,11890,6.01767998442583,6.22675158793788
49009,VA-Clintwood               ,1891,6.33249644141582,5.62324703641858
49010,VA-Culpeper                ,4093,5.56054971208341,5.64296194759003
49011,VA-Danville                ,17218,5.84003323212691,5.93357299381462
49012,VA-Emporia                 ,4414,5.48539562955753,5.56448909126204
49013,VA-Fairfax                 ,3984,5.36557400206515,5.65835639569944
49014,VA-Falls Church            ,42597,4.83957354867784,5.01357735031724
49015,VA-Farmville               ,4256,5.30155084974211,5.39165319887061
49016,VA-Franklin                ,3654,5.37398067798525,5.44912158872244
49017,VA-Fredericksburg          ,19163,5.59274126041352,5.67238989052958
49018,VA-Front Royal             ,3703,5.94280302751829,6.00652829836569
49019,VA-Galax                   ,7791,5.81405273508852,5.94773479503233
49020,VA-Gloucester              ,6502,5.99640208656879,6.14606436135824
49021,VA-Grundy                  ,2894,6.4969803199973,6.61499960001521
49022,VA-Hampton                 ,8892,5.52792472140864,5.68568843170595
49023,VA-Harrisonburg            ,15941,4.99458080225471,5.11710769531229
49024,VA-Hopewell                ,4335,6.40349339108017,7.18558053313978
49025,VA-Hot Springs             ,900,6.10285935544951,6.21186576746265
49026,VA-Kilmarnock              ,7102,5.31046632310794,5.42040032257308
49027,VA-Lebanon                 ,3860,6.42151062146693,6.5359237972387
49028,VA-Leesburg                ,6938,4.80080521302429,4.97490613208772
49029,VA-Lexington               ,4765,5.35325144477855,5.46196728216632
49030,VA-Low Moor                ,4402,5.60173656936852,6.0255853130357
49031,VA-Luray                   ,2678,6.55336392589666,6.67813960160447
49032,VA-Lynchburg               ,28574,5.43503679592,5.53736726075927
49033,VA-Manassas                ,6939,5.8780973255934,6.26284292464259
49034,VA-Marion                  ,5440,6.18910591675177,6.28910958903225
49035,VA-Martinsville            ,11915,5.19942384369159,5.30453416677255
49036,VA-Nassawadox              ,6422,5.75111881211117,5.85054455866617
49037,VA-Newport News            ,29919,5.74890458472697,6.02366115168506
49038,VA-Norfolk                 ,32790,5.51484227306806,5.78623571039097
49039,VA-Norton                  ,4042,6.44711645573595,6.53246270055913
49040,VA-Pearisburg              ,3257,4.99682059572364,5.10712071820557
49041,VA-Pennington Gap          ,2637,6.009868054283,5.97506466053332
49042,VA-Petersburg              ,14090,5.64205248494876,6.04656651394609
49043,VA-Portsmouth              ,19456,5.71869487028697,5.9386732331626
49044,VA-Pulaski                 ,3127,6.17716181327056,6.35082103046133
49045,VA-Radford                 ,4445,6.45592186378034,6.64507219698111
49046,VA-Reston                  ,7652,4.92689290517337,5.21950864449742
49047,VA-Richlands               ,3713,6.75956872688044,7.01412425675855
49048,VA-Richmond                ,101580,5.42890966904198,5.66683307151375
49049,VA-Roanoke                 ,35538,5.40961588965149,5.50587413890691
49050,VA-Rocky Mount             ,3509,5.12809615873309,5.25320203078066
49051,VA-Salem                   ,7438,5.47726113437395,5.55581637274902
49052,VA-South Boston            ,9214,5.74381734087282,5.82869585497086
49053,VA-South Hill              ,4873,5.23519686083968,5.29956741885137
49054,VA-Staunton                ,15379,5.09133784674504,5.21188876229301
49055,VA-Stuart                  ,2400,5.35303596175592,5.45255710535787
49056,VA-Suffolk                 ,8125,5.75038284099223,5.90731642532095
49057,VA-Tappahannock            ,4197,5.4283249728225,5.49337134144314
49058,VA-Tazewell                ,1950,8.29828866724469,8.32554106873429
49059,VA-Virginia Beach          ,24000,5.51956045985351,5.72489038119673
49060,VA-Warrenton               ,5779,5.5785508810931,5.69302964285093
49062,VA-Williamsburg            ,10494,4.42750097885886,4.58519621146167
49063,VA-Winchester              ,14638,5.62966039078837,5.76769448856627
49065,VA-Woodbridge              ,6921,5.11757189233631,5.27261371334787
49066,VA-Woodstock               ,3738,5.52052410633545,5.65767371263249
49067,VA-Wytheville              ,4928,6.204855891149,6.3709808702122
