HSA #,HSA label,Medicare Enrollees (1992),"All Medical Discharges per 1,000 Medicare Enrollees (1992)","Medical Discharges Excluding ACS Events per 1,000 Medicare Enrollees (1992)","Discharges for Ambulatory Care Sensitive Conditions per 1,000 Medicare Enrollees (1992)","Discharges for Convulsions per 1,000 Medicare Enrollees (1992)","COPD Discharges per 1,000 Medicare Enrollees (1992)","Bacterial Pneumonia Discharges per 1,000 Medicare Enrollees (1992)","Asthma Discharges per 1,000 Medicare Enrollees (1992)","Congestive Heart Failure Discharges per 1,000 Medicare Enrollees (1992)","Hypertension Discharges per 1,000 Medicare Enrollees (1992)","Angina Discharges per 1,000 Medicare Enrollees (1992)","Cellulitis Discharges per 1,000 Medicare Enrollees (1992)","Diabetes Discharges per 1,000 Medicare Enrollees (1992)","Gastroenteritis Discharges per 1,000 Medicare Enrollees (1992)","Kidney/Urinary Infection Discharges per 1,000 Medicare Enrollees (1992)","Dehydration Discharges per 1,000 Medicare Enrollees (1992)"
49001,VA-Abingdon,"5,179",252.8 ,161.3 ,93.2 ,,5.52 ,28.78 ,,24.36 ,,10.49 ,,,,6.01 ,
49002,VA-Alexandria,"20,726",197.1 ,136.3 ,62.6 ,,6.44 ,10.63 ,1.57 ,18.73 ,,7.32 ,1.76 ,1.66 ,1.39 ,4.23 ,6.11 
49003,VA-Arlington,"19,946",173.4 ,124.8 ,50.3 ,,4.74 ,8.87 ,1.19 ,14.15 ,,6.22 ,2.41 ,1.70 ,0.83 ,3.92 ,5.17 
49004,VA-Bedford,"3,627",204.0 ,140.0 ,65.3 ,,,10.19 ,,15.89 ,,10.62 ,,,,,
49005,VA-Big Stone Gap,"2,258",401.7 ,258.6 ,146.9 ,,,32.69 ,,32.74 ,,,,,,,
49006,VA-Blacksburg,"5,114",284.9 ,177.9 ,109.8 ,,16.79 ,17.01 ,,27.20 ,,13.39 ,,,,6.53 ,
49007,VA-Charlottesville,"21,852",230.9 ,159.9 ,72.4 ,,7.90 ,14.28 ,5.53 ,19.92 ,,8.43 ,2.03 ,2.18 ,1.57 ,6.96 ,2.80 
49008,VA-Chesapeake,"9,579",261.9 ,174.4 ,91.2 ,,12.84 ,13.87 ,,24.98 ,,8.13 ,,4.19 ,,8.90 ,6.96 
49009,VA-Clintwood,"1,765",477.0 ,280.7 ,200.0 ,,,,,38.41 ,,,,,,,
49010,VA-Culpeper,"3,826",252.9 ,168.7 ,86.1 ,,,13.10 ,,24.95 ,,13.00 ,,,,,
49011,VA-Danville,"16,788",197.6 ,135.7 ,63.8 ,,11.39 ,10.96 ,2.01 ,18.42 ,,7.62 ,1.85 ,1.32 ,,4.43 ,4.23 
49012,VA-Emporia,"4,323",324.7 ,210.3 ,115.6 ,,10.14 ,31.31 ,,24.46 ,,21.16 ,,,,5.20 ,
49013,VA-Fairfax,"2,145",222.8 ,146.7 ,80.2 ,,,,,21.11 ,,,,,,,
49014,VA-Falls Church,"33,329",171.2 ,120.5 ,52.7 ,1.64 ,4.83 ,8.73 ,1.21 ,15.75 ,0.37 ,6.71 ,1.89 ,1.57 ,0.77 ,4.19 ,5.27 
49015,VA-Farmville,"4,078",187.4 ,121.3 ,66.9 ,,,11.49 ,,21.97 ,,10.88 ,,,,,
49016,VA-Franklin,"3,637",272.1 ,188.9 ,86.0 ,,,19.13 ,,22.87 ,,9.21 ,,,,,
49017,VA-Fredericksburg,"14,762",239.5 ,159.2 ,82.6 ,,7.77 ,16.32 ,3.66 ,24.05 ,,11.15 ,1.70 ,2.21 ,,5.83 ,6.55 
49018,VA-Front Royal,"3,386",277.5 ,184.3 ,94.4 ,,,21.42 ,,23.43 ,,17.38 ,,,,,
49019,VA-Galax,"7,300",235.1 ,170.9 ,65.2 ,,4.48 ,10.10 ,,17.18 ,,13.18 ,,,,6.74 ,4.68 
49020,VA-Gloucester,"6,065",205.6 ,140.1 ,67.4 ,,6.70 ,13.96 ,,17.46 ,,9.95 ,,,,4.96 ,4.84 
49021,VA-Grundy,"2,710",460.7 ,246.2 ,221.2 ,,,30.22 ,,42.76 ,,,,,,,
49022,VA-Hampton,"8,142",217.0 ,148.3 ,71.3 ,,8.76 ,11.83 ,,21.93 ,,7.03 ,,2.52 ,,4.38 ,6.36 
49023,VA-Harrisonburg,"14,138",213.9 ,146.6 ,69.3 ,,5.05 ,15.39 ,1.78 ,21.59 ,,8.96 ,1.83 ,1.63 ,,4.68 ,4.36 
49024,VA-Hopewell,"3,888",264.4 ,177.4 ,90.6 ,,,14.78 ,,27.70 ,,10.63 ,,,,,
49025,VA-Hot Springs,881,468.8 ,293.1 ,179.0 ,,,,,,,,,,,,
49026,VA-Kilmarnock,"6,525",203.7 ,143.5 ,61.6 ,,5.44 ,12.78 ,,16.09 ,,13.23 ,,,,3.53 ,2.89 
49027,VA-Lebanon,"3,566",464.4 ,249.7 ,220.3 ,,,27.72 ,,39.59 ,,34.68 ,,,,,
49028,VA-Leesburg,"4,273",197.3 ,131.2 ,68.8 ,,8.24 ,12.52 ,,20.42 ,,11.91 ,,,,,
49029,VA-Lexington,"4,314",248.3 ,170.0 ,79.4 ,,6.24 ,19.45 ,,27.29 ,,7.53 ,,,,,
49030,VA-Low Moor,"4,739",352.5 ,228.3 ,125.6 ,,15.57 ,22.76 ,,23.06 ,,18.96 ,,,,,
49031,VA-Luray,"2,490",358.4 ,205.2 ,155.7 ,,,24.60 ,,51.40 ,,,,,,,
49032,VA-Lynchburg,"26,885",202.9 ,136.6 ,68.0 ,1.00 ,6.93 ,13.66 ,3.03 ,21.56 ,0.67 ,7.74 ,1.76 ,2.21 ,1.16 ,3.73 ,4.55 
49033,VA-Manassas,"4,723",214.3 ,141.5 ,75.1 ,,13.44 ,16.89 ,,18.81 ,,7.06 ,,,,,
49034,VA-Marion,"5,162",260.4 ,169.8 ,94.5 ,,10.42 ,23.17 ,,19.29 ,,10.77 ,,,,8.50 ,
49035,VA-Martinsville,"10,899",187.4 ,128.6 ,61.5 ,,5.52 ,14.12 ,,18.64 ,,7.02 ,,2.43 ,,4.91 ,3.32 
49036,VA-Nassawadox,"6,345",224.0 ,155.0 ,71.4 ,,9.68 ,14.12 ,,16.74 ,,11.67 ,,,,6.06 ,2.92 
49037,VA-Newport News,"25,485",202.3 ,139.5 ,64.8 ,0.96 ,8.09 ,12.34 ,1.42 ,17.85 ,0.58 ,8.53 ,1.92 ,2.78 ,1.40 ,4.56 ,4.53 
49038,VA-Norfolk,"32,193",212.3 ,148.9 ,66.3 ,0.78 ,7.57 ,11.51 ,2.57 ,20.43 ,0.76 ,6.16 ,2.09 ,2.55 ,0.97 ,4.84 ,5.75 
49039,VA-Norton,"3,870",493.0 ,280.4 ,216.2 ,,,28.18 ,,42.62 ,,50.96 ,,,,,
49040,VA-Pearisburg,"3,134",268.8 ,173.6 ,96.7 ,,,21.23 ,,29.01 ,,,,,,,
49041,VA-Pennington Gap,"2,793",413.7 ,270.4 ,143.8 ,,,32.26 ,,26.57 ,,,,,,,
49042,VA-Petersburg,"13,698",235.9 ,158.6 ,80.0 ,,4.11 ,15.74 ,7.44 ,25.42 ,,6.82 ,2.02 ,2.48 ,,5.99 ,5.78 
49043,VA-Portsmouth,"18,615",227.3 ,157.3 ,72.7 ,,8.20 ,12.43 ,2.09 ,21.74 ,,8.54 ,2.35 ,2.34 ,,5.64 ,5.08 
49044,VA-Pulaski,"3,147",450.8 ,298.6 ,153.5 ,,,16.27 ,,42.02 ,,26.99 ,,,,,
49045,VA-Radford,"4,329",282.3 ,190.2 ,95.7 ,,9.12 ,17.32 ,,29.94 ,,12.79 ,,,,,
49046,VA-Reston,"5,074",228.1 ,157.8 ,72.0 ,,9.32 ,9.03 ,,22.43 ,,7.75 ,,,,5.79 ,
49047,VA-Richlands,"3,440",417.7 ,235.2 ,187.3 ,,,25.35 ,,39.01 ,,34.75 ,,,,,
49048,VA-Richmond,"92,905",227.9 ,161.2 ,69.2 ,1.31 ,7.50 ,9.49 ,4.38 ,20.69 ,0.68 ,7.58 ,2.30 ,2.26 ,1.30 ,5.20 ,5.93 
49049,VA-Roanoke,"33,051",214.1 ,145.3 ,71.2 ,1.19 ,8.12 ,14.35 ,1.81 ,20.57 ,0.54 ,7.04 ,1.84 ,3.45 ,1.69 ,4.36 ,6.26 
49050,VA-Rocky Mount,"3,111",247.1 ,166.2 ,81.7 ,,,20.08 ,,21.15 ,,,,,,,
49051,VA-Salem,"6,770",217.1 ,147.9 ,71.4 ,,9.59 ,17.21 ,,19.05 ,,7.91 ,,,,4.28 ,5.05 
49052,VA-South Boston,"9,132",233.8 ,146.3 ,89.3 ,,12.26 ,17.30 ,,23.12 ,,9.45 ,,3.55 ,,3.73 ,9.71 
49053,VA-South Hill,"4,357",270.1 ,186.6 ,85.4 ,,2.66 ,15.40 ,,24.27 ,,13.49 ,,,,6.79 ,
49054,VA-Staunton,"13,916",257.4 ,174.7 ,84.9 ,,7.88 ,16.88 ,2.50 ,22.81 ,,14.20 ,1.91 ,3.71 ,,4.07 ,6.32 
49055,VA-Stuart,"2,235",250.4 ,163.2 ,88.2 ,,,10.81 ,,25.32 ,,,,,,,
49056,VA-Suffolk,"7,974",261.3 ,176.0 ,86.7 ,,10.79 ,16.38 ,,25.01 ,,11.62 ,,2.58 ,,7.93 ,5.75 
49057,VA-Tappahannock,"3,996",252.0 ,177.8 ,76.1 ,,,12.20 ,,21.39 ,,13.13 ,,,,,
49058,VA-Tazewell,"1,893",343.4 ,220.1 ,123.9 ,,,,,26.77 ,,,,,,,
49059,VA-Virginia Beach,"18,185",214.6 ,149.1 ,68.6 ,,6.45 ,11.80 ,2.16 ,22.96 ,,7.00 ,1.23 ,1.90 ,,6.57 ,5.82 
49060,VA-Warrenton,"4,716",268.3 ,191.8 ,79.0 ,,9.60 ,14.06 ,,20.01 ,,12.69 ,,,,5.44 ,
49062,VA-Williamsburg,"7,211",244.4 ,169.0 ,77.8 ,,6.38 ,18.24 ,,24.39 ,,8.19 ,,,,6.84 ,4.78 
49063,VA-Winchester,"12,680",252.0 ,163.4 ,91.2 ,,14.02 ,17.15 ,,28.42 ,,9.89 ,2.35 ,1.85 ,,4.84 ,5.28 
49065,VA-Woodbridge,"4,117",218.6 ,149.2 ,71.9 ,,,15.13 ,,22.24 ,,11.25 ,,,,,
49066,VA-Woodstock,"3,249",247.5 ,155.7 ,94.8 ,,,29.40 ,,26.04 ,,10.51 ,,,,,
49067,VA-Wytheville,"4,763",308.8 ,203.4 ,107.9 ,,7.08 ,44.03 ,,23.20 ,,10.91 ,,,,,
