HSA Number,HSA Name,Medicare enrollees (2007),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2007),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2007)
2001,AK-Anchorage,18599,5.08967582713195,5.0975279592046
2016,AK-Barrow,261,-5.93542250668383,-6.05406264172585
2017,AK-Bethel,1141,6.25546928730214,6.32222551843834
2002,AK-Cordova,200,,
2018,AK-Dillingham,355,-6.54243193865671,-6.61100830935958
2003,AK-Fairbanks,6288,5.06015477998051,4.97185863742878
2004,AK-Homer,1248,3.96736468820656,4.06634189730703
2005,AK-Juneau,2923,4.36483091677126,4.42458817086115
2006,AK-Ketchikan,1706,6.21715557037923,6.23445432352899
2007,AK-Kodiak,755,4.77680631684971,4.72059030690093
2019,AK-Kotzebue,386,,
2008,AK-Nome,383,-8.92577440205627,-9.0223621792545
2009,AK-Palmer,5411,5.00661561038025,4.95562223069939
2010,AK-Petersburg,387,-3.88546582032991,-3.93140560061645
2011,AK-Seward,317,-6.06465341752984,-6.24556072473217
2012,AK-Sitka,878,4.87986626339606,4.9556379457917
2013,AK-Soldotna,3408,4.9083277605878,4.92992573514252
2014,AK-Valdez,238,,
2015,AK-Wrangell,308,-4.95754827575114,-5.02182516183663
1001,AL-Alabaster,11044,5.59072911546509,6.11238130075107
1002,AL-Alexander City,3467,6.00289391232149,6.07350038193342
1003,AL-Andalusia,4135,5.53156042220326,5.60241263433476
1004,AL-Anniston,14050,5.78419544890337,5.72946926184321
1006,AL-Ashland,2601,6.22059327115481,6.31130849747434
1007,AL-Athens,7867,5.40345156263811,5.52896186903809
1008,AL-Atmore,2207,5.5276663813244,5.43575320430827
1010,AL-Bessemer,12774,5.80375808504451,6.18515112585802
1011,AL-Birmingham,96834,5.36296333878322,5.46227888143842
1012,AL-Boaz,8745,6.01543000281169,6.2021429804002
1013,AL-Brewton,3401,4.81745472994332,4.87987808636995
1014,AL-Bridgeport,1210,7.21236096703203,7.30503540244442
1016,AL-Camden,934,5.77483903544346,5.88245384349398
1017,AL-Carrollton,2159,6.36091255123138,6.27040101722393
1018,AL-Centre,3379,6.16080071838321,6.11907439060068
1019,AL-Centreville,1270,5.6655830470503,6.56603560440465
1022,AL-Cullman,12630,5.55261003847227,5.66406282928461
1023,AL-Dadeville,1505,5.8646392464932,5.79391084175309
1024,AL-Decatur,9640,5.25509426384836,5.37992787051785
1025,AL-Demopolis,2402,5.38311514069931,5.59198767652149
1026,AL-Dothan,24886,5.0017236473805,5.08770912584029
1027,AL-Elba,1467,5.02815398437902,5.163837768026
1028,AL-Enterprise,5179,5.46541795570095,5.46993631435108
1029,AL-Eufaula,2285,5.26396688619982,5.30824635521565
1031,AL-Evergreen,1225,4.69380139522257,4.72216592151661
1032,AL-Fairhope,6179,5.06306005455839,5.26918439426934
1033,AL-Fayette,2260,5.06858685220287,5.0444248897639
