HSA Number,HSA Name,Medicare enrollees (2007),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2007),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2007)
49001,VA-Abingdon,6705,5.16718744803787,5.37362548253885
49002,VA-Alexandria,25353,4.38770595824185,4.44478686759837
49003,VA-Arlington,18399,4.17774258955959,4.28914122683021
49004,VA-Bedford,4108,4.68132125246568,5.02699491214665
49005,VA-Big Stone Gap,2100,5.61665631474674,5.94332732848272
49006,VA-Blacksburg,7121,4.82541284733589,4.9387831487704
49007,VA-Charlottesville,30089,4.78306644064035,4.89494982745803
49008,VA-Chesapeake,14802,5.20214161875914,5.42688041413532
49009,VA-Clintwood,2084,6.49578621951936,7.04672656444291
49010,VA-Culpeper,5035,5.17041471229152,5.31762793424201
49011,VA-Danville,17165,5.1581195743993,5.33033650791717
49012,VA-Emporia,4375,5.74980636841279,5.79066349589611
49013,VA-Fairfax,6900,4.92757297016937,4.93724671969978
49014,VA-Falls Church,53118,3.83872326864996,3.88342244461552
49015,VA-Farmville,4601,4.73227775768341,4.90673990632634
49016,VA-Franklin,3712,5.65575702643338,5.87394544865507
49017,VA-Fredericksburg,26010,4.88691581329057,4.94487187155086
49018,VA-Front Royal,4073,5.48992091590132,5.67504542418174
49019,VA-Galax,8246,5.09344178028107,5.05824048508626
49020,VA-Gloucester,7727,4.88610649376811,5.05723189630644
49021,VA-Grundy,3111,6.23529120062311,6.50650276455234
49022,VA-Hampton,9550,5.13093663907049,5.15365728800114
49023,VA-Harrisonburg,18344,4.46281844093915,4.70058234146716
49024,VA-Hopewell,4755,5.6744428607163,5.70823189889782
49025,VA-Hot Springs,1057,5.1947413185458,5.27974768903311
49026,VA-Kilmarnock,8343,4.78885159989918,4.95557751830728
49027,VA-Lebanon,4287,6.01545847201804,5.75083067416019
49028,VA-Leesburg,12134,4.27220519089409,4.41255500907923
49029,VA-Lexington,5486,4.52272479309791,4.53331260061869
49030,VA-Low Moor,4562,6.14190888485595,6.54625812267112
49031,VA-Luray,3101,5.69739657013745,5.72011127933578
49032,VA-Lynchburg,32876,4.74005385727683,4.91887192215277
49033,VA-Manassas,12671,5.45977215422725,5.70429550297192
49034,VA-Marion,5704,6.07913318924617,6.37039553902878
49035,VA-Martinsville,13106,5.1006889291771,5.47041341538279
49036,VA-Nassawadox,6211,5.54511700741098,5.60960548392973
49037,VA-Newport News,34525,4.81550022539919,4.89780447753019
49038,VA-Norfolk,33046,5.40442517394199,5.49702001573102
49039,VA-Norton,4285,5.55876709832373,5.76798069147077
49040,VA-Pearisburg,3368,6.18761594355551,6.32446589154804
49041,VA-Pennington Gap,2669,6.19775395107614,6.35643653109796
49042,VA-Petersburg,14931,5.1363936253864,5.22797766562179
49043,VA-Portsmouth,20529,5.30498906118203,5.41984610777533
49044,VA-Pulaski,3173,5.64797382886569,5.80097684221828
49045,VA-Radford,5143,5.13503866105844,5.28944014928902
49046,VA-Reston,11754,4.20444128094586,4.26328567835259
49047,VA-Richlands,4136,6.47640827950466,6.49238704299422
49048,VA-Richmond,115094,4.95601455994852,5.09964993641254
49049,VA-Roanoke,38838,5.05034745204229,5.19582922921845
49050,VA-Rocky Mount,4070,5.53313896553964,5.80071863535082
49051,VA-Salem,8325,5.31159895746649,5.53258495875916
49052,VA-South Boston,9980,4.91970244888632,5.05215118151714
49053,VA-South Hill,5373,4.94434970875801,5.06707312702024
49054,VA-Staunton,17950,4.87063404801223,4.98464973191683
49055,VA-Stuart,2862,4.6391588852448,4.77533143112175
49056,VA-Suffolk,9306,5.63853996532761,5.81635570067619
49057,VA-Tappahannock,4343,5.88615378706633,6.03478095285804
49058,VA-Tazewell,2128,5.90798465526015,6.13234689543809
49059,VA-Virginia Beach,29115,4.78004263255756,4.93282254037572
49060,VA-Warrenton,8015,4.69583329825273,4.72117935097578
49062,VA-Williamsburg,15458,3.62445248076942,3.65040145085658
49063,VA-Winchester,18476,5.11076847436216,5.2368900667008
49065,VA-Woodbridge,10530,5.04663287315064,5.16740465655809
49066,VA-Woodstock,4464,4.63855281325267,4.77800577166481
49067,VA-Wytheville,5519,5.62199110455033,5.72887091707451
