HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2005),Total Medicare reimbursements per enrollee (Part A and B) (2005),Total Part A Medicare reimbursements per enrollee (2005),Total Part B Medicare reimbursements per enrollee (2005),Medicare reimbursements for inpatient short stays per enrollee (2005),Medicare reimbursements for inpatient long stays per enrollee (2005),Medicare reimbursements for outpatient services per enrollee (2005),Part B Medicare reimbursements for professional & laboratory services per enrollee (2005),Part B Medicare reimbursements for medical & surgical services per enrollee (2005),Part B Medicare reimbursements for medical care per enrollee (2005),Part B Medicare reimbursements for surgical services per enrollee (2005),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2005)",Part B Medicare reimbursements for durable medical equipment per enrollee (2005),Medicare reimbursements for home health services per enrollee (2005),Medicare reimbursements for hospice services per enrollee (2005),Medicare reimbursements for skilled nursing facilities per enrollee (2005)
1001,AL-Alabaster,368.831634521484,10850.9639843924,6391.98022014689,4475.93002756446,4451.09142654717,,1079.07679137677,2267.79540008567,1640.18659961224,1141.23611465124,498.370297233814,627.203149273214,278.488661198347,448.125343187157,,
1002,AL-Alexander City,166.749694824219,7419.00894883329,3708.01171169343,3736.52395182845,2148.77502919158,,1018.78213837243,1881.82257287601,1252.87245219561,841.154066391008,414.67278784097,632.351161774445,262.860978901455,,,
1003,AL-Andalusia,221.24983215332,7112.27312451239,4407.62946224324,2714.26308756004,2634.44684871262,,441.607432101948,1503.39683196364,937.133977652063,603.712375677376,334.224503267561,566.002299314604,147.358685299161,,,
1004,AL-Anniston,631.497344970703,7666.87560489573,4443.91336632001,3230.32226280755,3048.86791028536,,655.896090832276,1801.33112804365,1322.71609056814,944.211050665508,378.517286654996,478.585945488229,246.781203312489,458.775570605712,,501.820694717509
1006,AL-Ashland,119.916290283203,8780.83440562121,5438.84150000479,3346.37535876587,,,727.632947276806,1688.54840088859,1223.71096269701,851.185535806338,373.104336421345,464.858913359035,346.896903911348,,,
1007,AL-Athens,331.582458496094,7343.70745144379,4030.14556809637,3312.98871001487,2812.57311093748,,744.875130752418,1845.51481889069,1389.31237927306,1012.86024323003,376.728154453398,456.613227256758,173.193037517225,391.300709487039,,
1008,AL-Atmore,89.6663208007813,8159.10676253783,,3343.65456264231,,,827.177085158601,1630.87712470401,1216.41404739423,736.457084488309,484.157016022026,414.655102586202,,,,
1010,AL-Bessemer,393.082321166992,7538.71376289151,4366.66924844971,3172.98304488497,3031.33623113607,,829.437424357168,1650.04618135604,1233.90935281825,813.094776759893,422.288013093795,416.107316140201,160.243536795944,346.483802962837,,
1011,AL-Birmingham,3321.2406463623,7512.87532547048,4064.90788875604,3449.53938377734,2642.11367156013,379.354704573539,834.182966706995,1948.69890384707,1421.53768653711,995.451560390639,426.726635817369,527.292660515876,201.247624098105,322.08051825389,429.34051858505,451.09767096096
1012,AL-Boaz,395.916000366211,7968.22714165823,4364.08806900424,3603.21879204654,3052.81998655295,,917.127449556828,1727.71123354463,1210.95951584254,782.430039735913,426.793773839926,515.975917659811,316.405261311137,479.23333836408,,
