year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2012,OB,ALL,46,SD-South Dakota,103373,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,47,TN-Tennessee,619806,85,171,274.622933643973,0.622671958714445,0.27589277935354,0.268721137615876,0.0181069577901166,0.231217204032345,0.312308290828866,1000,state,11,26
2012,OB,ALL,48,TX-Texas,1947353,319,467,862.185475154062,0.541646795797102,0.239812709868216,0.233515161062513,0.00956926120160215,0.213114602137789,0.255868579154401,1000,state,11,26
2012,OB,ALL,49,UT-Utah,151981,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,50,VT-Vermont,87424,15,73,37.9353504928754,1.92432649366743,0.835010980966325,0.824289357714998,0.0848785630853003,0.655114924048698,1.0371507659192,1000,state,11,26
2012,OB,ALL,51,VA-Virginia,820327,34,127,360.32704183652,0.352457587842158,0.154816311056445,0.152849935150109,0.0119427983646901,0.128400448169457,0.181954993214346,1000,state,11,26
2012,OB,ALL,53,WA-Washington,579416,34,61,250.465340603544,0.243546671379796,0.10527841826943,0.104459705551174,0.0117633171564934,0.0812545716808425,0.134291891005201,1000,state,11,26
2012,OB,ALL,54,WV-West Virginia,216327,30,46,95.7993171329285,0.48017043729207,0.212641048043009,0.205914822783885,0.0266977556091632,0.154196508334353,0.274979730086875,1000,state,11,26
2012,OB,ALL,55,WI-Wisconsin,509859,23,62,216.306611967828,0.286630165559716,0.12160224689571,0.123151020371909,0.0137542046388583,0.0959916718581823,0.157994683549724,1000,state,11,26
2012,OB,ALL,56,WY-Wyoming,67793,0,0,29.9403838707377,0,0,-0.00000000284718703674824,-0.000000000317990001465488,-0.00000000221927713570734,-0.00000000365275426479959,1000,state,11,26
2012,OB,ALL,99,National,27971740,6227,12126,12126.0000033211,0.999999999726119,0.433508962974774,0.433508962974774,0,0,0,1000,state,11,26
