State #,State label,Medicare Enrollees (CMHS 5% Sample) (2002),Total Medicare reimbursements per enrollee (Part A and B) (2002),Total Part A Medicare reimbursements per enrollee (2002),Total Part B Medicare reimbursements per enrollee (2002),Medicare reimbursements for inpatient short stays per enrollee (2002),Medicare reimbursements for inpatient long stays per enrollee (2002),Medicare reimbursements for outpatient services per enrollee (2002),Part B Medicare reimbursements for professional & laboratory services per enrollee (2002),Part B Medicare reimbursements for medical & surgical services per enrollee (2002),Part B Medicare reimbursements for medical care per enrollee (2002),Part B Medicare reimbursements for surgical services per enrollee (2002),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2002)",Part B Medicare reimbursements for durable medical equipment per enrollee (2002),Medicare reimbursements for home health services per enrollee (2002),Medicare reimbursements for hospice services per enrollee (2002),Medicare reimbursements for skilled nursing facilities per enrollee (2002)
1,Alabama,24404.5382843018,6323.11133322722,3675.83430780418,2647.24902085391,2543.40051192295,262.21476824639,513.91646888831,1436.89358112023,1093.17182273488,744.332827563226,349.249921424812,343.71039175935,237.344191009739,338.345748755493,280.915359200549,423.319300771685
2,Alaska,1673.16418457031,6417.68003999966,3930.09291336268,2497.39634350088,3171.29860673731,196.944530480245,1001.50583656436,1040.26464574868,809.982164157253,526.864991954573,281.569521683785,230.708388283624,116.82184372296,243.005306225162,,392.062611511561
3,Arizona,18954.3702850342,5911.65492154706,3211.90213489963,2695.49371465714,2248.90380076966,329.127093233971,483.928206972953,1599.90817417451,1176.02236608,792.682899292785,382.62842433979,423.499416327683,155.535218527133,163.495546391489,239.254701284666,283.372018085432
4,Arkansas,16645.5570220947,5863.53561479887,3354.19261630595,2509.1018489229,2216.73746103438,564.685354649033,545.073154501434,1301.35862191142,1000.99922335693,701.366206341255,299.625507589372,300.382463224847,212.250202297909,262.501692886404,109.444855774645,329.057994413011
5,California,90656.6622314453,7679.69724317261,4438.58438522904,3241.10421902517,3310.65361262561,295.733889953949,621.750385885499,1863.30968802798,1409.05486850759,1008.73437601108,400.574952466059,454.244018884647,180.137915150503,356.560265447154,106.35423650623,546.835110615232
6,Colorado,12738.6374511719,5801.78568830076,3253.55888164126,2546.6474858422,2143.49740386988,333.004375762204,649.407220203453,1265.35310668105,987.700187978176,664.214723969769,323.028815408985,277.91384454202,242.06784165638,250.65443882559,158.961936279378,469.614996367423
7,Connecticut,19625.7108001709,7069.48064024165,4198.08799606112,2869.93217902884,2909.35765980199,155.158168967333,646.831373192212,1540.54036172044,1152.99386993197,810.467524938141,342.561668374515,387.61620180782,125.297470730396,372.607679493172,94.112315142736,846.551694636986
8,Delaware,4776.40965270996,6773.90881290701,3848.34822675985,2924.65968024584,2831.34538284792,295.374958418304,672.668938816286,1673.24169033312,1245.60673754965,845.693286718542,399.909819708175,427.55346032917,153.866517388597,260.01627346135,96.3611123253017,446.444486999281
9,District of Columbia,2390.16165161133,6891.14652585685,4331.45598954916,2519.62296384367,3271.56933087014,285.708366105518,574.9917058874,1622.68356556156,1227.30488516769,858.977293793925,367.281865457751,395.847437998285,91.3418635278099,230.985679616674,128.574648111629,472.373311289663
10,Florida,94367.1965179443,7272.75058320655,3735.98610850653,3536.31415958166,2557.09299877802,249.580287702638,590.366486757831,2066.818590117,1493.55866079396,1021.83166173931,471.605186603562,573.236358700918,266.720236248046,365.314864808544,210.690286688973,521.685851931843
