County ID,County name,Medicare enrollees (2011),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)"
51001,VA-Accomack County,5235,8604.45,8918.84,3844.66,3909.66,2209.63,2233.76,1362.01,1451.57,459.94,498.8,531.44,632.08,208.89,207.9
51003,VA-Albemarle County,13634,7725.94,7842.51,3709.42,3672.82,1869.26,1951.61,1307.01,1340.49,338.96,346.97,330.41,359.98,171.45,171.05
51510,VA-Alexandria city,7751,8783.11,8409.14,3870.39,3777.48,2944.39,2740.74,1152.22,1094.86,400.09,381.62,285.62,277.69,158.64,158.51
51005,VA-Alleghany County,1191,9314.47,10407.38,5035.73,5835.03,2214.53,2295.55,1118.83,1212.7,282.22,303.97,439.36,542.47,230.2,229.83
51007,VA-Amelia County,1395,8951.52,9711.82,4385,4935.86,2425.46,2592.44,1053.39,1078.85,518.85,530.41,236.6,245.21,315.22,315.09
51009,VA-Amherst County,4014,8102.73,8844.58,3926.52,4508.06,2315.68,2341.81,845.67,909.5,367.78,397.44,406.48,448.04,249.04,249.96
51011,VA-Appomattox County,2051,7905.93,8705.49,3946,4539.55,2093.88,2143.11,792.82,855.48,433.12,469.52,418.12,486.05,237.61,235.2
51013,VA-Arlington County,13355,8207.74,7965.32,3497.2,3521.25,2665.18,2495.62,996.11,946.3,481.02,457.57,404.67,378.16,166.18,165.34
51015,VA-Augusta County,7074,7727.09,8180.28,3780.91,3919.23,1700.11,1827.45,1516.38,1634.88,296.43,317.08,207.97,255.38,199.29,197.73
51017,VA-Bath County,967,9968.28,9930.44,5618.36,5211.98,1584.66,1681.39,2066.4,2263.17,284.07,311.33,141.8,169.65,239.87,239.12
