HSA #,HSA name,State,Medicare enrollees (2011),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)"
2001,Anchorage,AK,18684,7939.82,6644.33,4048.96,3253.45,2254.7,1911.26,996.6,888.11,264.23,235.43,156.52,142.41,167.22,168
2002,Cordova,AK,204,9691.13,8272.05,4848.47,3967.31,1715.24,1528.03,2598.46,2312.4,,,,,85.65,83.29
2003,Fairbanks,AK,6795,8879.67,6614.42,4952.46,3141.4,2313.57,1999.49,1153.82,1035.41,197.93,177.84,31.25,28.88,118.14,116.09
2004,Homer,AK,1432,9954.17,8135.09,4819.23,3609.08,1820.47,1540.39,2675.17,2384.21,235.96,211.93,,,156.64,154.61
2005,Juneau,AK,3159,8537.76,7050.13,4563.31,3485.76,2058.19,1817.91,1263.6,1136.84,237.77,216.52,240.66,225.25,105.66,105.3
2006,Ketchikan,AK,1798,9639.65,7977.77,4915.85,3700.73,1878.15,1707.48,1883.55,1692.7,612.78,541.91,,,146.67,146.44
2007,Kodiak,AK,802,9907.91,7181.83,5687.38,3485.25,1630.83,1352.66,1925.4,1734.16,281.79,251.13,,,111.24,111.21
2008,Nome,AK,377,9120.63,6588.68,4055.03,2296.21,1390.52,1065.65,2668.22,2345.98,,,,,97.34,100.13
2009,Palmer,AK,6846,8632.98,6990.39,4425.62,3331.55,2395.73,2004.71,954.33,847.68,384.33,339.74,282.5,269.64,180.84,181.95
2010,Petersburg,AK,418,11596.59,9477.68,5885.68,4266.24,2127.33,1998.28,2978.84,2659.29,102.82,91.47,,,111.88,111.65
2011,Seward,AK,348,12343.58,9182.33,7588.01,4979.45,1892.22,1621.91,2336.02,2080.26,170.72,153.81,,,171.85,172.23
2012,Sitka,AK,862,11292.08,8690.56,5836.21,3839.5,2122.67,1874.38,2704.03,2412.41,200.3,179.46,,,83.83,86.32
2013,Soldotna,AK,3945,9034.93,7610.45,4765.04,3861.57,2116.6,1799.83,1525.09,1365.23,287.32,257.02,66.39,59.99,159.94,156.6
2014,Valdez,AK,238,10644.39,7581.4,5905.58,3363.6,1718.2,1455.57,2429.62,2172.12,,,,,236.95,211.64
2015,Wrangell,AK,336,11118.92,9778.35,5950.38,5073.52,1610.08,1513.67,2998.3,2679.36,,,,,97.31,101.15
2016,Barrow,AK,360,9744.58,6934.12,5262.98,3057.76,2072.27,1820.68,1835.28,1616.85,,,,,79.38,79.35
2017,Bethel,AK,1093,7857.34,5656.05,4211.37,2607.47,2511.51,2143.7,950.32,830.21,25.9,21.61,,,51.23,51.65
2018,Dillingham,AK,289,11538.84,5588.73,7955.51,2823.82,1445.61,1202.76,1188.05,1041.65,,,,,143.24,139.52
2019,Kotzebue,AK,328,16518.05,10593.07,9135.14,4466.07,3787.4,3253.57,2654.44,2324.88,,,,,56.34,57.27
1001,Alabaster,AL,7119,9982.6,11097.3,4372.02,5176.38,2941.67,3055.89,900.36,968.79,872.74,939.47,567.81,651.24,362.54,358.98
1002,Alexander City,AL,3211,8630.44,9896.24,3305.45,3982.56,2323.68,2490.67,1678.86,1928.19,611.33,707.27,412.53,483.44,296.24,295.35
1003,Andalusia,AL,3910,9120.22,10464.61,4139.17,5054.34,2511.29,2619.35,1092.43,1233.93,847.02,980.7,289.48,343.2,247.79,245.05
1004,Anniston,AL,12375,9788.19,11421,4458.58,5617.94,2739.82,2889.47,1056.72,1192.83,742.85,832.41,494.84,607.89,310.78,307.99
1006,Ashland,AL,1643,8269.65,9565.27,3753.7,4706.52,2435.5,2504.5,1093.43,1242.13,597.92,692.67,203.18,241.73,181.57,178.64
