HRR #,HRR name,State,Medicare enrollees (2011),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)"
10,Anchorage,AK,48314,8725.9,7008,4582.05,3370.71,2209.73,1888.21,1296.19,1157.17,263.25,234.18,128.57,118.74,148.26,148.04
1,Birmingham,AL,219817,9041.93,10242.28,4006.73,4825.57,2532.34,2652.2,1033.77,1140.09,639.36,708.08,553.83,648.47,289.33,286.49
2,Dothan,AL,46581,8922.9,10386.82,3790.4,4763.53,2518.41,2653.26,1116.71,1267.31,618.12,702.71,634.62,766.49,267.8,264.92
5,Huntsville,AL,68421,8882.58,9802.07,3830.15,4485.71,2655.36,2742.22,1127.81,1207.63,584.18,635.15,428.5,489.1,258.38,255.49
6,Mobile,AL,73998,8637.04,10014.55,3581.4,4510.24,2469.58,2604.96,1082.23,1216.96,638.04,719.47,606.23,711.71,281.26,278.59
7,Montgomery,AL,41455,8751.56,9693.08,3719.69,4342.6,2839.41,2911.25,892.05,977.86,569.02,632.19,498.73,592.99,258.03,256.22
9,Tuscaloosa,AL,27802,9356.89,10306.57,4313.19,4966.64,2371.34,2511.87,1130.26,1203.38,845.07,909.68,433.23,450.08,252.54,248.06
16,Fort Smith,AR,40396,8921.6,10132.62,4221.94,5066.8,1958.04,2040.02,1066.74,1183.46,1041.17,1162.8,409.1,464.9,279.3,279.29
18,Jonesboro,AR,28145,8952.5,10065.15,4658.55,5481.5,2211.39,2281.32,1096.25,1232.12,450.98,511.03,221,251.12,317.74,317.63
19,Little Rock,AR,186013,8549.95,9564.57,4136.29,4898.2,2323.85,2416.32,1062.98,1161.36,410.08,452.83,318.73,342.03,293.65,292.05
21,Springdale,AR,46277,7986.44,8826.07,3841.7,4481.43,2142.56,2257.67,930.54,997.49,482.36,523.33,307.87,289.57,285.09,283.72
22,Texarkana,AR,31149,9623.25,10914.05,4424.96,5349.48,2345.23,2407.6,954.52,1049.67,1036.83,1140.54,555.86,667.07,326.98,326.93
11,Mesa,AZ,71044,9998.65,9997.88,4252.46,4393.32,3465.33,3466.51,854.54,818.85,398.52,380.33,770.49,685.77,248.64,243.53
12,Phoenix,AZ,230761,9434.83,9160.33,4251.62,4063.55,3047.05,3054.44,960.55,928.28,298.95,286.82,638.82,586.89,240.64,236.22
14,Sun City,AZ,42845,9756.84,9881.37,4015.72,4283.65,3622.88,3627.01,844.15,805.69,391.63,373.57,617.6,540.05,230.54,224.89
15,Tucson,AZ,92451,8345.51,8358.41,3692.81,3712.55,2818.14,2810.84,918.16,924.14,298.84,299.38,380.02,378.42,213.56,210.81
23,Orange County,CA,170681,11521,10551.06,5242.74,4798.81,3967.81,3652.3,1112.12,1001.73,564.44,507.16,352.25,308.29,252.27,248.42
25,Bakersfield,CA,61438,10096.22,9270.99,5082.15,4479.85,3127.18,3050.81,1046.83,932.1,257.74,229.55,247.03,243.05,344.39,340.46
31,Chico,CA,40288,9023.37,8272.17,4623.19,4143.98,2172.4,2120.07,1378.5,1212.33,374.41,334.16,206.38,190.23,269.04,268.15
33,Contra Costa County,CA,54470,10643.64,8498.75,5385.78,4125.72,3108.54,2720.8,1151.86,865.23,453.98,339.85,350.66,258.43,190.19,186.62
43,Fresno,CA,73032,9326.08,8459.81,4634.15,4004.7,2968.93,2881.72,987.54,877.92,247.55,220.22,204.61,195.87,306.19,299.49
56,Los Angeles,CA,473399,13167.34,11664.08,6844.68,5851.31,3950.83,3678.27,976.79,878.84,776.45,695.55,284.39,242.39,290.44,286.92
