HSA Number,HSA Name,Medicare enrollees (2013),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2013),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2013)
2001,AK-Anchorage,25752,4.29371263679079,4.33612731926821
2016,AK-Barrow,452,,
2017,AK-Bethel,1345,6.72324318308106,6.84015618397121
2002,AK-Cordova,264,,
2018,AK-Dillingham,397,,
2003,AK-Fairbanks,8654,4.50773957702238,4.52644593383051
2004,AK-Homer,1780,3.71089189661351,3.80507261626402
2005,AK-Juneau,4093,4.29680917285012,4.38794400563247
2006,AK-Ketchikan,2283,2.69882045582065,2.73136709743851
2007,AK-Kodiak,1087,3.95171214161688,4.06262687371171
2019,AK-Kotzebue,434,,
2008,AK-Nome,459,,
2009,AK-Palmer,8116,4.79034152100303,4.84922790502301
2010,AK-Petersburg,522,,
2011,AK-Seward,445,,
2012,AK-Sitka,1073,4.28933332893846,4.38324063593062
2013,AK-Soldotna,5016,3.94252260085688,3.96379230875858
2014,AK-Valdez,334,,
2015,AK-Wrangell,376,,
1001,AL-Alabaster,13802,5.58671663596619,5.9336044416977
1002,AL-Alexander City,3565,5.28444868125949,5.32418814798858
1003,AL-Andalusia,4566,5.26326849640715,5.44317265245162
1004,AL-Anniston,15800,5.59971123261879,5.55150344453284
1006,AL-Ashland,2024,4.76300174992096,4.82104086737909
1007,AL-Athens,9387,4.57455498082307,4.62044513306769
1008,AL-Atmore,2544,4.9230913217697,4.99533857101972
1010,AL-Bessemer,14410,5.27649686693738,4.98933029676111
1011,AL-Birmingham,113523,4.93245129584339,4.92286901044535
1012,AL-Boaz,9303,6.17765189202871,6.34505607095888
1013,AL-Brewton,3841,5.63982118137947,5.91775012121061
1014,AL-Bridgeport,1379,7.45021029201064,7.7007111520479
1016,AL-Camden,1078,4.10636376804241,4.22907061408424
1017,AL-Carrollton,1969,5.43569614865099,5.45770402753326
1018,AL-Centre,4073,5.290075880728,5.52868341785253
1019,AL-Centreville,1467,5.39428089862145,5.39258404601817
