HRR Number,HRR Name,Medicare enrollees (2013),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2013),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2013)
10,AK-Anchorage,62882,4.38825410831145,4.43758152466938
1,AL-Birmingham,330784,5.36596971416431,5.48729129871595
2,AL-Dothan,59251,5.27449162872517,5.42117534231522
5,AL-Huntsville,90073,4.66615036904942,4.73406039062444
6,AL-Mobile,120905,5.08807976344706,5.36646952398541
7,AL-Montgomery,61851,5.11248606729542,5.17479430958381
9,AL-Tuscaloosa,33211,5.33183703742002,5.40064762795939
16,AR-Fort Smith,55620,5.7242074645328,5.9639502636582
18,AR-Jonesboro,35242,5.61553731553007,5.63039635945444
19,AR-Little Rock,235989,5.24986838340768,5.34712536817274
21,AR-Springdale,69368,4.64059128013144,4.8869582248042
22,AR-Texarkana,38964,5.49812994236445,5.58451780171349
11,AZ-Mesa,161284,4.10388180772235,4.06439405151424
12,AZ-Phoenix,425126,4.36398947334372,4.30153636094616
14,AZ-Sun City,86277,3.72988247771963,3.77586958953381
15,AZ-Tucson,194565,4.00401421268255,3.96147295460843
65,CA-Alameda County,183103,3.54440359111876,3.72374484365185
25,CA-Bakersfield,109992,4.64629295983701,4.73771380550096
31,CA-Chico,49227,4.46510267753739,4.52802818431393
33,CA-Contra Costa County,138845,3.65975100966758,3.79721226508158
43,CA-Fresno,129824,4.24628960609557,4.47040626674404
56,CA-Los Angeles,1112231,3.52877872164435,3.62885299685295
58,CA-Modesto,107043,4.39949913832832,4.51847989123669
62,CA-Napa,47201,4.47053250161516,4.70853289321157
23,CA-Orange County,406500,3.73112283062121,3.84191768529649
69,CA-Palm Springs/Rancho Mirage,72986,3.95483259284204,3.92481825048363
73,CA-Redding,59376,4.81785726636994,4.96331510779388
77,CA-Sacramento,354331,3.93096586880439,4.13477307254289
78,CA-Salinas,45576,3.80368619688881,3.85762289399725
79,CA-San Bernardino,319396,4.40405932685789,4.68957005565947
80,CA-San Diego,443981,3.78054436037786,3.99144860253484
81,CA-San Francisco,207055,3.44783258744539,3.61033437508464
82,CA-San Jose,204814,3.31401513233428,3.39648454062987
83,CA-San Luis Obispo,40792,3.7573776557396,3.75495458135562
85,CA-San Mateo County,112695,3.29429288003293,3.30360806951941
86,CA-Santa Barbara,60853,3.56474500084487,3.65320017784075
87,CA-Santa Cruz,34457,4.0035601914967,4.09536513669442
89,CA-Santa Rosa,76394,3.99423221529205,4.25976803192971
91,CA-Stockton,66836,4.19145844707505,4.36298026041644
96,CA-Ventura,112052,3.77218155087205,3.91486142014051
101,CO-Boulder,36703,3.706316007104,3.90155135348064
102,CO-Colorado Springs,105656,4.25203817730737,4.36213233813534
103,CO-Denver,327860,3.99479608990981,4.12233582131666
104,CO-Fort Collins,42104,3.90113476049587,4.08451639449471
105,CO-Grand Junction,49950,4.06220407866794,4.17944175764706
106,CO-Greeley,48528,4.03525731127356,4.27726056787404
107,CO-Pueblo,28465,4.23459888728505,4.25746483639616
109,CT-Bridgeport,93012,3.64181357721659,3.70874350463199
110,CT-Hartford,223708,4.07310705748646,4.36112339027674
111,CT-New Haven,217928,4.0567971343728,4.32051952846329
113,DC-Washington,326532,3.98950376065223,3.98488247114407
112,DE-Wilmington,106842,4.37422766336696,4.38567991295761
115,FL-Bradenton,60470,4.0231183032804,4.39032540861823
