County ID,County name,Medicare enrollees (20% sample) (2009),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)"
51001,VA-Accomack County,1019,8736.78,8894.19,4280.33,4111.42,1909.63,1965.8,1294.68,1394.1,406.33,448.04,662.27,796.69,197.92,198.78
51003,VA-Albemarle County,2008,8280.99,8361.67,4300.9,4242.44,1769.89,1876.65,1290.07,1289.55,422.4,423.06,329.94,361.93,163.78,162.56
51510,VA-Alexandria city,1665,8009.31,7877.95,3204.82,3339.34,2747.83,2560.25,1151.13,1096.13,404.44,388.04,367.4,355.05,178.54,169.99
51005,VA-Alleghany County,114,7747.26,8262.7,4180.18,4381.97,1437.99,1554.84,1473.16,1615.97,,,,,224.2,226.45
51007,VA-Amelia County,238,7112.07,7825.37,3047.71,3505.57,2056.57,2243.47,690.47,712.25,594.49,610.97,,,365.59,364.42
51009,VA-Amherst County,790,7152.31,7850.16,3389.49,3919.12,2064.41,2142.61,852.57,901.08,369.2,393.54,249.89,267.79,224.57,224.26
51011,VA-Appomattox County,325,6935.42,7708.96,3306.1,3880.55,1960.59,2032.81,626.69,666.09,389.54,413.72,,,199.71,194.66
51013,VA-Arlington County,2297,8291.34,8014.49,3866.9,3848.45,2529.92,2370.41,927.67,883.4,446.92,425.22,389.19,357.63,128.3,125.94
51015,VA-Augusta County,1212,6837.39,7303.46,3417.76,3562.65,1455.24,1605.82,1311.19,1425.61,219.62,236.41,196.1,230.81,213.99,214.27
51017,VA-Bath County,89,6589.71,7087.44,2992.01,3276.3,1422.01,1488.34,1718.41,1844.18,,,,,202.66,203.35
51515,VA-Bedford city,547,8180.5,8967.87,4006.41,4626.73,2259.31,2317.67,1052.38,1113.42,459.78,487.13,100.84,116.53,318.6,318.32
51019,VA-Bedford County,1306,7732.88,8288.91,3939.07,4263.68,1937.26,2071.74,943.31,995.06,421.53,445.11,254.14,276.97,237.82,236.15
51021,VA-Bland County,145,8433.32,9593.41,3268.02,3710.54,2046.76,2341.52,1305.53,1450.66,793.96,881.47,,,204.06,207.72
51023,VA-Botetourt County,701,6817.65,7283.53,3344.22,3580.31,1796.56,1924.34,762.07,799.32,327.98,344.93,384.86,436.04,205.31,204.36
51520,VA-Bristol city,637,9169.35,10472.4,4542.63,5429.96,1925.61,2061.05,855.65,942.75,1194.91,1325.27,342.76,409.7,367.91,368.5
51025,VA-Brunswick County,399,7118.99,7845.97,3831.51,4274.4,1777.22,1945.2,971.9,1052.15,167.9,184.85,,,223.66,223.16
51027,VA-Buchanan County,449,8415.59,9595.91,4428.71,5211.28,1635.48,1766.13,948.88,1047.56,654.56,725.66,576.43,703.03,300.13,306.82
51029,VA-Buckingham County,235,9087.53,9329.43,5315.09,5382.82,1577.8,1662.67,1331.38,1383.52,510.97,553.71,,,239.46,241.65
51530,VA-Buena Vista city,188,6464.25,7013.94,3263.28,3440.33,1536.92,1760.73,1018.57,1104.65,321.63,351.91,,,213.85,214.86
