HSA #,HSA name,State,Medicare enrollees (20% sample) (2009),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)"
2001,Anchorage,AK,3611,7959.74,6790.92,4045.48,3370.82,2283.08,1937.24,979.72,874.31,273.53,247.01,179.16,170.48,152.61,153.85
2002,Cordova,AK,34,5914.12,4714.27,,,1752.18,1517.62,1481.72,1295.29,,,,,,
2003,Fairbanks,AK,1297,9022.01,6869.75,4876.07,3278.74,2354.53,1989.56,1222.57,1087.11,246.67,223.32,,,149.66,144.44
2004,Homer,AK,252,11328.09,9204.59,6083.4,4602.05,1916.63,1582.73,2549.81,2264.76,341.32,301.95,,,170.38,169.98
2005,Juneau,AK,552,7046.98,5569.38,3491.02,2404.76,1876.28,1623.05,1172.14,1045.95,233.77,217.01,,,92.02,96.01
2006,Ketchikan,AK,305,9065.72,7828.16,4017.72,3362.41,1755.1,1522.33,2266.01,2005.45,669.27,581.96,,,127.63,147.61
2007,Kodiak,AK,154,12548.13,9642.32,8406.33,6061.5,1427.74,1214.8,1881.63,1686.68,463.92,410.62,,,75.93,77.4
2008,Nome,AK,61,8863.54,5661.46,5668.62,3103.48,1373.58,1110.48,1303.47,1137.86,,,,,,
2009,Palmer,AK,1100,10063.1,8092.57,5713.08,4390.13,2606.64,2118.97,1042.33,927.93,369.1,331,108.74,103.52,176.17,173.16
2010,Petersburg,AK,82,7225.46,6300.16,4061.41,3475.86,1179.91,1070.23,1601.03,1414.18,,,,,,
2011,Seward,AK,68,6786.87,4992.76,4127.94,2669.5,1173.51,1001.81,1260.65,1110.58,,,,,,
2012,Sitka,AK,153,10329.6,8618,5087.62,3898.21,1861.37,1620.38,2729.8,2409.97,,,,,118.85,230.43
2013,Soldotna,AK,672,9060.55,7320.24,4780.68,3637.8,2051.2,1675.82,1363.52,1212.73,413.69,367.11,,,156.96,156.02
2014,Valdez,AK,35,12563.98,10125.48,,,1590.33,1340.53,1626.67,1432.32,,,,,,
2015,Wrangell,AK,65,7946.37,6984.52,2758.1,2360.56,1467.84,1330.15,3242.78,2862.01,,,,,163.47,163.04
2016,Barrow,AK,40,13644.96,8594.48,8065.41,4073.09,2767.96,2341.1,1978.83,1737.5,,,,,,
2017,Bethel,AK,215,6592.3,4796.5,3513.55,2280.67,2359.03,1949.73,594.68,517.48,,,,,57.88,60.38
2018,Dillingham,AK,60,7227.09,4845.89,,,2001.89,1736.77,1859.42,1618.82,,,,,,
2019,Kotzebue,AK,69,19392.52,12819.15,9164.38,4428,4830.58,3931.04,4420.33,3852.04,,,,,33.13,34.85
1001,Alabaster,AL,1290,10699.04,11918.13,5174.29,6077.67,2972.68,3134.38,888.04,943.62,883.2,942.18,537.63,591.88,284.56,280.77
1002,Alexander City,AL,647,9167.8,10420.14,3930.72,4635.74,2405.93,2580.04,1557.25,1758.6,532.71,606.27,433.34,527.01,305.17,306.63
1003,Andalusia,AL,750,8730.64,10063.09,4369.31,5291.27,2317.82,2482.05,763.84,857.36,923.18,1051.23,117.79,143.62,243.82,243.71
1004,Anniston,AL,2491,9881.59,11343.29,4728.36,5744.1,2679.12,2862.74,947.04,1044.83,750.46,825.69,483.68,587.64,315.99,314.22
1006,Ashland,AL,447,9378.37,10988.73,4899.54,6089.18,2264.75,2412.11,1030.32,1158.76,676.01,769.88,,,253.43,257.28
1007,Athens,AL,1412,9413.42,10239.22,3796.69,4349.46,2878.19,3013.13,1071.02,1126.19,961.19,1013.66,456.43,503.97,273.02,270.11
1008,Atmore,AL,392,9279.01,10998.31,3798.98,5060.5,2245.71,2336.08,1355.87,1529.04,1113.02,1264.93,529.94,556.04,237.29,236.79
1010,Bessemer,AL,1365,8438.77,9478.67,4058.65,4790.51,2296.84,2475.67,840.72,889.48,550.46,581.24,469.84,523.97,236.82,234.77
1011,Birmingham,AL,11144,8532.66,9578.94,3771.52,4484.47,2536.34,2725,903.32,958.39,574.99,610.86,498.35,548.79,255.34,255.42
1012,Boaz,AL,1455,9882.36,11144.29,4780.15,5658,2197.39,2370.83,1408.83,1578.06,850.6,922.03,424.41,399.86,276.36,276.22
1013,Brewton,AL,623,9288.67,10753.98,4229.44,5236.48,2012.2,2116.16,1177.93,1317.37,1080.22,1229.84,500.71,581.27,311.55,307.17
1014,Bridgeport,AL,220,12905.56,14464.94,7133.75,8297.2,2988.26,3130.39,1222.84,1336.86,875.15,992.31,,,461.47,461.01
1016,Camden,AL,184,7118.26,8363.47,2360.84,2816.9,1582.94,1730.79,835.97,934.89,323.94,367.71,1622.27,2034.82,304.84,306.44
1017,Carrollton,AL,411,8145.92,8927.38,3659.33,4020.76,1855.39,1985.92,1088.64,1210.12,919.06,1043.75,396.01,416.84,174.86,173.85
1018,Centre,AL,581,8785.95,9922.3,4307.76,5088.59,2240.52,2368.3,806.25,874.16,655.36,734.5,595.61,709.98,252.28,249.83
1019,Centreville,AL,188,11814.29,12820.51,6324.13,7024,2454.14,2612.51,1697.25,1798.8,957.96,1012.23,,,294.22,291.69
1022,Cullman,AL,2102,9198.48,10400.34,4000.35,4667.81,2447.75,2609.64,1022.26,1146.62,625.35,681.26,825.24,1040.66,302.66,300.89
1023,Dadeville,AL,246,8468.18,9676.8,3690.29,4351.39,1860.95,2041.54,1204.87,1369.11,689.32,782.14,745.9,870.65,327.07,324.81
1024,Decatur,AL,1759,8387.41,9489.79,3604.83,4302.21,2597.05,2756.2,837.88,926.39,658.35,740.14,439.06,524.61,260.29,258.39
