HSA Number,HSA Name,Medicare enrollees (2000),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2000),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2000)
2001,AK-Anchorage               ,14359,5.44552087661093,5.54853386444742
2016,AK-Barrow                  ,220,,
2017,AK-Bethel                  ,1035,4.56454167103061,4.65182413431344
2002,AK-Cordova                 ,155,,
2018,AK-Dillingham              ,270,,
2003,AK-Fairbanks               ,4666,5.49346430080586,5.58664648715172
2004,AK-Homer                   ,899,6.84354323442284,7.04895668353684
2005,AK-Juneau                  ,2311,5.01573926005752,5.0568346583582
2006,AK-Ketchikan               ,1364,6.5052322609597,6.68932436841396
2007,AK-Kodiak                  ,615,3.78993183997893,3.88988916149531
2019,AK-Kotzebue                ,347,,
2008,AK-Nome                    ,346,,
2009,AK-Palmer                  ,3379,6.64475156510221,6.75932003594505
2010,AK-Petersburg              ,332,,
2011,AK-Seward                  ,281,,
2012,AK-Sitka                   ,677,6.19853408837922,6.36207825118079
2013,AK-Soldotna                ,2330,5.67634936863212,5.74648559068225
2014,AK-Valdez                  ,159,,
2015,AK-Wrangell                ,278,,
1001,AL-Alabaster               ,9008,6.21917643005291,6.7559429606581
1002,AL-Alexander City          ,3631,5.67140593932236,5.76504898854412
1003,AL-Andalusia               ,4154,5.20327040586792,5.29890078190053
1004,AL-Anniston                ,13722,6.26900625698387,6.37119833401456
1006,AL-Ashland                 ,1877,5.40616537310134,5.50192561720818
1007,AL-Athens                  ,6000,6.07360562596278,6.16263718911608
1008,AL-Atmore                  ,2071,6.4142635208783,6.48244153581549
1010,AL-Bessemer                ,12456,5.74088430566591,6.28153000455034
1011,AL-Birmingham              ,94848,5.63761906353434,5.98591268068883
1012,AL-Boaz                    ,8251,5.93400058716488,6.04966866413672
1013,AL-Brewton                 ,3174,6.35546465240744,6.46491268597316
1014,AL-Bridgeport              ,1174,6.59777534690545,6.70460914766192
1016,AL-Camden                  ,992,4.42545722936002,4.48247209418839
1017,AL-Carrollton              ,2246,5.96359142561133,6.05566294642634
1018,AL-Centre                  ,2917,7.20205570818332,7.27772002721057
1019,AL-Centreville             ,1164,4.79102559412455,4.65388516552967
1022,AL-Cullman                 ,11077,6.14682683087301,6.25686545196813
1023,AL-Dadeville               ,1322,6.6897109244872,6.82485067216321
1024,AL-Decatur                 ,9582,5.75412844579464,5.85261956816705
1025,AL-Demopolis               ,2431,5.79918551274421,5.87832082220514
1026,AL-Dothan                  ,21922,5.46942749282904,5.55833140835892
1027,AL-Elba                    ,1473,5.15159304971348,5.23879363688241
1028,AL-Enterprise              ,4218,5.55317154332056,5.66066949387634
1029,AL-Eufaula                 ,2602,6.11465539768822,6.19471594160636
1031,AL-Evergreen               ,1272,5.34568295105812,5.41690843149495
1032,AL-Fairhope                ,4376,4.74695954823164,4.83938235181754
1033,AL-Fayette                 ,2254,6.07468250444497,6.16428701212686
1035,AL-Florala                 ,690,5.86720326273191,5.97053350457344
1036,AL-Florence                ,13338,5.62859795261599,5.70809603883577
1037,AL-Foley                   ,6864,5.24357857732221,5.35164003561237
1038,AL-Fort Payne              ,5719,6.00860110566533,6.12608173339193
1039,AL-Gadsden                 ,15484,6.11874895593445,6.23386150424246
1040,AL-Geneva                  ,2474,6.77649263961741,6.90890413605706
1044,AL-Greenville              ,3406,5.28998794738148,5.37149708748595
1045,AL-Grove Hill              ,1013,7.23613143828834,7.34683063994278
1046,AL-Guntersville            ,4766,6.27523551933422,6.41698928548275
1047,AL-Haleyville              ,2703,7.20060533968143,7.31675984620722
1048,AL-Hamilton                ,1974,4.33912154456396,4.37950905240828
1049,AL-Hartselle               ,3701,5.69427002163085,5.81674405099287
1051,AL-Huntsville              ,32747,5.75881143629815,5.87756924135565
1053,AL-Jacksonville            ,3620,6.80118980214008,6.86507333706609
