HSA Number,HSA Name,Medicare enrollees (2000),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2000),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2000)
49001,VA-Abingdon                ,5839,4.97210910764924,5.04139814851879
49002,VA-Alexandria              ,23477,4.89366431085561,4.96452126351778
49003,VA-Arlington               ,18818,4.48287551325036,4.60315285307442
49004,VA-Bedford                 ,4075,4.49333842633547,4.56654165065732
49005,VA-Big Stone Gap           ,2099,6.25935656870473,6.6700686653016
49006,VA-Blacksburg              ,6142,5.30091683177791,5.41294301265487
49007,VA-Charlottesville         ,26004,5.55342823895763,5.64676276443842
49008,VA-Chesapeake              ,12258,5.82842802989317,5.91852096105604
49009,VA-Clintwood               ,1928,5.96988521779324,6.16662376394306
49010,VA-Culpeper                ,4211,5.65985198785418,5.7325518842572
49011,VA-Danville                ,17197,5.39383587888209,5.46845126644053
49012,VA-Emporia                 ,4369,6.21508923968451,6.2804828089226
49013,VA-Fairfax                 ,4350,5.08988137775997,5.13275174662419
49014,VA-Falls Church            ,44100,4.74631234751067,4.93100779608028
49015,VA-Farmville               ,4224,5.62024575703636,5.68480719269718
49016,VA-Franklin                ,3670,6.25372147896581,6.32639899182474
49017,VA-Fredericksburg          ,19862,5.53596446310059,5.65880326880976
49018,VA-Front Royal             ,3722,5.86150904847061,5.9525545961186
49019,VA-Galax                   ,7850,5.60634006583732,5.67962166130249
49020,VA-Gloucester              ,6643,5.1736063145715,5.295442607095
49021,VA-Grundy                  ,2954,6.8121852761458,7.14325695269735
49022,VA-Hampton                 ,8983,6.04145613369814,6.12207625686718
49023,VA-Harrisonburg            ,16228,5.02306329006846,5.12029367908727
49024,VA-Hopewell                ,4374,6.06110437850702,6.43858754266498
49025,VA-Hot Springs             ,921,7.42237395910081,7.53711364727967
49026,VA-Kilmarnock              ,7100,5.69234568706329,5.80462965658649
49027,VA-Lebanon                 ,3939,6.21658270509458,6.3673399525193
49028,VA-Leesburg                ,7483,5.43360134853242,5.45287262736973
49029,VA-Lexington               ,4832,5.78979171842914,5.89011642000069
49030,VA-Low Moor                ,4391,6.03533205928585,6.12776109652281
49031,VA-Luray                   ,2703,5.52746202382542,5.6108628642834
49032,VA-Lynchburg               ,28824,5.56395612537623,5.65631151252548
49033,VA-Manassas                ,7444,6.6796003852692,6.90041283665563
49034,VA-Marion                  ,5498,5.84543092055822,5.85045469821548
49035,VA-Martinsville            ,12080,5.3472209235994,5.42031280092057
49036,VA-Nassawadox              ,6375,5.38537933615527,5.45423845994959
49037,VA-Newport News            ,30421,5.60932617372287,5.67523866895563
49038,VA-Norfolk                 ,32851,5.51645486839067,5.5833258771365
49039,VA-Norton                  ,4089,5.55556605964137,5.76829565563674
49040,VA-Pearisburg              ,3230,5.47816723441973,5.58301811213825
49041,VA-Pennington Gap          ,2600,5.888187945125,6.10371548912765
49042,VA-Petersburg              ,14206,5.6543709860231,5.83581004353459
49043,VA-Portsmouth              ,19461,5.51084335233142,5.5668241836668
49044,VA-Pulaski                 ,3101,6.78107459561847,6.91721119123962
49045,VA-Radford                 ,4526,5.49256950926704,5.55243222856483
49046,VA-Reston                  ,8126,5.50527940781014,5.75333448579555
49047,VA-Richlands               ,3746,5.65462137997,5.86562394602563
49048,VA-Richmond                ,102746,5.63775410735267,5.80514628736514
49049,VA-Roanoke                 ,35744,5.40450618833216,5.48146255673153
49050,VA-Rocky Mount             ,3552,4.79754251584437,4.83699889691749
49051,VA-Salem                   ,7568,5.78386805437146,5.8847361775221
49052,VA-South Boston            ,9291,4.91727914214727,4.96114942776977
49053,VA-South Hill              ,4878,5.65765963108007,5.74595625798429
49054,VA-Staunton                ,15679,5.36825274049935,5.45557391796351
49055,VA-Stuart                  ,2448,4.54605733732783,4.62648221818391
49056,VA-Suffolk                 ,8172,5.64789312817206,5.70915732687659
49057,VA-Tappahannock            ,4185,5.75202869179181,5.81502382408188
49058,VA-Tazewell                ,1964,6.44936694665613,6.30106763006202
49059,VA-Virginia Beach          ,24871,5.10988686806679,5.20316725805459
49060,VA-Warrenton               ,6034,4.87278811938931,4.93137592837808
49062,VA-Williamsburg            ,11142,4.67668533561321,4.76907451863196
49063,VA-Winchester              ,15022,5.40955950424254,5.50606979978054
49065,VA-Woodbridge              ,7347,6.12436965601811,6.42575921498617
49066,VA-Woodstock               ,3831,4.87400785041084,4.99673013442856
49067,VA-Wytheville              ,4964,6.07420126507023,6.18092315268675
