HRR Number,HRR Name,Medicare enrollees (2015),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2015),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2015)
10,AK-Anchorage,70464,4.37432771969192,4.40819966082573
1,AL-Birmingham,349616,5.1596209748228,5.28385216064663
2,AL-Dothan,61921,5.15285255589807,5.29330600850971
5,AL-Huntsville,96773,4.84532091898902,4.89360884361775
6,AL-Mobile,129358,4.92418097397935,5.12713061206282
7,AL-Montgomery,65087,4.92919519994844,4.95818567344262
9,AL-Tuscaloosa,35416,5.25466260656696,5.23138578120367
16,AR-Fort Smith,58385,5.6030229599506,5.72820338453734
18,AR-Jonesboro,36496,5.45466979882106,5.52147092739006
19,AR-Little Rock,247124,5.1007372016959,5.14021573411391
21,AR-Springdale,74288,4.75317331802197,4.84720155848495
22,AR-Texarkana,40622,5.55426128060366,5.62501478722104
11,AZ-Mesa,176996,4.08394734328232,3.97533502824056
12,AZ-Phoenix,472166,4.25824834363907,4.12304475069179
14,AZ-Sun City,90614,3.60838584524202,3.5584029501508
15,AZ-Tucson,211422,3.98509851715888,3.95088069875024
65,CA-Alameda County,198997,3.38846700374099,3.45872219997713
25,CA-Bakersfield,117629,4.45645512020242,4.65311124450827
31,CA-Chico,52593,4.52750999286289,4.58043382460959
33,CA-Contra Costa County,151178,3.72579423529936,3.85750922829029
43,CA-Fresno,139913,3.97500684108084,4.14959772729374
56,CA-Los Angeles,1194032,3.42576065786061,3.40281966807283
58,CA-Modesto,114977,4.31552839601447,4.47698004291704
62,CA-Napa,51060,4.32978903502726,4.47297402605423
23,CA-Orange County,437361,3.50437391631468,3.68415379530781
69,CA-Palm Springs/Rancho Mirage,78133,3.83386289895185,3.65280341049795
73,CA-Redding,63405,4.60704136872843,4.64702567446379
77,CA-Sacramento,386528,3.98098473012735,4.11588916748453
78,CA-Salinas,48846,3.61915646955416,3.67158767261952
79,CA-San Bernardino,347798,4.22885658141062,4.2013694761032
80,CA-San Diego,486430,3.5980007355258,3.66388450258075
81,CA-San Francisco,223124,3.34566305193892,3.48231329628294
82,CA-San Jose,219600,3.19666492758633,3.48358185569188
83,CA-San Luis Obispo,45332,3.7185956755966,3.79164826686371
85,CA-San Mateo County,119785,3.22872213912421,3.11900295576425
86,CA-Santa Barbara,65325,3.50177046399587,3.57161177986774
87,CA-Santa Cruz,38590,3.68324318404438,3.73320741762146
89,CA-Santa Rosa,84714,3.82199826108648,3.99874404924529
91,CA-Stockton,72933,4.28329844017859,4.42177856293962
96,CA-Ventura,121902,3.6131965982726,3.71444393585957
101,CO-Boulder,41095,3.67503502029193,3.79479070360799
102,CO-Colorado Springs,115446,4.04105984863517,4.06575089333966
103,CO-Denver,360892,4.00297799880353,4.06322524826269
104,CO-Fort Collins,46315,3.92486428752518,4.08588998881663
105,CO-Grand Junction,54412,4.10143493224164,4.25985718668405
106,CO-Greeley,53038,4.1520709624694,4.43871060174887
107,CO-Pueblo,30522,4.22573019309106,4.25114819540361
109,CT-Bridgeport,95828,3.63958132257264,3.74305907417197
110,CT-Hartford,233807,4.02277737585708,4.22947305123389
111,CT-New Haven,228746,4.02072547115941,4.224678717431
113,DC-Washington,352142,3.82101708568725,3.80505769679448
112,DE-Wilmington,115015,4.38591727199125,4.40135004663195
115,FL-Bradenton,66630,3.91384528807325,4.22945158116763
116,FL-Clearwater,110866,4.22640197318843,4.64043466798836
118,FL-Fort Lauderdale,517367,3.69453857660907,3.89472088328005
119,FL-Fort Myers,290410,3.55537570164407,3.75222527203527
120,FL-Gainesville,89680,4.73886565062596,4.90443630508841
122,FL-Hudson,101882,4.55214592556373,5.06837748146941
123,FL-Jacksonville,242930,4.52150333182304,4.6574787030496
124,FL-Lakeland,62683,4.70769043216434,5.21947816388268
127,FL-Miami,473660,3.49964474168661,4.56085796379726
129,FL-Ocala,171255,4.06315312475925,4.34521936802857
130,FL-Orlando,641819,4.10106441750688,4.4762086852095
131,FL-Ormond Beach,100461,4.29452513944402,4.60988437996892
133,FL-Panama City,36349,4.79142323186093,4.95156742330197
134,FL-Pensacola,129686,4.65974791980835,4.78803697160455
137,FL-Sarasota,127534,3.42470993944741,3.56295179683343
139,FL-St. Petersburg,78159,4.51309345558999,4.7596891685388
140,FL-Tallahassee,111468,4.71659961097635,5.0899965608801
141,FL-Tampa,197739,4.2973324366785,4.77403095594396
142,GA-Albany,29116,4.99795727578711,5.12333693287915
144,GA-Atlanta,756179,4.40854413216653,4.62877375802677
145,GA-Augusta,99116,4.66899355474802,4.76715545870488
146,GA-Columbus,45097,4.89607537857298,5.07004236532683
147,GA-Macon,103091,5.0322468303872,4.9760576929251
148,GA-Rome,43929,5.6699078363247,5.90103901105219
149,GA-Savannah,128467,4.40261082133565,4.50765669276703
150,HI-Honolulu,219418,3.50758021139684,3.54877988731178
190,IA-Cedar Rapids,46714,4.15490586844286,4.4767241123278
191,IA-Davenport,84003,4.4759584093799,4.63823257556447
192,IA-Des Moines,165657,4.3785978058953,4.48098348022387
193,IA-Dubuque,28113,4.21504332096599,4.60381544036506
194,IA-Iowa City,51489,4.36800029404147,4.45940538517596
195,IA-Mason City,26110,4.17304087078881,4.19223699470276
196,IA-Sioux City,40239,4.41744186844989,4.47030670023587
197,IA-Waterloo,35385,3.99592371132231,4.18257651115209
151,ID-Boise,131284,4.25644885771967,4.67106378080897
152,ID-Idaho Falls,27651,4.40050153133523,4.68063981127497
154,IL-Aurora,31453,4.24855882626763,4.41382362044154
175,IL-Bloomington,25345,4.49517266427848,4.45636531014008
155,IL-Blue Island,125852,4.39036460556574,4.37188144370941
156,IL-Chicago,271426,3.88339234545352,3.72481481292307
158,IL-Elgin,99487,4.03188893741469,4.01930498225596
161,IL-Evanston,157070,3.37050963925752,3.29283571440979
163,IL-Hinsdale,64585,3.78006135023299,3.70759667650185
164,IL-Joliet,89031,4.37815007224637,4.35100246338804
166,IL-Melrose Park,177369,3.97887520852021,3.97670728525768
170,IL-Peoria,103530,4.76796894586114,4.78217267552237
171,IL-Rockford,113383,4.39810023210556,4.74091760558627
172,IL-Springfield,140969,4.65226110594783,4.71228089687178
173,IL-Urbana,65180,4.51957312892545,4.80065539729064
