HSA #,HSA name,State,Medicare enrollees (2012),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)"
2001,Anchorage,AK,19725,7729.26,6467.23,3767.89,3046.58,2308.71,1963.03,990.99,855.54,264.75,228.75,193.49,174.7,163.97,165.71
2002,Cordova,AK,209,8415.17,7228.42,3455.87,2933.58,1633.35,1461.9,2728.47,2310.42,,,,,134.7,136.25
2003,Fairbanks,AK,7156,8299.03,6277.83,4418.19,2906.02,2212.98,1909.73,1186.04,1018.84,202.73,175.43,54.12,53.82,122.89,119.72
2004,Homer,AK,1521,9479.65,7510.82,4076.53,2876.22,1683.53,1436.1,2976.98,2525.76,264.46,225.2,,,173.35,172.2
2005,Juneau,AK,3352,7527.07,6281.19,3726.36,2925.91,1961.64,1732.24,1318.99,1152.83,195.92,172.71,137.51,125.32,98.2,95.91
2006,Ketchikan,AK,1841,9369.32,7677.22,4827.03,3686.94,1924.45,1721.72,1845.2,1594.94,414.84,352.33,,,131.62,128.75
2007,Kodiak,AK,858,9568.98,7248.98,5255.56,3510.98,1710.01,1491.42,1975.31,1704.95,250.18,214.81,,,120.25,115.18
2008,Nome,AK,387,12515.26,8371.65,6671.76,3670.84,1730.7,1359.73,2909.62,2451.56,,,,,61.97,64.52
2009,Palmer,AK,7290,8216.62,6709.96,4006.47,3069.36,2405.97,2033.85,1027.38,881.47,284.59,245.35,257.51,246.22,195.48,196.3
2010,Petersburg,AK,438,10765.65,9101.96,5483.32,4495.67,1811.83,1623.56,2889.75,2470.56,116.22,97.87,,,115.34,115.7
2011,Seward,AK,370,10054.08,7741.9,5319.83,3675.44,1914.53,1649.72,2427.8,2058.73,,,,,128.11,126.05
2012,Sitka,AK,904,11425.14,8955.57,5449.39,3794.49,2127.03,1857.48,3097.98,2654.12,271.26,235.13,,,112.08,102.95
2013,Soldotna,AK,4179,8302.79,6959.49,4024.31,3274.13,2067.38,1752.69,1603.12,1373.86,253.86,219.01,75.44,78.43,157.57,156.24
2014,Valdez,AK,234,9448.8,7336.99,4369.85,2925.58,1510.96,1315.77,2964.35,2536.64,,,,,220.19,203.34
2015,Wrangell,AK,345,11999.55,10100.1,5995.88,4856.96,1386.86,1285.94,3934.45,3355.4,,,,,85.04,89.59
2016,Barrow,AK,351,9737.24,6573.26,5536.98,3096.34,2002.53,1682.71,1515.41,1281.28,,,,,67.41,67.88
