HRR #,HRR name,State,Medicare enrollees (2012),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)"
10,Anchorage,AK,50927,8367.36,6723.65,4211.06,3130.12,2204.03,1885.72,1328.91,1141.81,239.75,206.47,145.37,134.92,148.84,148.57
1,Birmingham,AL,223423,8997.09,10245.95,3816.25,4615.82,2564.91,2717.96,1147.15,1277.57,607.89,681.89,578.97,680.87,297.28,293.19
2,Dothan,AL,47293,8739.23,10291.74,3566.68,4578.97,2509.26,2667.77,1169.2,1343.36,580.43,669.37,669.55,800.53,272.14,268.26
5,Huntsville,AL,70946,9004.34,10045.06,3689.79,4399.59,2835.33,2953.69,1189.72,1291.09,565.86,627.08,451.2,515.21,273.17,270.71
6,Mobile,AL,73898,8640.81,10048.06,3476.87,4403.68,2514.48,2671.11,1127.3,1271.52,625.12,705.32,643.17,751.14,279.41,276.71
7,Montgomery,AL,42110,8767.69,9882.28,3619.92,4278.19,2563.53,2713.75,1273.26,1413.87,507.43,573.47,549.38,647.29,273.02,270.57
9,Tuscaloosa,AL,27950,9236.32,10172.67,4125.68,4727.56,2404.05,2573.71,1212.2,1302.44,768.5,834.77,451.13,459.29,268.98,263.49
16,Fort Smith,AR,40534,8928.82,10243.77,4130.44,5001.06,2006.1,2131.5,1156.62,1306.52,983.44,1108.81,415.8,468.21,288.39,288.48
18,Jonesboro,AR,28278,8898.38,10195.19,4496.35,5415.3,2078.49,2190.55,1360.64,1541.12,418.18,478.84,230.33,262.43,316.64,315.13
19,Little Rock,AR,186286,8574.92,9674.63,4017.31,4796.06,2287.32,2416.02,1225.7,1351.11,396.15,442.2,355.66,379.85,289.23,287.76
21,Springdale,AR,46756,8053.52,8849.71,3746.46,4307.94,2190.71,2340.54,1077.38,1143.71,444.57,480.43,303.29,290.04,291.12,288.93
22,Texarkana,AR,31454,9547.7,10877.36,4441.87,5363.44,2265.27,2348.15,972.7,1077.77,996.66,1103.71,575.1,695.07,325.03,326.4
11,Mesa,AZ,74593,10136.86,10148.04,4154.23,4299.11,3565.98,3563.45,948.7,917.49,399.37,385.59,806,723.51,258.66,253.16
12,Phoenix,AZ,238489,9408.36,9136.84,4018.34,3855.86,3103,3098.85,1067.29,1029.34,316,301.87,666.46,609.64,243.62,240.11
14,Sun City,AZ,42932,9582.63,9677.96,3659.06,3910.59,3673.3,3658.31,996.83,960.13,371.61,358.28,598.21,521.77,249.24,243.85
15,Tucson,AZ,94913,8406.64,8443.69,3613.3,3653.1,2884.93,2855.71,984.92,1005.11,279.85,285.26,405.73,412.25,214.74,211.77
23,Orange County,CA,172187,11494.56,10511.14,5081.32,4620.12,3932.19,3646.19,1218.27,1092.45,578.02,517.18,418.95,367.11,243.41,238.86
25,Bakersfield,CA,64444,10187.89,9249.18,4866.82,4228.86,3216.5,3089.48,1185.11,1050.97,280.58,249.08,294.43,284.54,350.91,347.32
31,Chico,CA,43140,9337.75,8422.43,4749.25,4161.38,2216.67,2131.3,1543.88,1349.19,370.85,330.67,192.18,177.39,266.74,268.95
33,Contra Costa County,CA,57564,10678.71,8594.43,5230.48,4060.74,3101.18,2713.51,1274.08,970.42,476.97,362,405.33,299.6,187.4,184.9
43,Fresno,CA,76435,9422.64,8506.6,4453.3,3831.97,3070.26,2949.76,1140.44,1009.41,268.11,238.21,213.51,201.79,295.49,290.16
56,Los Angeles,CA,470701,13206.09,11702.86,6646.37,5633.69,3894.86,3689.18,1160.51,1035.12,839.04,745.88,339.11,291.12,276.87,274.65
58,Modesto,CA,65112,9580.73,8245.78,4782.85,3820.58,2591.32,2480.45,1396.52,1202.97,325.59,286.5,238.68,205.97,244.64,240.2
62,Napa,CA,32626,9907.84,8030.35,5236.11,3864.61,2392.51,2228.89,1550.03,1282.2,310.64,268.1,231.26,194.71,183.82,180.2
65,Alameda County,CA,72060,10973.9,8533.05,5734.47,4181.23,2839.64,2517.7,1342.36,1020.46,491.75,373.35,355.75,256.99,188.82,185.49
69,Palm Springs/Rancho Mirage,CA,37233,10151.66,9295.74,4034.01,3650.31,3547.96,3349.67,1473.12,1300.84,337.79,298.55,554.36,485.75,178.57,187.33
73,Redding,CA,49086,9206.42,7733.9,4608.27,3579.76,2436.56,2310.16,1263.57,1035.27,361.42,302.48,277.95,240.39,248.38,246.87
77,Sacramento,CA,166875,9259.57,7967.48,4714.78,3804.33,2484.37,2394.6,1185.51,995.81,365.82,308.4,302.52,255.83,204.19,201
78,Salinas,CA,39025,9157.97,7487.36,4493.7,3434.42,2539.1,2408.82,1168.83,873.72,484.73,362.87,266.8,207.55,203.74,199.85
79,San Bernardino,CA,100046,11291.69,10061.93,5980.81,5064.48,2918.01,2819.49,1098.87,977.66,538.99,478.37,547.2,499.87,229,245.78
80,San Diego,CA,193412,10043.52,9120.61,4822.65,4238,2945.08,2837.84,1113.29,994.02,430.14,383.37,522.88,457.81,218.72,216.29
81,San Francisco,CA,89856,10091.4,7780.13,5142.28,3678.47,2434.36,2152.26,1523.5,1165.94,482.77,368.98,336.81,260.13,163.69,161.53
82,San Jose,CA,97894,10332.8,7948.54,5052.95,3603.25,2860.57,2508.33,1387.82,1023.33,462.51,345.39,361.46,255.99,200.64,197.48
83,San Luis Obispo,CA,32260,8027.56,7259.97,3196.37,2828.07,3135.77,2948.14,683.75,584.3,513.62,443.29,267.74,230.8,212.26,209.17
85,San Mateo County,CA,49921,9442.42,7358.05,4247.78,3118.79,2629.66,2284.53,1488.03,1111.52,508.84,381.14,404.97,297.22,165.23,163.91
86,Santa Barbara,CA,44312,8149.27,7408.61,3302.28,2887.27,3046.91,2908.7,992.6,876.16,333.01,293.28,267.02,236.47,203.38,201.29
87,Santa Cruz,CA,26430,9519.46,7318.24,4543.1,3066.66,2703.17,2569.36,1031.21,731.04,502.14,355.77,545.7,396.85,193.39,186.63
89,Santa Rosa,CA,37315,9603.42,7698.92,4533.81,3337.88,2859.19,2658.31,1176.38,881.75,404.62,302.65,428.89,324.52,192.75,189.56
91,Stockton,CA,34829,9931.01,8546.46,5355.28,4388.62,2490.33,2364.68,1254.28,1054.37,421.19,361.69,177.41,154.52,225.56,220.76
96,Ventura,CA,64125,10493.77,9372.71,4385.07,3900.89,3841.52,3506.07,1023.37,871.78,598.68,512.49,399.11,335.85,229.69,225.98
101,Boulder,CO,18123,8328.73,8526.99,3326.58,3594.43,2684.35,2656.02,1037.44,1015.47,436.64,425.7,582,576.39,239.41,243.53
102,Colorado Springs,CO,67041,8207.35,8405.86,3513.24,3749.77,2257.46,2223.88,1220.86,1213.68,424.59,421.31,434.03,440.78,353.42,358.28
103,Denver,CO,139882,9184.24,9124.61,4145.24,4139.38,2537.03,2527.76,1384.6,1368.83,412.94,400.95,408.25,387.87,289.16,292.58
104,Fort Collins,CO,30230,8324.17,8152.98,4058.4,3924.55,2216.37,2178.63,1285.8,1275.2,300.11,296.85,183.55,189.73,270.42,276.21
105,Grand Junction,CO,29949,7027.76,6962.34,2974.74,2891.03,1579.81,1605.13,1285.99,1277.25,280.38,278.76,644.54,641.19,279.57,286.54
106,Greeley,CO,32103,8773.93,8861.8,4200.26,4304.89,1999.52,1995.04,1689.26,1678.93,304.72,302.7,277.18,273.11,307.73,311.22
107,Pueblo,CO,16556,8320.14,8556.52,3623.44,3879.25,2272.75,2255.85,1189.07,1182.73,456.59,455.4,374.28,375.17,402.1,409.26
109,Bridgeport,CT,59599,10448.5,9096.55,4981.44,4141.56,3109.28,2967.18,1389.49,1174.21,568.55,483.24,247.04,190.38,174.83,171.64
110,Hartford,CT,148514,9975.65,8903.93,4951.54,4251.39,2784.36,2677.36,1267.87,1109.91,537.24,471.55,236.59,203.11,217.23,213.54
111,New Haven,CT,141599,10674.35,9349.19,5329.17,4463.35,2920.01,2791.07,1345.66,1167.04,634.74,553.04,248.76,190.9,213.98,210.21
113,Washington,DC,235607,9689.36,8730.3,4596.13,3848.19,2962.7,2794.74,1373.06,1345.97,304.79,297.14,271.87,269.73,205.08,203.59
112,Wilmington,DE,87124,9676.21,9283.68,4345.16,4101.57,2909.99,2876,1218.4,1156.86,380.5,361.26,607.89,574.04,228.74,228.04
115,Bradenton,FL,41951,9971.55,10465.14,3780.69,4328.1,4008.16,3922.32,891.42,918.56,764.16,801.59,298.02,275.59,223.65,221.81
116,Clearwater,FL,53035,10824.05,11376.33,4104.91,4667.3,3935.91,3871.38,1154.61,1198.66,877.47,916.28,491.65,471.04,247.49,245.53
118,Fort Lauderdale,FL,265241,11498.09,11380.77,3984.61,4238.8,4601.29,4358.61,1258.82,1243.44,934.06,928.69,504.26,401.45,225.66,234.2
119,Fort Myers,FL,177184,10387.15,10564.41,3645.61,4135.32,4405.06,4135.99,947.17,955.97,593.03,607.23,509.62,460.19,250.37,247.64
120,Gainesville,FL,62461,10068.37,10219.76,4493.16,4673.8,3159.9,3107.92,966.86,1004.03,624.95,654.96,576.96,532.73,263.73,262.62
122,Hudson,FL,46895,11003.78,11696.53,4542.63,5326.54,3982.29,3870.81,860.56,892.68,928.14,969.1,417.48,372.31,265.12,263.78
123,Jacksonville,FL,150735,10656.67,11239.1,4420.97,4907.17,3577.34,3576.58,1194.34,1267.89,690.74,732.9,502.99,485.87,276.97,274.93
124,Lakeland,FL,30482,10065.67,10795.96,4136.69,4796.07,3429.25,3391.35,906.1,963.19,798.13,849.87,496.83,499.19,293.61,292.22
127,Miami,FL,158292,14164.64,13596.16,5430.28,5182.25,3805.15,3608.34,1244.26,1236.81,2156.33,2133.23,675.69,540.13,267.2,284.09
129,Ocala,FL,104499,9950.89,10588.29,3539.65,4200.92,3991.76,3917.96,1022.14,1090.34,636,675.79,466.66,424.29,257.38,255.46
130,Orlando,FL,347066,10510.32,11089.38,4207.42,4801.43,3708.56,3637.77,1127.91,1176.65,736.96,768.98,465.55,431.34,260.6,271.73
131,Ormond Beach,FL,50726,9394.07,9815.59,3417.3,3829.37,3166.53,3119.54,1309.4,1372.76,703.86,742.29,557.61,521.2,237.37,235.06
133,Panama City,FL,27178,10574.52,11555.62,4411.39,5226.18,3547.38,3536.44,1121.96,1210.29,572.38,618.84,570.54,633.87,348.96,345.22
134,Pensacola,FL,89906,9406.64,10371.66,3865.57,4633.72,2871.57,2868.02,1344.58,1464.04,594.52,653.25,461.9,499.36,268.33,264.18
137,Sarasota,FL,83033,9248.78,9685.36,3180.63,3672.91,3915.39,3841.99,1042.09,1071.69,589.92,608.45,285.58,268.1,228.59,226.97
139,St. Petersburg,FL,37729,11116.62,11701.62,4787.86,5382.06,3844.78,3780.22,1008.75,1047.13,839.88,876.77,381.32,360.92,256.16,253.82
140,Tallahassee,FL,63338,8795.6,9780.89,3843.58,4540.33,2535.09,2585.02,1281.02,1412.98,411.88,451.5,452.79,519.46,279.5,276.11
141,Tampa,FL,86521,10828.28,11309.24,4437.37,4909.9,3594.64,3554.56,1030.36,1074.54,938.82,985.93,521.13,479.45,292.19,289.52
142,Albany,GA,18951,7938.03,8712.6,3299.22,3737.59,2057.08,2177.53,1449.82,1567.42,348.83,372.48,514.38,589.73,281.97,276.81
144,Atlanta,GA,409091,8880.96,9340.9,3483.16,3867.51,2872.2,2898.46,1141.16,1175.45,515.56,531.73,633.89,634.95,257.95,254.83
145,Augusta,GA,61580,8305.17,8752.34,3786.21,4080.84,2376.41,2443.74,1167.84,1204.68,316.26,332.8,433.28,471.2,238.67,235.04
146,Columbus,GA,28749,8540.69,9294.85,3324.95,3852.21,2413.62,2545.89,1303.53,1363.39,429.96,455.85,897.54,898.82,228.04,224.64
147,Macon,GA,63291,9535.42,10247.42,4179.54,4645.17,2913.31,3004.51,1213.4,1295.8,434.43,460.88,547.01,594.9,272.13,271.15
148,Rome,GA,29526,9644.58,10525,4322.79,4902.02,2604.4,2707.66,1109.26,1187.42,735.63,786.11,627.28,715.07,287.67,283.4
