County ID,County name,Medicare enrollees (2012),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)"
51001,VA-Accomack County,5305,9056.45,9251.84,3982.72,3964.92,2334.9,2310.22,1508.82,1607.83,502.05,549.41,528.45,622.84,206.79,205.38
51003,VA-Albemarle County,13927,7878.35,7890.7,3636.79,3491.43,1929.69,1980.35,1440.81,1504.51,322.8,335.51,367.41,401.27,181.34,178.12
51510,VA-Alexandria city,9090,8840.62,8608.11,3759.84,3784.43,2943.47,2746.59,1163.41,1120.7,434.32,417.16,374.71,367.91,184.2,184.21
51005,VA-Alleghany County,1232,8442.62,9414.87,3782.53,4384.74,2164.93,2232.5,1165.12,1273.91,330.27,353.83,802.9,983.18,219.6,220.67
51007,VA-Amelia County,1425,8793.26,9401.1,4254.63,4790.48,2415.18,2483.68,1048.14,1063.23,536.12,544.46,231.54,215.52,291.09,286.99
51009,VA-Amherst County,4079,8140.29,8778.81,3848.45,4284.53,2199.5,2253.25,1056.19,1127.95,358.71,382.32,455.81,510.11,229.96,231.3
51011,VA-Appomattox County,2114,7711.04,8359.43,3594.81,4071.01,2115.17,2139.86,881.5,941.49,446.4,480.05,445.03,508.03,243.86,240.84
51013,VA-Arlington County,12652,7901.82,7629.45,3123.51,3079.9,2673.95,2516.97,1048.84,1011.71,456.86,441.18,439.62,417.66,160.14,159.05
51015,VA-Augusta County,7367,7787.91,8202.23,3647.15,3737.14,1787.81,1894.64,1596.68,1741.02,281.67,304.1,248.41,298.16,204.06,203.51
51017,VA-Bath County,967,11076.21,11012.51,6348.72,5848.26,1476.36,1558.78,2493.41,2757.41,345.64,383.84,161.08,189.24,236.07,236.14
51515,VA-Bedford city,3013,7895.72,8542.94,3612.17,4074.19,2127.43,2178.8,1136.66,1203.57,458.99,486.49,325.6,364.11,234.19,234.01
51019,VA-Bedford County,10353,7773.21,8201.41,3641.98,3902.98,2205.3,2275.22,1000.21,1046.39,403.56,422.71,307.91,345.17,210.92,211.28
51021,VA-Bland County,951,10391.84,11409.03,4972.26,5468.52,2642.48,2878.22,1442.74,1586.76,753.53,837.8,333.06,400.16,271.96,271.64
51023,VA-Botetourt County,3389,7694.78,8094.48,3594.75,3848,2144.35,2221.51,1049.27,1080.86,364.89,376.51,284.34,312.11,249.33,249.16
51520,VA-Bristol city,1875,9078.56,10590.21,4224.53,5307.59,2185.86,2324.82,915.53,1031.48,956.01,1082.45,355.76,398.28,438.84,437.09
51025,VA-Brunswick County,2244,8707.87,9336.9,4459.48,4699.98,2172.02,2403.26,1300.37,1399.56,296.43,326.84,240.14,287.68,219.33,219.06
51027,VA-Buchanan County,2827,9667.84,11132.37,4879.6,5614.14,1986.15,2396.03,1467.05,1641.15,787.21,880.74,248.77,300.97,353.2,353.88
51029,VA-Buckingham County,1639,7640.62,7900.93,3725.6,3802.43,1729.98,1750.84,1326.08,1413.15,370.78,403.07,229.47,274.8,221.58,223.67
51530,VA-Buena Vista city,1045,8918.61,9420.63,4663.3,4864.32,1907.92,1994.43,1494.49,1639.81,301.1,328.15,197.25,232.87,361.54,363.61
51031,VA-Campbell County,4038,7584.67,8297.73,3592.4,4063.03,2107.4,2222.85,932.75,999.96,366.46,392.48,352.96,389.08,235.48,234.55
51033,VA-Caroline County,2840,8682.93,9140.56,4067.19,4468.89,2492.72,2578.39,1258.16,1242.58,293.25,289.8,371.12,360.06,216.72,217.5
51035,VA-Carroll County,3920,8729.07,9582.21,3980.03,4341.48,2038.28,2269.64,1338.73,1472.61,857.5,960.08,194.53,219.29,354.17,358.15
51036,VA-Charles City County,599,7015.03,7475.16,2819.79,3144.05,2423.82,2496.91,962.37,983.22,354.17,363.44,326.8,342.29,204.44,207.64
51037,VA-Charlotte County,1433,7434.05,8256.56,3591.99,4137.13,1831.32,1886.69,1162.61,1277.47,240.42,264.43,396.64,481.47,218.76,219.34
51540,VA-Charlottesville city,205,5934.84,5990.24,2187.53,2097.04,1615.62,1650.88,1637.06,1712.15,,,,,129.46,124.84
51550,VA-Chesapeake city,18571,8533.01,9332.98,3556.7,4100.37,2737.19,2873.02,1195.74,1255.79,512.47,537.47,274.06,306.7,262.56,261.72
51041,VA-Chesterfield County,26881,8667.65,9171.03,3951.74,4323.23,2576.17,2684.79,1069.22,1081.26,458.61,463.22,384.49,394.8,229.43,226.93
51043,VA-Clarke County,2018,7737.94,8088.94,3818.22,4002.95,2046.85,2202.8,803.35,818.87,338.26,339.38,561.52,556.73,192.17,187.93
51570,VA-Colonial Heights city,3346,8430.77,9046.92,4051.9,4377.8,2482.02,2757.76,957.21,970.33,412.92,417.19,306.66,301.88,219.09,220.4
51580,VA-Covington city,2435,8015.61,8817.48,3833,4386.63,2211.69,2276.49,1149.96,1254.38,339.79,371.34,269.68,325.23,200.18,199.04
51045,VA-Craig County,593,8896.2,9684.27,4452.24,5117.81,2271.66,2319.59,1288.3,1338.44,503.62,519.93,104.71,119.08,265.85,265.33
51047,VA-Culpeper County,4647,8701.84,8836.17,4263.73,4210.35,2448.07,2535.27,1308.15,1379.25,278.82,279.4,160.92,188.07,215.47,216.2
51049,VA-Cumberland County,751,7427.79,8054.97,3450.04,3865.21,1935.63,2059.01,1034.15,1078.71,321.23,340.69,466.06,499.09,246.77,243.74
51590,VA-Danville city,4105,7932.09,8486.67,3763.28,4114.12,2603.32,2681.83,934.6,1019.65,253.32,281.9,84.59,96.45,316.01,314.75
51051,VA-Dickenson County,1728,10111.64,11714.14,4364.08,5197.67,2269.91,2676.92,1514.3,1698.69,1538.89,1723.56,104.57,113.44,413.76,411.2
51053,VA-Dinwiddie County,5554,9040.56,9304.08,4567.71,4725.14,2518.13,2627.98,1105.39,1114.28,368.19,370.53,220.95,222.53,253.67,253.72
51595,VA-Emporia city,1562,8778.53,9539.96,4565,5062,2238.27,2373.93,1186.36,1275.98,361.31,396.24,118.63,124.52,278.66,281.02
51057,VA-Essex County,1575,8595.71,9261.52,3754.55,4004.62,2460.39,2644.83,1287.47,1370.18,322.93,347.32,608.75,747.16,201.98,198.77
51600,VA-Fairfax city,3513,8247.28,7904.21,3151.1,3089.61,3049.07,2829.2,933.96,903.04,402.81,389.39,492.57,477.38,200.73,198.73
51059,VA-Fairfax County,75095,8196.32,7909.38,3324.67,3283.72,2886.61,2696.87,970.92,939.35,407.67,393.34,421.9,411.11,175.46,174.86
51610,VA-Falls Church city,1240,8483.41,8154.92,3490.35,3387.76,2814.35,2640.51,868.47,838.79,468.91,450.09,564.16,561.14,252.76,249.35
51061,VA-Fauquier County,6706,8505.37,8636.98,3751.9,3857.83,2509.93,2612.26,1285.56,1235.26,361.82,347.27,388.54,376.43,196.63,195.63
51063,VA-Floyd County,2220,7061.66,7732.31,3033.3,3401,2162.32,2333.44,921.32,982.15,475.97,514.91,203.21,239.14,256.93,257.57
51065,VA-Fluvanna County,4108,7990.19,8073.49,3606.64,3528.55,1891.07,1932.96,1554.88,1629.25,427.29,444.56,306.2,337.37,190.17,187.47
51620,VA-Franklin city,1944,7442.61,7999.36,3111.75,3418.88,2371.54,2449.7,1225.68,1338.64,409.61,443.97,79.68,93.31,265.96,265.79
51067,VA-Franklin County,6614,7742.19,8465.39,3668.52,3826.82,2043.92,2521.34,1156.21,1191.32,375.05,386.77,273.34,303.28,216.88,216.94
51069,VA-Frederick County,8602,7583.67,7977.04,3697.65,3911.4,2133.99,2258.02,888.07,921.25,284.47,292.92,364.95,377.79,211.54,210.05
51630,VA-Fredericksburg city,2238,10282.54,10599.87,5034.55,5348.99,3011.44,3110.23,1159.64,1112.18,467.54,451.76,395.76,370.29,219.94,216.18
51640,VA-Galax city,2910,8646.82,9461.32,4255.11,4554.09,1974.97,2259.22,1153.79,1272.96,826.06,923.46,93.79,104.58,373.65,375.48
51071,VA-Giles County,2517,9039.12,9787.19,4660.36,5027.44,2186.91,2380.81,1247.27,1356.95,464.77,510.75,173.34,198.61,315.26,317.36
51073,VA-Gloucester County,4757,7784.58,8511.15,3324.53,3741.92,2250.62,2443.34,1363.4,1428.49,361.35,379,278.34,319,189.43,185.05
51075,VA-Goochland County,2343,7851.1,8285.08,3557.84,3861.31,2358.88,2460.18,959.37,967.11,423.08,427.58,321.84,333.38,236.58,243.18
51077,VA-Grayson County,2255,8141.57,9076.83,3674.55,4133.98,1877.88,2092.37,1131.02,1250.3,975.39,1091.44,162.79,191.02,364.32,369.59
51079,VA-Greene County,2030,9522.67,9495.32,4825.41,4627.51,2079.03,2117.61,1565.31,1637.05,381.71,396.55,458.16,500.67,229.01,228.34
51081,VA-Greensville County,355,7243.97,7805.45,3136.83,3266.34,2068.6,2359.77,1293.68,1396.39,380.69,415.19,,,186.32,184.03
51083,VA-Halifax County,5238,7535.72,8154.44,3511.63,3858.45,1918.39,1979.71,1416.14,1551.17,189.8,210.13,253.21,306.24,252.74,252.5
51650,VA-Hampton city,12981,7978.61,8646.42,3104.04,3561.88,2801.71,2888.78,1207.04,1266.01,405.02,424.72,239.95,268,268.12,268.7
51085,VA-Hanover County,12152,8762.87,9274.13,3885.37,4244.8,2655.17,2773.2,1131.17,1143.73,449.56,453.76,412.8,428.9,227.97,229.73
51660,VA-Harrisonburg city,97,6050.05,6258.48,2029.42,2029.24,1416.39,1477.08,2031.92,2152.58,,,,,184.53,185.52
51087,VA-Henrico County,28001,8362.24,8822.58,3832.83,4172.29,2446.69,2542.22,1160.44,1175.53,405.26,409.38,305.46,310.7,230.21,229.19
51089,VA-Henry County,5231,7739.16,8579.5,3838.56,4306.42,1882.25,2086.48,1184.23,1291.28,376.07,411.14,147.52,173.74,293.72,293.34
51091,VA-Highland County,539,8410.79,8696.98,4413.37,4407.41,1492.51,1527.32,1893.46,2068.14,230.82,256.06,,,178.43,178.05
51670,VA-Hopewell city,3234,9226,9807.22,4857.14,5308.4,2460.87,2579.73,893.84,901.7,386.47,388.79,380.26,385.95,248.46,246.72
51093,VA-Isle of Wight County,3769,8313.95,8854.59,3532.64,3881.37,2641.08,2728.68,1215.59,1273.79,397.46,417.84,261.75,290.1,250.69,249.41
51095,VA-James City County,7548,7812.56,8415.2,2846.92,3216.3,2847.12,2982.32,1215.52,1271.48,390.13,408.9,261.11,292.46,195.2,192.98
51097,VA-King and Queen County,1027,7449.08,8044.06,2920.12,3316.76,2406.65,2520.67,1122.36,1161,464.07,484.85,317.54,336.02,235.13,234.27
51099,VA-King George County,2040,8901.43,9345.54,4082.15,4448.55,2869.25,2975.95,986.68,967.21,346.05,334,433,443.08,199.81,196.89
51101,VA-King William County,2189,8429.93,9055.72,3683.87,4152.92,2568.89,2675.08,1148.54,1167.44,411.34,421.49,365.51,389.11,259.62,257.71
51103,VA-Lancaster County,2465,6921.02,7281.25,2870.46,2895.15,2136.12,2297.66,1084.11,1162.75,260.67,286.38,381.95,453.17,190.37,188.78
51105,VA-Lee County,2389,9530.24,10936.21,4777.02,5742.8,1961.01,2113.77,1286.3,1437.96,1141.92,1285.54,94.71,100.42,342.57,342.15
51678,VA-Lexington city,2437,7728.11,8088.55,3871.58,3943.43,1863.93,1968.92,1260.66,1383.02,316.31,343.45,178.27,210.55,244.23,243.73
51107,VA-Loudoun County,15793,8486.77,8573.62,3435.42,3582.87,2877.63,2878.9,942.99,910.29,451.8,434.49,586.74,575.81,193.15,190.88
51109,VA-Louisa County,4760,8239.69,8547.46,4046.9,4134.17,2108.83,2260.41,1201.48,1248.95,345.55,351.31,321.95,336.95,209.47,209.62
51111,VA-Lunenburg County,2011,8488.99,9122.96,4129.51,4516.59,2097.38,2138.39,1242.52,1338.64,331.04,356.02,427.01,517.09,262.14,258.25
51680,VA-Lynchburg city,10991,7973.56,8638.62,3719.19,4182.38,2191.15,2240.54,1011.09,1081.81,355.75,380.58,468.06,518.93,221.57,220.46
51113,VA-Madison County,1651,7752.29,7783.17,3861.25,3712.27,1985.4,2057.11,1270.75,1341.26,283.03,291.7,166.14,195.34,168.96,167
51683,VA-Manassas city,137,5468.33,5805.77,1924.15,2293.59,2190.85,2216.38,786.26,754.5,,,,,135.69,137.23
51685,VA-Manassas Park city,1419,7730.46,7748.96,2920.84,3008.96,2596.28,2581.56,1051.46,1013.95,477.28,458.81,455.86,455.88,231.46,232.37
51690,VA-Martinsville city,4538,7651.51,8538.07,3858.18,4459.77,1901.22,2013.62,1209.54,1328.03,311.56,338.84,129.67,151.81,245.62,245.97
51115,VA-Mathews County,1993,7454.4,7938.11,3023.2,3364.34,2110.17,2151.78,1330.08,1391.96,299.67,314.36,243.7,279.5,412.33,406.73
51117,VA-Mecklenburg County,5238,8195.26,8777,3993.1,4262.67,1987.85,2099.39,1518.64,1652.83,214.19,236.61,230.2,278.67,241.23,239.74
51119,VA-Middlesex County,1969,7543.87,8144.77,3166.09,3518.79,2210.32,2338.37,1410.86,1490.97,290.68,308.24,212.31,239.33,210.85,208.07
51121,VA-Montgomery County,7331,8088.99,8783.67,3534.49,3912.82,2293.4,2423.84,1059.35,1145.11,584.85,632.24,311.02,365.21,309.67,312.64
51125,VA-Nelson County,3031,7640.96,7643.38,3640.57,3446.33,1687.09,1752.82,1366.59,1437.4,310.97,325.95,428.66,476.8,211.53,209.44
51127,VA-New Kent County,2283,8285.62,8812.01,3462.15,3771.73,2639.98,2793.27,1113.41,1142,445.37,460.6,386.57,409.42,235.11,234.66
