HRR #,HRR name,State,Medicare enrollees (20% sample) (2006),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2006)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2006)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2006)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2006)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2006)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2006)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2006)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2006)"
10,Anchorage,AK,7818,7237.88,5973.55,4068.16,3053.93,1746.9,1648.42,857.89,757.43,244.66,214.38,121.08,110.4,155.43,153.74
1,Birmingham,AL,45326,8188.29,9180.99,3907.53,4548.94,2185.98,2360.06,731.86,784.75,485.75,520.13,606.46,700.9,288.4,287.9
2,Dothan,AL,9495,7462.79,8672.12,3449.31,4249.77,2027.53,2167.45,682.25,764.81,415.23,465.79,654.31,790.97,256.45,260.28
5,Huntsville,AL,13065,7667.21,8476.27,3597.84,4113.77,2342.64,2523.47,690,729.86,459.44,488.19,314,364.25,269.23,268.56
6,Mobile,AL,15399,7697.65,8980.61,3451.89,4292.81,1991.91,2171.57,800.54,884.39,412.54,458.26,826.67,965.27,251.84,252.72
7,Montgomery,AL,8328,7836.85,8736.75,3552.3,4069.29,2389.84,2545.91,521.23,568.57,429.03,473.39,720.35,854.77,252.83,251.04
9,Tuscaloosa,AL,5561,8000.19,8902.89,4080.3,4630.5,1914.21,2066.23,677.96,759.68,651.6,729.65,418.14,456.22,241.33,240.11
16,Fort Smith,AR,8424,7430.71,8354.38,3594.98,4203.43,1779.91,1886.07,571.85,625.32,896.09,994.81,318.55,367.89,322.91,337.93
18,Jonesboro,AR,5607,7546.37,8313.18,4079.19,4594.29,1904.46,2009.12,768.07,853.47,376.07,422.17,89,106.52,337.03,336.61
19,Little Rock,AR,37912,7506.19,8300.7,3825.49,4370.95,2082.22,2215.26,717.92,778.68,308.13,339.98,290.89,317.02,282.43,280.61
21,Springdale,AR,9043,6878.82,7668.43,3662.19,4235.82,1877.37,2009.25,553.99,596.36,333.35,364.09,195.07,206.23,260.64,259.62
22,Texarkana,AR,6529,8538.14,9624.25,4476.01,5247.71,1991.59,2117.26,642.28,708.3,774.7,841.23,305.28,361.5,340.48,338.69
11,Mesa,AZ,12351,7945.84,7927.65,3588.11,3691.09,2718.97,2666.39,570.92,558.01,278.49,271.9,576.17,533.39,206.25,201.79
12,Phoenix,AZ,38934,7637.17,7516.95,3698.64,3666.02,2479.99,2422.15,552.32,545.66,202.49,199.17,496.24,477.6,210.31,209.03
14,Sun City,AZ,8750,7918.1,7980.94,3556.34,3765.26,2980.93,2905.13,511.77,497.93,224.07,218.97,380.66,337.1,235.48,231.31
15,Tucson,AZ,17092,7052.79,7194.42,3325.58,3489.51,2389.76,2338.52,585.81,606.08,220.11,228.03,335.47,339.49,183.79,183.9
23,Orange County,CA,30483,9691.31,8923.21,4470.67,4141.5,3418.16,3078.84,769.57,732.1,506.09,474.56,287.05,259.79,214.55,212.76
25,Bakersfield,CA,11824,7990.69,7492.7,4173.99,3807.45,2542.79,2440.81,643.36,618.08,193.42,187.54,121.33,123.17,313.41,310.43
31,Chico,CA,8053,6973.83,6568.45,3505.31,3252.99,1834.71,1756.22,923.6,867.36,308.05,291.45,137.76,137.42,270.07,268.15
33,Contra Costa County,CA,9896,9437.77,7580.04,4993.72,3922.16,2725.58,2271.26,953.73,759.56,358.4,278.37,228.77,175.42,179.42,176.78
43,Fresno,CA,14215,7381.8,6929.98,3784.13,3468.01,2357.22,2254.42,702.47,676.82,209.3,201.31,81.56,81.97,254.99,253.48
56,Los Angeles,CA,90193,10733.4,9447.82,5530.49,4682.44,3264.45,2997.91,726.84,654.25,701.11,631.34,198.13,175.89,286.29,280.53
58,Modesto,CA,11369,7423.88,6612.91,3957.75,3353.63,2156.47,2048.22,726.74,658.95,214.14,197.08,120.37,104.93,248.76,245.29
62,Napa,CA,5825,8157.36,7035.79,4063.33,3324.6,2245.53,2035.54,1188.57,1059.07,292.21,267.91,167.61,151.57,202.16,200.19
65,Alameda County,CA,12924,9518.2,7356.75,5507.46,4054.79,2421.57,2060.31,868.03,663.16,317.37,243.41,213.97,169.33,183.69,182.01
69,Palm Springs/Rancho Mirage,CA,7091,7863.97,7408.8,3453.86,3290.68,2874.19,2700.44,784.82,721.88,273.42,251.8,273.44,246.15,171.21,168.23
73,Redding,CA,8962,7313.64,6650.56,3700.52,3217.14,2111.92,2030.81,709.3,642.2,360.76,332.81,162.4,159.31,265.97,263.95
77,Sacramento,CA,28720,7296.84,6542.85,3813.61,3264.71,2104.35,2005.99,707.8,640.83,289.17,262.38,175.29,163.51,205,202.61
78,Salinas,CA,6635,8237.54,7158.04,4313.69,3593.31,2319.65,2239.38,863.09,693.33,375.63,301.81,199.12,164.2,175.98,174.19
79,San Bernardino,CA,19034,9064.1,8174.02,4985.18,4311.5,2432.83,2316.4,592.06,547.99,440.66,404.82,375.21,354.79,259.68,256.02
80,San Diego,CA,35015,8095.36,7598.16,3966.84,3633.07,2504.66,2460.85,740.2,684.96,303.16,281.9,392.19,344.04,203.23,202.37
81,San Francisco,CA,16669,8455.08,6579.85,4532.89,3340.16,2161.17,1825.72,1080.58,849.93,376.17,295.54,153.57,126.01,157.51,154.94
82,San Jose,CA,15980,8473.31,6632.94,4529.36,3403.1,2496.64,2057.87,775.69,606.87,279.79,219.48,207.17,165.16,182.69,178.83
83,San Luis Obispo,CA,5617,6364.41,6106.14,2604.67,2505.64,2529.95,2430.51,497.08,464.46,289.7,275.61,225.09,219.12,196.75,193.85
85,San Mateo County,CA,8593,7982.05,6221.45,3925.06,2970.07,2388.37,1929.76,983.31,757.6,338.13,262.48,216.15,172.56,131.8,130.4
86,Santa Barbara,CA,7328,6871.46,6488.89,3045.25,2816.97,2555.2,2456.14,681.74,643.91,257.92,245.45,158.57,155.23,166.59,164.67
87,Santa Cruz,CA,3878,7663.61,6586.38,4018.77,3150.83,2302.43,2210,608.75,551.31,360.67,337.6,210.03,168.49,163.82,162.92
89,Santa Rosa,CA,6636,7563.18,6588.85,3602.92,2890.63,2339.42,2207.89,834.91,772.01,323.54,303.78,286.85,249.43,175.08,173.34
91,Stockton,CA,6679,7817.72,7146.18,4284.28,3830.27,2208.92,2056.26,748.14,703.71,241.98,226.87,102.58,101.24,236.4,234.39
96,Ventura,CA,11061,8369.17,7683.18,3667.79,3380.76,3136.97,2851.79,681.01,623.52,383.49,349.2,272.83,254.89,211.42,207.88
101,Boulder,CO,3001,7710.96,7870.52,3593.75,3817.81,2279.19,2256.71,808.76,781.36,339.15,327.48,418.49,414.26,259.58,263.13
102,Colorado Springs,CO,12193,6972.77,7186.46,3345.13,3611.84,1896.9,1857.2,792,788.94,318.03,312.87,247.35,243.58,367.85,371.59
103,Denver,CO,24992,7702.05,7666.11,3783.84,3765.47,2140.6,2185.62,902.08,871.85,309.47,292.24,261.76,240.68,302.17,307.66
104,Fort Collins,CO,5426,6689.2,7005.79,3287.78,3560.49,1956.1,1993.23,694.99,683.35,276.55,278.17,160.27,160.74,307.72,325.06
105,Grand Junction,CO,4786,5899.58,6017,2791.05,2882.53,1317.34,1321.21,759.29,758.11,334.48,333.73,415.9,435.82,302.51,310.96
106,Greeley,CO,5833,7828.83,7912.55,4113.88,4205.27,1951.4,1964.6,971.02,965.99,288.04,287.47,167.4,146.72,345.58,349.95
107,Pueblo,CO,3374,6346.9,6642.54,2964.1,3243.25,1836.21,1801.08,649.54,675.6,279.99,287.39,240.67,258.96,367.7,373.4
109,Bridgeport,CT,13158,9372.87,7988.98,4905.62,3971.09,2839.03,2659.4,861.28,723.26,472.69,399.37,149.2,100.3,157.25,155.64
110,Hartford,CT,34530,8244.1,7418.27,4320.3,3814.43,2301.8,2132.89,870.7,793.23,462.93,419.67,126.09,98.63,172.33,171.12
111,New Haven,CT,31155,9518.58,8197.55,5126.22,4249.02,2666.3,2461.37,849.88,743.3,492.47,434.23,187.24,121.56,198.94,197.42
113,Washington,DC,42429,8190.29,7396.46,4319.36,3695.61,2524.49,2376.42,838.22,827.74,214.08,209.3,155.49,151.27,165.21,166.38
112,Wilmington,DE,16209,8429.9,8253.97,4257.23,4137.46,2560.99,2530.37,774.4,770.72,293.2,293.01,366.08,340.75,184.15,187.21
115,Bradenton,FL,8126,7987.1,8462.92,3179.8,3647.51,3270.41,3253.03,505.41,530.81,559.19,591.37,222.01,196.81,241.3,240.79
116,Clearwater,FL,12628,8656.94,9307.25,3554.69,4111.24,3131.86,3147.14,672.45,707.06,619.95,659.58,424.59,430.95,234,232.76
118,Fort Lauderdale,FL,55070,9805.26,9777.7,3708.08,3912.84,3985.8,3835.71,797.59,804.4,727.42,736.61,365.75,281.57,231.3,229.16
119,Fort Myers,FL,35189,8180.64,8392.96,3193.94,3543.18,3434.95,3353.24,583.19,576.31,384.81,385.45,334.67,291.86,212.9,213.27
120,Gainesville,FL,12408,8072.4,8185.44,3811.47,3936.73,2543.57,2530.15,715.29,735.54,351.97,362.92,354.44,322.57,298.96,298.78
122,Hudson,FL,11192,8839.49,9403.31,3728.4,4290.31,3388.49,3375.26,524.91,552.51,571.29,605.72,371.84,331.86,238.88,237.92
123,Jacksonville,FL,28375,8643.06,9007.23,4008.87,4354.91,2847.53,2875.12,730.76,738.48,449.39,452.93,322.44,298.97,290.8,291.51
124,Lakeland,FL,7070,8127.15,8552.97,3697.33,4083.1,2768.25,2765.61,438.37,456.92,524.52,551.63,410.08,410.68,294.84,294.98
127,Miami,FL,33140,14519.1,14010.8,4919.68,4645,4520.73,4310.81,1416.66,1405.87,1573.4,1557,337.73,268.23,1183.63,1172.34
129,Ocala,FL,22022,7903.33,8425.3,3360.85,3870.67,2992.3,3006.06,577.36,594.31,415.63,430.73,296.18,266.62,233.22,233.56
130,Orlando,FL,72893,8573.73,8934.56,3811.97,4166.45,3018.94,3051.69,658.17,664.07,447.64,452.87,368.09,330.47,265,264.8
131,Ormond Beach,FL,10001,8030.47,8555.09,3558.76,3966.2,2696.83,2786.85,798.84,824.8,413.25,423.95,346.39,339,209.18,208.2
133,Panama City,FL,5303,9075.84,9757.1,4259.27,4860.97,2692.93,2692.06,865.66,942.07,434.05,473.04,515.04,481.79,325.99,329.29
134,Pensacola,FL,17602,7900.29,8534.76,3581.38,4158.08,2390.63,2416.66,794.74,856.11,389.9,422.33,511.29,444.48,254.49,256.22
137,Sarasota,FL,17580,7627.79,8004.32,2839.71,3211.97,3336.44,3326.52,633.49,662.35,394.43,408.46,212.77,193.86,193.47,192.11
139,St. Petersburg,FL,8880,9098.15,9572.24,4022.66,4445.68,3254.72,3263.94,657.41,693.58,527.19,560.81,364.53,339.72,268.54,267.3
140,Tallahassee,FL,13562,7159.58,7782.2,3378.98,3797.83,1906.47,1954.63,864.55,947.91,315.64,344.34,389.82,427.31,305.3,306.64
141,Tampa,FL,17486,8392.32,8795.18,3797.77,4146.48,2753.86,2759.27,598.15,633.53,560.16,593.94,431.59,411.51,245.82,245.64
142,Albany,GA,4216,6366.17,6644.11,2796.75,3001.08,1558.68,1657.34,1064.59,1018.61,255.04,242.56,439.26,474.73,249.99,248.87
144,Atlanta,GA,80366,7555.63,7721.6,3510.32,3713.02,2346.92,2334.85,715.17,711.73,411.57,411.59,341.35,319.33,239.15,238.13
